place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용요금,접근로,출입통로,장애인 주차 안내,엘리베이터,휠체어,수유실,유모차,화장실,오디오 가이드,review,판매 품목,점자 홍보물,이용가능시설,주차요금,입장료,지정현황,지체장애 기타 상세,시설이용료,체험가능 연령,대중 교통,규모,개장기간,주차 요금,이용 시기,부대시설,주요시설,대여안내,객실,할인 정보,수용인원,시각장애 기타상세,영업시간,좌석수,대표메뉴,취급메뉴,보유장비,보조견 동반,점자 블록,코스안내,관람석,매표소,안내 요원,입점브랜드,청각 장애 기타상세,입실시간,퇴실시간,객실내 취사 여부,객실수,예약안내,예약안내 홈페이지,식음료장,객실유형,사우나실 여부,캠프파이어 여부,바비큐장여부,세미나실 여부,스포츠 시설 여부,자전거 대여 여부,공용 PC실 여부,유아용보조의자,휘트니스 센터 여부,노래방 여부,청각장애용 객실,뷰티시설여부,유도안내 설비,영유아가족 기타상세,체험
곡성섬진강천문대,"섬진강변에 위치한 곡성섬진강천문대는 한국천문연구원에서 제작한 600mm 천체망원경과 다양한 망원경들이 설치되어 있는 천문대이다. 주 관측실, 보조 관측실, 천체투영실 4D&VR 융합상영관, 어린이체험전시관 등으로 구성되어 있어 별을 관찰하고 우주여행에 대한 꿈과 미래를 찾는 사람들에게 우주여행의 길잡이 역할을 하고 있다.또한 한국천문연구원과 업무협약을 체결하여 정확하고 신속한 천문 정보 제공과 다양한 천문과학문화체험 프로그램을 운영하고 있다.
이곳은 특이하게 평지에 위치하고 있으며 주변에는 마을과 민가들이 있다. 이는 천문 관측에는 유리한 조건이 아니다. 하지만, 천문과학문화의 대중화를 위해 접근성을 향상시키고 불리한 여건을 최소화하기 위해 주변에 설치된 가로등에는 갓을 씌워 빛이 위로 향하지 않도록 조치하였고 천문 관측 시간대에는 도로를 지나는 차량들이 자발적으로 헤드라이트를 끄고 지나가기도 한다. 이처럼 곡성 섬진강천문대는 마을 주민들과 협력하여 천문 관측을 방해하는 요소들을 최소화하고 있다.
인근에 위치한 기차마을의 다양한 체험과 관람이 가능하며, 섬진강변을 따라 증기기관차나 레일바이크를 탈수 있고 강변 자전거 하이킹, 섬진강 래프팅 등 각종 체험 프로그램을 즐길 수 있는 곳으로 사계절 내내 가족과 함께하는 테마여행 코스로 아주 좋은 곳이다.",,http://www.gokseong.go.kr/star/,전라남도 구례군 구례읍 섬진강로 1234,14:00~22:00 (입장 마감 21:00),"1월 1일 / 설날·추석날 / 법정 공휴일 다음날 / 매주 월요일(단, 다만 법정 공휴일 다음날이 토요일·일요일일 경우 정상 운영)","가능(약 소형 12대, 대형 5대)
요금(무료)",,,,,,,,,장애인 전용 화장실 있음_무장애 편의시설 있음,,"곡성섬진강천문대에서 행복한 하루를 보냈습니다! 구례지역으로 소소한 여행을 떠나 저녁에 뭐할까 하다가 천문대가 있어서 크게 기대하지 않고 방문했지만, 친절한 안내와 전문적인 설명, 오감을 만족시키는 영상과 별자리까지 볼수 있어서 너무 만족했습니다. 가족끼리 가도 괜찮고 연인들의 데이트 코스로도 너무 좋습니다! 한번 다녀오시길 추천 드려요~!!! 제가 사는곳과 가까워 자주가는데 갈때마다 아이들이 흥미로워하고 재밌어하네요~ 예약은 전날 전화예약으로만 가능하구요, 당일에는 현장발권을 해야합니다.낮에는 태양을 관찰하고 밤에는 별을 관찰할 수 있어 여름밤 나들이 장소로 좋습니다.별자리에 대해 설명과 우주 상식에 관한 이야기를 잘 해 주셔서 유익한 시간이었습니다. 직원분들이 굉장히 친절하시고 대답도 잘 해주신점이 가장 기억에 남네요. 아이들 동반한 가족에게 추천하고 싶은 곳! VR 체험이나 입체영상들도 있고 체험도 할 수 있어서 시간보내기 좋아요. 천체망원경도 보려면 사전에 예약하시고 가시길 추천",,,천체투영실 / VR자이로스코프 / 우주엘리베이터 / 4D&융합상영관 / 보조관측실 / 주관측실 / 어린이체험과학관 등,,"- 성인(대학생, 20세 이상) : 개인 4,000원 / 단체 3,000원
- 청소년/군인(13세 이상~19세 이하) : 개인 2,000원 / 단체 1,500원
- 어린이(7세 이상~12세 이하) : 개인 2,000원 / 단체 1,000원
※ 단체 20인 이상
※ 10인 이상 유아는 어린이 요금 적용",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"자이로 VR 가상현실 체험
※ 체험비 2,000원 별도
※ 신장 140cm 이상 / 몸무게 40kg이상만 이용 가능"
순천 문화원,"애향 문화의 도시이자 교육의 도시 순천은 서울, 경주, 안동에 이어 국가지정 문화재가 많은 곳으로 전통과 역사가 있는 도시이다. 순천문화원은 지역문화를 선도하고 봉사하며, 전통문화 계승발전에 노력하고 있다. 또한, 순천 지역문화의 보존과 발굴, 문화자원 확보, 향토문화계승, 문화환경 조성을 통한 문화예술 기회 제공 등 지역 사회의 문화원으로서 역할을 충실히 하고 있다.
다양한 교육프로그램을 통해 주민과 시민의 삶의 질 향상을 위해 노력하고 있으며, 그 일환으로 문화실버스토리텔러 양성 교육을 통해 실버세대와 경력 단절 여성들에게 자부심과 삶의 동기 부여의 기회를 제공하고 있다. 문화유적과 관광지역 탐방을 통한 역사 알리기, 설화이야기책 제작, 지역 풍속 놀이인 별량 장산마을 유두놀이 계승 보존을 위한 사업 등을 진행함으로써 끊임없이 지역문화의 발전을 위해 순천 시민들과 함께 많은 활동을 지속하고 있다.",,https://순천문화원.kr/,전라남도 순천시 장명로 58 (장천동),09:00~18:00,매주 주말 / 공휴일,가능,무료,,,,,,,,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,노래교실 / 장구교실 / 힐링요가교실 등
순천 향매실마을,"대한민국 최대의 매화농장은 순천에 있는 향매실마을이다. 지금으로부터 50여 년 전에 처음 매화나무를 심기 시작하여, 현재는 약 25만 평에 이르는 드넓은 들판을 매화나무가 가득 채우고 있다. 봄이 되면 온통 눈이 내린 것처럼 하얀 꽃동산을 이루며, 여름이면 매실이 주렁주렁 열리고 있다. 또한 향매실마을은 상동, 외동, 중촌, 이문, 내동 등 5개 마을로 이루어져 있어 풍성한 전설과 볼거리를 간직하고 있다. 군장마을로 넘어가는 고갯길에는 장군이 용마를 타고 하늘로 도약하면서 남겼다는 용발태족(용발자국)이 선명하게 남아있으며, 중촌마을에는 당산나무인 수령 500년생 느티나무 두 그루가 마을 입구에 서있어 마을의 오랜 역사를 말해준다. 이문마을에는 이택종 선생이 일본에서 가져와 최초로 심은 매화나무로, 향매실마을에서 가장 오래된 매화나무가 자라고 있다. 향매실마을에서는 6월 매실 수확철이 되면, 매실수확체험, 매실 장아찌 담그기 등 체험이 가능하며, 겨울이면 매실김치 담그기 프로그램을 진행한다. 마을 체험관에서는 가면 만들기, 문패 만들기 등 다양한 체험 프로그램과 천체망원경을 이용해 별을 관측해 보는 달관측소가 마련되어 있다.",,https://www.suncheon.go.kr,전라남도 순천시 월등면 계월길 138,상시 개방,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매실청 담그기 / 비누 만들기 / 매실 따기 등
순천전통야생차체험관,"순천전통야생차체험관은 조계산 선암사 가는 길목에 위치한 하늘과 물소리 바람소리로 어우러진 아늑한 체험관이다. 향기 가득한 차를 직접 만들어 시음하고 다례체험, 다식체험을 할 수 있는 공간을 관광객들에게 제공하여 일상생활에 지친 현대인들에게 편안한 휴식과 함께 재충전의 기회와 풍요로운 마음을 가질 수 있도록 하는 장소이다. 순천시에서 생산되는 차를 시음할 수 있으며 단체로 예약하여 다양한 체험에 직접 참여할 수 있다. 또한 한옥의 단아한 멋과 여유, 싱그러운 솔내음 속에 은은한 차의 맛과 옛 삶의 정취를 느껴볼 수 있는 곳이다.",,http://main.suncheon.go.kr/tour,전라남도 순천시 승주읍 선암사길 450-1,"- 09:00~18:00 (17:00 입장 마감)
- 체험 가능 시간 09:30~17:30
- 점심시간 12:00~13:00
※ 예약제 운영으로 2주 전 예약 필수","매주 월요일 (단, 월요일이 공휴일인 경우 다음날까지 휴관) / 명절 당일",※ 숙박 이용자만 차량 진입 가능,,,,,,,,,있음,,순천 선암사 얼라가는길에 방문한.. 순천전통야생차체험관 근사한 한옥집에서 여유로운 차한잔 완전 좋어요~~ 순천전통야생차체험관은 선암사로 가는 선암사계곡에 위치합니다. 월요일에 방문 하다 보니 휴관으로 체험하지는 못하였지만 대단히 아름다운 풍광 속에 위치하네요. 아름다운 곳 이였습니다. 전통차체험관 - 구들장은 절절 끓는 한옥에 앉아 창밖을 보며 마시는 차한잔은 최고. 이제는 선암사보다 차체험관을 더 추천.,,,숙박시설 / 강당 / 전시관 / 차 체험관,,"[입장료]
- 무료
[체험료]
- 다례체험 3,000원
- 다식체험 1인당 5,000원 (최소 2인 이상)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,다례체험 / 다식체험
흥륜사(순천),"순천 시내에 위치한 흥륜사는 대한 불교조계종 제19교구 화엄사 소속 사찰로 시민들의 휴식처인 죽도봉공원의 남쪽 사면에 위치한다. 과거 1984년 이전까지 국궁 활터로 사용되었던 곳에 새로이 건물을 이전하여 법당을 만들어 포교당을 조성했다. 절에서 전하기로는 조선시대 선조대에 창건되었다고 전하며, 임진왜란 당시 수군의 활터와 화엄사, 송광사, 선암사 3대 사찰의 대중과 승군의 최초의 본거지였다고 한다. 창건 및 연혁에 관한 기록은 없다. 해방 직후 대처승들이 이곳을 매도하여 약 20년 전까지 활터로 사용되었던 곳으로 활터가 북쪽으로 이전함에 따라 절을 세울 수 있었다고 한다.
지금의 건물은 전부 1986년 종원 스님의 중창 이후에 봉안한 것이다. 혜인, 목산 비구스님에 이어 비구니 선타스님이 주석하고 있으며, 화엄사의 포교당 역할을 하고 있다.
경내에는 크고 아름다운 벚꽃나무가 자리 잡고 있으며, 순천 동천이 한눈에 들어오며 밤이 되면 순천의 아름다운 야경을 조망할 수 있다. 흥륜사 주변에 죽도봉공원, 장대공원이 있어 사찰과 함께 산책을 즐기기 좋다.",,https://www.suncheon.go.kr/tour,전라남도 순천시 장대길 102,07:00~18:00,연중무휴,가능,,,,,,,,,있음,,,,,"대웅전, 극락전",무료,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
향림사(순천),"861년(경문왕1)에 도선국사가 창건, 주변에 작설차 등 향기로운 숲이 있어 향림사라 불린다. 광해군 때 이수광이 편찬한 승평지에 따르면 이 부근의 지형이 새가 알을 품고 있는 형상으로 그 기운이 너무 강해 지세를 누르기 위해 지었다고 전해진다. 향림사는 복합문화공간으로 절 마당은 음악회와 마음 콘서트 등 공연 공간이기도 하다. 사찰 주변 공터는 주변 어르신들 게이트볼장, 소나무 숲은 맨발로 걷는 황토어싱길로 애용된다. 향림사 뒤로는 비봉산이 있고, 옆으로는 향림 공원과 운동시설이 있어 도심에서 접근성이 좋은 쉼터이면서 휴식공간이다.",,https://www.suncheon.go.kr/tour,전라남도 순천시 조비길 36 (석현동),상시 개방 (18:00 이후 제한적 이용),연중무휴,불가능,,,,,,,,,있음(남/녀 구분),,,,,"대웅전, 삼성각, 명부전, 범종각, 심검당",,무료,전라남도 문화유산자료 향림사 (1984.02.29. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금둔사,"금둔사는 순천시 낙안면 금전산 기슭에 자리한 사찰로 송광사와 낙안읍성 민속마을로 연결되는 관광벨트 중심에 위치하여 경관이 수려할 뿐만 아니라 규모도 상당히 크다. 금둔사의 창건 연대와 창건자는 알 수 없지만 금둔사지에서 출토된 유물들을 통해 9세기 전반에 사찰이 조성되었을 것으로 추정된다. 금둔사의 옛 이름인 동림사의 명칭은 징효대사(826~900)의 비문에서 ‘당주의 군사 김사유등이 찾아와서 선지를 듣고 법문에 깊이 감명을 받아 분령에 계시도록 청하고, 군의 동림을 선거에 길이 예속시켜 열반할 종신처로 삼게 하였다’라고 하였다. 여기서 분령은 낙안의 옛 지명이므로 동림사가 금둔사의 옛 명칭임을 알 수 있다. 이를 통해 금둔사는 9세기 후반 징효대사 절중이 주석하였던 선종 사찰로 창건되었을 것으로 추정된다.
보물로 지정된 경내의 삼층석탑과 석조불비상을 비롯하여 1999~2002년까지 국립 순천대학교 발굴팀에 의하여 8-9세기의 아름답고 정교한 무늬의 암ㆍ수막새 등 다량의 유물이 발굴된 것만 보아도 그 당시 금둔사의 위세가 어떠했는지를 짐작할 수 있다. 그 후 금둔사는 조선시대 정유재란으로 낙안성이 함락되면서 전소되었다가 17세기 후반에 와서 완전 폐사가 되었다.
현재의 건물은 1983년 선암사 칠전선원에 주석하던 수행승 지웅선사가 중창 불사를 일으켜 현재 법당, 요사채, 선원 등 10여 동의 전각을 세웠다.
금둔사는 납월매로 유명한 사찰로 납월매는 음력 섣달(납월)에 피기 때문에 붙여진 이름인데 이곳의 매화는 다른 매화들보다 2달 정도 빨리 핀다.",,http://www.geumdunsa.org,전라남도 순천시 낙안면 조정래길 1000 (낙안면),06:00~18:00,연중무휴,가능,,,,,,,,,있음,,금둔사에서 만난 보물 금전산 금둔사 고즈녁하게 산사가 예쁘네요 금둔사에 있는 석조불비상 참 특이하다고 생각했어요.이런 형태의 불상을 처음 창녕에서 만났던 것으로 기억하는데 불자가 아닌 저는 처음 보는 신기함이었어요.비석 같으면서도 불상인 모습이요.,,,대웅전 / 태고선원 / 유리광전 / 약사전 / 설선당,무료,무료,,,,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
낙안읍성 벚꽃길,"봄이 되면 순천 시내에서 낙안읍성으로 가는 민속마을 길은 온통 하얗게 벚꽃길이 펼쳐진다. 평균 3월말 4월 초에 벚꽃은 절정을 이루고 봄바람에 눈처럼 휘날리는 벚꽃길을 감상하며 따라가다 보면 낙안읍성에 도착하게 된다. 낙안 벚꽃길은 상사댐 주변 일대의 예쁜 길로도 유명하다. 상사호를 중심으로 상사호길과 노동길 두 곳으로 총 14㎞에 이른 벚꽃길은 민속마을길로 이어지며 벚꽃이 만개하는 봄이 되면 상춘객들이 도로에 차를 멈추고 사진 촬영을 하는 바람에 주차장이 되는 풍경이 펼쳐지기도 한다.
벚꽃이 피는 계절이 되면 봄을 맞아 새롭게 초록으로 물드는 산과 어우러져 낙안 벚꽃길은 그야말로 눈이 부신 세상으로 변신한다.
민속마을길 끝에 낙안읍성민속마을이 있고 민속마을 전에 국립낙안민속자연휴양림을 둘러볼 수 있다.",,https://www.suncheon.go.kr/tour,전라남도 순천시 민속마을길 150 (덕월동),상시 개방,연중무휴,,,,,,,,,,,,낙안읍성을 걸으며 벚꽃을 볼수있는데 어른은 어른대로 아이는 아이대로 눈으로 즐기고 걷기도하며 낭만을 느낄수 있습니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기적의놀이터 4호,"산속 저수지 위쪽에 자리한 순천 기적의 놀이터 4호를 찾아가는 길은 마치 등산로 입구를 찾아가는 것처럼 산으로 향해 있다. 기적의 놀이터 4호의 다른 이름은 ‘올라올라’로, 이름에서 놀이터의 콘셉트가 엿보인다. 놀이터의 시설물은 그리 많지 않은데, 큰 미끄럼틀과 그 옆으로 모랫바닥에 거미줄 같은 네트 모양의 시설이 눈에 띈다. 둘 다 올라야 즐길 수 있는 시설이다. 뒤쪽으로는 짧지만 넓은 미끄럼틀도 있다. 눈썰매장의 출발대처럼 여러 명이 동시에 탈 수 있는 놀이 시설과 비슷하다. 놀이 시설물 주변은 자연 녹지인데, 주위로 작은 개울이 흐르고 자연학습원도 마련되어 있다. 놀이를 마치고 나올 때는 저수지를 한 바퀴 돌며 산책하기에도 좋다.",,https://www.suncheon.go.kr/tour,전라남도 순천시 용당동 496,상시 개방,연중무휴,가능,,,,,,,,,,,,,,있음 (남녀 구분),무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기적의놀이터 3호,"순천 기적의 놀이터 3호의 다른 이름은 ‘시가모노’다. 얼핏 들으면 일본에서 빌려온 이름처럼 들리는데, ‘시간 가는 줄 모르고 노는 놀이터’의 약자다. 아파트 사이를 흐르는 동천의 천변에 길게 자리한 놀이터로 놀이터에 들어서자마자 킥보드와 밸런스 바이크를 탈 수 있는 곡선형 아스팔트 길이 나온다. 그 주변으로 모래 놀이터가 있고 가장 인기 있는 집라인도 있다. 안쪽으로 조금 더 들어가면 그네 놀이터와 체력 단련용 액티비티 시설이 나온다. 유아들이 탈 수 있는 보호대가 있는 그네부터 2인용 그네, 원형 바구니처럼 생긴 다인용 그네도 있다. 바닥에는 모래가 깔려 있어서 완충 역할을 한다. 조금 더 내려가면 아이들이 안전하게 인라인스케이트를 탈 수 있는 스케이트장이 나온다. 놀이터 근처에는 강천 수변 공원이 있는데 놀이가 끝나고 집으로 돌아가는 길에 잠시 들러 산책하기 좋다.",,https://www.suncheon.go.kr/tour,전라남도 순천시 서면 선평리 818-23,상시 개방,연중무휴,"가능
요금 (무료)",,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,있음 (인근 공원 이용 / 남녀구분),,,,,"그네, 미니짚라인, 인라인스케이트장, 액티비티시설,밸런스바이크",,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화포해변,"화포해변은 순천 별량면 학산리에 위치한 해변이다. 이곳은 수산자원이 풍부하고, 간조 때 깨끗한 개펄에서 잡히는 세 발 낙지가 유명하며, 겨울이면 흑두루미, 저어새, 검은 머리갈매기 등 철새들이 몰려와 장관을 이룬다. ‘ㄷ’ 자로 생긴 순천만의 아랫부분에 위치하여 바닷가에서 멋진 해돋이를 맞이할 수 있다. 주차장, 어부장터, 산책로 등의 시설이 잘 갖추어져 있어 드라이브나 차박을 즐기기 위해 방문하는 사람들이 많다. 주변에 대대 포구 갈대숲과 송광사, 선암사, 동화사, 낙안읍성 민속마을, 주암호, 고인돌공원 등 관광지를 함께 여행할 수 있다.",,https://www.suncheon.go.kr/tour,전라남도 순천시 별량면 학산리 780-2,상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공마당둘레길,"공마당 둘레길은 코스는 길지 않지만, 마을을 한 바퀴를 돌며, 전망대에서 순천 원도심을 내려다볼 수 있는 아담한 마을 둘레길이다. 마을 공동체와 공공 미술이 만나 순천 원도심의 매력에 듬뿍 빠질 수 있는 곳이기도 하다. 골목 곳곳에 설치된 조형물과 벽화를 감상하며 걷는 길에는 문화의 거리, 순천창작예술촌, 순천향교 등 다양한 문화를 즐길 수 있는 곳들이 인접해 있어 쉬엄쉬엄 돌아보기에도 좋다.",,https://www.suncheon.go.kr/tour/,전라남도 순천시 금곡동 134-2 공마당슈퍼~청수정,상시 개방,연중무휴,가능,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
철도관사마을,"철도관사마을은 전라선과 경전선이 만나는 분기점 역, 순천역에 1936년 일제강점기 당시 순천철도사무소 종사자들의 주거 안정을 위해 계획적으로 조성된 마을이다. 현재 이곳에는 공동주택이 들어선 4동의 관사와 일부 복지시설을 제외하고는 등급별 관사와 승무원 숙소 등 당시의 모습을 보여주고 있다. 주택뿐 아니라 운동장, 병원, 수영장 등의 복지시설이 함께 조성되어 당시엔 신도시로 평가받았던 이곳은 일제강점기에 지어진 탓에 아직도 마을 주변에는 관사로 사용된 일본식 가옥이 많이 남아있다. 마을 한가운데를 뚫고 기차가 달려올 것 같은 카페 ‘기적소리’는 이 마을의 사랑방이자 철도문화마을 여행의 시작점이다. 옛날에 철도 직원들에게 쌀을 비롯한 식료품, 생활필수품을 배급하던 철도 배급소였던 이곳은 현재 작은 음악회나 전시, 문화강좌가 열리는 복합 문화공간이자 마을을 찾은 방문객을 안내하는 커뮤니티 공간으로 활용되고 있다. 카페 안에는 철도문화마을 지도가 배치되어 있으며 관사의 위치 표시, 장소별 자세한 설명과 마을의 역사까지 나와 있으니 마을을 탐방하기 전에 꼭 들릴 것을 추천한다.",,https://main.suncheon.go.kr/tour,전라남도 순천시 자경1길 10-81 (조곡동),상시 개방,연중무휴,가능,,,,,,,,,있음,,"철도마을박물관 철도체험관등이 있어서 기차에 대한 여러가지 옛날 물건들을 볼 수 있고 키즈카페에 있는 미니열차도 체험 할 수 있고 자리에 앉아 있으면 흔들거리며 기차를 타는거 같은 체험 할 수 있는4D 기차체험 기차 만들기등 모두 무료로 즐길 수 있었어 좋았어요 철도 역사에 대해 설명도 상세하게 해주시고, 어린이들 기차 타는 것과 4D로 옛날 기차 체험 해볼수 있어 좋아요~ 4D 기차 체험은 중간중간 외계인 찾는 재미도 있어요 ㅋㅋㅋ",,,,무료,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
와온항,"와온항은 순천시 해룡면 상내리에 있는 어항으로 2005년 1월 어촌정주어항으로 지정하여 관리하고 있다. 겨울철에도 날씨가 따뜻하여 누울 와(臥) 따뜻할 온(溫)이라는 한자를 써서 ‘와온’이란 이름을 가지게 되었다. 전형적인 작은 어촌마을인 이곳은 짱뚱어, 새꼬막, 숭어, 맛, 게, 낙지 등의 수산자원이 풍부하며 특히 꼬막 생산지로 유명하다. 해변의 길이는 약 3㎞이며 썰물 때 개펄이 드러나면 일명 ‘S’자 라인이라 불리는 좁고 구불구불한 물길이 생기고, 개펄과 어우러진 갈대밭과 칠면초 군락, 천연기념물 제228호인 흑두루미를 비롯한 겨울 철새의 모습 등 순천만의 아름다운 풍경이 펼쳐진다. 또한, 이곳은 일몰 풍경이 아름답기로 유명한 곳이다. 해변 앞바다에 솔섬이라 불리는 작은 무인도 너머로 해가 넘어가면 드넓은 개펄과 주변을 온통 황금빛으로 물들이는 장관이 연출된다. 이 풍경을 담기 위해 전국의 수많은 사진작가와 사진 애호가들의 발걸음이 끊이지 않는다.",,https://www.suncheon.go.kr/tour,전라남도 순천시 해룡면 상내리 614-5,상시 개방,연중무휴,가능,,,,,,,,,있음,,"와온항을 다녀왔던 건 2019년 가을 무렵이었는데요, 순천역에서 자전거를 빌려서 하천옆 자전거도로를 따라서 순천만습지까지 이동해서 순천만습지 관람 후 용산전망대로 올라가서 와온항 방향으로 내려와서 쭉 이동했습니다. 갈대도 멋지고 예쁜 꽃들도 심어져 있고 무엇보다도 해질녘 무렵 한적한 주변 분위기에서 보던 노을이 잊혀지지 않는 곳입니다. 주변이 너무 상업적인 분위기가 아니라서 오히려 조용해서 좋았고, 포토존도 있고 카페도 몇 군데 있어서 쉬면서 힐링하기 좋은 곳입니다. 코로나 이후 한 번도 다녀오지 못했는데 올해 다시 한 번 가보려고 하네요.
닫기",,,방파제,무료,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
와온공원,"와온공원은 노을명소로 유명한 와온해변 옆에 위치해 있는 작은 공원이다. 넓은 주차장에 산책로가 깔끔하게 조성되어 있고, 운동기구와 쉬어갈 수 있는 정자도 마련되어 있다. 산책로를 따라 무성한 갈대밭이 펼쳐져 있으며 드넓은 바다가 시야에 가득 찬다. 썰물 때는 솔섬까지 드러나는 갯벌의 풍광을 볼 수 있고 밀물 때는 찰랑거리는 파도의 소리를 들을 수 있다. 해 질 녘 솔섬과 화포 마을 너머로 지는 일몰이 아름답기로도 유명하다. 일몰 전망대 오른쪽으로는 용산 전망대까지 이어지는 해안 길이 나 있다. 운동 삼아 걷기에도 좋은 코스다. 연인이나 가족과 함께 해안 길을 걸으며 서로의 정을 쌓기에 좋은 곳이다.",,https://www.suncheon.go.kr/tour,전라남도 순천시 해룡면 상내리 81-4,상시 개방,연중무휴,가능,,,,,,,,,,,,,,,무료,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽도봉공원,"전남 순천 죽도봉 공원은 순천 시가지의 아름다운 풍경을 한눈에 바라볼 수 있는 곳이어서 순천 시민들의 산책과 휴식처이며, 녹음이 우거진 동산은 흡사 외롭게 둥둥 떠 있는 섬같이 생겼다. 이곳은 약 4백 년 전만 하더라도 전죽(箭竹=화살대) 밭으로 전해져 왔고, 그의 생김새가 마치 섬(島)과도 같아 죽도(竹島)라고 명명했다고 한다. 옛날에는 전죽을 많이 소산(所産)해서 전쟁병기로 사용했던 것이다. 그러던 것이 1975년부터 순천시가 죽도봉 개발계획을 세우고 본격적인 환경미화조성사업을 벌여 공원화 작업을 서둘러 왔다. 죽도봉 정상에 오르면, 당시 순천시가 건립한 전망대와 여순사건과 6·25 때 순국한 이 고장 출신들의 반공순국위령탑이 세워져 있었는데 모두 철거시키고 이 자리에 ‘강남정(江南亭) 1981년 10월 15일 건립된 3층 8각정’이라는 정자를 건립하여 전망대로 이용하고 있다.

이 강남정은 재일교포 김계선 님이 1981년 약 8천만 원을 순천시에 기탁하여 같은 해 10월 15일 제14회 순천시민의 날을 맞아 제막했다. 이 밖에도 김계선 님의 독지로 1975년 2월 건립된 ‘팔마탑’과 1978년 8월 건립한 ‘연자루’가 옛 모습 그대로 복원되어 있다. 연자루 바로 앞에는 용두샘(飮水臺)이 있어, 이곳을 찾는 방문객들의 목을 적셔주기도 한다. 우리 고장 인재 양성에 헌신한 ‘우석 김종익’ 선생의 숭고한 정신을 기리고자 하여, 1995년 5월 12일 우석 김종익기념사업회가 세운 ‘우석김종익선생동상’과 ‘현충탑’이 자리하고 있으며, 우석 동상 옆 산책로를 따라가면 봉화산(355m) 정상으로 향하게 된다.

현충탑(顯忠塔)은 1948년 여순사건 때와 1950년 6·25 때 국토방위와 자유를 위해 피로 충성을 피운 국군, 경찰관, 애국청년단원, 그리고 용감한 반공순국 시민들의 넋을 죽도봉 정상에 있었던 반공순국위령탑과 경찰서 충혼비, 향림사 충혼비 등에서 옮겨와 1979년 5월 30일 합동으로 모시고 있다.또, 공원 광장에서 남쪽으로 내려가면 ‘백우비와 백우탑’, ‘강계중 선생 동상’이 있고 활터로 사용하고 있는 ‘환선정’이 있다.죽도봉 공원은 봄철엔 벚꽃과 철쭉꽃이 활짝 피어 시민들의 좋은 휴식처이다. 시민들이 가족과 함께 가끔 찾는 곳이다.",,http://main.suncheon.go.kr/tour,전라남도 순천시 죽도봉길 81 (조곡동),상시 개방,연중무휴,가능,,공원 입구에서 팔각정까지 차량 및 휠체어 진입 가능함,"팔각정 1층 카페 진입 가능함, 카페까지 경사로 있음",,,,,,있음,,대학생 때 와보고 다시 방문했었는데 야경이 정말 멋있더라구요. 주변에 동백나무도 여전하고 내려가는 길에서 본 야경도 멋있더라구요. 조곡교지나자마자 우측에 주차장이있는데 이쪽 뒤로해서 죽도봉으로 올라가는 길이 있어요. 밤에 순천시내가 내려다보이는 야경 정말 예뻤어요!,,,"팔마탑, 백우탑, 백우비, 산책로, 음수대, 벤치, 농구대, 운동기구 등",,,,전망데크 진입 약간의 단차 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
