place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,review,주차 요금,이용요금,화장실,시설이용료,접근로,지체장애 기타 상세,유모차,출입통로,장애인 주차 안내,휠체어,수유실,대중 교통,지정현황,이용가능시설,판매 품목,주차요금,엘리베이터,점자 홍보물,오디오 가이드,시각장애 기타상세,객실,청각 장애 기타상세,체험가능 연령,이용 시기,수용인원,규모,관람석,할인 정보,주요시설,입실시간,퇴실시간,식음료장,객실수,예약안내,객실유형,부대시설,개장기간,대여안내,객실내 취사 여부,예약안내 홈페이지,바비큐장여부,자전거 대여 여부,노래방 여부,세미나실 여부,입점브랜드,강습안내,유아용보조의자,보유장비,큰활자 홍보물,청각장애 기타상세,점자 블록,안내 요원,보조견 동반,매표소,코스안내,영업시간,대표메뉴,취급메뉴,유도안내 설비,스포츠 시설 여부,좌석수,영유아가족 기타상세,체험
강릉문화원,"강릉문화원은 지방문화원진흥법에 의하여 1964년에 개원하였고 지역 문화 진흥을 위한 지역 문화 사업의 수행을 목적으로 설립된 비영리 특수법인이다. 강릉시민들의 향토 문화에 대한 이해와 애정을 증진시키며 시민들의 문화 예술적 감성을 개발 향상시킴을 목적으로 활동하고 있다. 지역 문화, 전문 인력, 문화 예술교육, 특화사업, 다양성사업, 부설단제 7개 분야 25개 사업을 수행하고 있다. 특히 강릉 문화재 야행은 매년 7월 강릉대도호부 관아, 토성로, 서부시장 일원에서 진행되는데 문화재가 밀집된 거리를 중심으로 다채로운 공연, 체험, 예술을 제공함으로써 문화재 활용도를 높이고 문화유산의 의미와 가치 향유을 통해 보존가치를 증진하는 행사로 문화재청에서 2017년, 2019년, 2021년 전국 최우수 문화재 야행으로 선정되었다.",,http://www.gncc.or.kr,강원특별자치도 강릉시 하슬라로 96 (교동),09:00~22:00,토요일~일요일 / 법정공휴일,가능,,,,무료,장애인 화장실 있음,,출입구까지 경사로 설치되어 있음,,,"경사로 있음, 출입구에 턱이 없음, 여닫이문",,,,302번 버스 강릉문화원 하차 후 도보 1분,,,,,엘리베이터 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,임영문화예술학교 / 인생나눔교실 / 꿈의 오케스트라 강릉 등
심곡항,"깊은 골짜기 안에 있는 마을이라 하여 ‘심곡’이라고 하며, 마을 모양이 종이를 바닥에 깔아놓은 듯 평평하고 그 옆에 붓이 놓여 있는 형상이라 하여 ‘지필(紙筆)’이라고도 하였으나, 1916년 행정구역 변경에 따라 심곡으로 확정되었다. 양쪽으로 산맥이 뻗은 가운데에 놓인 오지마을이어서 6·25 전쟁 당시에도 이 마을 사람들은 전쟁이 일어난 줄 몰랐다고 한다. 최근 해돋이 명소인 정동진이 부각되며 심곡항 또한 인기를 끌고 있다. 산과 바다가 어우러져 있어 아름다운 경관을 자랑하고 있는 곳이다.

(출처 : 강원특별자치도청)",,https://www.gn.go.kr/tour/index.do,강원특별자치도 강릉시 강동면 헌화로 648-8,상시 개방,연중무휴,가능,," 조그만한 포구. 앞으로는 좀 번잡해질듯요 부채길 때문에 주차공간 부족 할듯요 심곡항에 가게 되면, 망치매운탕과 부채길 강력 추천합니다😃 빨간등대랑 함께 사진 찍어도 너무 멋있어요!!! 다만, 대중교통으로는 버스가 2시간에 한 대라 그 부분이 조금 아쉽긴합니다 ㅜ",,,장애인 화장실 있음,,,,,,"위치 : 지상주차장, 개수 : 1대",,,968번 버스 심곡 하차 후 도보 3분,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
슬로우캠프,"슬로우캠프는 강원도 치악산 동남쪽 영월 무릉도원면 운학리에 위치한 100% 황토 전통 흙집 펜션이다. 라르고와 아다지오 객실로 구성되어 있으며, 편안한 숙면과 힐링을 제공한다. 캠핑장은 2025년 5월 리뉴얼을 통해 각 8m × 8m 크기의 개별 사이트와 3m × 5m의 전용 주차 공간을 갖추었다. 1 급수 계곡과 별이 가득한 자연환경이 어우러져 있으며, 야외미술관·골프연습장·노래방·갤러리 카페 등 다양한 부대시설도 마련되어 있다. 서울과 대구에서 2시간 이내로 접근 가능하고, 신림 IC 및 새말 IC를 통해 진입이 편리하다.",,http://www.slowcamp.com,강원특별자치도 영월군 무릉도원면 고일길 18-5,"- 입실 14:00
- 퇴실 11:00",,,,,,"70,000원~250,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,캠핑장 / 펜션 / 갤러리카페 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구학산채관광마을 희망캠핑장,"구학산채관광마을 희망캠핑장은 중앙고속도로 신림 IC에서 약 6km 떨어진 곳에 위치해 있으며, 옛 구학초등학교를 개조한 캠핑장이다. 넓은 운동장과 오래된 나무들이 어우러져 자연친화적인 환경을 제공한다. 교실은 단체 숙박이나 세미나실로 활용 가능하고, 운동장은 소규모 행사와 스포츠 활동 공간으로 이용되고 있다. 야영장 옆으로는 맑은 실개천이 흐르며, 건너편에는 수중보를 활용한 물놀이장이 조성되어 있다. 주변에는 오로라골프장, 치악산둘레길, 구학산둘레길 등이 있어 골프와 트레킹을 함께 즐길 수 있으며, 농촌 체험도 가능하다.",,,강원특별자치도 원주시 신림면 구학산로 1624,상시 개방,연중무휴,,,,,"50,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,글램핑 / 족구장 / 회의실 / 식당 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
첫물내기캠핑장,"첫물내기 캠핑장은 물 맑고 공기 좋은 강원도 영월 법흥계곡에 위치한 캠핑장이다. 여름철에는 가족이나 연인 단위로 물놀이와 캠핑을 함께 즐기기에 적합하다. 신축 공용시설은 인근 캠핑장 중에서도 청결도가 뛰어나며, 강원도로부터 클린샵 인증을 받았다. 캠핑 사이트 간격이 넓고 부대시설이 깔끔해 누구나 쾌적하게 이용할 수 있다. 넓은 주차장이 마련되어 있어 주차 걱정 없이 편리하게 방문할 수 있다.",,http://cafe.naver.com/cmng727,강원특별자치도 영월군 무릉도원면 무릉법흥로 524-2,"-입실 14:00
- 퇴실 12:00",연중무휴,,,,,"50,000원~60,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참고",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미산분교 캠핑장,"인제 내린천 상류에 위치한 애견 전용 캠핑장이다. 오래전에 폐교된 분교를 캠핑장으로 재개발한 곳이다. 해발 400m에 위치하고 있어 여름에 시원하고 계곡이 있어 물놀이하기에 최적의 장소이다. 애견 전용 캠핑장으로 개별 데크와 울타리로 안전하게 뛰어놀 수 있도록 하고 계곡에서 자유롭게 물놀이를 즐길 수 있다. 캠핑장 전체적으로 깔끔하게 잘 정돈된 느낌이 든다. 부대시설로는 화장실, 샤워실, 개수대, 매점, 와이파이가 준비되어 있다.",,https://cafe.naver.com/camptool/,강원특별자치도 인제군 상남면 내린천로 1622,"- 입실 14:00
- 퇴실 12:00",연중무휴,,,애견동반 가능한 캠핑장이라 강아지를 많이 볼 수 있어요ㅎㅎ 함께 여행하고 싶다면 미산분교 캠핑장 추천합니다.,,"- 데크존 60,000원~65,000원
- 민박 150,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
춘천숲자연휴양림엔글램핑,"아름다운 자연과 밤하늘에 가득 수놓인 별들을 볼 수 있는 춘천 숲자연휴양림은 강원도 춘천시 동산면에 위치하고 있다. 서울 춘천간 고속도로 남춘천 IC에서 서울에서 약 40분 거리에 규모 82㏊의 물맑고 공기좋은 잣나무 및 참나무 숲속에 조용하고 아늑한 자연휴양림이다. 부대시설로 공용화장실, 공용샤워실, 개수대, 매점, 안내매표소 등이 있다.",,http://www.ccforest.or.kr,강원특별자치도 춘천시 동산면 종자리로 224-104,"- 입실 15:00
- 퇴실 11:00",연중무휴,,,,,"[숲속의집 비수기]
- 평일 80,000원
- 주말 90,000원
[숲속의집 성수기]
- 평일 100,000원
- 주말 110,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
큐브존캠핑장,"강원도 한반도면에 위치한 큐브존은 펜션 겸 캠핑장이다. 독특한 컨테이너로 제작된 펜션 건물과 자연석의 일종인 카렌펠트로 이뤄진 조경이 아름다운 곳이다. 밤에 조명이 켜지면 이색적이고 감성적인 풍경을 자랑한다. 캠핑 사이트는 30여 개이고 바닥은 파쇄석에 사이트 사이에 나무들이 있다. 마트와 카페 등 편의시설이 잘 갖춰져 있고 아이들을 위한 물놀이장, 트램펄린 등이 있다.",,http://www.cubezone.kr,강원특별자치도 영월군 한반도면 한반도로 794-24,"- 입실 14:00
- 퇴실 11:00",연중무휴,,,,,"- 카라반 70,000원
- 캠핑 50,000원
- 펜션 100,000원~120,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여울소리,"강원도 영월 무릉도원면에 위치한 여울소리 캠핑장은 펜션 겸 카라반 2개, 캠핑 사이트 10개가 있다. 트램펄린과 수영장이 있고, 바로 앞 주천강에서 물놀이도 가능해 아이를 동반하고 가족단위로 여름 휴가를 즐기는 캠핑객이 많이 찾는다. 사이트 간격이 넓은 편이고 배치가 지그재그로 되어 있어서 시야가 답답하지 않고 시원하다. 카라반은 개별 화장실과 테라스를 갖추고 있어 프라이빗한 이용이 가능하다.",,https://www.instagram.com/yeoulsori_camping,강원특별자치도 영월군 무릉도원면 중방길 2-45,"- 입실 13:00
- 퇴실 12:00",연중무휴,,,,,"- 캠핑장 70,000원
- 카라반 180,000원
- 펜션 260,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스카이 펜션&캠핑장,스카이 펜션&캠핑장은 영월 법흥계곡 옆에 위치한 펜션 겸 캠핑장이다. 18개의 사이트가 계곡을 따라가며 있는데 데크 사이트도 있고 파쇄석 사이트도 있다. 개인 캠핑카나 트레일러는 입영이 불가능하다. 사이트 배정은 도착하면 지정받는 방식이고 전날 예약자가 없으면 오전 8시에 입실이 가능하다. 애견 동반이 가능한데 추가 비용이 발생한다. 법흥계곡 일대는 겨울철에는 캠핑장이 휴장하는 경우가 많지만 이곳은 겨울에도 운영하며 장박도 가능하다.,,http://www.skycamp.kr/,강원특별자치도 영월군 무릉도원면 무릉법흥로 852-15,"- 입실 12:00
- 퇴실 11:00",연중무휴,,,,,"- 캠핑사이트파쇄석 30,000원~40,000원
- 장박사이트 200,000원
- 카라반사이트파쇄석 40,000원~50,000원
- 펜션 100,000원~250,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금방아 민박캠핑장,금방아 캠핑장은 강원도 영월에 있는 법흥계곡에 위치한 캠핑장이다. 법흥계곡은 1급수의 맑은 계곡으로 물놀이는 물론 낚시도 가능하여 여름철 피서객들이 많이 찾는다. 사이트는 50여 개가 있고 방갈로와 민박을 함께 운영 중이다. 바닥은 파쇄석이고 사이트 사이로 나무가 많아 그늘이 넉넉한 편이다. 카라반용 사이트가 있어서 트레일러나 카라반을 주차하고 야영이 가능하다.,,https://cafe.naver.com/kumbanga/,강원특별자치도 영월군 무릉도원면 무릉법흥로 516,"- 입실 13:00
- 퇴실 11:00",연중무휴,,,,,"- 파쇄석 사이트 45,000원
- 카라반 50,000원
- 방갈로&사이트 110,000원~150,000원
- 방갈로 80,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
북극곰 야영장,"북극곰 캠핑장은 흥정계곡에서도 가장 아름답다는 중류, 허브나라농원 가까이 자리하고 있다. 계곡 옆으로 울창한 숲이 조성되어 있어 힐링의 명소로 꼽히며 숲속에 데크 사이트가 놓여있어 야영을 위한 최상의 조건을 제공하고 있다. 주차장과 계곡 사이 계단식으로 사이트가 배치돼 있어 한 계단 내려가야 하는 불편도 있지만 오히려 호젓한 야영을 즐길 수 있는 장점이 있다.",,,강원특별자치도 평창군 봉평면 흥정계곡길 313-3,"- 입실 14:00
- 퇴실 12:00",연중무휴,,,,,"- 89 파쇄석 65,000원
- 78 파쇄석 60,000원
- 67 파쇄석 55,000원
- 차박가능존 55,000원
- 평상 40,000원
※ 자세한 사항은 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꿈엔들캠핑장,"꿈엔들캠핑장은 법흥계곡 상류, 아름다운 숲속의 넓은 대지 위에 있는 힐링 공간이다. 중앙고속도로 신림 IC에서 신림, 주천 방면으로 나와 호야지리박물관과 법흥계곡을 거치면 도착한다. 구봉산을 배경으로 탄탄한 평지 위에 오토캠핑장 45면, 글램핑 6면이 있다. 사이트 사이에 각종 수목을 심어 싱그러움을 더한다. 오토캠핑장과 글램핑장 모두 전기와 화로 사용이 가능하다. 글램핑 텐트 내부에는 취사도구, 식기류, 압력솥, 의자, 테이블이 있다. 개수대, 화장실, 샤워장은 어느 사이트에 있든 접근하기 쉬운 곳에 위치했다. 관리소를 겸한 매점에서는 주류를 비롯해 음료, 식품, 부탄가스 등을 판매한다. 텐트, 타프, 화로, 전기장판, 침낭 등 캠핑에 필요한 모든 물품을 대여하고 있어 캠핑 장비가 없는 이들도 문제없이 캠핑을 만끽할 수 있다. 365일 휴장없이 운영된다. 반려견도 입장 가능하다.",,http://www.campdream.co.kr/campdream.php,강원특별자치도 영월군 무릉도원면 무릉법흥로 968-12,"- 입실 13:00~22:00
- 퇴실 12:00",연중무휴,,,,,"- 데크사이트 45,000원
- 잔디밭·파쇄석 사이트 35,000원
- 캠핑하우스 140,000원
※자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명파해변오토캠핑장,"명파 해변 오토캠핑장은 동해안 최북단에 위치해 있는 명파해수욕장에 조성되어 있다. 해수욕장 주차장 앞쪽으로 관리사무소 1동, 야영 데크 21개면, 돔하우스 5동이 조성되어 있다. 그러나 이곳은 군 통제지역으로 철조망이 설치되어 있기 때문에 캠핑장에서 해변으로 바로 나갈 수는 없다. 군에서 개방하는 시간에만 해변을 이용할 수 있는데 여름철에는 오전 7시부터 늦은 밤까지 개방하고 있어 해변 이용에 큰 불편은 없다. 참고로 명파해변은 주변의 기암괴석과 500m 길이의 고운 백사장이 어우러져 가족단위 피서지로 각광을 받고 있다. 그러나 지리적인 특징 때문에 찾는 사람들이 적은 편이어서 한적하게 즐길 수 있다. 또한 해수욕장 옆에는 은어와 연어의 산란지로 유명한 명파천이 흐르고 있다.",,https://myeongpa.com,강원특별자치도 고성군 현내면 명파4길 47,"- 입실 14:00
- 퇴실 11:00",연중무휴,,,,,"[비수기]
- 월요일~목요일 40,000원~50,000원
- 금요일~일요일 50,000원~60,000원
[성수기] 60,000원~70,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한반도 솔숲 쉼터,"한반도 솔숲쉼터는 주천에서 영월가는 길. 미디어박물관을 지나 광전마을 안쪽 산에 있다. 심불사 이정표를 따라가다가 산 중턱 삼거리에서 왼쪽 능선으로 들어가면 된다. 영월 한반도면에 있는 이 캠핑장은 천혜의 자연환경 속에 조성된 캠핑장으로 펜션과 함께 운영중이다. 지역의 랜드마크인 한반도 지형수려한 산세를 즐기며 캠핑을 할 수 있다. 사이트가 많지 않지만 솔숲 사이사이에 자리잡은 데크 사이트가 매력적이다. 운동장, 수영장은 공용시설이며 산책로도 자유롭게 이용할 수 있다. 산나물 채취가 가능하고 프라이팬을 포함한 전기인덕션, 멀티탭을 관리사무실에서 대여해준다.",,https://www.ksolsup.com/,강원특별자치도 영월군 한반도면 서강로 1159-93,"- 입실 14:00
- 퇴실 12:00",연중무휴,,,,,"- 데크 50,000원~80,000원
- 솔숲펜션 200,000원~350,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국립화천숲속야영장,"화천숲속야영장은 산림청 1호 숲속야영장으로 산림의 원형을 최대한 보전하여 인공 침엽수림과 자연 활엽수림이 적절히 조화를 이루고 있어 숲속에서 야영하기에 좋은 조건을 이루고 있다. 야영사이트를 데크, 쇄석, 잔디블럭, 평떼 로 구성하여 자신의 입맛에 맞는 자리에서 야영이 가능하다. 야영장 내로 굽이 흐르는 계곡은 여름의 무더위를 날려 버리기 최적이며 적당히 걸을 수 있는 산책로, 완만한 임도길, 근처 오봉산 등산로 등이 있어 산을 즐기기에도 충분하다. 즐길만한 축제로 화천 산천어축제, 화천 쪽배축제, 화천 토마토축제가 있다.",,https://www.foresttrip.go.kr/,강원특별자치도 화천군 간동면 배후령길 1144,"- 입실 15:00
- 퇴실 11:00",매주 화요일,,,"정말 최고의 캠핑장 예약이 힘들어서 그렇지 진짜 산속에서 자연을 느끼고 싶다면 강추천 워낙 좋기로 유명한곳이라 예약하기 힘들었지만 다녀오니 왜 좋은지 알것 같아요 ㅎㅎ 시설도 관리가 잘 되어있고, 숲도 좋고~ 다음에 또 예약이 되면 재방문하고 싶은곳이에요~",,"- 성수기·주말 25,000원
- 비수기·평일 20,000원
※ 자세한 사항은 홈페이지 참조",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남강캠프,"최고의 수질을 자랑하는 영월 법흥계곡에 인접한 남강캠프는 아이들이 마음놓고 뛰어놀 수 있는 넓은 잔디밭이 있는 가족 캠핑장이다. 부대시설로는 수영장, 트램펄린, 영화관람실, 매점, 도서관이 있다. 주변 관광지로는 구봉대산, 백덕산, 법흥사, 사자산 등이 있다.",,http://cafe.naver.com/namgangcamp/,강원특별자치도 영월군 무릉도원면 무릉법흥로 1050-16,"- 입실 13:00
- 퇴실 12:00",연중무휴,,,,,"오토캠핑 60,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학마을캠프펜션,"철원 학마을 캠핑장으로 호수와 산으로 둘러싸여 자연 친화적인 캠핑장이다. 캠핑장과 호수 주변을 끼고도는 산책로는 지루할 틈이 없다. 주변 경관과 자연스럽게 어우러진 물놀이 수영장은 여름시즌에 오픈하는데 아이들이 물놀이하기 좋은 깊이로 설치되어 있어 자녀가 있는 가족단위로 방문하기 좋다. 부대시설로는 화장실, 샤워실, 개수대, 매점, 카페와 와이파이 사용이 가능하다. 펜션 이용 시 반려동물동반은 금지되어 있지만 캠핑존에서는 반려동물과 함께 캠핑을 즐길 수 있다.",,http://cafe.naver.com/hackcamp/,강원특별자치도 철원군 동송읍 도피동길 72-1,"- 입실 13:00
- 퇴실 12:00",연중무휴,,,,,"[캠핑존]
- 일반 파쇄석 사이트 40,000원
- 데크사이트 50,000원
- 저수지 사이트 45,000원
[펜션] 120,000원~200,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산여울캠프장,법흥계곡 최상류에 위치한 산여울캠핑장은 계곡을 따라 계곡사이트와 평지 사이트로 나눠져 있다. 법흥계곡 상류라 물이 깊지 않고 무척 깨끗하다. 나무들이 크고 숲을 이뤄 그늘이 좋고 숲 한가운데서 캠핑을 즐길 수 있다. 바비큐장과 매점이 있고 5㎏ 미만에 한해서 객실당 1~2마리까지 반려동물 출입이 가능하다.,,https://page.yapen.co.kr/27445,강원특별자치도 영월군 무릉도원면 백년계곡길 142,"- 입실 14:30
- 퇴실 11:00",연중무휴,,,,,"- 독채 100,000원~150,000원
- 단체룸 300,000원~350,000원
- 카라반 200,000원~220,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장호비치캠핑장,"장호비치캠핑장은 동해 장호해변 언덕에 위치해 있다. 컨테이너 하우스 4동과 카라반 9대, 오토캠핑장 17면, 일반야영장 17면으로 되어 있으며 어린이놀이터와 최신시설의 샤워장, 취사장, 매점 등의 부대시설을 갖춘 종합휴양 리조트다. 캠핑장 바로 앞은 해수욕장이고 어촌 체험 프로그램이 가능한 장호항과도 인접해 있다. 백사장이 깨끗한 장호해수욕장은 경사가 얕고 물이 맑아 어린이들이 놀기 좋고 해변 왼쪽으로 동해안 특유의 절벽과 바위가 어우러져 장관을 이룬다. 또한 일정 비용을 내면 장호항에서 카누와 스노클링과 같은 바다체험도 즐길 수 있다. 장호항 언덕에는 용화장호휴게공원을 오가는 해상 케이블카가 있다",,http://www.janghocamping.kr/,강원특별자치도 삼척시 근덕면 삼척로 2116,"- 입실 14:00
- 퇴실 11:00",연중무휴,,,바다 바로앞에 있어 뷰가 좋아요. 반려동물 동반가능해서 배변봉투와 목줄 준비해서 방문시 만족스럽게 쉬다올수있어요 걸어서 열발자국 바다!! 뷰가 좋아요. 해변보면서 힐링할 수 있어서 너무 좋았어요~,,"[성수기]
- 일반야영장 35,000원
- 오토캠핑장 40,000원
- 카라반 2인용 120,000원
- 카라반 4인용 160,000원
- 스파컨테이너 하우스 240,000원
[비수기 평일]
- 일반야영장 20,000원
- 오토캠핑장 25,000원
- 카라반 2인용 80,000원
- 카라반 4인용 100,000원
- 스파컨테이너 하우스 200,000원
※ 자세한 사항은 홈페이지 참조",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원주키즈캠핑장,"키즈 캠핑장은 원주시 신림면에 위치한 곳으로 수영장과 깡통 열차, 놀이터, 트램펄린, 미니 오락실, 미니카 레이싱존 등 아이들이 즐길 수 있는 공간들이 많이 마련되어 있다. 게다가 징검다리 건너기, 단어 찾기 미션, 신발 던지기 등 다양한 이벤트와 게임도 준비되어 있으며 부모님을 위한 농구 인증샷 이벤트도 진행하고 있다. 인기가 많은 수영장은 수질 관리를 위해 이용 시간이 정해져 있으며 깡통 열차 또한 운영요일과 시간이 정해져 있으므로 확인 후 이용하는 것이 좋다.",,http://cafe.naver.com/hdcscamp,강원특별자치도 원주시 신림면 솔치로 88,"- 입실 13:00
- 퇴실 12:00",연중무휴,,,,,"- 스카이워크존 90,000원
- 스카이워크존 세가족 255,000원
- 타프사이트존 85,000원
- 그날사이트존 85,000원
- 이지캠핑존 200,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소금강오토캠프장,"오대산국립공원 내 위치한 소금강자동차 야영장으로 맑은 소금강계곡에서 물놀이는 어른도 아이도 들뜨게 만든다. 국립공원 내 캠핑장이라 관리가 잘되어 있다. 자동차 야영지 105동, 카라반전용 야영지 9동, 카라반 4인용 12동, 하우스 15동이 있으며 야영지 주변에 나무들도 크게 자라 그늘이 좋다.",,https://reservation.knps.or.kr,강원특별자치도 강릉시 연곡면 소금강길 449,"[자동차야영장·야영지]
- 입실 14:00
- 퇴실 12:00
[카라반·하우스]
- 입실 15:00
- 퇴실 11:00",연중무휴,,,여기 지금 단풍 절정 시즌이에요~!! 사방으로 물들여진 단풍을 보실수 있을거에요^^* 캠핑장 관리도 잘 되어 있고 근처 식당들도 있어 백숙이나 파전에 막걸리 한잔도 굿이랍니다~!!,,"[주말·성수기]
- 자동차 야영지 19,000원
- 카라반 80,000원
- 캠핑용자동차전용야영지 33,000원
- 하우스 70,000원~75,000원
[평일]
- 자동차 야영지 15,000원
- 카라반 60,000원
- 캠핑용자동차전용야영지 26,000원
- 하우스 55,000원~60,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장터캠핑장,서울에서 40분이면 도착하는 수도권과 가까운 강원도 원주 장터캠핑장이다. 캠핑장 내에 작은 계곡이 있고 5분 거리 섬강의 큰 강이 흐르는 곳에 위치해 있어 여름 물놀이하기 좋다. 숲이 우거진 곳에 위치한 캠핑장이라 물놀이와 더불어 자연과 더불어 뛰어놀 수 있는 점이 장점이다. 정해진 구획 없이 원하는 위치에 텐트를 펴고 캠핑을 즐길 수 있다. 추어탕을 주메뉴로 하는 식당을 운영하고 있다.,,http://www.장터캠핑장.kr/,강원특별자치도 원주시 지정면 월송석화로 396-1,"- 입실 11:00
- 퇴실 11:00",연중무휴,,,겨울에한번가보고 싶네요,,"[비수기]
- 평일 50,000원
- 주말 60,000원
※ 자세한 사하은 홈페이지 참조",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼남매와뭉치네캠핑장,"메밀꽃의 고장 강원도 봉평에 위치한 오토캠핑장으로 일반 사이트, 글램핑, 가라 반으로 구성되어 있으며, 깔끔한 시설과 뛰어난 편리성이 돋보이는 곳이다. 사이트는 모두 강원도 맑은 강에 있는 강자 갈로 구성하였으며 사이트와의 간격을 충분히 두어 비교적 넓은 편이다. 텃밭에는 채소를 가꾸고 있으며, 캠핑장 이용객들에게 주말농장처럼 텃밭을 이용할 수 있도록 하고 있다. 또한 캠핑장 곳곳에 작은 도서관이 있어 캠핑장 내 벤치에 앉아 조용히 책을 읽을 수 있으며 캠핑장 위에 자작나무로 둘러 싸인 숲속 산책로도 있어 자작나무 냄새를 맡으며 산책하기 좋다. 캠핑장 주변의 여행지로는 허브나라와 흥정계곡, 휘닉스 파크 등이 있어 봄엔 꽃구경, 여름엔 물놀이, 겨울엔 스키를 즐길 수 있다.",,http://cafe.naver.com/sncamp/,강원특별자치도 평창군 봉평면 상포항길 91-10,"- 입실 14:00
- 퇴실 11:00",연중무휴,,,"캠핑장 시설도 맘에들고 ,주인장부부 아주 친절하시고요, 뭉치가 너무 이쁜데 캠퍼들한테 이것저것 얻어 먹어서 몸 상태가 많이 안좋을때가 많아서 좀 걱정은 되네요..ㅎ 한번 가보시면 좋다고 느끼실 거에요",,"- 오토캠핑 60,000원
- 카라반 110,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
