place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용가능시설,시설이용료,접근로,출입통로,review,체험가능 연령,화장실,입장료,장애인 주차 안내,엘리베이터,유모차,수유실,휠체어,지정현황,주차요금,이용요금,주요시설,대중 교통,지체장애 기타 상세,판매 품목,관람석,점자 홍보물,오디오 가이드,주차 요금,객실수,예약안내,예약안내 홈페이지,청각 장애 기타상세,시각장애 기타상세,개장기간,규모,이용 시기,수용인원,영업시간,대표메뉴,취급메뉴,대여안내,보유장비,부대시설,보조견 동반,점자 블록,안내 요원,코스안내,할인 정보,수화 안내,자막 비디오 가이드,입실시간,퇴실시간,객실내 취사 여부,바비큐장여부,세미나실 여부,객실유형,입점브랜드,식음료장,객실,유도안내 설비,영유아가족 기타상세,체험
영신공원,"인천 계양구에 있는 영신공원은 전주 이씨 영신군파 이이묘가 있어 유명하다. 효령대군의 손자인 이이가 나라에 공을 세워 영신군에 봉해졌고 여기에 그를 비롯한 가족들의 묘가 조성되어 있다. 지방문화재 기념물 제43호인 영신군 이이묘에는 해다마 음력 10월 8일 전국에서 후손들과 문화 관련 인사들이 참여하여 성대한 제례가 거행되는데 전통적인 의식으로 펼쳐져 볼거리를 제공한다. 영신공원은 소나무가 숲을 이루고 주변이 잘 조성되어 있어 근린공원으로서의 역할을 하고 있으며, 이이의 묘역에는 묘갈(죽은 이의 이름을 새긴 표지석)과 석물들이 배치되어 있어 조선시대 왕실제사나 문화연구에 귀중한 자료이다.",,,인천광역시 계양구 작전동 산2,상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갈현체육공원,"인천시 계양구 갈현동에 위치한 갈현체육공원은 인천시와 김포시의 경계에 위치하고 있다. 체육공원이란 이름에 걸맞게 다목적구장과 야구장이 조성되어 있으며 주민들이 체력단련을 할 수 있는 야외 운동기구들이 갖춰져 있다. 주차장에서 산책로를 따라가다 보면 공원에서 가장 높은 지대에 전망을 볼 수 있는 정자가 있어 계양산과 그 아래 하부도로까지 한눈에 볼 수 있으며, 계양산 해넘이와 경인아라뱃길의 경관까지 볼 수 있다. 정자를 지나 산책로를 걷다 보면 청동기 시대 집터와 통일신라시대의 돌방무덤과 토기가마, 조선시대 무덤 등 공원 조성 사업으로 발굴된 유적들도 들러볼 수 있다.",,https://www.gyeyang.go.kr/open_content/main/,인천광역시 계양구 황어로 66 (갈현동),상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동구 어린이 교통공원,"동구어린이교통공원은 아이들이 체험을 통해 교통질서와 문화, 안전수칙 등을 쉽게 배울 수 있도록 조성된 교육시설이다. 시설은 실내체험관과 실외 교통교육장으로 나뉘어 운영된다. 실내체험관에서는 횡단보도 건너기, 통학버스 체험, 자전거 및 킥보드 체험 등을 통해 다양한 안전사고 예방법을 배울 수 있으며, 관련된 3D 입체영상도 관람할 수 있다. 실외 교통교육장에는 실물과 동일하게 제작된 교통시설이 어린이의 눈높이에 맞춰 설치되어 있어, 보다 생생한 체험이 가능하다. 횡단보도와 자전거 트랙 등 실제 도로와 유사하게 조성된 체험 공간은 현장감 있는 교육환경을 제공한다. 이곳에서는 아이들이 횡단보도를 안전하게 건너는 방법, 교차로에서의 상황 대처 요령, 자전거 도로 이용법 등을 직접 체험하며 익힐 수 있다. 통행금지, 자전거 전용 도로, 교차로 등 다양한 교통안전표지판도 한눈에 보기 좋게 배치되어 있다. 또한, 모노레일을 타고 교통공원을 한 바퀴 둘러볼 수 있으며, 중간에 마련된 놀이터에서는 잠시 쉬어갈 수도 있다. 모든 교육 프로그램은 온라인 또는 전화 예약을 통해 운영된다.",,https://www.icdonggu.go.kr,인천광역시 동구 송림동 297-2,"[교통안전체험장]
- 10:00~12:00
- 14:00~15:00
[교통공원]
- 상시 개방",주말 / 법정공휴일,"가능
요금 (무료)",,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,교통안전교육 / 자전거교육
진흥종합시장,"진흥종합시장은 1979년에 개설된 상가건물형 시장으로, 현재 부평 최대의 도매시장이다. 2019년에는 전국우수시장박람회에서 중소벤처기업부 장관상을 수상하기도 했다. 시장은 가·나·다·라 총 4개의 동으로 구성되어 있으며, 이 중 건어물이 가장 유명하다. 그 외에도 수산물, 정육, 다양한 먹거리, 주방잡화, 생필품 등 다양한 품목을 판매하고 있다. 과거에는 도매 위주의 시장으로, 새벽에 문을 열어 대량 구매자들을 대상으로 운영되었으나, 코로나19 이후로는 도소매를 병행하는 점포들이 많아져 일반 소비자들도 쉽게 이용할 수 있게 되었다.",,,인천광역시 부평구 부흥로304번길 27 (부평동),※ 점포별 상이함,※ 점포별 상이함,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청라국제도시커낼웨이,"청라커낼웨이는 인천광역시 서구 청라국제도시 중심을 관통하는 수변공원과 이를 둘러싼 상업지구를 의미한다. 인천시설공단에서 명명한 공식 명칭은 ‘문화공원’이지만, 많은 사람들이 수로와 함께 걷는 길이라는 의미로 ‘커낼웨이(Canal Way)’라고 부른다. 커낼웨이는 좁은 의미로는 청라국제도시 1, 2, 3동에 각각 조성된 세 개의 공원 집합을 뜻하며, 넓은 의미로는 도시 중앙을 따라 층별로 구성된 야외 공간 전체를 포함한다. 초기 입주 시기에 조성된 가장 오래된 수변 거리인 ‘에메랄드존(녹청공원)’, 가장 번화한 지역인 ‘루비존(창해공원)’, 그리고 활발하게 개발 중인 ‘사파이어존(정서진공원)’으로 불리는 수변 공간들이 서로 연결되어 있다. 지하 1층은 도시를 동서로 가로지르는 산책로로 이어지며, 지상 1층은 건널목과 골목길을 통해 도시 외곽으로 확장된다. 커낼웨이는 상업지구이면서 동시에 주거단지와 업무지구가 혼합된 형태로 설계되어 있다. 구조적으로는 일본 오사카의 도톤보리를 연상시키며, 중앙 수로와 이를 둘러싼 상가, 그리고 층계 구조로 구분된 지상 스트리트몰이 차량과 보행자의 동선을 분리하여 독창적인 도시 공간을 구성하고 있다. 야간의 커낼웨이는 수로 곳곳에 설치된 조명, 아파트와 상가, 수변공원에 마련된 분수에서 뿜어져 나오는 빛이 어우러져 아름다운 장관을 연출한다.",,,인천광역시 서구 청라동,상시 개방,연중무휴,"가능
요금 (무료)",,,,,"인천하면 국제도시 청라국제도시커낼웨이 이국적인 도시로 여행간것 같아서 좋아요~ 연인끼리, 가족끼리, 애견동반등등 맛집도 많고, 산책도 즐기고, 사진도 찍고 인천에서 가볍게 가볼만한곳이에요~ 교통편이 조금만더 생긴다면 더 좋은듯해요~ 송도 다음으로 추천도시!",,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경인아라뱃길 매화동산,"인천 서구 시천동에 있는 매화동산은 매화나무가 가득한 공간으로 매화를 주제로 만들어진 정원이다. 40년 이상의 다양한 매화나무 종류가 있고, 전통 공간답게 소나무와 대나무도 자란다. 전통 양식의 담장, 정자, 항아리원등으로 정원이 꾸며져 있어 산책하기 좋다. 이곳은 검여 유희강 선생의 생가가 있던 마을로 경인 아라뱃길이 만들어지면서 그 역사의 흔적을 남기기 위해 만들어졌다고 한다. 검여 유희강 선생은 인천시 서구 시천동에서 태어난 서예가로 추사 김정희 이후 최고의 서예가로 꼽힌다. 길게 이어진 매화꽃 거리를 걷다 보면 불로문, 꽃마루 정자, 검여 유희강 선생의 생가 마을을 지나게 되며, 그가 직접 쓴 작품 시비도 볼 수 있다. 매화동산 후원의 옹기원에는 옹기종기 장독대가 조성돼 있는데, 매화 열매인 매실을 저장 관리하는 곳이다. 서울에서 1시간 남짓 검암역을 지나는 경인 아라뱃길을 따라 시천동에 다다를 수 있어 봄 정취를 만끽하기에 좋은 장소로 손꼽힌다.",,https://www.seo.incheon.kr,인천광역시 서구 시천동 59-1,상시 개방,연중무휴,"가능
요금 (무로)",,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경인아라뱃길 시천공원,"시천공원은 검암역 인근, 아라뱃길 건너편 시천교 북측에 위치한 공원으로 아라뱃길을 바라보며 휴식할 수 있는 곳이다. 아라뱃길 자전거길과 인접해 있어 많은 이들이 찾는 명소이며, 아라뱃길 수향 8경 중 제3경인 시천가람터와도 가까이 있다. 공원 전체는 고요한 분위기를 지니며, 아담한 산책로들이 곳곳에 조성되어 있다. 아라뱃길을 상징하는 배 모양의 놀이터가 있는 돛단배 녹지, 250년 된 보호수 산수유와 300년이 넘는 보호수 은행나무가 있는 노거수 길은 산책과 휴식에 안성맞춤이다. 이 외에도 아라뱃길과 시천공원을 한눈에 조망할 수 있는 전망대, 각종 행사가 펼쳐지는 문화광장, 여름철 더위를 식혀줄 바닥분수, 풍차, 카페 등 다양한 편의시설이 마련되어 있다. 자전거길을 따라 자전거를 대여해 아라뱃길의 아름다운 풍경을 감상하며 라이딩을 즐길 수도 있다.",,https://itour.incheon.go.kr/,인천광역시 서구 시천동 170-7,상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아라천환경놀이터,"경인아라뱃길 봉수마당 옆에 개장한 아라천 환경 놀이터는 어린이와 청소년들에게 지속이 가능한 지구를 위해 실천해야 할 생태환경 교육의 중요성을 알리기 위해 설립되었다. 환경놀이터는 자연 지형을 몸으로 익히고 놀이를 스스로 만들면서 다양한 신체 활동할 수 있는 모험놀이터와 동식물 관찰 등 생태적 감수성을 키울 수 있는 환경 놀이정원 등으로 구성되어 있다. 야외 강의실(놀이연구소)에서는 사계절 다양한 프로그램을 제공하고 복합적인 교육문화 활동이 이루어진다. 국립생물자원관, 드림파크 등 지역시설과 연계하여 높은 수준의 환경문화프로그램을 제공하여 생태환경 현장 체험 학습장으로 운영하고 있다.",,,인천광역시 서구 오류동 1607,상시 개방,연중무휴,"가능
요금 (무료)","놀이공간 (짚라인, 조합놀이터, 네트 모험 놀이대, 미니 오두막, 다년초 관찰원, 아라천 놀이 연구소) / 에어건 / 테이블 / 의자 등",,,,,,있음,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC큐브 커낼워크,"송도 NC큐브 커낼워크는 ‘수로를 끼고 걷는다’는 의미에서 이름 붙여진 유럽풍 프리미엄 아울렛 쇼핑몰로, 2013년 8월에 문을 열었다. 중앙의 인공 수로를 중심으로 양옆에는 12층의 상업시설과 35층의 오피스텔 및 주거시설이 함께 운영되고 있다. 수로를 따라 사계절을 주제로 한 ‘봄’, ‘여름’, ‘가을’, ‘겨울’ 네 개의 동에는 예쁜 카페와 다양한 테마의 상점들이 모여 있어, 각종 브랜드 제품 쇼핑은 물론 먹거리, 볼거리, 문화공연까지 즐길 수 있다.",,,인천광역시 연수구 아트센터대로 107 (송도동),10:30~22:00,연중무휴,"가능
요금 (무료)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥련국제사격장,"옥련국제사격장은 2014년 6월에 건립된 국제 공인 사격장으로, 같은 해 열린 인천 아시안게임의 경기장으로 사용되었다. 4층 규모의 건물로, 2층과 3층은 사격장, 4층은 결선 사격장과 연맹 관리사무실 등으로 운영되고 있다. 이곳은 대한체육회 사격연맹에 등록된 선수들의 훈련장으로 활용되며, ‘미추홀기’ 등 학생 사격대회가 개최되기도 한다. 등록된 선수만 출입이 가능하여 일반인의 출입은 제한되며, 지도자를 동반한 연습이나 훈련 목적에 한해서만 출입이 허용된다. 일반인은 경기가 있는 날에는 관중석에서 경기를 관람할 수 있으며, 경기가 없는 날에도 사격장 시설을 둘러볼 수 있다. 또한, 일반인을 위한 레이저 스크린 사격장과 휴게실이 마련되어 있다. 사격장 인근에는 문학산이 위치해 있어, 사격장 옆 공터에 주차한 후 등산을 즐기는 사람들도 많다.",,https://www.icsports.or.kr,인천광역시 연수구 독배로172번길 142 (옥련동),09:00~18:00,연중무휴,"가능
요금 (무료)",,,,,,,있음,,,,,,,,,※ 프로그램별 상이하므로 홈페이지 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송도랜드마크시티1호수변공원,"인천 송도 끝자락에 위치하고 있는 송도 랜드마크시티 1호 수변공원은 바닷가를 따라 산책로가 길게 이어져있어 롱비치파크라고도 불린다. 시원한 서해바다를 가로지르는 인천대교를 볼 수 있고 일몰시간에 만나는 아름다운 노을은 많은 사람들에게 명소로 유명하다. 바닷가 산책로를 따라가는 중간중간에 보이는 이국적인 조형물이나 벤치, 흔들의자, 쉼터 등은 산책하다 쉬어가기에 좋고, 트램펄린 등 아이들을 위한 시설물도 마련되어 있다. 산책길은 킥보드나 자전거를 탈 수 있게 넓고 반듯하게 조성되어 있으며, 전망대가 있어 서해바다와 인천대교를 바로 볼 수 있다.",,,인천광역시 연수구 송도동 308-2,상시 개방,연중무휴,"가능
요금 (무료)",,,,,"여름에 저녁에는 해가 져서 산책하기도 너무 좋고 아이들과 나와서 근처 편의점에서 한강라면처럼 라면도 끓어먹을수 있는곳이 있어요 그 옆에는 빵집이 있는데 빵도 맛있고 더위를 피해 나왔는데 아이들도 너무 좋아하고 바다와 대교가 보여서 너무 좋네요! 근처에 주차장도 있어서 멀리살아도 괜찮은거 같아요 공원에서 산책을 통해서, 마음의 평화도 챙길 수 있고 수변공원이라서 엽에서 바다도 볼 수 있어 좋았습니다. 송도는 서울에서도 가까운데(m버스타시면 금방입니다) 바다와 연이어있는 느낌이고 세련된 신도시라 즐길거리가 많더라구요 주말에 가족들하고 가서 맛있는 것도 드시거 쇼핑하시도 좋습니다 인천대교와 바다가 펼쳐져있는 모습이 한눈에 보이는 긴 공원입니다. 해질녘 일몰이 정말 이뻐요. 주말에는 산책과 데이트 하는 사람들로 북적여 흔들의자를 타려고 대기하기도 하더라구요 들어올 때는 물이 빠졌는데 서해안이라 두 시간 안에 물이 차네요 굿굿 근처에 사신다면 한 번 쭉 걷기는 좋아요! 해질녘이 예뻐요",,카페와 편의점 있는 건물 1층에 있음 (정면기준 좌측),,장애인 주차장 있음 (4대 주차가능),,,,,,,,,,,,,촉지도식 점자 안내판·지도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화개정원,"화개정원은 약 18만 본의 수목과 관목류, 초화류가 식재된 인천 최초의 지방정원으로, 2023년 4월 24일 등록되었다. ‘오랜 시간 켜켜이 쌓인 교동도의 역사와 자연을 담은 정원’을 컨셉으로, 물의 정원, 역사·문화의 정원, 추억의 정원, 평화의 정원, 치유의 정원 등 5가지 테마로 구성되어 다양한 자연의 아름다움을 선사한다. 정원 내 위치한 화개산 전망대는 전국 최대 규모의 스카이워크형 전망대로, 7km 떨어진 북한 황해도 연백평야와 강화군 다도해를 한눈에 조망할 수 있다. 특히 투명한 바닥의 스카이워크는 색다른 스릴과 함께 특별한 경관을 제공한다. 전망대는 강화군의 군조인 저어새를 형상화하여 디자인되었으며, 저어새의 부리와 눈이 북한을 바라보는 형태로 만들어져 ‘손에 닿을 듯 가깝지만 갈 수 없는 북녘을 향한 비상’이라는 상징적 의미를 담고 있다.",,https://hwagaejungwon.ganghwa.go.kr/,인천광역시 강화군 교동면 교동동로471번길 6-62,"- 평일 08:00~19:00 (입장마감 18:00)
- 주말 08:00~20:00 (입장마감 17:00)",연중무휴,"가능
요금 (무료)",화개산 전망대 / 화개정원 / 모노레일 등,"[화개정원]
- 일반 5,000원
- 어린이 및 청소년 (7세이상~18세이하) 3,000원
- 노인(65세이상) 3000원
- 강화군민 3,000원
- 유아(6세 이하) 무료
[모노레일]
- 일반왕복 13,000원
- 강화군민, 장애인 11,000원
- 소인(24개월~7세 이하) 11,000원",,,전국에서 손에 꼽을만큰 좋아요 화개정원 비오는 날 구경왔어요 이것저것 볼거리가 많습니다 맑은날이 궁금하네요~ 화개정원 전망대가 유명해서 꼭한 번 보고 싶었는데 정말 멋있네요. 햇살이 따갑긴 했지만 사진은 잘나와서 어디를 배경으로 찍어도 만족스러웠어요. 솥뚜껑 스팸프 찍어서 기념품 타는 것도 좋았어요. 모노레일을 타지 않고 정원구석구석 이쁘고 멋진 기암괴석을 보면서 전망대로 향하면서 솥 뚜껑 미션 수행 하는 즐거움도 있고 다음에 또 가더라도 모노레일 타지 말고 걸어 올라갑니다. 시아버님 생신에 가족들과 함께 강회 나들이를 갔어요. 화개정원 모노레일을 타고 싶었지만 대기시간이 너무 길어서 걸어서 갔네요. 모노레일 터는 것보다 걸어서 가는기 더 좋은거 같아요 예쁜 꽃들도 보고 즐거운 시간이였어요. 부모님도 좋아하셨어요. 산책하기 좋은곳 강화 교동을 한눈에 볼수있다 날은 좋은데 바람이 불어 살짝 추운 날에 다녀왔어요 제가 다리 다친지 얼마 되지 않아서 오래 걸을 수가 없어서 모노레일을 타고 전망대를 다녀왔는데 모노레일이 너무 비싸서 다음에 또 기회가 된다면 걸어서 전망대까지 올라가고 싶네요 전망대에서 바라본 경치는 멋있었어요 바람만 덜 불었다면 조금 더 만끽하고 왔을텐데 조금 아쉬웠답니다 그래도 한 번쯤 가볼만해요 ㅎㅎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,연산군 유배지 / 스탬프 투어길 / 야외 방탈출 게임 / 멍 때리기 존 등
현대요트 인천,"현대 앤 코스모스요팅 주식회사는 대한민국 최초 요트제조업체인 현대요트 주식회사와 그리스에 본부를 둔 글로벌 요트차터 회사인 COSMOS YACHTING社의 합작회사로, 인천 왕산마리나와 서울 한강에서 요트 차터에 대한 전문적이고 다양한 서비스를 제공하고 있다. 워크숍, 선셋요팅, 웨딩&프러포즈, 낚시투어, 요트파티 등 다양한 체험 프로그램이 준비되어 있으며, 2021년도 인천관광공사의 웰니스 관광지로 선정되어 국내 최초이자 유일한 해양치유 프로그램인 요트 니드라(이완명상)를 개발 및 운영하고 있다. 또한 2023년도 한국관광공사 웰니스 관광지로 추가 선정되어 지속적으로 웰니스 프로그램을 확대 개발하고 있다.",,www.hdcosmos.com,인천광역시 중구 을왕동 980-1,10:00~19:00,매주 월요일,가능 (200대 이상),,"[단테(카타마란 요트)]
- 일반 운항(타인과 동승) 60,000원(60분)
- 단독 운항 1,200,000원(1시간) / 2,000,000원(2시간)

[홀리데이(세일링 요트)]
- 일반 운항(타인과 동승) 40,000원(40분) / 60,000원(60분)
- 단독 운항 320,000원(40분) / 500,000원(1시간) / 850,000원(2시간)

[코스모스(세일링 요트)]
- 일반 운항(타인과 동승) 30,000원(40분) / 50,000원(60분)
- 단독 운항 240,000원(40분) / 400,000원(1시간) / 650,000원(2시간)",,,집에서 가깝고 요트도 탈 수 있고 시원해서 좋아요^^ 한번쯤 타보고 싶은 요트 물이 무서워 못가는 데 너무 멋진 풍경에 꼭 한번은 가보려고 계획을 세웠답니다. 더 늙기전에 다리에 힘이 없어지기전에 도전을 해봅니다 요트가 고급스럽고 풍경이 최고에요...또 가고싶다 아이들과의 잊지못할 추억을 만들고 싶다면 영종도 왕산마리나 현대요트를 추천드립니다. 서울에서 멀지도 않고 실미도와 무의도 그리고 낙조까지 커피할인권도 주고 최곱니다. 그리고 가까운 곳에 을왕리해수욕장도 있고 하늘공원가시면 원없이 비행기도 보실 수 있어요 요트 투어는 부산만 생각했는데 가까운곳에서 너무 좋네요^^ 요트타고 일몰과 함께 낭만즐기니 좋네요. 떠오르는 해보며 소원도 빌고 대박입니다. 인천에서 여러 해양스포츠를 경험할 수 있으니 참 좋아요. 바다에 비친 무지개색 빛깔이 노을과 함께 선사되면 참 멋지더라구요.가족과 함께 요트파티 즐기시는것도 나쁘지 않다고 생각합니다. 오랫동안 기억되는 추억이 될테니깐요.,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,3월 중순~11월 말,,,,,,,,,,,,,,,,,,,,,,,,,,요트 탑승
문학박태환수영장,"인천문학경기장에 있는 박태환 수영장은 시설이 좋기로 소문나 있으며, 이온분해 해수풀이어서 친환경적이다. 한국 수영의 수준을 한 단계 끌어올린 마린보이 박태환 선수의 이름을 따서 명명했다. 2014 인천아시안게임을 치루기 위해 건립했고 이듬해부터 일반인도 이용할 수 있게 됐다.
50m 길이의 풀이 10레인이고 스쿠버 다이빙을 즐길 수 있는 수심 5m의 다이빙 풀도 갖췄다. 다양한 수심과 레인구성으로 안전하게 수준별 수업이 가능하고 자체 체육관 운영으로 이론수업 및 다양한 활동이 가능하다. 개방형 구조로 되어있어 수영장 내부에서 참관이 가능하여 아이들 수업을 학부모가 지켜볼 수 있다.
자유수영, 수영강습, 헬스, 아쿠아로빅, 다이빙풀의 시설과 프로그램이 있다. 각기 다른 교육 대상에 특화된 전문 교수법을 적용하여 프로그램을 운영하기 때문에 자세한 사항은 홈페이지와 전화로 문의하면 된다. 강습은 월 단위로 접수 신청을 받으며 자유 수영은 한달 및 하루 단위로 이용할 수 있다.",,https://www.icsports.or.kr/fmcs/46,인천광역시 미추홀구 매소홀로 618 (문학동),"[수영장]
-평일
06:00~12:50/14:00~20:50
-토요일,일요일 및 공휴일
1부 09:00 ~ 12:50/2부 14:00 ~ 16:50
[다이빙풀]
-평일
1부 14:00~16:50/2부 18:00~20:50
-토요일,일요일 및 공휴일
1부 09:00~11:50/2부 14:00~16:50","신정, 설날 및 추석 연휴 휴장
매월 둘째, 넷째 일요일 휴장",가능,,,,,,"청소년, 성인",있음,,,,,,,,,"[수영강습]
56,000~72,000원(주 3회/1개월)
[아쿠아로빅]
62,000(주2회/1개월)
[다이빙풀]
9,000원(1인)
[헬스]
34,000~44,000(1개월)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하나개팜,"하나개팜은 하나개해수욕장 내에 위치한 카페농장이다. 카페가 통유리로 되어있는 유리온실이어서 사계절 내내 푸른 나무와 꽃을 감상할 수 있다. 1층에서는 커피나무 등 다양한 나무와 다육이 식물들을 보면서 음료를 마실 수 있다. 다육이 식물은 판매도 하고 있어 원하면 구입할 수 있다. 2층에서는 1층 식물들을 한눈에 볼 수도 있으며 넓게 펼쳐진 바다도 조망할 수 있다. 하나개해수욕장은 갯벌체험, 4륜바이크, 씨스카이월드 집라인 등의 액티비티를 즐길 수 있다.",,https://blog.naver.com/sj8874324,인천광역시 중구 하나개로 157,"- 평일 10:00~20:00
- 주말 09:00~20:00",연중무휴,"가능
요금 (무료)",,,,,실내온실 입장료에 음료수를 제공한다. 따뜻한 커피를 마시고 빨갛게 익어가는 커피콩도 구경하였다.,,있음,"6,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천공항전망대,"인천공항 제1여객터미널 근처의 오성산 등산로 입구에서 조금만 올라가면 인천공항 전망대가 위치하고있다. 2층으로 건립된 전망대는 1층은 내부에서, 2층은 외부에서 비행기가 다니는 활주로 뿐 아니라 제 1, 2 여객터미널, 탑승동까지 볼 수 있다.
1층에서는 항공기 이〮착륙을 실내 의자에 앉아서 조망할 수 있다. 대륙별 비행시간과 공항 조감도 등이 함께 비치되어 있다. 2층은 확트인 야외 공간에서 항공기들이 활주로를 타고 이〮착륙하는 모습을 좀 더 생생하게 볼수 있어 많은 이들이 찾는다.
인천공항과 인천공항전망대도 군사 시설이므로 사진 촬영 시 사전에 허락을 받아야 가능하다.",,https://www.airport.kr,인천광역시 중구 공항서로 279,10:00~17:30(동절기 17:00),매주 목요일/기상악화 시,가능,,,,,공항가실 때 시간 남으시면 한번 들려보세요! 조금 거리는 있지만 비행기 구경하기 좋아요!! 한번 다녀오세요 전망대까지 올라가는 길은 조금 가파른 편 이에요 걸어 가기도 괜찮지만 차로 가기에 더 좋아요 주차대수가 많지는 않으니 참고하세요! 탁트인 인천공항전망대 에서는 비행기 활주로가 한 눈에 다 보여서 아기랑 같이 가기에도 좋아요 실내는 조금 아담한 편 입니다 활주로도 다 볼수가있고 전망대가 넓어 좋은거 같아요~~가족들이랑 친구 연인들이 한번씩 가보면 더좋을꺼같아요 ㅎ,,시설내 있음,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한화기념관,"한화기념관은 한화그룹의 태동과 역사적인 의미를 기념하기 위해 ㈜한화 인천공장 부지에 2009년 개관했다. 1952년 창립 후 국가 근대화를 위한 화약산업 개척의 시발점이자 한화그룹 성장의 초석이 되었던 ㈜한화 인천공장은 대한민국 화약 발전사에서 큰 의의를 지닌 곳이다.
한화기념관에서 대한민국 산업 발전과 국민의 삶의 질 향상에 기여하며 글로벌 기업으로 성장해온 한화가 걸어온 도전의 발걸음과 앞으로 나아갈 길을 만나볼 수 있다.",,https://www.hanwhahistoricalmuseum.co.kr,인천광역시 남동구 논현고잔로168번길 45 한화기념관,10:00~17:00,토요일 / 일요일 / 공휴일 / 임시 휴관일 (사전 공지),"가능
요금 (무료)",,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천승마장,"인천대공원 정문 앞에 위치하고 있는 인천승마장은 2012년 10월에 설립하여 승마 보급화에 노력하고 있다. 승마는 자세 교정부터 근력 운동, 재활 치료뿐 아니라 집중력 훈련에도 도움이 된다고 알려져있다. 인천승마장에서는 어린이부터 학생, 성인까지 모두 다 승마를 배울 수 있으며 초급·고급레슨(장애물 점핑)및 장애인재활승마프로그램도 있어 맞춤 수업을 받을 수 있다. 안전 조끼, 헬멧, 장갑 등 승마 장비를 무료로 대여하고 있어 개인 승마 장비가 없어도 안전하게 승마를 즐길 수 있다. 인천학생 승마체험 지원사업에도 참여하고 있어 학생들이 무료로 승마 수업을 받을 수도 있다.
승마장에는 초보 기승자의 안전한 강습이 진행되는 원형마장, 날씨와 상관없이 말을 탈 수 있는 실내마장, 자유롭게 탈 수 있는 야외마장, 말들이 쉴 수 있는 마방, 그 밖에 휴식하며 음료도 마실 수 있는 카페 등이 있다.",,http://www.goodrider.kr,인천광역시 남동구 무네미로 219 인천승마장,08:00~18:00(점심시간 12~2시),매주 월요일,있음,,,,,,,,,,,,,,,,"[어린이] 주중 25,000원 / 주말 30,000원
[일반] 주중 25,000원 / 주말 30,000원
[고급] 주중 30,000원 / 주말 35,000원
※더 자세한 내용은 홈페이지 참고",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
