place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,접근로,출입통로,장애인 주차 안내,화장실,엘리베이터,오디오 가이드,review,이용요금,휠체어,수유실,관람석,판매 품목,지정현황,이용가능시설,점자 홍보물,이용 시기,유모차,체험가능 연령,시각장애 기타상세,지체장애 기타 상세,주요시설,시설이용료,대중 교통,개장기간,부대시설,주차요금,규모,주차 요금,수용인원,입점브랜드,유아용보조의자,보조견 동반,점자 블록,안내 요원,보유장비,유도안내 설비,코스안내,자막 비디오 가이드,할인 정보,강습안내,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,객실,매표소,대여안내,영유아가족 기타상세,체험
부산동명불원,"용당동 용비산에 자리 잡고 있는 동명불원(東明佛院)은 동명목재 회장 고 강석진씨가 국가번영과 부모의 왕생극락을 빌고 동명의 산업현장에서 일하는 동명 가족들의 행운을 위해 건립했다. 대부분의 우리나라 사찰이 한국 전통 양식인데 비해, 이 절은 동남아시아의 영향을 받아 용마루가 곧게 뻗어 있고 미얀마의 고탑에서 발굴된 부처님의 사리를 모셔 놓았으며, 이곳에 안치된 목조개금불상은 우리나라에서 제일 큰 불상이며, 범종 또한 한국 최대 규모로, 에밀레종보다 더 무겁다고 한다. 동명불종은 종두에 사룡이 새겨져 있는데 종래 볼 수 없었던 독특한 기법이다. 대웅전 내부에는 석가세존을 중심으로 우편에 미륵보살, 좌편에 제화 갈라보살 등 3본을 모셨다. 법당 가운데에는 기둥없는 특수 공법을 사용했고, 내부 천장의 중앙에 용머리를 조화시켰으며 양쪽 벽에는 비천상을 새겼다. 극락전, 나한전, 관음전이 갖추어져 있고, 칠성각, 산신각, 독성각은 2층으로 설계하고 2층에는 불교서적을 진열하고 있다.",,http://www.btbf.kr,부산광역시 남구 동명로 57 (용당동),상시 개방,연중무휴,가능,무료,경사로 설치됨,,,장애인용화장실 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가덕도,"가덕도는 보개산이 바다 가운데 침몰되었다가 다시 솟아서 이루어졌다는 전설이 있는 부산 최대의 섬이다. 섬에는 해안선을 따라 동북쪽으로 눌차, 동선 사이를 이어주는 주변 백사장과 바닷가의 경관을 볼 수 있다. 또한 동남쪽으로 대항 새바지의 넓은 자갈밭과 용두암을 시작으로 펼쳐지는 동백숲과 아동섬일대와 동두말, 가덕도 등대 주위의 깎아지른 듯한 기암괴석, 그리고 서남쪽으로 돌아 외양포 해수욕장, 두문의 길게 뻗은 솔섬, 천수말 코바위 등 가덕도는 해금강 절경을 방불케 한다. 가덕도는 역사의 섬이다. 선사시대부터 사람이 살기 시작하였고, 국토의 최남단에 위치하여 일본의 침략이 잦았던 곳으로 조선시대에는 군사기지와 곳곳에 성을 축조하였으며 병기를 만들던 곳집이 있었다고 한다. 일제강점기에 왜군이 외양포에 만든 군사기지와 인공동굴 등 아픈 역사의 현장을 남기고 있다.",,"강서구 문화관광 https://www.bsgangseo.go.kr/visit/
비짓부산 https://www.visitbusan.net/",부산광역시 강서구 서천로42번길 351 (천성동),상시 개방,연중무휴,"가능
요금 (무료)",무료,,,,,,,수국이 피는 계절이 되면 꼭 방문하는 가덕도입니다! 주차하기 편리하고 산책로가 잘 되어있어요. 선선한 날에 방문하여 기분좋게 꽃구경하고 갑니다. 잘 유지 되면 좋겠어요~ 언제와도 좋은 곳^^ 뷰도 좋고 카페도 좋아요 언제가도 좋은곳이예요 일몰이 끝내주고요 일본군 포진지도 보며 역사공부도하고 예쁜 수구정원도 있어요 해안따라 카페거리도 있고 거가대교가 보이는 바다뷰도 좋아요 가덕도에서 올해 처음 일출 구경했는데 좋았어요♡ 부산이 집이라 드라이브 겸 가덕도 회덮밥 맛집에 식사 하러 가끔 갑니더 차로 갈수 있어서 섬 같은 느낌은 덜하지만 도로 주변 경관은 절경아입니까 집에 돌아 올때 근처 용원어시장에서 싱싱한 수산물 싸게 장봐서 올수 있어서 더 좋습니더 가덕도. 집이랑 가까워서 자주 간답니다.^^ 가까운 지역에 멋진곳이 있었네요! 콧바람 쐬러 다녀와야겠어요ㅎㅎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월전포구(월전방파제),"월전포구는 부산 기장군에 위치한 아담한 항구이다. 포구 주변으로 작은 횟집들과 장어구이 집들이 몰려 있으며, 월전방파제에는 낚시를 즐기는 낚시꾼들이 새벽부터 자리를 잡고 있는 모습을 볼 수 있다. 월전방파제 끝에 세워진 월전등대는 2009년 9월부터 점등을 했으며, 다른 등대와는 달리 1, 2층이 전망대로 운영되어 전망을 둘러보기 좋은 곳이다.",,,부산광역시 기장군 기장읍 월전해안길 31,상시 개방,연중무휴,"가능
요금 (무료)",무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산타워,"부산타워는 부산 원도심 용두산공원에 있는 120m 높이의 전망대이다. 전망대에서는 부산항과 광안대교, 남포동 일대의 전경을 한눈에 감상할 수 있다. 특히 야경이 아름다워 관광객들에게 인기 있는 장소로 손꼽힌다. 타워 내부에는 다양한 전시와 문화 행사가 열리는 공간이 마련되어 있어, 방문객들에게 다양한 문화 체험을 제공한다. 타워 상층에는 전망대가 하층에는 하늘을 나는 잠수함 컨셉으로 다양한 놀이 시설들이 있으며, 내려오면 화려한 포토존과 부산을 상징하는 대표 여행지를 컬러로 꾸민 방도 있다. 또한, 타워 주변에는 다양한 먹자골목과 박물관이 있어 함께 둘러보기에도 좋다.",,https://www.bisco.or.kr/,부산광역시 중구 용두산길 37-30 (광복동2가),10:00~22:00 (입장 마감 21:30),연중무휴,가능,"- 대인 12,000원
- 소인, 경로 9,000원",경사로 있음,,전용 주차 구역 있음_무장애 편의시설,장애인 화장실 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공수어촌체험마을,"부산 기장군 공수어촌체험마을은 맑고 푸른 동해와 접하고 있어 수려한 해안절경과 천혜의 자연경관으로 도시민의 휴양지로 각광을 받고 있어 관광개발의 잠재력이 풍부하며, 부산의 외곽지역으로 해운대 및 송정해수욕장과 연계되어 있으며 동해 남부선 철도와 국도 14호선이 기장군의 중심부를 관통하여 교통이 매우 편리한 여건을 가지고 있다. 공수란 마을명은 이 마을에 공수전(公須田)이 있는 데에서 유래되었다. 공수전은 고려 시대 때 관청의 영선비, 출장 중인 관리의 숙박이나 접대비 등을 충당하기 위하여 마련해 놓은 밭을 말한다. 이곳은 공수전에 있었기 때문에 공수라는 이름이 되었다. 조선조 광해군 시대는 기장군 남면 공수어촌체험마을이었으나 1914년 기장군이 동래군에 병합되면서 기장면 시랑리 공수어촌체험마을로 되었다.",,http://www.공수어촌체험마을.kr/,부산광역시 기장군 기장읍 공수해안길 13-2,,연중무휴,가능,무료,,,,있음,,,꼭가보고싶네요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,후릿그물체험 / 조간대 체험 / 씨글라스 석고방향제 만들기 / 해조류 말리기
국청사(부산),"국청사는 신라시대 의상대사(625~702)가 창건한 고찰로, 조선 숙종 29년 금정산성 축조와 함께 중수하여 이름을 국청사라 칭하고 순조 26년의 중건을 거쳐 오늘에 이르고 있다. 국청사지(國淸寺誌)에 [국청사에는 동래 부사 송상현, 부산진 첨사 정발, 다대포진 첨사 윤흥신 등과 함께 승장 만홍, 정안, 성관, 관찰 등 수백 명의 신위를 모시고 제사를 받들고 있다.]라는 기록이 있음을 비추어 볼 때 임진왜란 때 이미 의승군의 숙영지로 사용되었을 가능성이 크다.
1703년(숙종 29) 금정산성이 개축되면서 국청사와 해월사(海月寺)를 지었다. [청정한 마음으로 국난을 극복하는 데 앞장서며, 외적의 더러운 짓밟힘을 막고 깨끗하게 국토를 수호한다.]는 의미로 국청사라 이름하였다. 국청사는 최근 들어 중창을 거듭하였다. 1978년 삼성각을 지었고, 1982년 승려 창봉과 혜성이 경내에 있는 연못 중앙에 3층 석탑을 조성하였다. 1992년 대웅전을 지었고, 1998년 요사를 지었으며, 2010년 일주문을 건립하였다.
국청사에는 조선 시대 승병장이 사용하던 [금정산성 승장인]이라는 철제 도장이 보관되어 있었다. 이 자료를 통해 승군 작대의 중심지였음을 알 수 있다. 국청사와 해월사 모두 산성을 방어했던 호국 사찰로, 국청사에는 산성을 지키는 승병장이 거주하여 전략 기지의 역할을 한 의승군의 사령부가 있었던 것으로 보인다.",,https://www.geumjeong.go.kr/,부산광역시 금정구 북문로 42,,연중무휴,가능,,,,,있음(남/여 구분),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대저생태공원,"대저생태공원은 낙동강 우안 대저수문에서부터 김해공항램프까지의 둔치지역으로, 구포대교부터 아래로 낙동강하류 철새도래지에 속하는 지역이다. 신덕습지를 비롯한 크고 작은 습지와 수로, 초지, 유채꽃단지, 각종 체육시설이 조성되어 있어 여가와 휴식을 즐길 수 있는 곳이다. 공원의 양쪽 끝에 체육시설과 이용편의시설을 배치하고 그 외 지역은 습지와 초지 등으로 조성하였다. 특히 구포대교 아래쪽으로 조성된 유채경관단지에서 매년 4월 개최되는 유채꽃 축제에는 수많은 관광객들이 방문하는 새로운 명소로 자리 잡고 있다.",,부산광역시 낙동강관리본부 https://www.busan.go.kr/nakdong/,부산광역시 강서구 공항로 1246 (대저1동),상시 개방,연중무휴,가능,무료,출입구까지 평지로 되어 있으나 흙구간 있음,,"장애인 주차장 있음(1주차장 5대,2주차장 5대,3주차장 5대,4주차장 5대,5주차장 5대)_무장애 편의시설",,,,,,,,,,,,,,,,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,
아홉산숲,"부산 기장 철마면 아홉산 자락에 위치한 숲으로, 훼손되지 않은 자연환경과 생태를 만날 수 있는 곳이다. 대나무숲, 편백나무 숲, 삼나무, 은행나무 등의 인공림과 수령 100~300년 되는 금강송 등을 포함한 천연림이 아홉산숲을 구성한다. 총면적이 무려 52만 ㎡에 이르며, 약 400년의 세월을 지켜온 사유림으로, 자연보호를 위하여 사전 예약된 제한된 인원만이 출입이 가능하다. 놀이공원이나 유원지와 다르게 자연을 훼손하지 않는 선에서만 관람이 가능하지만, 아이들을 위한 숲 속 체험 및 놀이 프로그램도 마련되어 있으며, 숲 해설을 들을 수도 있다.",,http://www.ahopsan.com/,부산광역시 기장군 철마면 미동길 37-1,"09:00~18:00 (입장마감 17:00)
※ 사전 예약 필수",연중무휴,"가능
요금 (무료)","- 일반 8,000원
- 경로, 단체 7,000원
- 청소년, 어린이 5,000원
※ 이용요금은 변동될 수 있으므로 전화문의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,생태문화숲체험
이중섭거리,"이중섭거리는 부산 동구 범일동에 위치한 곳이다. 이중섭은 대한민국의 대표적인 화가로 한국전쟁 시절 피란민촌인 범일동에서 머물렀다고 한다. 이중섭거리에는 이중섭 갤러리, 이중섭 계단, 이중섭 전망대를 구경할 수 있는데 전망대에서는 범일동의 풍경을 훤히 내려다볼 수 있다. 또한 거리를 거닐다 보면 이중섭 화가의 작품들과 다양한 포토존을 볼 수 있다. 거리의 미술관이라고 불리는 이중섭거리에서 작품을 감상하며 추억을 남기는 여행을 즐길 수 있다.",,https://www.bsdonggu.go.kr/tour/,부산광역시 동구 범일1동 1422-82,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광안리 SUP Zone,"광안리 SUP Zone은 부산 수영구 광안리해수욕장에 위치한 스탠드업 패들보드(SUP) 전문 체험 공간이다. 이곳은 바다 위에서 패들보드를 즐길 수 있는 최적의 장소로, 맑고 푸른 바다와 광안대교의 아름다운 풍경을 배경으로 수상 스포츠를 경험할 수 있다. 초보자부터 전문가까지 다양한 수준의 이용자가 안전하게 즐길 수 있도록 전문 강사와 장비를 제공한다. 또한, SUP 외에도 카약, 윈드서핑 등 다양한 해양 스포츠를 체험할 수 있어 여름철 인기 있는 명소로 자리 잡고 있다. 광안리 SUP Zone은 바다와 함께하는 새로운 경험을 원하는 사람들에게 최적의 장소이다.",,https://www.gwangallisuprise.kr/,부산광역시 수영구 남천동,상시 개방,,"가능
요금 (무료)","무료
※ 체험 비용은 전화문의",,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUP 요가
해운대리버크루즈,"해운대리버크루즈는 부산 해운대구 마린시티에 위치한 도심형 유람선 관광 명소이다. APEC 나루공원을 출발하여 마린시티, 광안대교를 볼 수 있는 코스로 강과 바다를 모두 볼 수 있는 부산 최초의 도심형 유람선. 데이 크루즈, 나이트 크루즈 및 디너 크루즈로 정규 운항이 편성되어 있어 수영강과 해운대, 광안리 바다의 낮과 밤을 한 번에 즐길 수 있다. 크루즈는 낮과 밤에 따라 다양한 테마와 코스로 운영되며, 특히 저녁에는 야경과 함께 낭만적인 분위기를 만끽할 수 있다. 가족 단위 관광객부터 연인, 단체까지 다양한 고객층을 수용할 수 있는 다양한 프로그램을 마련하고 있다.",,http://www.haeundaerivercruise.com/,부산광역시 해운대구 수영강변대로 85 (우동),09:00~22:00,연중무휴,가능,"[일요일~금요일]
- 대인 14,000원
- 소인 7,000원
[일요일~금요일 야간]
- 대인 20,000원
- 소인 10,000원
[토요일/공휴일]
- 대인 14,000원
- 소인 7,000원
[토요일/공휴일 야간]
- 대인 24,000원
- 소인 12,000원
※ 자세한 사항은 전화문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산 복천동 고분군,"부산 복천동 일대의 구릉 위에 있는 가야 때 무덤들이다. 여러 차례에 걸친 발굴 조사로 40여 기의 무덤이 확인되었으나, 대부분의 무덤은 아직도 땅 밑에 남아있다. 무덤의 형태는 땅을 파서 넓은 방을 만들고 나무관을 넣은 덧널무덤, 땅 속에 네모난 돌로 벽을 쌓고 천장을 덮어 만든 구덩이식 돌방무덤, 땅 속에 시체를 바로 묻는 널무덤을 비롯해 여러 가지 형식의 무덤들이 있다. 구릉의 원래 이름을 따서 학소대(鶴巢臺) 고분군이라고도 한다. 동아대학에 의해 10여 기가 최초로 발굴된 이래, 부산 대학이 1974년 구릉 동쪽 사면에 있는 3기의 고분을 발굴하였다. 이후 부산대학박물관과 부산시립박물관에 의해 100여 기가 넘는 고분군이 발굴조사되었다. 이 무덤들에는 도굴되지 않은 큰 무덤이 많아 다양한 유물이 출토되었다. 굽다리접시, 목항아리, 토제등잔을 비롯한 토기류는 낙동강 하류지역의 특징적인 토기들이다. 철제 갑옷·투구류도 다양하게 출토되었다.",,https://museum.busan.go.kr/bokcheon,부산광역시 동래구 복천로 66,09:00~18:00,매주 월요일,가능,무료,출입구까지 경사로가 설치되어 있음,주출입구는 경사로 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,장애인 전용 화장실 있음,엘리베이터 있음,,,,,,,,사적 부산 복천동 고분군 (1981.06.09 지정),,,,대여가능(복천동고분박물관 내에서 사용),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금강사(부산),"금강사는 대승불교의 금강반야 정신을 실천 수행하는 사찰로, 1951년 월명법사가 창건했다. 그 후 일붕 경보대종사께서 이곳에서 안거했으며 역경, 포교, 도제, 국제불교포교, 교육도량, 전법의 초지 가람이었다.
1964년부터 개산 혜성선사가 금강사에서 도량을 승계하고 중흥불사를 계속하여 국제 불교포교의 근본도량으로 세계속에 알려진 사찰이 되었다. 금강사는 금정산 남쪽 기슭 명당에 자리했으며 많은 고승들이 은거 수행하여 온 비산비야의 수행처이기도 하다. 금강사는 주변 환경이 아름답기로 유명하다. 일주문을 들어서면 노송들이 자욱하고 솔밭향기로 가득하며, 대중문화가 함께하고 있는 차밭골 문화가 있어 시민들이 차 한잔을 하면서 쉬어 갈 수 있는 운치 있는 사찰이다.",,http://www.kumkangsa.or.kr/,부산광역시 동래구 우장춘로 211 (온천동),매일 10:00~17:00,연중무휴,,무료,,,,,,,,,,,,,,,,,,20세~60세,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"차만들기
- 운영 및 소요시간 : 토, 일요일 10시~17시
- 금강사 종무소(051-555-1383)"
온정개건비,"온정개건비는 온정(온천)을 대대적으로 고쳐 쌓은 동래부사 강필리의 공로를 기리기 위해 1766년(영조 42)에 세운 비석으로 비문은 송광적이 썼다. 화강암으로 만들어진 비는 높이 144㎝, 폭 61㎝이며, 머릿돌을 따로 두지 않고 몸돌과 받침돌로 구성되어 있고 비석 앞에 돌로 만든 욕조가 남아있다.
동래온천에 대한 최초의 기록은 『삼국유사』에 등장하며 신라의 재상 충원공이 이곳에서 목욕을 하고 돌아갔다고 전해진다. 『신증동국여지승람』에는 온천의 물이 계란을 익힐 만큼 뜨거웠으며, 병자가 목욕을 하면 잘 나아 신라의 왕이 여러 번 찾았다는 기록이 있다. 비문에 따르면 1691년(숙종 17) 돌로 두 개 탕을 만들었고, 이후 건물이 낡아 탕이 막힌 것을 동래부사 강필리가 다시 고쳐 짓고, 남탕과 여탕을 구분한 9칸짜리 건물을 지었는데, 그 모습이 상쾌하고 화려하여 마치 꿩이 나는 것과 같다고 적혀 있다.
현재 비석이 있는 자리는 1960년대까지 부산시에서 온천수를 뽑아 올리던 곳으로, 용왕신을 모시, 매년 음력 9월 9일 제사를 지내는 용각이 함께 남아있다.",,"동래구 문화관광 https://www.dongnae.go.kr
국가유산청 https://www.heritage.go.kr",부산광역시 동래구 금강로124번길 23-17 (온천동),"- 하절기(4월~9월) 09:00~18:00
- 동절기(10월~3월) 09:00~17:00","매주 월요일 (단, 월요일이 공휴일 경우 그 다음날) / 1월 1일 / 설·추석 연휴",불가능,무료,,,,없음,,,,,,,,,부산광역시 기념물 온정개건비 (1972.06.26. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금강식물원,"우리나라 최초의 민간인이 운영하는 식물원으로서, 부산 시민에게 휴식처를 제공하기 위하여 조성한 종합 식물원이다. 식물의 종류는 약 2,300여 종으로 열대식물 560여 종 중에서 야자류 20여 종과 선인장 등의 다육식물 540여 종이 식생하고 있다. 또한, 식물원 안에는 아름다운 식물이 경관을 이루고 있으며, 자연석을 이용한 여러 가지 작품과 휴식시설이 갖추어져 있어 도시민의 정서적인 휴양지로 사용될 뿐만 아니라 식물학 연구와 교육장으로 활용되고 있다. 금강식물원에는 인공폭포 및 자연석과 조경작품이 있으며, 관람 온실이 있어 다양한 식물과 함께 멋진 정취를 느낄 수 있다. 함께 있는 금강공원에는 케이블카를 운행하며, 동래야류, 동래학춤을 계승하고 보존하는 부산민속예술관, 우리나라 최초의 해양자연사 전문 박물관인 부산해양자연사박물관 등 관광하기 좋은 명소가 함께 있다.",,https://www.bisco.or.kr/geumgangpark/,부산광역시 금정구 장전동 산 43-1,08:00~17:00 (입장 마감 16:30),"매주 월요일 (단, 월요일이 공휴일일 경우 그 다음날)",가능,"- 대인 1,000원
- 소인 500원",,,,있음,,,사계절의 정취를 물신 느낄수 있는 곳입니다. 여러식물들이 많아 자녀들 학습에도 좋고 데이트 장소로도 빠질 수 없는곳 입니다! 갑갑한 도시속의 숨이 탁 트이는 금강식물원이 최곱니다 부산 여행갈때 빼놓지말고 가봐야겠어요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송도용궁구름다리,"송도 용궁 구름다리는 2002년 태풍 셀마로 인해 철거된 송도해수욕장의 동쪽 송림공원에서 거북섬을 연결했었던 송도구름다리를 18년 만에 다시 재건축한 것이다. 암남공원에서 바다 건너 작은 무인도인 동섬 상부를 연결하는 구름다리로 바다 위를 걷는 짜릿함과 시원스럽게 펼쳐지는 바다 풍광, 기암절벽이 빚어내는 천혜의 경관을 감상할 수 있으며, 야간경관조명이 설치돼 밤에는 바다에 떠있는 신기루와 같은 환상적인 분위기를 연출해 관광도시 부산 서구의 새로운 랜드마크로 자리매김하고 있다.",,https://www.bsseogu.go.kr/tour,부산광역시 서구 암남동 620-53 암남공원 안,"[하절기(3월~9월)] 09:00~18:00
[동절기(10월~2월)] 09:00~17:00","매월 첫째, 셋째 월요일 (단, 월요일이 공휴일인 경우 그 다음날 휴장) / 설·추석 당일",가능,"- 일반 1,000원
- 단체(10인 이상) 800원
※ 자세한 사항은 전화문의 요망",,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KT&G 상상마당 부산,"KT&G 상상마당 부산은 서면역 인근에 위치한 복합문화공간으로 지하 5층부터 지상 13층까지 연 면적 약 2만㎡로, 기존의 상상마당 중 가장 큰 규모이다. 1층~5층까지는 ‘PLAY’를 주제로 카페, 디자인매장, 공연장, 갤러리가 배치되어 있고, 5층과 6층에는 ‘CO-WORK’를 콘셉트로 1인 크리에이터를 위한 창작공간과 부산 지역 스타트업을 위한 창업지원 공간이 마련되어 있다. 7층~13층까지는 ‘REFRESH’ 공간으로 숙박시설, F&B, CGV 영화관, 루프탑 등이 자리해 방문객 모두가 문화와 휴식을 즐길 수 있는 곳이다. 또한 2024년 1월 지하 1층에 춤과 음악, 그리고 개인 콘텐츠 제작자를 위한 다목적 댄스 스튜디오를 개관하여 예술 지원 분야를 넓혀가고 있다.",,https://www.sangsangmadang.com/main/BS,부산광역시 부산진구 서면로 39,상시 개방,연중무휴,"가능
요금 (30분 당 2,000원)",,,,,,,,,,,,,,,,,,,,,,,※ 시설별 상이하므로 홈페이지 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백양산 웰빙숲,"부산 북구 백양산에 위치한 백양산 웰빙숲은 운수천 주변 환경을 개선하여 시민들의 휴식공간으로 재탄생된 곳으로, 자연과 사람이 공존하는 곳이다. 편백림 태교 명상숲, 숲 속 테마 놀이터, 데크 쉼터, 계곡 전망대, 운수천 체험숲길, 가족이야기 숲 등 다양한 시설은 지친 몸과 마음을 휴식하기에 좋다. 피톤치드를 느끼며 데크길을 따라 산책하기에도 좋으며, 숲 속 테마 놀이터에서 아이들과 함께 시간을 보내기에도 좋은 휴식 공간이다.",,https://www.sasang.go.kr/tour/index.sasang,부산광역시 사상구 모라동 산110-1,상시 개방,연중무휴,"가능
요금 (무료)",무료,,,,,,,가는길이 험해서 차량으로 이동해야 하지만 힐링 되고 좋아요 알록달록 백양산 웰빙숲에서 웰빙도 즐기고 대화하고 숲체험하기 좋았어요! 웰빙숲 속 계곡도 있어서 가족들과 함께 하기 좋고 아이들이 좋아할만한 숲 놀이터도 있고 피톤치드 향도 느낄수 있어서 힐링하기 너무 좋은 곳입니다. 백양산웰빙숲 아이와 한번씩가는곳이에요ㅎ 숲놀이터라고 생각하심 될것 같네요ㅎ 계곡도 흐르고 가볍게 물장구도 칠수있고 놀이터도 있고 휴양할수 있는공간들도 있어서 가볍게 도시락싸서 오심 좋아요^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
승학산,"승학산은 구덕산과 시약산의 서쪽으로 당리동의 뒷산이다. 승학산의 정상으로 사하구와 사상구가 나누어진다. 승학산은 고려 말의 무학대사가 전국을 두루 돌아다니며 산세를 살폈는데 이곳에 오니 산세가 준엄하고 기세가 높아 마치 학이 나는 듯하다 하여 승학산이라는 이름을 붙였다는 전설이 있으며, 이곳 정상의 억새풀은 아름답기로 유명하여 가을철 산행의 백미로 등산객의 발길이 잦은 곳이다. 승학산의 주요 볼거리는 억새군락지, 제석골 산림공원, 편백나무림, 삼나무 명상치유의 숲, 기상관측소, 체육시설, 전망데크, 무대시설, 임도 등이 있다. 승학산 등산 코스는 다양하나, 동아대학교 뒤에서 출발하여 승학산 정상을 거쳐 서대신동 꽃마을에서 수정산으로 이르는 등산 코스는 부산 시내를 한눈에 내려다볼 수 있는 좋은 등산 코스이다.",,https://www.saha.go.kr/tour/,부산광역시 사하구 하단동,상시 개방,연중무휴,불가능,무료,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
땅뫼산,"땅뫼산 둘레길은 황토숲길로 조성되어 있으며, 맨발로 걸을 수 있도록 발 씻는 곳을 마련해 두고 있다. 황토숲길은 1.7km에 걸쳐 조성되어 있어서 여유롭게 걷는다면 약 30분이면 완주할 수 있는 길이다. 빽빽한 편백림을 가로지르며 맨발에 닿는 황토의 차가운 감촉을 즐길 수 있는 황토숲길에는 숲 속 오솔길과 나무데크 산책로를 한참 걸어가면 호수 습지에서 자생하는 나무들을 만날 수 있다. 땅뫼산생태숲은 회동수원지를 곁에 두고 걷는 길로 수려한 자연경관이 곳곳에 이어지는 아름다운 산책로이다. 맨발로 황토숲길을 걸으면 발바닥이 자극되어 혈액순환 개선, 소화 기능 개선, 기억력 증진, 불면증 예방 등 다양한 효과가 있다고 전해진다.",,비짓부산 https://www.visitbusan.net/,부산광역시 금정구 오륜대로 260-1 (오륜동),상시 개방,연중무휴,"가능
요금 (무료)",무료,,,,,,,맨발걷기 열풍 전부터 황토길이 유명하던 땅뫼산! 겨울에도 저수지 보면서 걷기 좋아요 친구들과 야행가고 싶어져요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우암동 도시숲,"우암동 도시숲에서 내려다보는 전경은 동항성당의 예수상을 배경으로 브라질 리우데자네이루 예수상처럼 보이는 게 아주 이국적이다. 또한 도시숲에서 보는 야경은 영도바다와 부산항대교가 한눈에 보이며, 보름달 설치물을 배경으로 야경사진을 찍으면 아름다운 실루엣 사진을 찍을 수 있고 달과 함께 찍힌 부산이 아주 매력적인 곳이다. 규모는 작지만 초록의 숲이 싱그러운 공원을 만들어 주고나무데크 산책로를 따라 울창한 숲길을 내려오면 만나게 되는 소박한 골목길 끝에 또 다른 포토존이 있다.",,비짓부산 https://www.visitbusan.net,부산광역시 남구 우암동 127-142,상시 개방,연중무휴,불가능,무료,,,,,,,"사진첩 정리하다가 발견하게된 도시숲에서 찍은 사진이에요! 거짓말 아니구 지인이 외국이냐고 물어볼 정도로 야경이 진짜 끝내줍니다. 부산여행에서 제일 기억에 많이 남았던 곳이고, 사람들이 많이 없어서 더 좋았습니다. 다녀온지 오래되서 다리이름이 기억이 잘안나는데, 꼭 불켜질때 보러 가시면 이 행복하고 아름다운 야경을 감상하실 수 있습니다. 부산살았던 친구와 여행갔었는데 그친구도 여긴 안와봤다고 ...
더보기 야경이 너무 이쁘네요~ 우와 비대면 여행지라니 여기 가보고 싶네요 ㅎㅎ 야경이 예뻐요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
