place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,주차 요금,이용요금,화장실,review,입장료,판매 품목,접근로,출입통로,장애인 주차 안내,규모,엘리베이터,수유실,지체장애 기타 상세,유모차,오디오 가이드,체험가능 연령,주요시설,점자 홍보물,관람석,시설이용료,휠체어,객실,대중 교통,수용인원,이용가능시설,청각 장애 기타상세,부대시설,시각장애 기타상세,할인 정보,지정현황,주차요금,점자 블록,보조견 동반,입점브랜드,매표소,안내 요원,코스안내,유도안내 설비,영유아가족 기타상세,체험
대전드림아레나,"대전드림아레나는 게임특별시 대전' 'e스포츠 메카 대전'의 새 미래를 여는 공간인 중부권 최고의 e스포츠 경기장이다. 주 경기장에 500석의 좌석이 있고 어떤 자리에서도 4개의 대형 스크린을 통해 장애물 없이 편안하게 경기를 관람할 수 있고 보조경기장, 부조정실, 선수대기실 등 다양한 시설을 갖춰 최적의 상황에서 e스포츠를 즐길 수 있다. e-Sports 대회는 물론 공연, 이벤트, 아카데미 등 누구나 찾아와 즐길 수 있는 복합문화공간으로서의 시설을 갖추고 있다.",,https://dje.dicia.or.kr,대전광역시 유성구 대덕대로 480 (도룡동) 도룡동 3-1,09:00~18:00,연중무휴,"가능
요금 (무료)",,※ 이용별 상이하므로 홈페이지 참고,있음,,,,,,,,,,,,,,경기장 / 보조경기장 / 부조정실 등,,,,,,,,,,,,,,,,,,,,,,,
초지공원 (대별수변공원),"초지공원은 대전 도심 속 피크닉과 바비큐가 가능한 공원이다. 공원 내에 가족 피크닉장이 있는데 이곳에서 야외 바비큐를 즐길 수 있다. 그리고 아이들이 놀 수 있는 숲 속 놀이터가 마련되어 있고 여름철에는 물놀이도 가능하여 나들이 장소로 안성맞춤인 곳이다. 가족피크닉장의 공간은 테이블마다 파라솔이 설치되어 있고 의자와 테이블은 데크로 깔끔하게 조성되어 있다. 취사행위는 가족피크닉장에서만 가능한 점을 유의해야 한다. 초지공원은 운동할 수 있는 기구도 다양하게 마련되어 있고, 걷기 편한 산책로와 등산로가 조성되어 있어 많은 대전 시민들이 방문을 하는 공원이다.",,,대전광역시 동구 대전로 97 (대별동),상시 개방,연중무휴,"가능
요금 (무료)",,,있음,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정부대전청사숲의공원,"정부대전청사숲의공원은 봄, 여름, 가을, 겨울 4계절 특성을 모두 느낄 수 있는 드넓은 잔디공원이다. 가운데 잔디광장을 중심으로 생태숲, 소나무숲, 참나무숲 등이 조성되어 있어 많은 사람들이 나들이 명소로 찾고 있다. 공원 내 이팝나무가 무성하게 펼쳐져 있는 들의 공원은 조용하고 한적하여 힐링 장소로 손꼽힌다.",,,대전광역시 서구 청사로 189 (둔산동),제한 없음,연중무휴,불가,,,,"봄이면 하얀 꽃이 핀 이팝나무 사이를 걸으며 힐링할 수 있는 아름다운 공원입니다. 도심 한복판에 있어서 접근성이 좋습니다. 대전 정부 청사역에서 걸어서 10분 정도의 거리에 있습니다. 넓어서 피크닉 하기에도 좋고, 애견 산책도 허용됩니다. 서울에 올림픽공원이 있다면 대전엔 이곳이죠~탁트여서 운동하기도좋고 산책하기도 좋아요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중촌시민공원,"대전 중촌동에 위치한 중촌시민공원은 철길에 가로막혀 잘 보이지 않지만, 한적하고 산책하기 좋은 길이 넓게 펼쳐져 있다. 원형의 작은 공간에서 소공연을 하기에도 좋으며 체육 활동을 즐길 수 있는 다목적 운동장, 아이들을 위한 놀이터, 공원의 크기에 비례한 화장실까지 공원 산책을 하기에 안성맞춤이다. 또한 여름에는 물놀이터로 운영되며 다양한 포토존이 있어 사진 찍기 좋은 곳이다.",,,대전광역시 중구 중촌동 253-2,상시 개방,연중무휴,"가능
요금 (무료)",,,,공원 관리가 잘되있어서 강아지랑 산책하기좋아요~~ 중간중간 앉아서 쉴수있는공간도 많고 좋아요~ 야구연습장이있고 여름엔 어린이 수영장도 생겨요 철따라 꽃도 심고 유등천을 끼고있어 유등천과 연계해서 산책하기도 좋아요,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아름드리소공원,"대전에 위치한 아름드리소공원은 조용한 분위기로, 산책로와 작은 정자가 마련되어 있어 휴식을 취하기에 좋다. 또한 넓은 호수와 푸른 숲으로 둘러싸여 있어 주변의 아름다운 경치를 감상하면서 가족과 함께 산책하기에 이상적인 장소이다. 어린이 놀이터, 운동 시설 등 여러 시설이 있다. 대전 서구의 숨은 명소로 현지인들이 자주 방문하는 곳으로 최근에는 SNS에서 사진 명소로 알려지기 시작하였고 많은 방문객들이 찾아오는 곳이 되었다.",,,대전광역시 서구 도안동 2377,상시 개방,연중무휴,"가능
요금 (무료)",,,,자연속에서 휴식할수있는 공원이에요 계절마다 다채료운 풍경이 아름다워요 산책하기도 자전거 타기도 좋아요 산책하기 정말 좋아요^^ 기분 전환 했습니다.,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꿈돌이 하우스,"대전역 근처에 위치한 꿈돌이 하우스는 대전의 매력을 알리고, 꿈씨 캐릭터 기념품을 판매하는 특별한 공간이다. 1층에서는 다양한 꿈씨 패밀리 굿즈를 만나볼 수 있어 대전 여행을 기념해 소장하거나 선물하기 좋다. 엽서, 그립톡, 키링, 머그컵, 마그넷 등 다양한 상품이 준비되어 있으며, 곳곳에 꿈돌이와 꿈씨 패밀리 인형들이 배치되어 있어 사진 찍기에도 좋다. 2층은 여행 테마로 꾸며져 있어 VR을 통해 대전 투어 드라이브 체험을 즐길 수 있다. 3층에서는 대전시민천문대, 상소동 산림욕장 등 대전의 주요 관광 명소의 사진과 미디어 파사드를 감상할 수 있다.",,,대전광역시 동구 중앙로203번길 3 (중동),11:00~19:00,매주 월요일 휴무,불가능,,무료,,어렸을때 그림으로 진짜 많이 그렸는데 다시 보니 반가웠어요 굿즈도 많고 사진 촬영하기에도 좋아요 꿈돌이를 너무 좋아해서 대전에 방문했었는데 꿈돌이 하우스에 간 보람이 있었어요 매장 전체가 꿈돌이로 가득하고 다양한 굿즈 많아서 행복했네요 또한 여행자로서 잠시 쉬어갈 수도 있고 다양한 VR 게임 등 체험 요소가 많았어요 추천드립니다 대전역이랑 가깝고 종종 이벤트도 합니다. 역사 안에 있을 때보다 넓어졌고요. 대전시에서 꿈씨 패밀리 무척 밀고 있어서 다양한 콜라보 진행되고 있습니다. 시간이 되신다면 유성구에 위치한 신세계백화점 내 굿즈샵도 방문해보세요. 대전이 여행객이 머무르는 도시가 되기 위해 노력하고 있습니다. 3층 미디어파사드로 만나는 관광지에도 관심가져주세요!!! 나의 사랑 꿈돌아 ~~~ 만나서 너무너무 반가웠어💚 꿈순이 잘 부탁해~~~ 굿즈 사와서 행복해요 꿈돌이굿즈 너무 예쁘고 귀여워요. 더 다양한 굿즈들 나왔으면 좋겠어요.옛날보다 저 그림체가 귀여워졌고 색상도 예뻐져서 굿즈많이 사왔어요.품절인 인형들이 많아서 아쉬웠어요 알록달록 이쁜 꿈돌이들이 이쁩니다. 한번 휙 둘러보고 취향이 맞으시면 이쁜 꿈돌이 제품 하나 구입하셔도 이곳은 휙 둘러보시는 곳으로 추억의 꿈돌이로 가득한 공간이라 행복했어요. 꿈돌이 굿즈도 사고 여러가지 체험도 할수 있네요. 대전 시내에 있으니 대전 왔을때 꼭 들러보세요~,,,,,,,엘리베이터 있음,,,,오디오 가이드 있음,,,,,,,,,,,,,,,,,,,,,안내 요원 있음,,,,VR 투어 드라이브
레이저태그스포츠 오월드점,"대전 오월드 안에 펼쳐진 초대형 레이저 서바이벌 야외 경기장이다. 동시 경기 2명부터 50명까지 가능하기에 학교, 청소년 단체 등 단체활동에 적합하다. 오월드의 주랜드, 플라워랜드, 조이랜드 등 다양한 놀거리와 볼거리를 함께 즐길 수 있다. 개인 고객부터 단체 고객까지 다양하게 이용 가능하며 상쾌한 자연 공간에서 즐거운 시간을 보낼 수 있다.",,https://www.instagram.com/lasertagsports.oworld/,대전광역시 중구 사정공원로 70 (사정동) 오월드 내 플라워랜드,"평일 12:00~18:00
주말 11:00~18:00",연중무휴,"가능
요금 (무료)",,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
헤레디움,"1922년 일제강점기, 대전역 근처에 쌀 시장이 형성된 동구 인동 지역에 지어진 구 동양척식회사 대전 지점은 대영제국의 동인도회사를 본뜬 대표적인 수탈 기관이었다. 해방 이후 이 건물은 대전 체신청과 대전 전신전화국으로 사용되다가, 1984년 민간에 매각되어 상업 시설로 활용되었다. 이후 2004년 9월, 근대 건축물로서의 가치를 인정받아 국가등록문화유산으로 지정되었다. 이 건물이 지어진 지 100년이 흐른 2022년, 재단법인 CNCITY 마음에너지재단은 2년여에 걸친 보수 및 복원 작업을 통해, 대전을 대표하는 복합문화공간 ‘헤레디움’으로 새롭게 탄생시켰다. ‘헤레디움(Heredium)’은 라틴어로 ‘유산으로 물려받은 토지’를 뜻하며, 역사적 가치가 숨 쉬는 근대문화유산 속에서 동시대의 예술적 영감과 감동을 전하는 클래식 공연과 수준 높은 전시를 통해 새로운 미래유산을 만들어가고자 하는 비전을 담고 있다.",,https://heredium.art,대전광역시 동구 대전로 735 (인동),11:00~19:00,매주 월요일 / 화요일,가능(약 20대),,전시별 상이함,,헤레디움은 과거 일제강점기때 강제경제수탈한 동양척식회사였던 곳입니다. 지금은 문화예술공간으로 변모해 미술 전시관으로 사용되고있습니다. 도심속에 복합문화공간에서 바라보는 세상은 휴식을 줘요. 근대건물이 멋지게 변신했어요 도심에서 머리 식히러 가는 곳으로 좋네요 근현대사를 느껴볼 수 있는 공간입니다 시간이 된다면 가끔 공연도 볼 수 있고 머리 식히러 방문하기 좋은 곳이에요 중앙시장도 가까이 있어 잠시 들러 즐길수 있는 좋은 곳입니다 대전 가는김에 잠시 들러보기 좋아요 30분정도 잡고 느낌있게 보세요 성심당 갔다가 가는길이 봤는데 작지만 미술전시가 깔끔하게 되어있어서 좋았어요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전시별 상이함
남선공원 스케이트장,"남선공원 스케이트장은 대전 둔산과 원도심 중간에 위치한 남선공원 종합체육관 내에 있는 실내 스케이트장이다.
이곳은 사계절 다양한 레포츠를 즐길 수 있는 종합레저스포츠 시설이며, 스케이트장 역시 사계절 내내 문을 열어 겨울이 아닌 계절에도 스케이트를 즐길 수 있다. 스케이트장의 규격은 국제 규격인 60X30m를 따르고 있고 실내 온도는 최적의 빙상 상태를 유지할 수 있도록 5~10℃를 유지한다. 따라서 여름에는 레포츠 겸 피서지로도 적합하다. 스케이트장 이용 시 일일 이용 외에도 강습을 받을 수 있으며, 필요한 장비를 대여할 수 있어 빈손으로 와도 스케이트를 즐길 수 있다.
주변에는 남선공원 외에 도산서원(대전) 등의 관광지가 있어 연계하여 관광할 수 있다.",,http://namsunleports.itrocks.kr,대전광역시 서구 남선로 66 (탄방동),"- 평일 : 10:00~17:45
- 주말, 공휴일 : 10:00~18:45","설, 추석 연휴",가능,,"- 36개월~초등학생 : 6,300원
- 중고등학생 : 7,000원
- 성인 : 7,500원",있음(남녀 구분),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대전공원,"대전 중구 문화동에 위치한 서대전공원은 기존에 군부대가 있었던 곳이다. 1975년 군부대가 이전하면서 도시계획으로 미관광장으로 지정하고, 1992년에 [1993 대전엑스포]에 대비하여 10,340평에 이르는 광장을 조성하였다.
서대전공원에는 넓은 잔디광장 외에 야외공연장과 대전을 대표하는 학자 단재 신채호 선생 동상 등이 있다. 어린이날 행사와 칼국수 축제 등이 열리기도 하며 그 외에도 축제와 행사가 자주 열리고 있다. 인근 관광지로는 보문산, 충청남도청 구청사 등이 있다.",,,대전광역시 중구 계룡로904번길 30 (문화동),,,,,,,"2024 누들페스티벌때문에 방문했어요~~ 언니네 집이 문화동이라서 서대전공원에 자주간답니다 특히나 작년에 했던 빵축제 너무 좋았어요 그리고 넓은 잔디공원으로 이루어진 서대전공원은 걷기도 좋고 운동하기도 너무 좋아요 서대전공원은 사통팔달이라서 사방으로 가기좋고요 백화점 마트 지하철등 구경할것들도 많고 주변으로 맛집도 많아서 너무 좋답니다 도심 가운데 위치해 있지만 넓은 대지와 볼거리 즐길거리가 있는곳입니다.잔디밭이 있어서 아이들과 간단히 피크닉하기에도 좋습니다 평상시에는 공원으로써의 역할을 충실히해요 달리기, 걷기 하시는 분들도 많답니다 종종 축제를 할 때 깜짝변신을 하는데 최근에는 빵축제 장소로도 쓰이는데 성황리에 마쳤더라고요 역이 근처에 있어 교통도 편해 가기도 좋답니다 서대전공원은 대전의 축제와 시민들의 건강을 책임지는 멋진 곳이라고 말씀드릴 수 있어요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갈마공원,"둔산신도시 서부에 위치한 도시 근린공원인 갈마공원은 91,938㎡의 면적에 조성되어 있다. 갈마공원은 봄에는 이팝꽃, 튤립을 비롯한 야생화와 여름의 짙푸른 녹음, 가을의 단풍이 아름다운 곳으로 산책로를 따라 기분 좋게 한 바퀴를 돌 수 있는 규모의 공원이다. 공원에는 산책로뿐만 아니라 체육시설인 올림픽기념 국민생활관이 자리 잡고 있다. 이곳은 체육, 문화, 예술 등 다목적 복합시설을 갖추고 있으며 수영, 헬스, 어린이 태권도 교실, 회화 교실 등 다양한 프로그램을 운영하고 있다. 그 외에도 공원 안에는 효자거창신씨정려, 평안루, 갈마정과 국군 제2연대 창설공적비가 세워져 있다. 또한, 풋살장, 농구장, 축구장, 테니스장, 게이트볼장 등 각종 야외 운동시설이 들어서 있다. 갈마공원은 대전 도시철도 1호선 갈마역이 매우 가깝다. 주변에는 월평도서관, 정부대전청사 자연마당, 샘머리공원 등이 있다.",,,대전광역시 서구 한밭대로 664 (갈마동),상시 개방,연중무휴,불가능,,,있음,"조용히 산책하기 좋은 곳입니다. 지하철역, 도서관, 국민샹활관 등 문화체육시설이 근접하여 쾌적함을 더합니다. 갈마역이 바로 옆에 있어서 편하게 올 수 있는 공원입니다. 가볍게 등산 할 수 있는 산책로와 넓은 운동장이 있어 축구를 즐길 수도 있고요. 체육관도 있어 수영, 배드민턴, 탁구 등 다양한 운동을 즐길 수 있어요. 옆이 바로 둔산동이라 먹을곳도 많습니다.",무료,,,,,,,,,,,,,,,,,,,,국민생활관 / 게이트볼장 / 축구장 / 농구장 / 테니스장 / 풋살장 / 산책로,,,,,,,,,,,,,,,
동양장 B1,"중구 대흥동에 위치한 동양장 B1은 동양장 여관 지상 1층과 지하 1층 일부를 갤러리로 개조하여 문화공간으로 활용하는 곳이다. 나머지 시설 일부에서는 여관 영업이 계속 이어지고 있다. 동양장 B1은 대전 구도심의 오래된 여관이라는 독특한 공간을 활용하여 도시재생의 측면에서도 지역 사회에 의미가 있는 곳이다. 2023년경에는 정정엽, 심성훈, 소정희 작가의 전시회가 열렸다.
대중교통은 대전 도시철도 1호선 중구청역을 이용할 수 있다. 주변에는 으능정이 문화의 거리, 충청남도청 구청사 등이 있다.",,,대전광역시 중구 대흥로111번길 30-10 (대흥동),전시 및 동양장 사정에 따라 상이,전시에 따라 상이,인근 공영주차장,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
넥스페리움,"넥스페리움은 과학의 도시 대전, 그 안에서도 1993 대전 엑스포가 열렸던 유성구 갑천변 부지에 건립된 ‘대전 신세계 Art & Science’의 6~7층에 위치해 있다. ‘대전 신세계 Art & Science’가 오픈되던 당시부터 카이스트 교수와 여러 과학 분야의 전문가들이 모여 만든 전시관이자 교육시설로 운영되어 왔으며, 현재는 아이들과 학생들에게 보다 친근한 ‘과학 교육의 장’으로서 활용될 수 있도록 ‘과학 테마파크’로서의 변화를 시도하고 있다. 넥스페리움은 총 4개의 주요 전시공간과 교육장 및 편의시설로 나누어져 있으며, 연중 요일에 상관없이 (백화점 휴무일 제외) 입장이 가능하다. 4개의 전시공간은 코스믹스페이스(Cosmic Space, 우주과학), 어썸시티 (Awsoem City, 도시과학), 얼라이브룸 (Alive Room, 생활과학), 원더랩 (Wonder Lab, 체험실습)으로 주제에 따라 나누어져 있으며, 과거와 현재, 미래의 과학 제품들이 전시되어 있다. 또한 각종 미래 기술을 관람할 수 있고, 카이스트와 협력하여 개발한 커리큘럼을 기반으로 숙련된 과학전문가가 교육하는 미래 인재를 위한 여러 종류의 교육 프로그램도 진행되고 있다.",,https://www.shinsegae.com,대전광역시 유성구 엑스포로 1 (도룡동) 6층,"평일 10:00~19:00
주말 10:00~20:00",백화점 휴무일,"가능 (대전신세계백화점 주차장)
요금 (3시간 무료)",,"22,000원",장애인 화장실 있음(6층),,,,휠체어 이용가능한 경사로가 설치되어있음(백화점 내 주차장 이용시),별도 출입구로 안내 받아 입장 가능,장애인 전용 주차장 있음(위치: 대전 신세계 백화점 주차장),,,,,,,,,,,,,,,,,,,,,,,,,,,안내데스크 있음(입구에 위치) 전시관 내 직원 상주,,,,
괴곡동 느티나무,"괴곡동 느티나무는 대전시 서구 괴곡동에 자리 잡고 있다. 느티나무는 2013년 천연기념물로 지정되었다. 수령 700년으로 추정하며, 높이 16m, 둘레 9.2m다. 이곳은 갑천 누리길 2코스에 있다. 이 덕분에 자전거 라이딩을 즐기는 사람들의 쉼터가 되기도 한다. 매년 칠월칠석에는 풍물놀이와 민속예술공연 등으로 진행되는 목신제가 개최된다. 주변에는 장태산 자연휴양림, 상보안 유원지 캠핑장, 흑성 유원지가 있어 연계 관광에 나서기 수월하다.",,https://www.khs.go.kr/main.html,대전광역시 서구 괴곡동 963,상시 개방,연중무휴,가능,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,천연기념물 대전 괴곡동 느티나무 (2013. 07.17 지정),,,,,,,,,,
세천유원지,식장산 동북쪽에 위치한 세천근린공원은 울창한 숲에 둘러싸여 있다. 식장산과 인근 풍경을 감상할 수 있는 명소다. 이곳에 자리한 세천유원지에는 식장산에서 흘러내린 맑은 물로 이루어진 세천저수지가 있다. 세천저수지는 대청댐이 생기기 전 대전의 상수원이었다. 물 위에 나무가 있어 이색적이 풍경을 즐길 수 있다. 이곳에는 우리 고유의 토박이 식물 8백여 종을 포함해 약 6천여 종의 식물이 자라고 있다. 나무 그늘이 진 산책로를 따라 시원하게 산책을 할 수 있다.,,https://www.donggu.go.kr/dg/tour,대전광역시 동구 세천공원로 62 (세천동),상시 개방,연중무휴,"가능
요금 (무료)",,,있음,산책하기 좋은 유원지 “세천유원지를 추천합니다.식장산과 인근 풍경을 감상할 수 있는 명소로 다양한 식물도 볼수있어 적극 추천합니다. 아이들과 산책하기 좋은곳이라고해서 꼭 한번 가보고싶은 곳이었어요~ 겸사겸사 식장산 야경도 구경하면 더 좋을것같네요,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보문산 전망대,"보문산 전망대는 대전시 중구 대사동에 자리 잡고 있다. 보문산 숲 치유센터 주차장에 차를 대고 도보로 걸어가야 닿는다.
전망대에 오르면 2층으로 이루어진 건물에서 창밖으로 대전 시가지의 풍경을 조망할 수 있다. 외부 공간에도 전망대가 마련되어 있다. 전망대는 판암 IC에서 가까운 거리에 위치했다. 주변에는 대전의 번화가 중 하나인 중앙로역을 비롯해 대동하늘공원, 중앙시장 등의 관광지가 있다.",,,대전광역시 중구 보문산공원로530번길 86 (대사동),00:00~24:00,,주차가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대전목재문화체험장,대전 목재 문화체험장은 대전시 중구 대사동에 자리 잡고 있다. 전국 최초로 대도시 중심에 조성된 목재문화체험장이다. 이곳은 목재의 우수성을 홍보하고 목재의 가치에 대한 지식과 정보를 습득할 수 있는 공간으로 현대인들이 목재의 따뜻함과 선조들의 지혜를 배우며 휴양 문화를 즐길 수 있는 곳이기도 하다. 대전 목재 문화체험장은 어린이들부터 성인까지 눈높이에 맞는 다양한 프로그램으로 이용객에게 만족감을 주고 있다.,,https://www.daejeon.go.kr/wood,대전광역시 중구 보문산공원로 442 (대사동),"동절기 09:00~17:00
하절기 09:00~18:00","매주 월요일 / 1월 1일 / 설·추석 연휴
※ 단, 월요일이 공휴일일 경우 익일 휴무","가능
요금 (무료)",,,,"아이랑 가기 정말 좋은 곳이에요. 실외자연물놀이터, 나무로 만든 시설들, 모래놀이까지 프로그램이 다양해서 너무 좋았습니다 보문산 위쪽이라 풍경도 정말 멋지더라구요. 실내에는 목재로 만든 작품들도 볼 수 있고 목재로 만든 놀이시설도 재미있게 체험하고 왔습니다 대전 목재문화체험장에 가족들과 함께 방문해 보았습니다. 목재 체험을 하면서 목재로 일상생활에서 사용할수있는 다양한 물건을 만들 수있다는 것을 알게되는 유익한 체험이였습니다. 꼭다시 방문하고싶은 곳이였습니다. 초등아이들과 체험하기 좋아요 아이들이 재밌다고 하네요 학교에서 프로그램 응모해서 한번 가본적이 있는데 산에 있어서 공기도 좋고 의자만들기 체험도 했었는데 아직도 튼튼하게 잘 쓰고있어요 또 가고싶어요 가족단위로 다녀오기 좋은 대전목재문화체험장 위치도 좋아서 다른 곳 다녀오면서 함께 코스로 함께하기에 안성맞춤이다. 다양한 체험을 할수 있는 대전 목재문화체험장 다녀왔어요. 여러가지 프로그램이 있어 꼬마들부터 어른들까지 다양하게 여러 프로그램을 이용할 수 있어 너무 좋았던 거 같아요. 직접 내 손으로 만드는 목재 체험을 해보니 너무 재미있었네요. 목재를 이용한 만들기 체험을 할 수 있어 좋아요. 실용적인 물건을 만들고 가져갈 수 있습니다.","무료
※ 체험비는 별도이므로 홈페이지 참고",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목재체험 / 나무놀이체험
봉명동 우산거리,"봉명동 우산거리는 대전광역시 유성구 봉명동에 위치한 독특한 거리이다. 이 거리는 아름다운 우산들이 거리를 장식하여 마치 색다른 풍경을 만들어낸다. 다양한 색상의 우산들이 하늘을 수놓은 모습은 관광객들에게 인상적인 사진 촬영 명소로 유명하다. 우산거리는 지역 주민들에게도 사랑받는 공간으로, 산책이나 여유로운 시간을 보내기에 적합하다. 또한, 주변에는 카페와 상점들이 있어 즐거운 쇼핑과 휴식을 동시에 즐길 수 있다. 봉명동 우산거리는 예술적인 분위기와 활기찬 거리 풍경을 느낄 수 있는 특별한 장소이다.",,,대전광역시 유성구 봉명동,상시 개방,연중무휴,불가능,,,,낮보다 밤이 더 예뻤어요 사람이 왜 많은지 알겠더라고요~ 먹거리도 많고 어딜 들어가도 맛집이라 구경도 하고 사진도 찍고 배불리 먹다 왔네요 ㅎㅎ,무료,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,
장태산 자연휴양림 캠핑장,"메타세콰이아 숲이 울창하게 형성되어 있는 장태산자연휴양림은 대전광역시 서구 장안동에 위치하고 있다. 야영장은 오토캠핑장이 아니며, 카라반, 트레일러, 캠핑트럭, 루프탑텐트를 비롯한 모든 오토캠핑이 안된다. 또한 숙소 및 야영장 이용 시 반려동물은 입실 불가다.
주변 관광지로는 보문산 공원, 계룡산 수통골, 구봉산, 도산서원, 천연기념물센터 등이 있다.",,https://www.foresttrip.go.kr,대전광역시 서구 장안로 461 (장안동),15:00~익일11:00,연중무휴,가능,,"20,000원~25,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",가능,"쭉쭉 높이 자란 메타세콰이아 나무가 멋진곳입니다. 나무숲에서 오래도록 머물고싶은 그런숲입니다. 아직 물들지는 않았지만 계절상관없이 산책하기 좋은 장소입니다. ""장태산 자연휴양림 캠핑장""은 산림휴양관 앞에 있습니다. 메타세쿼이아 숲에 공기도 좋고 경치 또한 아름답습니다. 한때 국립휴양림 도장찍기처럼 다녔는데요 저희는 캠핑말고 숲속의집 예약했거든요. 시설도 깨끗했고 장태산 휴양림 서울에서도 가깝고 간만에 산속에서 힐링되는 시간이었어요. 위치도 좋고 산도 좋은데 예약하기 어려워요ㅠㅠ",,,,,,,,,,,,,,,,,,,,,,,"전기,온수,놀이터",,,,,,,,,,,,,
은구비역사공원,"은구비역사공원은 1997년 대전 노은지구 택지개발 당시에 조성된 공원이다. 공원에는 대전선사박물관을 비롯해 잔디광장, 산책로, 체육시설, 쉼터, 음수대 등이 있다. 방문객들이 자연과 역사를 동시에 즐길 수 있다. 또한, 어린이들을 위한 놀이시설과 휴식 공간도 마련되어 있어 가족 단위 방문객들에게 적합하다. 은구비역사공원은 대전의 중요한 문화유산을 보호하고 알리기 위한 중요한 역할을 하고 있다. 은구비구름다리를 건너면 도로 건너편에 있는 두루봉공원과 연결된다.",,,대전광역시 유성구 노은동로 166 (지족동),상시 개방,연중무휴,"가능
요금 (무료)",,,,마음을 비우고 걷다보면 넓은 잔디밭에서 여유를 즐기는 사람들과 함께 지친 일상을 치유받는 기분이 드는 곳입니다.,무료,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,
도마큰시장,"도마큰시장은 대전시 서구 도마동에 자리 잡고 있다. 470여 개 상점이 성업 중인 이곳에서는 채소류, 생선류, 육류, 의류, 생활용품 등을 구매할 수 있다. 특히 떡볶이, 족발, 샌드위치 등 즉석에서 맛볼 수 있는 먹거리가 시장 곳곳에 있다. 시장은 서대전 IC와 가까운 거리에 위치했다. 주변에는 뿌리공원, 대전 오월드, 장태산자연휴양림이 있다.",,,대전광역시 서구 도마4길 64 (도마동),07:00~22:00 (점포별 상이),점포별 상이,주차가능 (1시간 무료 / 시장이용 고객 2시간 무료),,,,"도마큰시장은 일주일에 2~3번은 방문하는 것 같아요. 물건도 많고 저렴해서 좋습니다. 빈 손으로 오는 경우도 없지만 물건을 사지 않아도 볼거리가 많습니다. 확실히 큰시장이라는 이름값을 하는 곳입니다. 도마큰시장은 일주일에 2~3번은 방문하는 것 같아요. 물건도 많고 저렴해서 좋습니다. 빈 손으로 오는 경우도 없지만 물건을 사지 않아도 볼거리가 많습니다. 확실히 큰시장이라는 이름값을 하는 곳입니다. 도마큰시장은 일주일에 2~3번은 방문하는 것 같아요. 물건도 많고 저렴해서 좋습니다. 빈 손으로 오는 경우도 없지만 물건을 사지 않아도 볼거리가 많습니다. 확실히 큰시장이라는 이름값을 하는 곳입니다. 점포도 많고 물건도 다양합니다. 특히 돼지고기 뒷다리살 저렴하게 파는 곳들이 있어서 좋아요. 한번 사두면 꽤 오래 먹어요. 대전역 주변에 있는 역전중앙시장, 중리동에 있는 한민시장과 함께 대전 토박이인 제가 평소 자주 찾는 재래시장인데요. '큰'이라는 수식어가 붙었는데 이름값 합니다. 어느 시장과 견주어도 입점 점포 수가 많아요. 없는 것 빼고 다 있는 느낌, 이건 TMI지만 특히 반찬, 황태 튀각, 정육, 건어물 등을 애용합니다. 시장 내 공판장도 여러 곳 있고요. 온누리 상품권(카드, 모바일, 지류) 받는 가맹 점포도 많아서 선물 받았을 때 쓰기 좋아요.
닫기",,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,
