place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,주차 요금,이용요금,규모,할인 정보,접근로,출입통로,장애인 주차 안내,엘리베이터,화장실,지체장애 기타 상세,review,이용가능시설,입장료,지정현황,체험가능 연령,수유실,휠체어,점자 홍보물,시설이용료,주차요금,대중 교통,유모차,판매 품목,객실,주요시설,부대시설,강습안내,오디오 가이드,영업시간,대표메뉴,취급메뉴,관람석,개장기간,수용인원,대여안내,보유장비,시각장애 기타상세,점자 블록,보조견 동반,유도안내 설비,입점브랜드,코스안내,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,세미나실 여부,예약안내,예약안내 홈페이지,안내 요원,식음료장,홍보물,이용 시기,유아용보조의자,영유아가족 기타상세,체험
문광저수지,"2km의 은행나무길이 둘러싸고 있는 저수지로 전형적인 작은 농촌마을인 양곡리에 위치하여 농업용수를 공급할 뿐만 아니라 지역주민과 방문객의 산책과 명상을 함께 할 수 있는 휴식공간을 제공하고 있다. 1978년 5월에 준공하였고 준계곡형의 저수지로 주변에 숲이 우거져 있고 고목이 많아 전경이 아름답다. 저수지 입구에는 가로수길이 설치되어 있고 가을이면 노랗게 물든 은행나무를 감상할 수 있으며, 낚시를 즐기러 나온 가족단위 여행객을 많이 볼 수 있다.",,https://www.goesan.go.kr/tour/,충청북도 괴산군 문광면 양곡리 16,00:00~24:00,연중무휴,가능,,,,,,,,,,,은행나무가 예쁘게 물들때 가시면 행사 없어도 천막이 몇개있는데 어묵같은 간식도 팔고 사과도 팔아요 사과가 바로 과수원에서 따오는데 싱싱하고 맛있어서 갈때마다 사와요 주차는 경찰들이 통제해주시는데 주차장이 부족하면 흙길 위에 세우기도 합니다 30분 정도면 충분히 둘러볼수 있어요 근처에 지고추만두 유명한곳 있으니 사실분은 전날 예약해야 픽업 가능합니다 방문결과. 11월19일. 은행잎은다졌지만. 아침물안개볼만했다 11월 9일에 다녀왔는데 은행잎은 다 졌지만 길 위에 노랗게 물들인 모습도 무척 예뻤어요! 다음엔 떨어지기전에 가보고 싶습니다. 노랗게 물든 은행잎과 호수의 안개를 함께 볼 수 있어서 감탄을 금할 수 없었습니다. 많은 사람들 속에서도 충분히 즐거운 시간을 보낼 수 있으니 때맞춰 방문해보는 것을 추천합니다. 매년 찾는 문광저수지에요 저수지 둘레를 데크로 조성해놓아 저수지 한바퀴 돌며 경치 감상하는 재미도 있고요 축제기간에 가면 먹거리까지 즐길 수 있어요 점점 더 좋아지는 문광저수지네요 노랗게 물들은 은행나무보며 일년을 돌아보네요 올해도 은행나무길이 멋진 풍경을 선사해 줍니다. 물안개 피어오르는 호숫가 바로 옆 둘레길도 꼭 걸어보길 추천합니다. 둘레긴로 걷기좋고 애견동반으로 사진 찍기도 좋아요! 아경도 이뻐요 은행나무랑 코스모스가 이쁘네요!,,무료,,전연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우암 송시열묘,"청천 우암 송시열유적은 화양동계곡 안에 있는 화양서원터(華陽書院址)와 만동묘터(萬東廟址)를 중심으로 암서재, 읍궁암, 애각사적, 묘소와 신도비 등 송시열과 관련된 사적들로 구성되었다. 화양서원은 우암 송시열이 은거하였던 곳에 세워진 서원으로써 조선시대 학자들의 결집장소였으며, 만동묘는 임진왜란때 조선에 원군을 보내준 중국 명나라 황제 신종(神宗), 의종(毅宗)의 위패를 모신 사당이다. 1999년 국가지정문화재(사적) 지정 후 2002~2004년까지 유지가 남아있는 건물 8동을 복원 정비하였다. 암서재는 송시열이 만년에 화양동에 은거하면서 제자들을 가르치던 곳으로 알려져 있으며, 읍궁암은 효종(孝宗)의 승하로 북벌이 좌절되자 효종의 기일마다 이곳에 올라 통곡하였다고 전한다.

(출처 : 괴산군 문화관광 홈페이지)",,"괴산군 문화관광 http://www.goesan.go.kr/tour/index.do
국가유산청 https://www.heritage.go.kr/",충청북도 괴산군 청천면 화양동길 188,상시 개방,연중무휴,가능,,,,,,,,,,,,,무료,사적 괴산 송시열 유적 (1999.12.29. 지정),,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구병리아름마을,"충청북도 보은군 속리산면에 있는 마을로 구병산 자락에 아늑하게 놓여있는 산촌마을이다. 그 지형이 소의 자궁과 같다하여 우복동(牛福洞 )으로 불려지기도 한다. 구병산 밑이 되므로 구병이라는 명칭이 생겼다. 자연마을로는 느진모기, 된모기, 웃멍어모기 등이 있다. 된모기는 산밑에 바짝 붙어있는 마을이다. 웃멍어모기는 구병리에서 으뜸 되는 마을로 모양이 소의 멍에처럼 생겼다 한다. 노송이 우거지고 산비탈에 메밀꽃이 피어나는 보은군 구병리마을은 그리 크지 않은 아담한 마을이다. 지친 도시 생활에서 활력을 찾고 자연과 벗하며 한가로이 농촌을 체 험하고 싶다면 이곳을 권한다. 여느 산간 마을처럼 산자락을 개간한 밭이 주종을 이루는 이 마을은 총 6개 농가가 옹기종기 모여 팜스테이를 구성하고 도시민을 기다리고 있다. 농사 체험은 산간 마을답게 채취가 주종을 이루는데 봄에는 복분자 딸기가 여름에는 각종 버섯이 채취된다. 그리고 가을에는 머루·다래 등도 채취할 수 있다고 한다. 이곳은 특히 토속음식 체험 프로그램을 마련하고 있는데 메밀묵 만들기와 옥수수 엿 만들기를 손수 해 볼 수 있다. 손이 많이 가는 메밀묵 만들기는 주부들은 물론 어린이나 남자들까지 함께 참가할 수 있다. 여러 과정을 거쳐 시식을 한다면 손수 만든 것이라 더욱 맛이 좋을 것이다.",,https://www.boeun.go.kr/,충청북도 보은군 속리산면 삼가구병길 152,상시 개방,연중무휴,가능,,,,,,,,,있음,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,야생화심기 체험 / 쿠키 만들기 / 수제청 만들기 등
괴산 이창훈 고가,"이 가옥은 1908년 이달승에 의하여 건축되었으나 정확한 건축연도의 확인은 어렵다. 이전에 가옥이 있었던 것을 1924년 중수한 것으로 추정되며, 안채, 사랑채, 사당, 광채, 외양간, 대문 등으로 구성되어 전통적인 고가의 형식을 띠고 있다.
정면7칸, 측면 3칸 규모의 ㅡ자형으로 남향한 안채를 중심으로 안채 서쪽에 정면 9칸 측면 1칸의 행랑.광.곡간채를 담장에 붙여 동향으로 배치하였다. 안채 앞으로는 정면5칸,측면 1칸반의 바깥채를 남향으로 두고, 여기에 문으로 잇대어 정면 4칸, 측면 2칸의 사랑.광채를 동쪽에 남북으로 두어 서향하게 하였다. 건물의 전체적인 구조는 ㅁ자 형태를 띠고 있는데, 대문을 들어서서 마주보는 바깥채 양옆의 사랑채, 행랑채가 서로 문으로 연결되고 사랑채 옆의 담장사이에도 일각대문을 두어 안채와의 구분을 도모하고 있다. 안채 뒤쪽에는 우물, 장독대를 두고 축대를 쌓아 정면 3칸, 측면 1칸반의 사당을 배치하였다, 안채와 담장사이에도 일각대문을 두어 사당이 있는 공간과 구분하고 있다. 현재 안채 동쪽의 문간채와 이엉으로 이었던 대문이 훼철되었으나, 비교적 건축당시의 모습을 잘 간직하고 있다.
이창훈 고가는 마을의 길지에 배치하여 자연경관과 망화정, 연지 등이 가옥과 조화를 이루고 산수가 수려하며, 중부지방 양반가의 건축 양식을 잘 보여주는 건축물이다. 전통가옥의 형식과 개화기의 형식 등이 혼재하여 나타나는 한옥으로 안채, 광채, 사랑채·행랑채, 사당 등이 당시의 모습을 잘 간직하고 있어 학술적으로 귀중한 자료로 평가된다.",,▪ http://www.goesan.go.kr/,충청북도 괴산군 감물면 충민로오간길 64,,,,,,,,,,,,,,,,,충청북도 민속문화재 괴산 이창훈 고가 (2007.06.08 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
민주지산,"전라북도 최동북단에 위치하여 충청, 전라, 경상 삼도를 가르는 삼도봉을 거느린 명산이다. 민주지산(1,241.7m)은 추풍령 남서쪽 약 25km 지점에 있으며 산행의 기점은 정상의 동북쪽 방향인 한천마을과 남쪽 아래의 대불리로 크게 나눌 수 있다. 삼도봉, 석기봉이 명소이며, 석기봉 동쪽에는 원시숲과 화전민터가 있어 옛 주민들의 생활상을 엿볼 수 있고, 물한리에서 멀지 않은 곳에는 1972년에 지은 황룡사가 있다. 석기봉과 삼도봉으로 이어지는 주능선은 봄이면 온통 산죽과 진달래가 군락을 이뤄 꽃산행을 즐기게 된다. 다른 산의 진달래가 무리지어 군락을 이루는데 반해 이 곳 진달래는 능선을 따라 도열해 있는 것이 특징이다. 물한계곡을 끼고있어 심산유곡으로 아직도 때묻지 않은 계곡이 돋보이며, 각종 잡목과 진달래 철쭉 등이 꽉 들어차 장관을 이루고 있다. 옥소(玉沼) 응주암 의용곡폭포 등이 절경을 이루며, 삼도봉에는 충북, 경북, 전북 등 3도인이 모여 세운 3도봉 대화합탑이 있다.",,영동 문화관광 http://tour.yd21.go.kr,충청북도 영동군 상촌면 물한리,,,,,,,,,,,,,,겨울산 민주지산! 겨울도 좋지만 계절별 천상의 화원을 자랑하는 민주지산 그러나 아픈 역사가 있는 산입니다 힘들지만 눈이 많이오면 설국으로 변하는곳 와우 멋지네요 눈오면 꼭 가보자 멋있을것 같습니다 이색적이네요 굿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우암산,"청주시 우암동에 있는 우암산은 속리산 천황봉에서 북서쪽으로 뻗어 내려온 한남금북정맥 산줄기에 속한다. 청주 동쪽의 상당산에서 서쪽으로 갈라져 나온 산이 우암산이며, 산세가 소가 누운 모습을 하고 있어 와우산이라고도 한다. 우암산은 침엽수림과 낙엽수림이 섞여 있고 그늘이 많아 걷기 좋으며 약수터가 여러 개 조성되어 있고 시민들이 운동할 수 있는 야외 운동시설도 잘 마련되어 있다. 순환도로와 동산로가 잘 정비되어 있어 등산하기 좋으며 중간에 벤치와 팔각정이 마련되어 있어 휴식할 장소도 충분하다. 우암산 정상에서는 청주시 전체의 모습을 바라볼 수 있고 우암산 순환도로는 드라이브 코스로도 적당하여 청주시민의 다양한 여가활동 장소가 되고 있다. 산기슭에는 표충사, 용화사 등의 사찰이 있고, 정상 부근에 삼국시대 것으로 보이는 와우산성이 있다.",,https://www.cheongju.go.kr/ktour,충청북도 청주시 청원구 우암동,상시 개방,연중무휴,가능,,,,,,,,,,,"나무가 우거져서 정상까지 나무그늘밑으로 다닐 수 있습니다. 여러코스가 있는데 전 삼일공원 코스로 왔구요. 쉬는시간 포함해서 1시간10분걸렸네요. 높은 산은 아니지만 능선이 길어 만만케 보면 안됩니다. 어릴적 친구들과 어이 없이 뛰어 놀던 우암산. 별로 높지 않은 청주의 뒤배이지만, 많은 추억이 담아 있는 곳이랍니다. 도심과 가까워서, 가볍고 삼일 공원 근처에 차를 주차하거나, 청주대 근처에 주차하고, 가벼운 등산을 하면 너무 좋아요. 봄엔 벗꽃 가로수들이 장관이고, 산에서 보는 야경도 멋있어요. 상당산성까지 가보면 더 좋겠죠. 성곽을 따라 걷다가 성안 마을에서 맛난 음식과 카페에서 휴식을 취하는 것도 좋아요. 도심과 가까운 친구 같은 산이릴까요.
닫기 우암산 공원 산책하기 좋아요!! 걷기 편한코스",,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매학폭포,"충청북도 충주시 수안보면 사문리에 있는 폭포로 화강암 절벽에서 수직으로 시원스럽게 떨어지는 폭포이다. 백두대간 바로 옆의 신선봉 북쪽 비탈면에 있으며 노은면의 수룡폭포, 살미면의 팔봉폭포와 함께 충주시에서 몇 안 되는 폭포 중 하나이다. 신선봉 일대는 화강암 산지로서 수평의 판상절리가 잘 발달하여 곳곳에 층층이 쌓인 암반들을 관찰할 수 있다. 암반에 수직절리가 결합하면서 골짜기에 형성된 암벽의 물줄기가 매학폭포인데, 층층이 쌓인 암반 위로 쏟아지는 물줄기가 주변 산세와 어우러져 장관을 이루는 곳이다.
폭포로 진입하는 등산로 주변에는 화강암에서 떨어져 나온 표석들이 사면을 덮고 있으며, 그 사이사이로 소나무와 낙엽수들이 자라고 있다. 수안보면 미륵리 방향으로 도로를 따라가다 사문리 뫼약동에서 오른쪽으로 꺾으면 폭포로 가는 길이 나온다. 매학폭포에서 신선봉, 마역봉, 조령 3관문으로 이어지는 등산로는 많은 사람이 찾는 곳이다. 실제 표지판에는 신선폭포로 표기되어 있다. 물에 젖은 암반으로 인해 미끄러우니 폭포 주변에서는 안전에 유의해야 한다.",,"충북나드리 http://tour.chungbuk.go.kr
충주 문화관광 https://www.chungju.go.kr/tour/index.do /",충청북도 충주시 수안보면 사문리,상시개방,연중무휴,,,,,,,,,,,,,,무료,,전 연령 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원 연꽃마을,"연꽃은 불교를 상징하기도 해서 연꽃에는 신비감과 경외감이 깃들어 있다. 황순원 님의 ‘소나기’에 나올 법한 풍경이 있는 마을, 바로 충북 청주시에 있는 청원연꽃마을이다.연꽃은 여름에만 피지만 연꽃마을에는 사계절 내내 사람들의 발길이 끊이지 않는다. 연을 테마로 한 갖가지 체험거리를 만든 마을 사람들의노력이 있기에 가능한 일이다.부녀회원들은 2년간에 걸쳐 음식 전문가를 마을에 초빙, 연을 활용한 음식을 배우는 수고를 아끼지 않았다. 이들이 내어놓는 연잎밥과 연꽃지짐은 그윽한 향내가 일품이다. 마을에서 준비한 농촌체험은 신나는 놀이이다. 수생식물도 관찰하고, 봉숭아 꽃물도 들여 보고, 전통부채에 민화도 그려 본다. 아이들이 체험 프로그램에 참여하고 있다면 어른들은 연꽃밭을 따라 마을을 거닐고, 마을 정자에 누워 오랫동안 미뤄왔던 책도 읽어보는 여유를 가져 본다.",,http://lotus.cheongju.go.kr,충청북도 청주시 흥덕구 강내면 궁현연꽃2길 33-6,상시 개방,연중무휴,,,,,,,,,,있음,,,마을회관 강당 / 녹색농촌 체험관 / 황토찜질체험방 등,"무료
※ 체험비 별도",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,고구마캐기 / 떡메치기 / 손모내기 등
좌구산 분젓치 산새길 테마로드,"율리 별천지공원에서 좌구산 분젓치 생태터널로 이어지는 산책로로서, 좌구산의 수려한 자연과 개성 있는 테마쉼터를 즐기며 걸을 수 있는 산책로이며 6곳의 쉼터를 조성해 놓았다. 분젓치란 증평 율리와 청주 미원 사이에 위치한 옛 고갯길로 고갯길을 넘어가면 분투라는 마을이 나오는데 분티고갯길이 분젖치로 바뀌어 불린다고 한다.
목재데크로 만든 산책로를 오르는 중간에는 산새, 역사, 전망, 휴식 등 4가지 테마의 쉼터가 있으며, 좌 구정의 경관과 절벽 아래로 보이는 삼기저수지, 높은 고목 등이 눈을 즐겁게 한다. 이곳은 오르막 구간이 많지만 산책길에 야자 매트를 깔아 걷기 좋고 다양한 모습의 쉼터가 조성되어 있어 지루하지 않게 산책을 즐길 수 있다. 이 산새길에는 다양한 종류의 산새들이 살고 있어 숲 속에 있는 새들의 소리를 들을 수 있다. 자연을 느끼며 힐링할 수 있는 산책길이다.",,,충청북도 증평군 증평읍 율리 산69-1번지 일원,상시 개방,연중무휴,있음 (별천지공원 공용주차장),,,,,,,,,있음,,경치가 아주 아름답고 여행하기에 매우 좋아요,,,,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진천 이시발 신도비,"진천 이시발 신도비는 조선 중기의 문신인 이시발(1569∼1626) 선생의 행적을 기리고 있다. 신도비란 임금이나 고관의 평생업적을 기록하여 그의 무덤 남동쪽에 세워두는 것이다.
이시발은 오촌 대건의 아들로 청원군 오창면 오근리(현 청주시 오근장)에서 선조 2년(1569년)에 태어났다. 선조 22년에 문과에 급제하여 승문원에 등용되었고, 임진왜란(1592), 이봉학의 난(1596), 이괄의 난(1624) 당시 큰 공을 세웠다. 생을 마친 후에는 영의정에 추증되었다. 선조, 광해군, 인조에 걸친 세 임금을 섬기면서 백성의 생활안정과 지방민을 평온하게 하였던 그의 공로를 찬양하고자 이 비를 세웠다. 조선 효종 9년에 세운 비로, 비문은 송시열이 글을 짓고, 송준길이 글씨를 썼으며, 이정영이 새겼다.",,https://www.jincheon.go.kr/site/tour/,충청북도 진천군 초평면 용정리 192-11,상시 개방,연중무휴,가능,,,,,,,,,,,,,,충청북도 유형문화유산 진천 이시발 신도비 (1984.12.31 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
말티재 전망대(말티고개),"2020년 개장한 말티재 전망대는 전망대 및 조형물로 열두굽이의 말티고개를 한눈에 볼 수 있는 곳이다. 2층 규모로, 폭 16m, 높이 20m이다. 전망대에서 바라보는 말티고개는 숲과 도로가 어우러진 독특한 풍광이 한눈에 들어온다. 자전거, 바이크 동호인들 사이에서 12굽이 와인딩 코스로 유명한 곳으로, 고려 태조 왕건과 조선 세조가 속리산 행차 때 얇은 돌을 깔아 길을 냈다고 전해진다. 길이 가파르기 때문에 초보 운전자는 각별히 주의를 기울여야 한다.",,https://www.boeun.go.kr/tour,충청북도 보은군 장안면 장재리 산4-14,"[11월~2월]
- 09:00~18:00
- 입장 마감 17:30
[5월~8월]
- 09:00~20:00
- 입장 마감 19:30
[3월~4월, 9월~10월]
- 09:00~19:00
- 입장 마감 18:30
※ 우천 및 강풍 등 기상 악화 시 전망대 출입 제한
※ 비가 그친 후 전망대 노면이 다 마를 때까지 전망대 출입 제한",연중무휴,가능 (백두대간 속리산 관문 주차장 / 말티재 주차장),,,,,,,,,,,"가족들과 드라이브 다녀왔습니다. 맑은 공기 , 아름다운 경치에 모두가 힐링하고 돌아왔습니다. 전망이 좄아요 가을에 못가봐서 봄에 방문했습니다 위에서보니 장관이더라구요 군데군데 개나리가 피어있어서 봄에도 횡하지않아서 좋았습니다 속리산갓다가 바로옆이니 들려보시길추천합니다 새해 맞이 일몰을 보러 갔었습니다 순간 물들이는 석양은 보석 같아요 말티재의 전망과 주차공간이 좋았어요. 다만 전망대 자비성 관문은 많은 예산이 투자된것에 비해 카페와 농경사진외에 볼거리가 빈약하다고 생각됩니다. 꼬불꼬불 길과 단풍의 조화로움 멋졌어요 아침일찍 선아래 펜션에서 아침을 먹고 전망대에 올랐다 갑자기 쌀쌀해진 날씨에도 불구하고 벌써 많은 사람들로 붐볐고 특히 한무리의 자전거 팀원들은 사진을 찍느라고 법석들이다 멋진 가을풍경으로 사진 몇장 찍고 추워서 주차장으로 복귀한다",,무료,,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
난계 박연선생 생가,"국악의 거리에서 외길을 따라 고당리 방면으로 가다 보면 난계 박연 선생이 태어난 가옥이 있다. 난계 박연은 고구려의 왕산악, 신라의 우륵과 함께 우리나라 3대 악성으로 손꼽힌다. 조선 초기의 문신이자 음악가로 충북 영동에서 태어나 타계했다. 박연은 악보와 악기를 정리한 악서를 편찬하고 대고와 석경 등 아악기를 제작했다. 또, 궁중악을 완성하고 악기를 조율하는 편경을 만드는 등 국악을 발전시키고 완성한 국악의 아버지다.
세조 2년(1456년)에 삼남 계우가 단종 복위 사건에 연루되어 화를 당할뻔하였으나, 세 임금에 봉직한 공으로 화를 면하고 관직에서 물러나 이곳으로 돌아와 살다가 세조 4년(1458년) 3월 23일 81세를 일기로 타계하였다. 박연이 낙향할 때 강을 건너며 배 위에서 피리를 불었는데 그 피리 소리에 가던 배도 멈추고 쓸쓸한 느낌에 눈물을 흘리지 않은 이가 없었다는 일화가 있다. 한 시대를 풍미했던 걸출한 인물의 비애를 단적으로 나타내며 기쁠 때나 슬플 때나 음악과 함께한 국악의 거성 난계의 면모를 엿볼 수 있는 이야기일 것이다.
선생의 업적을 기리기 위해 2000년 5월 안채와 사랑채를 복원하였다. 생가의 평면은 정면 3칸, 측면 3칸으로 측면 1칸은 퇴칸 구조이며 정면 2칸만큼 우물마루를 설치하고 한쪽에는 부엌과 곡식창고를 부설한 고미 반자에 우진각의 기와지붕으로 되어있다. 우진각지붕은 용마루와 추녀마루만 있고 내림마루는 없으며 전·후면은 사다리꼴이며 양쪽 측면은 삼각형 모양을 하고 있다. 용마루가 짧고 내림마루가 길게 늘어진 모습이 특이하다. 부속 채는 1동으로 외양간, 광과 방 1칸인 초가지붕으로 되어있다.",,https://www.yd21.go.kr/,충청북도 영동군 심천면 하고당1길 14-17,,,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
괴산 문당리 서낭단,"성황단은 토지와 마을을 수호하는 신인 서낭신에게 제사하기 위한 제단으로, ‘서낭단’이라고도 한다. 주로 마을 입구나 고갯마루에 작은 돌을 무더기로 쌓아놓고 가까이에 나무가 있다.
괴산 문당리 성황단은 오리목 마을 입구에 있는데, 제단부와 좌우 돌탑 등이 원형을 유지하고 있다. 이 성황단은 비교적 정연한 형태로 쌓은 제단부를 중심으로 좌우에 2기의 원추형 돌단을 쌓아 남성 성기형의 적석단을 이루고 있다. 산에서 사룡이 마을을 향하여 긴 꼬리를 하고 내려오는 형상의 돌무지 성황단으로, 양쪽에 남성 성기 모양인 2개의 돌무지가 있고, 가운데에 남근 모양의 형상으로 만든 적석단의 특이한 성황단이다.
돌탑을 좌우에 두고 가운데에 폭 3m, 길이 5m 규모의 제사공간과 90㎝×90㎝정도 크기의 제물대를 갖춘 제단을 쌓은 것이다. 제단부에서 산 쪽으로 꼬리를 끌 듯 10여 m 가량 돌무지를 늘여 쌓아 마을 주산으로 연결하고 있다.
이 성황단은 마을이 형성되었던 조선시대 중기 때 조성된 것으로 추정된다. 매년 정초에 색색의 헝겊을 끼운 금줄을 적석단 옆의 신목에 쳐놓고 생기발복일을 골라 제사를 지내되 3일 전부터 금기가 있었으나 현재는 사라졌다.",,https://www.goesan.go.kr/tour/,충청북도 괴산군 청안면 문당리,상시 개방,연중무휴,,,,,,,,,,,,,,무료,충청북도 민속문화유산 괴산 문당리 서낭단 (2002.07.12. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진천향교,진천향교는 조선 태조(재위 1392∼1398) 때 지은 것으로 순조 4년(1804)에 명륜당과 동재·서재를 고치고 풍화루를 지었다. 1816년에는 대성전을 고쳤으며 그 후 여러 차례의 수리가 있었다. 현재 남아 있는 건물은 대성전·동무·서무·명륜당·풍화루 등과 부속건물들이 남아있다. 대성전은 공자를 비롯하여 여러 성현들의 위패를 모시고 제사 지내는 곳으로 동무·서무와 함께 제사공간을 형성한다. 명륜당은 학생들이 공부하던 강당으로 이것을 중심으로 배움의 공간이 이루어진다. 풍화루는 학생들의 휴식공간이면서 누문의 기능도 하였다. 조선시대에는 국가로부터 토지·책·노비 등을 지급받아서 학생들을 가르쳤으나 갑오개혁(1894) 이후에는 교육적 기능은 사라지고 봄·가을 2차례에 걸쳐 제사만 지내고 있다.,,https://www.jincheon.go.kr/,충청북도 진천군 진천읍 문화5길 30,,연중무휴,가능,,,,,,,,,,,,,,충청북도 유형문화유산 진천향교 (1981.12.26 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초정약수,"초정약수는 청주시 청원구 내수읍 초정리에 있는 약수터로, 지하 100m의 석회암층에서 인체에 무해한 각종 미네랄이 포함된 무균의 탄산수가 하루 약 8,500L 솟아난다. 미국의 샤스터, 독일의 아폴리나리스와 함께 세계 3대 광천수로 꼽고 있으며 약 6백 년 전에 발견되었다. 초정 약수터는 수도를 틀어 물을 마시거나 떠갈 수 있도록 깨끗하게 정비되어 있으며 동절기를 제외하고 족욕 공간도 마련되어 있다.
일찍부터 차가운 천연 탄산수가 나오는 영천으로 전국에 알려졌으며, 와 에 기록돼 있다. 세종대왕이 행차하여 60일간 이곳에 머무르며 안질을 치료한 바 있는 유서 깊은 약수터이다. 현재는 이 지역에 2개의 약수 음료 공장이 있으며 초정약수를 이용한 천연 음료수가 제조, 판매하고 있다.
초정약수가 이렇듯 효험이 탁월한 것은 물속에 포함된 다량의 라듐 성분 때문으로 추정되는데 이는 눈병 등 안질환뿐만 아니라 피부질환에도 효과가 큰 것으로 알려져 있다. 그래서 주변에는 초정약수를 이용한 온천들이 운영 중이고 초정 문화공원과 초정 행궁이 있어 같이 둘러보기 좋다.",,청주 문화관광 https://www.cheongju.go.kr/ktour/index.do,충청북도 청주시 청원구 내수읍 초정리 일대,약수 음용 시간 08:00~21:00,연중무휴,가능,,,,,,,,,있음,,"초정리약수터는 초정리원탕 목욕탕을 중심으로 좌측 순댓국집 입구, 오른쪽 작은 마트안에 위치해 있음. 물통은 두군데서 사이즈별로 판매하고 있으며 순댓국집에서 물통 구입하면 별도공간? 에서 줄서지않고 물을 받을수 있다. 근데 받는곳이 청결하지 않다. 초정리 약수를 드시고 세종대왕께서 위장병을 고치셨다는데 평소 속이 더부룩하신분들은 탄산으로 효과를 보실수도 있을것같다. 초정행궁 구경후 도로앞 건물에 초정약수 원탕이 있어 방문함ㆍ 일반목욕 시설이지만 원수탕에 들어가니 몸이 따끔따끔하며 약수의 호능이 느껴지는 체험을 하였음ㆍ 밖에서 제공되는 탄산음료의 맛은 톡 쏘는 느낌 이었음ㆍ 물이 맛있지는 않아요. 약이된다는 약수이다보니 지나면서 한잔하고 가시기에 좋습니다. 세종초정행궁관람을 하고 원탕온천욕 너무시원하네요 약수물이 너무 좋아서 주변식당에서 물통을 구매해서 약수를 담아올수 왔어요~",,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
