place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용요금,review,체험가능 연령,화장실,이용가능시설,입장료,시설이용료,주차 요금,할인 정보,접근로,출입통로,엘리베이터,장애인 주차 안내,수유실,주차요금,관람석,지체장애 기타 상세,지정현황,휠체어,대중 교통,유모차,오디오 가이드,시각장애 기타상세,판매 품목,점자 홍보물,개장기간,수용인원,주요시설,강습안내,청각 장애 기타상세,규모,입점브랜드,영업시간,대표메뉴,취급메뉴,큰활자 홍보물,점자 블록,안내 요원,유도안내 설비,보조견 동반,대여안내,보유장비,매표소,부대시설,자막 비디오 가이드,홍보물,수화 안내,코스안내,영유아가족 기타상세,체험
동자아트홀,"서울역 바로 옆에 위치한 동자아트홀은 다양한 문화예술 행사와 전시를 개최하는 공연장과 행사 장소이다.
용산구 KDB생명타워 지하 2층에 위치해 있고 서울역 지하철 12번 출구와 지하통로가 직접 연결되어 있어 교통이 편리하다. 지상으로 올라가지 않고 바로 동자아트홀로 입장할 수 있다. 157석의 좌석을 보유하고 있고 장애인석도 5석 마련되어 있다.
공연, 각종 세미나, 시상식, 팬미팅, 각종 이벤트 등을 진행할 수 있으며 다양한 예술과 문화 장르를 포괄하여 관객들에게 다채로운 경험을 제공한다.
빌딩 내 700여대의 주차공간까지 갖추고 있다.",,https://dongjaarthall.tistory.com/,"서울특별시 용산구 한강대로 372 (동자동, 센트레빌아스테리움서울) KDB생명타워 B2층",공연에 따라 상이,공연에 따라 상이,,공연에 따라 상이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예스24스테이지,"예스24스테이지는 공연예술, 문화의 중심 대학로에 위치한 대규모 공연장이다. 인근에 위치한 동숭아트센터와 아르코예술극장처럼 규모가 크다.
지하 3층부터 지상 3층까지의 건물로 스테이지 1관, 스테이지 2관, 스테이지 3관으로 구성되었다.
1관은 406석으로 지하 3층부터 지하 1층까지, 2관은 301석으로 지하3층부터 지하 2층까지, 3관은 255석으로 지상3층에 위치한 공연장이다.
1관과 2관은 관객석의 경사가 커서 어디서나 무대가 잘 보이며, 지하 1층부터 지상 2층 사이의 공간에 식당과 카페가 있어 공연 전후에 이용할 수 있다.
수도권 지하철 4호선 1번 출구에서 가깝고 인근에 대학로 자유극장과 대학로 문화공간 티오엠이 있어 함께 둘러볼 만 하다.",,https://yes24stage.com/,서울특별시 종로구 대학로12길 21 (동숭동),"화~금 13:00~22:30
토~일 12:00~21:30",매주 월요일,,공연에 따라 상이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
콘텐츠박스,"대학로는 서울 종로5가 사거리에서부터 혜화동 로터리까지의 거리와 뒷편의 골목까지 모두 포함하여 말한다. 특히 마로니에 공원 주변은 문화예술과 관련된 공연장이나 기관 등이 발달해 있어서 대표적인 문화예술의 거리로 손꼽힌다. 이곳은 70,80년대부터 작은 소극장이 즐비했고 다양한 주제의 연극, 소공연, 소규모 콘서트가 늘 열리던 곳이었다.
이러한 명맥으로 아직도 대학로 골목 골목에는 소극장이 여전히 남아있고 콘텐츠박스도 그 중 하나이다.
소극장의 백미는 출연진과 관객이 서로 호흡을 맞추며 공연을 하는 것인데 무대와 아주 가까워 그들의 표정, 숨소리 하나도 다 느낄수 있어 대극장에 없는 감성을 경험할 수 있다.
극장 로비 및 객석 내 생수를 포함한 모든 음식물, 음료섭취가 제한되고, 관객석은 1층과 2층으로 나뉘어져 있다. 매표소는 공연 시작 1시간 전에 오픈하고 20분 전에 입장을 시작한다.
수도권 지하철 4호선 혜화역 2번 출구에서 200미터 거리에 있고 대학로는 볼거리, 즐길거리, 먹거리가 가득하다.",,,서울특별시 종로구 동숭길 55 (동숭동) 대학빌딩 B1,공연에 따라 상이,,없음(방송통신대 공영주차장 이용 시 할인),공연에 따라 상이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대학로티오엠,"대학로티오엠은 이야기를 만들고 감동을 주며 문화를 교류하는 복합공연장이다.
티오엠은 2개의 극장시설, 작품연습에 적합한 연습실, 연극 및 뮤지컬 등의 다양한 장르를 소화할 수 있는 무대실기 중심의 교육과 전문적 환경을 제공하는 티오엠 아카데미를 운영하고 있다.
극장시설은 지하1~2층에 있는 335석의 1관, 지하 3층에 있는 249석의 2관이 있고 년 중 다양한 공연이 열린다.
공연기획팀, 극장기술팀, 아카데미팀, 경영지원팀 등 전문적인 팀네트워크를 갖추고 있어서 최상의 공연이 될 수 있도록 도와준다.
또한 아카데미에서는 일반 성인을 위한 프로그램 만이 아니라 청소년을 위한 연극 워크샵도 진행하고 있어서 다양한 연령이 이용할 수 있다.
4호선 혜화역 1번 출구에서 220M 거리에 위치하고 있으며 대학로안에 있다.",,http://www.towntom.com/,서울특별시 종로구 대학로8가길 85 (동숭동),공연과 프로그램에 따라 다름,,,공연과 프로그램에 따라 다름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유니플렉스,"유니플렉스는 동숭동 복합공연장으로 다양한 문화예술의 진흥과 대중의 문화향수 촉진을 위해 개관하였다.
대중과 문화예술간의 거리를 보다 가까이 하고 일상화하기 위해 지상 6층, 지하 5층 규모로 3개의 대,중,소공연장을 갖추고 있어 한 곳에서 3개의 공연을 동시에 할 수 있다. 지하 1층~지하 4층 1관은 약 600석, 지상 2층~3층 2관은 약 300석, 지상 4층은 약 200석, 운영사무실은 지상 5층으로 건물 전체를 사용하고 있다.
대중에게 최적화된 시설과 우수한 공연의 품질을 제공하기 위해 국내외 각 분야의 자문 감독을 선임하여 의견을 받고, 공연예술의 각 분야에서 풍부한 경험을 갖춘 무대 전문인들을 배치하여 운영한다.
유니플렉스 전용주차장이 유니플렉스 건물에 있는 것이 아니라 한 블럭 정도 떨어져 위치하고 있다. 기계식 주차장이기 때문에 3,300cc 이하 및 RV, SUV는 주차가 불가능하다.
4호선 혜화역 2번출구에서 220M의 거리에 위치하고 있으며 대학로 한 복판에 있다.",,http://www.uniplex.co.kr/,서울특별시 종로구 대학로12길 64 (동숭동),공연프로그램에 따라 다름,,있음 (공연관람시 무료),공연프로그램에 따라 다름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KT&G상상마당 대치아트홀,"KT&G 상상마당 대치아트홀은 연극, 콘서트, 뮤지컬 등 다양한 장르의 공연이 가능한 전문 공연장이다. 본래 KT&G의 문화 예술 분야 사회 공헌을 위해 2006년 422석 규모의 전문 공연장으로 KT&G상상아트홀로 개관했으나 2017년 KT&G 상상마당의 일원으로 통합되어 [대치아트홀]이 되었다.
연극 라이어, 뮤지컬 헤드윅, 싱글즈 등 국내 공연계의 대표작들을 소개해왔으며 새로운 시도의 작품과 창작 공연에도 아낌없는 지원을 함으로써 국내 공연 분야 발전을 위해 노력하고 있다.",,http://www.sangsangmadang.com/main/DC,서울특별시 강남구 영동대로 416 (대치동),공연별 상이,,있음,공연별 상이,,,,,,,,,,,,,,,,,,,,,,,,,,422석,,,,,,,,,,,,,,,,,,,,,,,
GB가빈아트홀,"2017년에 개관한 GB가빈아트홀은 보다 품격 있는 문화 예술 공연을 제공하기 위해 건립된 300여 석 규모의 공연장이다. 서울종합예술실용학교에서 건립한 아트홀로 무용, 뮤지컬, 연주회, 콘퍼런스 등 다양한 장르를 수용할 수 있는 다목적 공연장이다.
공연장은 300석 규모의 복층으로 스탠딩 공연 시 500명까지 수용할 수 있다. 공연뿐만 아니라 세미나 또는 연회장으로 사용할 수 있으며, 카페와 야외 테라스를 갖추고 있어 쾌적한 공연 관람이 가능하다.",,https://gabin-arthall.com,서울특별시 강남구 삼성로 534 (삼성동),10:00~22:00,연중무휴,가능,공연별 상이,,,,,,,"15분당 1,000원",,,,,,,,,,,,,,,,,,,300명,,,,,,,,,,,,,,,,,,,,,,,
세일아트홀,"세일아트홀은 2008년 개관한 72석 규모의 콘서트홀이자 녹음 스튜디오이다. 공연은 물론 스튜디오 녹음, 교육, 세미나, 연회 등 다양한 문화 예술적 활동을 할 수 있는 복합문화공간이다.
콘서트 홀인 챔버홀은 건축 음향 설계가 세심하게 되어있어 선명하고 섬세한 소리를 들을 수 있다. 그리고 다양한 용도로 사용 가능한 조명이 설치되어 있다. 클래식 공연의 경우 Spot 조명과 Photo-optic 조명을 사용하여 풍부한 광량 덕분에 연주자가 더욱 돋보인다. 그리고 재즈 연주나 대중음악 무대의 경우에는 moving spot, moving LED 조명을 사용하여 다양한 색상과 문양 연출을 통해 화려한 무대연출이 가능하다.
이 외에도 60인의 연회가 가능한 로비 라운지와 공연 전 긴장감을 풀고 최상의 기량을 발휘할 수 있도록 메이크업 콘솔과 피팅룸을 갖춘 공연자 대기실 그리고 피아노가 비치된 2개의 연습실이 있다.",,http://www.seilarthall.com/,서울특별시 강남구 논현로 414 (역삼동) B1층,09:00~22:00,공휴일,있음,"[공연 대관] 평일 700,000~900,000원 / 주말 770,000~990,000원",,,,,,,,,,,,,,,,,,,,,,,,,,72석,,,,,,,,,,,,,,,,,,,,,,,
한생연 실험누리과학관,"대치동에 위치한 실험누리과학관은 2010년 개관한 곳으로 다양한 실험을 체험해 볼 수 있는 체험형 사립 과학관이다. 생명과학, 화학, 물리 분야의 전문 실험기계가 갖추어져 있어 초등, 중등, 고등 수준에 맞는 실험 프로그램을 진행할 수 있다.
실험누리과학관은 총 15개의 실험 주제들과 나만의 현미경 만들기, 태양광 로봇 제작이라는 2개의 특별 프로그램으로 구성되어 있다. 모든 프로그램은 60분 내외로 진행된다. 그리고 관람의 경우 시설의 운영, 관리를 위해 사전예약제를 실시하기 때문에 사전예약을 통해 원하는 관람 시간을 선택할 수 있다.",,,서울특별시 강남구 도곡로 408 (대치동) 디마크빌딩 6층,10:00~18:00,월요일 / 공휴일,,"성인 및 학생 7,000원 / 유아 3,000원",,,,,,,,장애인 관람료의 50% 할인(증빙서류 지참),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,실험 체험 / 나만의 현미경 만들기 / 태양광 로봇 제작
국립국악원 예악당,"서초동 예술의 전당 옆에 자리잡고 있는 국립국악원 예악당은 국립국악원 안에 있는 658여 석 규모의 국악 전용 공연장이다.
공연장은 토담 모양으로 구획된 객석과 방패연 모양의 음향 반사판이 무대 위 전통 예술과 어우러져서 우리 고유의 아름다움을 보여준다. 총 3층으로 구성되어 있으며 1층과 2층이 층의 구분 없이 연결되어 있다. 3층에 별좌, 별우라는 이름의 발코니석이 있다.
이곳에서는 주로 국악 관현악, 악가무 종합극, 소리극 등을 공연한다. 매주 토요일마다 국립국악원을 대표하는 고품격 토요일 상설공연 [토요명품]을 공연한다. 세계가 인정하고 한민족의 흥과 신명이 살아 숨쉬는 한국 예술의 진수를 최고의 연주자들이 음악과 노래와 춤으로 선보이는 국악 공연이다. 매주 다른 공연이 진행되므로 홈페이지에서 확인하고 예약, 방문해야 한다.",,https://www.gugak.go.kr/site/main/index001,서울특별시 서초구 남부순환로 2364 (서초동) 국립국악원,공연마다 다름,,있음,공연마다 다름,,,,,,,유료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCC홀,"SCC홀은 문화예술의 중심지 예술의 전당 맞은편에 위치한 총 204석 규모의 복층 공연장이다. 독주회, 실내악 공연뿐만 아니라 강연회는 물론 기업행사와 간단한 리셉션 연출까지 가능한 다목적홀이다. 이곳은 무대, 객석, 로비, 야외테라스의 주요 시설이 있다.
무대는 객석과 소통할 수 있도록 부채꼴 모양으로 디자인되었고 소리의 울림과 반사, 잔향 등을 고려하여 디자인 되었다. 객석은 고급 페브릭 의자를 사용하고 효율적으로 공간을 배치하여 관객이 가장 편안한 자세로 무대의 공연을 감상할 수 있다. 로비는 리셉션 또는 이벤트홀로도 활용이 가능하며 스크린 모니터가 설치되어 있어서 밖에서도 무대 위의 공연을 볼 수 있다. 별도로 마련된 야외테라스는 원목으로 꾸며진 공간으로 공연 예술과 함께 여유로움을 즐길 수 있다.",,https://www.scc-hall.com/,서울특별시 서초구 남부순환로325길 9 (서초동) 3층 SCC홀,공연마다 다름,,있음(협소하여 인근 주차장 이용 권장),공연마다 다름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영산양재홀,"영산양재홀은 2005년 개관한 영산문화재단이 운영하는 160석 규모의 문화 예술 공연장이다. 공연을 위한 대관뿐만 아니라 1시간 단위로 주중과 주말 모두 시간 대관도 가능하다. 부대시설로는 피아노, 녹음, 녹화, 마이크 등이 있다. 음악교육 전용공간으로 그랜드피아노와 업라이트피아노를 보유하고 있는 연습실도 있는데 홈페이지를 통해서만 예약이 가능하다.
전문 연주자 초청 기획공연을 비롯해 차세대 음악 인재들을 육성하고 지원하는 무대 등 다양한 프로그램을 선보이고 있다. 매년 두 차례 진행되는 영아티스트콘서트 오디션은 클래식 및 국악 부분의 초중고 대학부를 대상으로 차세대 음악 인재를 선발하여 영아티스트콘서트 독주회 기회를 제공한다. 음악 국악 전공자들이 전문예술인으로서 도약할 수 있는 무대를 지원하고자 전문예술인 육성 지원사업도 진행한다.
아카데미를 통해 전문 지도사도 양성하고 있다. 대표적인 지도사 과정으로는 [감각 교수법]을 익혀 유아부터 성인까지 연령별로 수업 효과를 극대화하는 능력을 키워, 최고의 연주자와 애호가를 길러내는 최신 교수법을 배울 수 있는 피아노 교육 전문가 과정과 클래식 음악을 통해 아이의 창의력과 소통 능력을 키워줄 수 있는 교수법인 예술융합 교육지도사 Smart 8과정 등이 있다.",,http://www.youngsanhall.co.kr/,서울특별시 서초구 바우뫼로37길 45 (양재동),10:30~17:30(휴게시간 12:00~13:00),일요일,,"[ 대관료 ] 공연대관 990,000~1,100,000원 / 시간대관 120,000(1시간)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,피아노 교육 전문가 / 예술융합교육지도사 Smart 8 / 오르프슐베르크 3급 교사 과정
유중아트센터,"2011년 개관한 서울의 유중아트센터는 유중그룹의 재정적 지원을 받아 다양한 프로젝트를 통해 젊은 예술가를 발굴하고 한국 미술을 촉진하는 데 주력하고 있다. 복합문화공간으로서, 문화예술지원과 창작활동을 통해 사회에 가치를 제공하며, 한국 문화예술 발전에 기여하고자 노력하고 있다.
유중아트센터에서는 시각예술, 클래식, 국악, 공공미술, 공간예술, 교육 등 다양한 장르의 공연과 전시를 볼 수 있으며 세계 최고 수준의 작품들을 선보이며 국내 컨템포러리 예술 시장을 선도하고 있다.
유중은 청년 예술가들을 발굴하고 매년 기획전시 및 신진작가의 전시를 통해 한국 미술계를 체계화, 전문화, 국제화시키기 위해 노력하고 있다. 또한, 교육 프로그램인 포럼과 세미나를 통해 현대미술의 다양성을 탐험하고 예술의 감동과 아름다움을 나누기 위한 다양한 활동을 전개하고 있다. 100% 사전 예약제로 운영되며, 예약자 이외의 입장은 제한될 수 있다.",,https://www.ujunggroup.com/ujung-art-center,서울특별시 서초구 방배로 178 (방배동),09:30~17:30,토요일 / 일요일,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
디올 성수,"디올 성수는 청담동에 이어 두 번째로 프랑스 럭셔리 브랜드 디올이 서울 성수동에 만든 대형 매장이다. 디올은 청담동에 대형 플래그십 스토어를 열었고, 성수동에 새로운 신축한 건물에 디올만의 새로운 샵을 오픈했다. 청담동 매장은 하우스 오브 디올, 성수동 매장은 디올 성수 콘셉트 스토어이다. 청담동 매장은 디올의 중심 매장이 되는 공간이고, 성수동 매장은 콘셉트를 보여주는 공간이다. 디올이 성수동을 택한 이유는 성수가 젊은 동네의 대명사이면서 생동감 넘치고 MZ세대가 활동하는 곳이기 때문이다.
디올 성수는 한국 최초로 디올 패션쇼가 개최된 바로 다음 날 문을 열었다. 패션쇼에 공개된 컬렉션들을 전시하고 디지털 가상공간을 열어서 대중의 관심을 끌었다. 유럽의 잘 꾸며놓은 정원이 있는 성에 와 있는 듯한 외관으로 이제는 성수동에 가면 한 번쯤 들러 사진을 찍는 랜드마크가 되었다. 저녁이 되면 조명을 켜져 있어서 더욱 예쁘다. 예약 없이 현장 방문도 가능하지만 대기가 있을 수 있다.",,,서울특별시 성동구 연무장5길 7 (성수동2가),11:00~20:00,연중무휴,불가능,,예약 오픈 땅! 하자마자 바로 예약해서 달려갔어요. 팝어스토어 뿐만 아니라 안에 엘레강스한 카페도 있어 한바퀴 둘러보기 넘 좋답니다! 하지만 가격은^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에스파스 루이비통 서울,"에스파스 루이비통 서울(Espace Louis Vuitton Seoul)은 다양한 예술품들을 전시하는 도심 속의 미술관으로, 도쿄, 뮌헨, 베네치아, 베이징, 오사카에 이어 서울에 위치한 루이비통 재단 미술관(Fondation Louis Vuitton)이다. 소장품들에 대한 국제적인 접근성을 높여 대중에게 관람 기회를 제공하고자 하는 재단의 목표하에 세워졌다. 게르하르트 리히터, 앤디 워홀 등 다양한 예술가들에 대한 특별전을 진행한다.",,,서울특별시 강남구 압구정로 454 (청담동) 루이비통 메종 서울 4층,12:00~19:00,1월 1일 / 설·추석 연휴,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한강드론공원,"광나루 한강공원에 있는 한강공원 광나루모형비행장은 2016년 6월 개장한 모형비행장이다. 고정익 드론 존(가로 160m, 세로 30m), 레이싱 드론 존, 회전익 드론 존 등 드론을 날릴 수 있는 공간이 있으며, 인터넷으로 사전에 예약 후 3시간 무료로 사용할 수 있다. 드론을 날리기 위해서는 사전에 비행 허가를 받고 날려야 하므로, 드론원스톱 민원서비스에서 비행 허가 신청 및 영상 촬영 신청을 하도록 한다. 드론에는 사용자 성명, 연락처를 반드시 부착하고, 안전사고에 대비하여 보험 가입도 필수다.
한강 드론공원 인근에는 광나루자전거공원, 하성운과 함께하는 숲, 영탁 1호 숲, 한강공원 광나루 장미공원, 수영장 등 놀이공원이 많이 있다.",,https://hangang.seoul.go.kr,서울특별시 강동구 천호동 351-1,"[하절기(4~9월)] 08:00~18:00
[동절기(10~3월]08:00~16:00
※ 일몰 후 비행금지
※ 예약 필수",연중무휴,가능,"[개인] 무료
[단체(100인 이상)] 독점 행사 시 유료 (자세한 사항 홈페이지 참조)",,,있음,,,,,,,,,,,,,,,,,,,,,,,,드론안내센터 / 드론체험교실,,,,,,,,,,,,,,,,,,,,,,
윤당아트홀,"성수대교가 바라보이는 곳에 자리한 윤당아트홀은 뮤지컬, 연극, 콘서트와 미술 전시를 함께 즐길 수 있는 신개념의 아트홀이다. 수준 높은 공연과 전시 프로젝트를 진행하여 문화 예술 소통의 장으로 자리매김하고 있다.
윤당아트홀은 공연장과 갤러리로 이루어져 있다. 극장의 경우 뮤지컬, 연극, 콘서트 등 다양한 공연을 즐길 수 있다. 1관은 260석, 2관은 150석이 마련되어 있다. 갤러리는 회화, 조각, 사진 등 미술의 다양한 장르를 다루고 기획 전시를 통해 작가들의 발굴 및 육성을 중점으로 두고 있다.",,http://www.ydart.co.kr/,서울특별시 강남구 언주로 844 (신사동),[갤러리] 10:00~18:00,[공연장] 연중무휴 / [갤러리] 월요일,있음,공연별 상이,,,,,,,"1시간 3,000원",,,,,,,,,,,,,,,,,,,410석,,,,,,,,,,,,,,,,,,,,,,,
삼익아트홀,"삼익아트홀은 클래식, 국악, 대중가요 등 다양한 장르의 공연을 진행할 수 있는 기본 150석 규모의 소규모 공연장이다. 공연장은 기본 150석이나 스탠딩으로 전환 시 300명까지 수용할 수 있다. 삼익아트홀은 독주회나 독창회, 작곡 연주 등 신인 연주자들의 연주회를 열기에 좋은 공간이며, 팬미팅과 출판기념회, 송년회, 주주총회 등의 행사를 진행하기에도 좋은 곳이다.
이 외에도 삼익아트홀에는 VIP Room과 대기실 그리고 케이터링 공간도 마련되어 있다. 케이터링 공간에는 와인바 형식의 테이블 바 및 케이터링 테이블이 준비되어 있다.",,https://www.samickhall.co.kr/,서울특별시 강남구 학동로 171 (논현동) 삼익악기빌딩 3층,09:00~22:00,연중무휴,있음,"[아트홀 대관] 오전 대관 500,000~600,000원 / 오후 대관 600,000~800,000원",,,,,,,"30분 3,000원",,,,,,,,,,,,,,,,,,,150석,,,,,,,,,,,,,,,,,,,,,,,
GB성암아트홀,"GB성암아트홀은 (구) 성암아트홀의 무대시설과 인테리어의 노후화에 따른 리모델링 시행 후 재개관한 공연장으로, 600인치 대형 LED 전광판과 최고급 조명, 음향 시스템을 갖춘 곳이다. 또한 객석이 전동 수납식으로 되어 있어 필요에 따라 인출, 수납할 수 있는 것이 특징이다. 그렇기 때문에 187석 규모의 공간을 비우고 스튜디오처럼 공간을 사용하거나 혹은 테이블을 세팅하여 콘퍼런스 및 연회용 공간으로도 사용 가능하다.
이 외에도 4층에 음향 시스템, LED 월 등의 시스템이 갖춰져 있어 소규모 행사, 공연, 전시를 위한 공간인 성암컬처홀이 있다.",,https://seongam-arthall.com/,서울특별시 강남구 선릉로111길 6 (논현동) 3층,10:00~22:00,공휴일,가능,공연별 상이,,,,,,,,,,,,,,,,,,,,,,,,,,187석,,,,,,,,,,,,,,,,,,,,,,,
광림 아트센터 BBCH홀,"강남 압구정동에 위치한 광림아트센터 BBCH홀은 쉼이 있는 공간, 문화가 있는 공간을 지향하는 장소로 뮤지컬과 연극, 콘서트, 클래식 공연을 위한 대형 공연장이다.
광림아트센터는 광림교회 빛의 숲 재단 소속의 문화공간으로 클래식 홀인 장천홀과 뮤지컬 전용 홀인 BBCH 홀을 운영하고 있다. 교회 건물에 아트센터가 있으며, 연습시설을 포함해 사회봉사관 6~9층에 998석 규모의 뮤지컬 전용 홀이 있고 웨슬리관 지하에 613석 규모의 장천홀이 있다. BBCH 홀의 경우 뮤지컬 대극장이지만 규모가 다른 극장에 비해서는 작기 때문에 시야 방해를 걱정하지 않아도 된다.",,http://www.klarts.kr/,서울특별시 강남구 논현로163길 33 (신사동),공연별 상이,[장천홀] 일요일 / [BBCH홀] 월요일,있음,공연별 상이,공연 잘 보고 왔습니다,,,,,,"5시간 5,000원 / 초과 시 10분당 800원",,,,,,,,,,,,,,,,,,,998석,,,,,,,,,,,,,,,,,,,,,,,
세실아트홀,"세실아트홀은 100석 규모의 소극장으로 실내악, 마스터 클래스, 음악회, 콩쿠르 등을 위한 장소이다. 콘서트용 피아노와 녹음 부스, 대기실, 분장실을 갖추고 있다. 무대의 천장은 적당한 난반사로 되어있어 객석도 듣기 좋은 정도의 잔향을 일으킨다. 무대조명 역시 클래식 음악회에 맞도록 간결하면서도 관객이 집중할 수 있도록 배치되어 있다.",,https://www.cecil.co.kr/,서울특별시 강남구 언주로173길 20 (신사동),08:00~24:00,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,100석,,,,,,,,,,,,,,,,,,,,,,,
코스모스아트홀,"코스모스아트홀은 ㈜코스모스악기의 차별화된 고객 서비스를 위한 200여 석 규모의 리사이틀홀이다. 예술의 전당 맞은편에 있는 코스모스악기 건물 지하 1층에 자리잡고 있다.
풍부하고 윤택한 음색과 표현을 자유자재로 하는 세계적인 콘서트 그랜드 피아노인 시게루가와이 SK-7L 피아노가 준비되어 있으며, 사용자가 이용하기 편리하도록 쾌적한 실내 장식과 설비를 갖추고 있다.
이곳은 코스모스악기가 주최하는 초청 콘서트 및 무료 공연, 클리닉 및 세미나와 대관을 통해서도 이용할 수 있다.",,https://www.cosmosmusic.com/company/cosmoshall.php,서울특별시 서초구 반포대로 27 (서초동) 코스모스악기 지하 1층,09:00~21:30,,있음(주최 측 3대 주차 가능),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
컨셉스토어 튠,"2023년 성수동에 문을 연 편집샵이다. TUNE은 단순히 브랜드 제품을 판매하는 일반적인 리테일 매장을 넘어, 성수라는 지역의 커뮤니티 허브 역할을 자처한다. TUNE 성수 스토어는 다양한 문화와 세대가 한 곳에 모일 수 있는 공간을 조성하여, 새로운 영감과 긍정적인 영향들을 주고받는 선순환이 생겨나는 생기 있는 공간이다.
부분 부분 떨어지고 백화현상이 있는 타일 벽에 철문 셔터가 내려가 문이 닫힌 듯한 출입구를 지나면 하얀색과 따뜻한 우드톤의 실내로 들어서게 된다. 다양한 팝업 행사와 이벤트 등으로 활용되는 이 공간은, 크리에이티브한 이미지에 걸맞은 감각적이고 트렌디한 인테리어와 분위기로 고객에게 새로운 즐길거리를 끊임없이 제공한다. TUNE 성수 스토어에서는 나이키, 뉴발란스, 리바이스 등 다양하고 멋진 국내외 브랜드를 만날 수 있다. 성수역 3번 출구 500m 거리에 있어서 지하철 이용도 편리하다.",,https://www.instagram.com/tune.kr/,서울특별시 성동구 성수이로7가길 3 (성수동2가),12:00~20:00,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,"의류, 스니커즈 등",,,,,,,,나이키 / 뉴발란스 / 리바이스 / 버켄스탁 / 닥터마틴,,,,,,,,,,,,,,,,,,
금호아트홀 연세,"금호아트홀 연세는 연세대학교 백양로에 위치한 실내악 전용 공연장이다. 금호아시아나그룹이 문화예술 진흥을 위해 100억 원을 기부한 데서 시작되어 2014년 8월 착공, 약 1년여 간의 공사 기간을 거쳐 2015년 10월 완공되었다. 한층 업그레이드된 연주와 음향, 관람 시설을 바탕으로 광화문 금호아트홀에서 진행했던 금호영재, 영아티스트, 영체임버콘서트 시리즈, 아름다운 목요일 콘서트 시리즈 등의 공연을 금호아트홀 연세의 무대로 옮겨 역사를 이어간다. 한국 클래식 음악계를 풍성하게 할 무대와 지원 사업들을 계속해서 이어 나가며 클래식에 관심 있는 청중들에게 다가가고 있다.",,https://www.kumhoarthall.com:448/,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교 백양누리 지하 1층 금호아트홀 연세,평일 09:00~17:30 / 주말 14:00~22:00,연중무휴,있음,공연에 따라 상이,,,,,,,유료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광림아트센터 장천홀,"광림아트센터 장천홀은 서울 강남구 압구정동에 위치한 613석 규모의 전문 클래식 홀이다. 광림아트센터는 광림교회 빛의 숲 재단 소속의 문화공간으로 클래식 홀인 장천홀과 뮤지컬 전용 홀인 BBCH 홀을 운영하고 있다.
장천홀은 광림교회의 웨슬리관 지하에 자리하고 있다. 공연장은 2층으로 구성되어 있고, 스플리터와 이펙트, 이퀄라이저 등의 음향장비를 잘 갖추고 있어 더 생생한 연주를 감상할 수 있다.",,http://www.klarts.kr/,서울특별시 강남구 압구정로22길 21 (신사동),공연별 상이,일요일,가능,공연별 상이,,,,,,,,,,,,,,,,,,,,,,,,,,613석,,,,,,,,,,,,,,,,,,,,,,,
코엑스 오디토리움,"삼성동 코엑스 건물 내에 위치한 코엑스 오디토리움은 1,080명 수용 가능한 대형 공연장이다. [아시아 유럽 정상회의]를 위해 설계된 시설로 공연뿐만 아니라 국제회의 및 대규모 심포지엄 등을 진행할 수 있다. 무대 전면에 대형 LED 스크린이 있고, 무대 좌우 듀얼 스크린도 갖추고 있다. 더불어 새의 날개를 형상화한 천장과 부채꼴 형태의 객석은 우아하고 화사한 분위기를 연출한다.
이 외에도 4층에 동시통역부스가 있고 옷을 보관할 수 있는 코트룸, 오디토리움 미팅룸 등을 갖추고 있다.",,https://business.coex.co.kr,서울특별시 강남구 봉은사로 524 (삼성동) 코엑스 컨벤션 3층,10:00~18:00,연중무휴,가능,행사별 상이,,,,,,,"최초 30분 3,000원 / 15분 1,500원",,,,,,,,,,,,,,,,,,,"1,080석",,,,,,,,,,,,,,,,,,,,,,,
