place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,review,지정현황,화장실,이용가능시설,이용요금,규모,접근로,출입통로,장애인 주차 안내,엘리베이터,휠체어,수유실,유모차,관람석,주차 요금,주차요금,지체장애 기타 상세,점자 홍보물,오디오 가이드,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,시설이용료,체험가능 연령,판매 품목,대중 교통,주요시설,시각장애 기타상세,청각 장애 기타상세,개장기간,부대시설,수용인원,할인 정보,보유장비,대여안내,객실,강습안내,입점브랜드,보조견 동반,안내 요원,스포츠 시설 여부,점자 블록,유도안내 설비,바비큐장여부,세미나실 여부,영업시간,대표메뉴,취급메뉴,코스안내,매표소,이용 시기,청각장애 기타상세,보조견동반,영유아가족 기타상세,체험
행담도,행담도는 충남 당진시 신평면에 있는 규모가 큰 섬이다. 썰물 때면 갯벌이 드러나 두 배 넘게 넓어지는 섬이다. 지명 유래를 보면 ‘행’은 간만의 차가 가장 심한 백중사리 때 갯벌 물이 빠져 육지에서 섬까지 걸아갈 수 있다는 의미다. ‘담’은 평소에는 물에 잠겨 있다는 것을 뜻한다. 서해안고속도로 건설로 2000년 완공된 서해대교가 이 섬을 관통하게 되면서 행담도 휴게소가 설치됐다. 전국의 고속도로 휴게소 중 가장 많은 사람들이 찾고 매출액도 최상위권인 곳이다. 휴게소와 함께 대형 아울렛 매장도 자리하고 있어 쇼핑을 하며 관광을 할 수 있다. 또한 행담도 앞바다의 광활한 풍경을 조망하며 산책을 할 수 있다.,,,충청남도 당진시 신평면 서해안고속도로 275,상시 개방,연중무휴,"가능
요금 (무료)",무료,"서해안에 가볼만한 휴게소. 주차장도 넓고 간식들이 모두 다 모여있는 듯합니다. 화장실도 크고 모다아울렛도 있는 종합 휴게소. 서해안고속도로를 타고 내려가다보면 서해대교의 3/2지점쯤에 행담도라는 휴게소가 나오는데 바다위에 있기 때문에 풍경도 볼수 있고, 휴게소라 맛있는 먹거리도 많아 한번 쯤 둘러 보시면 좋아요~ 저는 행담도 핫도그를 제일 좋아해요~~ㅎㅎ 당진시 신평면과 우강면 갈 때 서해대교 타고 지나가다 들렸는데 행담도에서 바라보는 바다 풍경이 매우 아름답더라고요. 당진에는 솔뫼성지, 신리성지, 합덕성당이 있어 천주교의 산실을 생생하게 경험할 수 있어서 참 좋습니다. 당진 갈 때 행담도 들려 잠시 쉬다가는 재미도 쏠쏠~~",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아트센터고마,"공주 고마나루길에 있는 아트센터꼬마는 창조와 문화 영역이 조화된 문화예술 복합공간이다. 관객의 개인 가치, 대중, 지역민을 우선시한다. 또한 참여와 개입이 이루어지는 소통의 공간, 사회의 공간으로 확대시키고 우수한 전시, 대관, 공연 콘텐츠 제공으로 지역 대표 문화예술 중심지를 자처한다. 아트센터고마는 다양한 전시, 행사 등을 통해 관람객에게 풍요로운 삶을 제공하며, 문화와 관광을 통해 시민들이 행복한 삶을 영위할 수 있는 가치를 추구한다.",,http://www.gongjucf.or.kr/,충청남도 공주시 고마나루길 90 (웅진동),10:00~18:00,매주 월요일 / 법정 공휴일,가능,,,,,,"무료
※ 대관 시 별도 문의","대지 71,294㎡ / 건축연면적 6,123㎡ (지상3층)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전시 및 문화예술교육 프로그램
바둑이네동물원,"바둑이네 동물원은 충남 보령시 계화예술공원 내부에 자리한 소규모 동물원이다. 동물원 내부에는 산책로와 동물 사육장이 잘 조성되어 있다. 이곳에는 말, 타조, 양, 사슴, 당나귀 등의 다양한 동물들을 만날 수 있다. 각종 동물에게 먹이를 주는 체험이 가능하다. 아이와 함께 자연 속에서 동물과 교감하는 특별한 시간을 보낼 수 있는 공간이다. 동물원 주변에는 성주산자연휴양림, 만수산자연휴양림이 위치해 있다.",,,충청남도 보령시 성주면 성주산로 673-24,10:30~17:00 (입장마감 16:30),매주 화요일,"가능
요금 (무료)","- 일반 8,000원
- 단체 (주중 10인 이상) 7,000원
※ 무료 : 24개월 미만
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",아이들이 정말정말 좋아해서 자주 들르는 곳이예요ㅎ 한 번 가면 계속 가시게 될 거예요!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성성호수공원,"업성동의 '성', 성성동의 '성'을 따서 합쳐 만든 업성저수지가 탈바꿈한 곳으로 업성저수지의 수질이 6등급으로 악화되어 농업용 저수지로서의 기능이 상실하여 천안시의 수질개선 및 자연생태계 복원 사업으로 '성성 호수 공원'으로 탈바꿈되었다.
방문자 센터(홍보관/체험관), 잔디마당과 숲 놀이터, 생태탐방로 및 자연 관찰 교량인 성성 물빛 누리교, 인공식물 섬, 물 순환시설 등 자연과 사람이 공존하는 도시생활 속 친환경 생태공원이며 이 공원에는 멸종 위기의 금개구리와 맹꽁이 등 다양한 양서류들과 원앙, 청둥오리, 흰뺨검둥오리 등을 구경해 볼 수 있다.",,https://www.cheonan.go.kr/,충청남도 천안시 서북구 성성2길 66,상시 개방,연중무휴,가능,,"산책로 잘되있어서 걷기좋아요~ 중간중간에 그네의자도있어서 물멍 새구경하기도좋고 주변 맛집이라 베이커리 카페도 많아요~~~ 커피 마시러 갔는데 뷰가 너무 좋았어요. 오리풍선 띄어져 있는 거 보니까 너무 귀엽더라구요. 밤에 보면 좀 더 멋있을 것 같았습니다 풍경이 정말 최고예요. 근처 가실 일 있으면 들려서 커피 한 잔 하고 가시면 좋을 것 같습니다. 성성호수공원은 밤에 산책하러가기 탁월한 장소입니다. 호수 중간에 반짝반짝한 조명이 화려하고 산책로가 잘 정비되어 있어 저녁시간 이후 주로 찾게됩니다. 근처에 호수매운탕 이라는 매운탕 맛집이 있는데 꼭 들러보시길 추천드립니다. 제가갔을때는 바람도 살랑살랑불고 산책하기 너무좋더라구요 ~ 생각보다 너무좋더라구요 아직은 개발이 덜되서 볼거리는 크게없지만 산책하기는 괜찮아요 주변맛집도 몇군데있어서 가벼운나들이 정도로 좋을듯합니다 비오는 일요일 아침 산책하니 상쾌하네요... 런닝하시는 분들도 많구요... 물고기도 많고 다양한 새도 많고 예쁜 꽃도 ..,.. 한적하니 둘러보기 좋은 성성호수공원! 그늘막이 좀더 있었으면 좋겠어요.. 빨리 주변 나무들이 자라서 그늘을 형성하면 좋을듯 합니다",,장애인 화장실 있음,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,,,,,,,점자안내판 있음,,,,,,,,,,,,,,,,,,,,,,,,,,동반가능,,,점자블록 있음(주요시설 앞)_시각장애인 편의시설,,,,,,,,,,,,,
고용산(고룡산),"고용산(고룡산)은 충청남도 아산시에 위치한 아름다운 산으로 등산객들에게 다양한 코스를 제공한다. 고용산의 정상에서는 아산시와 주변 경관을 한눈에 조망할 수 있어 많은 이들이 찾는 명소이다. 특히, 봄철에는 벚꽃이 만개하여 화려한 풍경을 자아내고, 가을에는 단풍이 아름답게 물들어 방문객들에게 감동을 준다. 또한, 고용산은 다양한 식물과 동물들이 서식하는 생태계의 보고로, 자연을 사랑하는 이들에게 최적의 장소이다. 등산로는 잘 정비되어 있어 초보자부터 숙련자까지 모두 즐길 수 있는 환경이다. 고용산은 자연과 함께하는 힐링의 공간으로, 많은 이들에게 사랑받고 있다.",,https://tour.chungnam.go.kr/,충청남도 아산시 영인면 신화리,상시 개방,연중무휴,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모나밸리,"모나밸리는 충남 아산시에 위치한 최대 규모의 복합문화공간이다. 1만여 평의 초대형 단지 안에서 문화와 예술이 어우러지며 맛과 휴식을 취할 수 있는 다양한 공간들로 구성되어 있다. ‘자연과 함께할 수 있는 전시, 공연, 휴식’을 테마로 물과 빛 그리고 소리가 함께 어우러지는 특별한 감성을 느낄 수 있다. 미식의 공간 레스토랑 The Red, 수변 무대와 워터가든을 자랑하는 베이커리 카페 The Green, 고품격 다목적공간과 다양한 전시가 열리는 아트 갤러리 The Purple로 이루어졌다.",,https://www.monavalley.co.kr,충청남도 아산시 순천향로 624 (장존동),10:00~22:00,연중무휴,가능,,회사마치고 드라이브 삼아 갈 수있는 몇안되는 나의 힐링포인트,,,,시설별 상이하므로 홈페이지 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤정사,"윤정사는 배방산 기슭에 있는 사찰로 대한불교조계종 제25교구 본사 봉선사의 말사이다. 윤정사가 있던 절터를 ‘아산 윤정사 사지’라고 하는데, 이는 현재 ‘윤정사’ 이름을 근거로 지은 것으로, 절터에 있던 실제의 절 이름은 전해지지 않는다. 대웅전 후면에는 산신각을 한 동 두고 있다. 대웅전은 정면 3칸, 측면 2칸의 건물이다. 요사채와 종각 등은 새롭게 신축한 것이다. 윤정사는 해마다 지역의 어려운 이웃들을 후원하고 있다. 쌀 나눔은 신도들의 정성을 통해 매년 이어지고 있으며, 기탁된 쌀은 아산시 취약계층 및 복지 사각지대의 저소득층에게 전달한다.

(사진 출처 : 한국향토문화전자대전, 한국학중앙연구원)",,,충청남도 아산시 배방읍 북수리 820-48,상시 개방,연중무휴,가능,,"어제 윤정사에 다녀왔어요 언제 가도 고즈넉한 분위기에 평온하고 마음이 온화해지는 윤정사입니다. 윤정사 올라가는 산책길에 새소리가 나고 푸르른 나무들을 보고 맑은 공기를 마시니 마음까지 정화되는 느낌으로 너무 좋더라고요. 윤정사에서 가족들과 함께 절도 하고 불공도 드리고 마음속으로 나미아미타불관세음보살도 읊어 보았어요. 윤정사 이곳저곳을 거닐며 윤정사의 예쁜 곳들을 눈에 담고 마음에 담고 왔습...
더보기 윤정사는 배방산 기슭에 있는 작은 절인데요 굉장히 조용하고 평화롭고 심신이 안정되는 느낌을 받을 수 있는 곳인 것 같아요. 윤정사 가는 길 산책로도 좋고, 윤정사에 핀 갖가지 꽃들도 구경하고 불상에 공양도 드리고, 몸과 마음이 정화되는 기분을 가족과 친구와 연인과 느껴 보세요^^",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
불당동 유적공원 (선사유적지 공원),"불당동 유적공원은 충남 천안시 서북구에 자리 잡고 있다. 천안시 불당지구 택지개발사업 과정에서 발굴 조사된 유적을 정비하고 복원하여 조성되었다. 공원에서는 청동기 시대의 집터와 후대의 무덤들을 살펴볼 수 있다. 특히 청동기 시대의 집터는 아주 긴 방형 주거지가 특징적이며, 부여 송국리 유적에서 많이 유행하는 원형, 방형 집 자리가 주를 이룬다. 청동기 시대의 전기와 중기에 해당되는 대단위 취락유적이며, 우리나라 선사문화를 연구하는데 귀중한 자료이다.",,,충청남도 천안시 서북구 불당동 815,상시 개방,연중무휴,가능,무료,천안 불당동 유적공원은 집이라 가까이 있어 가족과 함께 산책하거나 나들이 가기 좋은곳입니다. 청동기 시대 우적이라 아이들도 좋아하고 학습에 도움이 됩니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아산 외암마을 건재고택,"아산외암마을 내에 위치하고 있으며, 1800년경에 현재의 모습을 갖춘 중부지방의 대표적인 양반가옥으로 영암집이라고도 한다. 조선 숙종때의 문신 이간(李柬, 1677~1727)이 태어난 집을 현 소유자의 증조부인 건재 이상익(1848~1897)이 고종 6년(1869)에 지금 모습으로 지었다고 전한다. 도자기, 낙관, 서화, 현판, 생활용구 등 유물 300여점이 대를 이어 보관되고 있으며 특히 사랑채에 보관중인 이간의 교지는 입향조의 근거자료로서 가치가 크다.",,https://www.heritage.go.kr,충청남도 아산시 외암민속길 19-6,하절기 09:00~18:00 / 동절기 09:00~17:00,연중무휴,"있음 (제1주차장, 제2주차장)","어른 2,000원 / 어린이, 청소년, 군인 1,000원
65세 이상, 7세 미만, 아산시민, 민박손님 무료",진짜 사람이 살고 있는 한옥마을이였어요. 규모가 크진 않았지만 입구에서 떡 치는것도 보고 살 수 있었구요. 큰고택들이 많았지만 내부를 볼 수 있는건 한계가 있더라구요. 개방된 고택 앞에 멋있는 은행나무가 있어서 사진도 여러방 찍었습니다. 입장료가 발생되는만큼 내부가 좀 더 오픈되면 좋을것 같아요.,국가민속문화재,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"지역문화재 활용사업 (고택종갓집, 문화재 야행)"
향온,"향온은 청양 대표 여행지 장곡사 입구에 위치한 양조장으로, 석탄 향이 특징인 지역 전통주를 빚고 나누는 일에 전념하고 있다. 관광객들은 체험장에서 전통주 빚는 법을 배우고 시음도 하며 일상에서 쉽게 접하기 힘든 전통주 문화를 경험할 수 있다. 향온은 발효의 미학 속에서 피어나는 향기로 술 빚는 사람과 술 즐기는 사람의 마음을 이어주며 전통주의 맛과 멋을 즐기는 힐링 여행을 선사한다.",,공식 인스타그램 https://www.instagram.com/hyang.on_official/,충청남도 청양군 장곡길 43-7,10:00~19:00 (휴게시간 12:00~13:00),매주 주말,"가능 (10대)
요금 (무료)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전통주 시음
부여북포한옥마을,"뒷개한옥촌민박협의회는 부여읍에 위치한 한옥 단지에 위치해 있다. 10여 개의 한옥이 단지를 이루고 있으며, 현 사업체는 나성한옥, 월함지, 의자왕한옥, 서동선화한옥 4곳의 한옥이 참여 중이다. 한옥 카페가 있는 나성한옥, 단체 숙박하기 좋은 의자왕한옥, 연인들이 사랑을 키우는 서동선화한옥, 가족 숙박객들이 편히 쉬어가는 월함지 등 한옥마다 색다른 특징으로 숙박 프로그램을 운영 중이다. 특히 평일 단체와 기관 등이 부여 방문 시 한옥 단제 전체가 숙박이 연계된 있어 100여 명도 동시 숙박이 가능하다.",,공식 홈페이지 http://www.부여북포한옥마을.com/,충청남도 부여군 뒷개로27번길 10-1,※ 한옥별로 상이함,,※ 한옥별로 상이함,,,,,인근 홍산 동헌 / 객사 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아홉 살이 관광,"아홉 살이 관광은 부여홍산을 기반으로 체험과 여행프로그램을 운영하는 주민사업체이다. 부여홍산의 역사자원인 보부상을 소재로 조선시대 보부상을 경험해 보는 보부상 복식체험과 보부상 시장체험, 홍산의 역사와 문화자원을 배경으로 한 홍산 보부상투어 등을 경험해 볼 수 있다.",,,충청남도 부여군 동헌로 31 한국농촌공사,,,가능 30여대,,,,,"인근 홍산 동헌, 객사 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
누리마루숲,"누리마루숲은 대관, 공간대여, 장소대여 업체이며 카페 카프닉과 동일한 장소이다. 카프닉은 카페 뒤편 숲 속 정원에서 피크닉을 즐길 수 있는 카페이다. 자연 속에서 힐링이 가능하며 피크닉 패키지가 있어서 감성소품과 함께 인생샷도 남길 수 있다. 카페 이용 시 누리마루숲 정원은 무료로 이용할 수 있다. 피크닉 세트는 음료 2잔과 디저트, 피크닉 용품으로 구성되어 있다. 대표메뉴는 호두라테, 호두쉐이크이며 그 외에 다양한 음료와 디저트가 준비되어 있어 취향껏 메뉴선택이 가능하다.",,공식 인스타그램 https://www.instagram.com/cafe_caffnic,충청남도 천안시 동남구 향교1길 104-24,11:30~18:00 (마지막 주문 17:00),매주 월요일,가능(80대),,일상생활에 지쳐 가면 힐링 될듯 해요~,,,카페 / 공간대여용 룸 / 야외 테이블,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보조견 동반 가능,,,,,,,,,,,,,,,,피크닉 체험 / 천안 호두 시그니처 메뉴 맛보기 / 반려견 동반 사진 체험
옹도 등대,"옹도는 그 모양이 마치 독(옹기)과 같이 생겼다 하여 붙여진 이름인데 섬 한가운데 정상에 등대가 있어 등대섬이라고 불린다. 옹도 등대는 사람이 살지 않는 무인도로서 행정구역상 충청남도에 속하는 유인등대이다. 주로 대산, 평택, 인천항을 입출항하는 선박들이 서해안 항로를 따라 이곳을 거쳐 지나간다. 옹도는 동백나무 군락이 산등성 오솔길을 따라 밀집되어 있으며 섬 정상부에 형성되어 있는 동백나무 숲이 밀림을 방불케 한다. 선박을 접안할 수 있는 동북쪽을 제외하고는 대부분이 가파른 절벽으로 되어 있어 주변경관이 수려하고 산등성이에는 천남성이, 찔레꽃, 산벚나무 등의 자생식물들이 분포되어 있다. 옹도는 태안해안국립공원 내에 있어 해양관광자원으로의 잠재적 부가가치가 매우 높아 관할관청인 대산지방해양수산청에서 친 해양수산시설 문화공간을 조성, 일반 시민과 청소년들에게 건전한 여가선용 및 체험학습공간 제공을 위한 선착장 등 부대시설을 정비하고 있다.",,https://taean.go.kr/,충청남도 태안군 근흥면 가의도길 44-69,09:00~18:00,연중무휴,불가능,무료,옹도등대는 날씨와 선사 스케줄이 맞아야 방문할수 있는 섬 등대 입니다. 옹도등대는 무인도에 있는 유인등대 입니다. 옹도가 옹기를 닮은 섬이라서 그런지 옹도 정상에 있는 옹도 등대 앞에 커다란 옹기 조형물이 있네요. 태안에 물놀이 하러간김에 다른 관광지를 찾던중 용도 등대가 멋있어보여서 방문했었어요. 생각보다 잘 안알려진 곳인지 사람은 별로 없었지만 관리가 잘 되어있어 태안에 간다면 겸사겸사 한번쯤 놀러갈만 한 거 같습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태안 안흥진성,"태안 안흥진성은 돌로 쌓은 성이다. 근흥면 정죽리 안흥항의 뒷산에 위치해 있으며 조선 효종 6년(1655)에 축성된 것이다. 진성은 조선시대 지방의 군사적 중요지를 방어하기 위해 쌓은 성벽을 뜻한다. 안흥성에는 충청도 유일의 수군 방어영이 배치되어 왜구와 해적으로부터 선박을 보호하고 유사시에 강화도를 지원하기 위한 곡식을 관리하는 군사적인 기능을 해왔다. 이와 동시에 한양으로 가는 곡식을 실은 선박이 침몰하지 않도록 안전하게 인도하는 임무를 수행하였으며 중국의 사신을 맞이하기도 했다. 원래 안흥성에는 네 개의 성문이 있었는데 동문은 수성루, 서문은 수홍루, 남문은 복파루, 북문은 감성루라 불리었으며 현재는 서문만 문루를 복원한 상태이다. 성곽과 성문은 비교적 원형대로 남아 있어 성벽 구조와 축성 방법 등을 확인할 수 있다는 점에서 역사적 가치가 높다.",,https://www.taean.go.kr,충청남도 태안군 근흥면 정죽리 1155-1,상시 개방,연중무휴,가능,무료,,사적 태안 안흥진성 (2020.11.02. 지정),있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
할미할아비바위,"할미할아비바위는 충남 태안군 안면읍 꽃지해수욕장 인근에 자리 잡고 있다. 2009년 명승 제69호로 지정된 이후, 서해안 낙조 명소로 유명하다. 바위에는 슬픈 전설이 깃들어 있다. 신라시대 안면도 기지 사령관이었던 승언이 전투에 나갔다가 돌아오지 않자 아내 미도가 바다만 바라보다 할매바위가 됐다. 이후 할매바위 옆에 바위가 생겨나자 사람들은 할아비바위라고 불렀다고 한다.",,충남 문화관광 https://tour.chungnam.go.kr/,충청남도 태안군 안면읍 승언리 산27,상시 개방,연중무휴,,,태안둔을 여행하며 꽃지해안에 있는 할미할아비바위를 방문하여 산책을 하며 둘러 보았습니다. 할미할아비바위은 태안군을 여행하며 방문했습니다. 슬픈 전설이 깃든 바위라는 것을 처음 알았습니다. 잘 보고 왔습니다. 노을지는 여름 바다와 한장에 담아보는 할미할아비바위 슬픈전설은 전설대로 우리들의 행복한 시간은 시간대로 이쁜 사진 원없이 많이 찍고 돌아왔습니다. 유명한 곳이고 주차장도 넓어 많은 사람들이 오시는구나 할 정도.. 해저터널 생기고 교통량이 분산되어서인지 이동시에 차량이 없어 편안한 여행이었음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청벽산,"청벽산은 비교적 낮은 산이지만, 금강 굽이가 한눈에 내려다 보일 뿐만 아니라 금강을 끼고 붉게 물드는 낙조와 청벽대교의 야경 등으로 금강의 아름다운 자연환경을 볼 수 있어 주요 시가지와 멀리 떨어져 있음에도 사람들이 많이 찾는 곳이다. 청벽산 서쪽 사면 말단부에는 충남과학고등학교가 자리 잡고 있으며 그 앞으로 국도 32호선이 달리고 있다. 청벽산의 북동쪽에는 충청남도 산림박물관이 자리 잡고 있다.",,https://tour.chungnam.go.kr/,충청남도 공주시 반포면 마암리 산 4-4,상시 개방,연중무휴,"가능
요금 (무료)",무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팔봉갯벌체험야영장,"팔봉 갯벌체험 캠핑장은 충남 서산시 팔봉면에 위치한다. 캠핑장 바로 앞에 펼쳐진 바닷가에서 물놀이를 하기에 좋다. 팔봉갯벌체험장이 따로 마련되어 있어 여유로운 갯벌 체험이 가능하다. 부대시설로는 전기시설, 상하수도 시설, 샤워실이 마련되어 있다. 예약은 필수이다.",,,충청남도 서산시 팔봉면 범머리길 408,14:00 ~ 익일 12:00,연중무휴,가능,,,,가능,,"50,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삽교호수산물특화시장,"삽교호수산물특화시장은 삽교호 관광지 안에 있다. 시장 내부 상점에선 킹크랩을 비롯해 활어, 어패류, 건어물, 젓갈 등을 판매한다. 이곳을 방문한 사람들은 원하는 음식을 포장해서 가거나 2층에 있는 음식점에서 상차림 비용을 지불하고 맛볼 수 있다. 특히 2층 음식점에서는 삽교호의 풍경을 감상하며 식사를 할 수 있다.
인근에 삽교호 함상공원, 삽교호 놀이동산 등이 있어 식전이나 식후에 둘러보기 좋다.",,,충청남도 당진시 신평면 삽교천길 101-10,09:00~22:00,매월 마지막 주 수요일,있음 (약 소형 30대 주차가능),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"킹크랩, 활어, 건어물 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맷돌포선착장,"맷돌포선착장은 고깃배가 정박하는 아담한 포구다. 물이 들어오면 뱃머리가 오른쪽으로 돌고 반대로 물이 빠지면 뱃머리가 왼쪽으로 도는 것이 마치 맷돌 같다 하여 맷돌포라 불린다. 이곳은 낚시를 즐기려는 사람들이 많이 찾는다. 선착장 한편에 간이 의자를 펴고 앉아 맷돌포 앞바다를 감상하며 낚시하는 사람들을 볼 수 있다. 싱싱한 해산물을 맛보려고 주변 음식점을 찾는 이도 많다. 선착장에서 멀지 않은 곳에 삽교호 함상공원, 당진해양캠핑공원 등이 있어 연계 관광하기 좋다.",,https://tour.chungnam.go.kr/,충청남도 당진시 신평면 부수리 225-9,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안섬포구,"현대 제철에 둘러싸인 한적한 포구다. 안섬 풍어제와 함께 가을철 갯벌 낙지로 유명하며, 매년 충청남도 무형문화재인 안섬 풍어 당굿이 열린다. 안섬 바로 앞에는 쌍바위가 있는데, 밀물과 썰물에 따라 사라졌다 나타났다 하는 것으로 유명하다. 안섬포구에는 빨간 무인 등대가 해안 제방에 설치되어 있다. 대금 형상을 한 8ｍ 높이의 원형 콘크리트 구조다. 넓게 탁 트인 서해의 풍경이 시원함을 더하는 안섬의 빨간 등대는 여행객들의 포토존이다. 등대는 관광객들에게 새빨간 대금 등대, 안섬 포구 등대, 빨간 안섬 등대 등 여러 이름으로 불리고 있다.",,,충청남도 당진시 송악읍 고대리 166-49,상시 개방,연중무휴,"가능(소형 10대)
요금 (무료)",무료,빨간등대와 한적하고 바지락칼국수가 맛있는곳입니다 바다가 보이는 노상 해물칼국수 여름 보양식이 따로없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용무치항,"용무치항은 석문 해안도로 드라이브 코스도 관통하는 곳으로 석문면 장고항리 북쪽 아산만 해안가의 작은 포구이다. 용무치라는 명칭에서 알 수 있듯이 용이 살던 연못이 있었다고 전한다. 이곳은 당진의 대표 관광지인 장고항과 왜목마을 사이에 자리 잡고 있다. 용무치항 선착장에 서면 국화도와 도지섬을 조망할 수 있다. 밀물 때는 낚시를 즐기는 사람들이 많다. 썰물 때가 되면 용무항 주변으로 널찍한 갯벌이 드러나는데, 굴, 바지락 등을 채취하는 갯벌 체험이 가능하다.",,,충청남도 당진시 석문면 장고항리,상시 개방,연중무휴,"가능
요금 (무료)",무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한진포구,"한진포구는 당진시 북동쪽에 있는 포구다. 서해안고속도로의 송악 IC와도 가까워 관광객의 방문이 잦다. 이곳은 아산방조제가 건설되기 전까지는 인천항으로 가는 여객선을 운항했다. 일제강점기에는 숭어 어란을 일본에 실어 나르던 포구였다고 한다. 아산현감 토정 이지함과 관련한 개항 전설이 전해져 온다. 이곳은 또한 매년 한진포구 바지락 갯벌 체험 축제가 개최되는 장소다. 축제 시즌이 되면 싱싱한 바지락을 맛보고, 바지락 캐기 체험 등을 하기 위해 많은 사람이 몰려든다. 주변에 심훈 작가가 상록수를 집필했던 필경사, 서해안에서 일출을 볼 수 있는 왜목마을이 있어 함께 둘러보기 좋다.",,https://tour.chungnam.go.kr/,충청남도 당진시 송악읍 한진리 95-14,상시,연중무휴,"가능
요금 (무료)",무료,서울에서 당진은 가까워서 자주 바람쐬러 옵니다. 당진에 한진포구 해상산책로가 잘되어있어 걷기좋습니다. 서울에서 당일코스로 좋은장소인것 같습니다. 한가하고 좋아요 찾아간 날은 바람이 너무 심하게 불어 사진 속 내가 볼품 사납게 나와서 간직하기가 좀 ~~ㅋㅋㅋ 그리고 주차장은 바로 찾았는데 바다 위 데크 가는 길 입구를 찾느라 조금 시간이 걸렸네요. 표지판이나 안내판이 잘 보이게 설치 되어 있으면 좋겠어요. 한진포구길 정감있고 좋네요. 서해대교가 보이는 한진포구길 거리 0.95km 한진포구길 너무좋네요. 가족들이랑 같이 다녀왔는데 바람이 너무 시원하고 탁 트여서 속이 다 후련했어요 좋은 시간 보내고 힐링하고 왔어요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다사항,다사항은 서천군 비인면 다사리 바닷가에 자리한 해발 60m의 봉우리가 남쪽으로 자락을 내려 바다와 접하는 곳에 마련된 조그만 항구이다. 이곳은 다사리와 인근 마을 어부들 고깃배의 정박지로 어부들이 작업을 끝내고 그물을 손보는 모습을 엿볼 수 있다. 또한 만이 발달한 곳에 위치하여 바다낚시를 즐기려는 사람들이 종종 찾는 곳이기도 하다. 다사항은 항구 남서쪽 바다로 향해 긴 방파제가 나있다. 바다로 길게 뻗어 나간 방파제는 다사항의 일출과 일몰감상의 포인트로 방파제에서 맞이하는 일출과 일몰을 볼 수 있다.,,https://www.seocheon.go.kr/,충청남도 서천군 비인면 갯벌체험로944번길 64-12,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
