place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,화장실,주차요금,review,이용요금,접근로,출입통로,장애인 주차 안내,엘리베이터,대중 교통,이용가능시설,입장료,시설이용료,유모차,수유실,휠체어,유아용보조의자,판매 품목,체험가능 연령,시각장애 기타상세,규모,개장기간,부대시설,주요시설,객실,입점브랜드,관람석,점자 홍보물,수용인원,오디오 가이드,지체장애 기타 상세,주차 요금,점자 블록,대여안내,보조견 동반,안내 요원,코스안내,보유장비,강습안내,이용 시기,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,영유아가족 기타상세,체험
국립 신불산폭포자연휴양림,"신불산폭포자연휴양림은 해발 1천 미터 이상의 수려한 산세와 풍광을 자랑하는 영남알프스의 두 번째 고봉인 신불산(1,159m) 자락에 위치해 있다. 주변 계곡은 기암괴석과 다양한 수종이 어우러져 태고의 신비함을 간직하고 있으며, 맑고 깨끗한 계곡은 수량이 풍부하여 찾는 이들에게 정신적, 육체적 힐링을 경험하게 한다. 또한 신불산폭포자연휴양림은 전국의 다른 휴양림과는 달리 상단과 하단휴양림으로 나누어져 운영되고 있으며, 하단에서 약 1시간 걸어가면 나오는 상단휴양림은 가장 느리게 가는 휴양림으로 알려져 있다.
상단휴양림 내에는 통나무로 만들어진 숲속의 집 5동과 휴양관 16실의 시설이 있으며 신불산 중턱에 있어 억새군락지로 유명한 간월재와 신불산을 쉽게 탐방할 수 있는 베이스캠프의 역할을 하고 있다. 또, 통행 차량이 없어 더욱 조용하고 편안하다.
하단휴양림은 휴양관 2동 18실과 연립동 2실이 있으며 여름이면 피서지로 선택하는데 아무런 주저함이 없을 정도다. 약 30분 정도를 걸으면 파래소폭포가 나오는데 이곳은 명주실 한 타래를 풀어도 바닥에 닿지 않는다는 전설이 있을 만큼 깊고 맑다.",,https://www.foresttrip.go.kr,울산광역시 울주군 상북면 청수골길 175,"- 일일개장 09:00~18:00
- 숙박시설 15:00~익일 11:00",매주 화요일,"가능
요금 (3,000원)",,있음,,"고속도로에서 내려 5분만 가면 깊은 산골의 정취를 만끽할 수 있어 접근성도 좋고 경치도 훌륭합니다. 설연휴 공짜 휴일이 생겨 1박을 했는데 간만에 설경까지 구경하고 갑니다.. 상단휴양림은 가을에, 하단휴양림은 올해 설명절연휴기간에 숙박했어요. 양단휴양림 사이에 있는 파래소폭포가 꽝꽝 얼어있고 상단휴양림은 동절기 동안 폐쇄되어있었어요.본격적인 산행은 아니지만 하단휴양림에서 상단휴양림까지 다녀오니 어느정도 운동이 되더라구요.",,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,장애인 전용 주차구역 있음(2대)_무장애 편의시설,,,숲속의 집 / 휴양관 / 연립동 / 야영장,,"[개인]
- 어른 1,000원 / 청소년 600원 / 어린이 300원
[단체] 20인 이상
- 어른 800원 / 청소년 500원 / 어린이 200원
※ 65세이상 / 6세 이하 무료
※ 숙박시설과 야영장 숙박료 및 자세한 내용은 홈페이지 참조",,,,,,,,,,,,장애인 객실 있음,,,,,,,,,,,,,,,,,,,,,,,,,숲속체험 프로그램 / 목재문화체험교실
와항재,"고헌산은 울주에 위치한 영남알프스의 8개의 산 중 하나로 옛 성터가 남아있으며 정상의 전망이 아름다운 산이다. 울주군 언양의 진산으로 언양이 헌양으로 불릴 때 근방에서 가장 높은 산이라 하여 고헌산이라고 이름이 붙여졌다고 한다. 와항재는 고헌산 들머리로 많이 이용하는 최단 코스의 시작점이기도 하고 인근에 있는 문복산과의 연계 산행이 가능하여 많이 이용하는 코스이다. 경주시 산내면으로 이어지는 고갯마루로 어느 곳은 외항재, 어느 곳은 와항재라 표기하고 있다. 산내면 대현리에 와항이란 마을이 있는데 기와 굽는 흙이 많이 생산되어 이름이 붙었다고도 하고 일대 지형이 기와처럼 생겨 기와목(한자 표기로 와항)으로 불렀다는 이야기도 전한다.
고헌산을 본격적으로 오르기 전 와항재에서 바라보면 왼쪽 뒤로 문복산과 두름바위가 보이고 오른쪽으로 서담골봉과 조래봉이 펼쳐진다. 와항재에서 고헌산 정상까지 약 2.5km, 원점회귀까지 2시간이면 넉넉하게 다녀올 수 있는 코스다.",,,울산광역시 울주군 상북면 소호리,상시 개방,연중무휴,"가능
요금(무료)",,,,낙동정맥 종주길과 산내면 소호마을로 내려가는 와항재는 산행하시는 분들의 시작 또는 종료 지점 혹은 잠시 쉬어가기 좋은 곳 입니다.,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선바위(입암),"울주군 범서읍 태화강변 입암마을에 위치한 바위로 백룡이 살았다는 백룡담 푸른 물속에 서 있는 기암괴석이다. 깎아지른 듯 우뚝 서 있는 바위라 하여 선바위(入巖)라 부른다. 높이는 약 33m(수면 위 21m, 수면 아래 12m)이고, 수면 위 둘레는 46m, 바위 최정상 폭은 약 3m인데 꼭대기에는 삼봉을 이루고 정상에는 잡목 몇 그루와 잡초들이 자라고 있다. 옛사람들에 의하면 날이 가물어 비가 오지 않을 때 이곳에서 기우제를 올리면 영험이 있었다고 한다. 울산의 대표적인 관광지로 예로부터 빼어난 경치에 시인묵객이 즐겨 찾아 절경을 노래한 시가 전해오고 있다.
선바위를 마주 보는 벼랑 위에는 학성이씨의 정자인 용암정과 통도사의 말사인 선암사가 서로 인접하여 있으며 태화강 생태관이 바로 옆에 자리 잡고 있다. 선바위 건너편의 선바위공원에는 피크닉 장소와 아이들의 놀이터인 도담도담 숲 체험원이 있다. 태화가 십리대밭과 함께 철새도래지로서 울산 12경에 선정됐다.",,https://tour.ulsan.go.kr/,울산광역시 울주군 범서읍 모두박길 6-1,상시 개방,연중무휴,"가능
요금 (무료)",,있음,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태화강,"울산시 울주군 두서면 백운산 탑골샘에서 발원하여 울산시 매암동 부근의 동해안으로 유입되는 길이 47.54㎞, 유역면적이 643.96㎢에 달하는 강으로, 울산지역민들과 역사를 같이하는 울산의 젖줄과 같은 소중한 하천이다. 태화강에서는 십리대숲과 더불어 연어, 은어 등 토종 어종 및 백로, 고니, 수달, 너구리 등 700여 종의 다양한 동·식물들이 서식하고 있다. 또한 하구의 태화강 철새공원은 국내 도심 속 최대 철새 도래지로써, 백로(8천여 마리)와 까마귀 떼(5만여 마리)의 화려한 군무가 장관을 이루며, 계절별 철새 학교 등 다양한 생태체험도 가능하다. 가을철 태화강 하구 억새단지의 석양과 어우러진 은빛 억새물결 또한 환상적인 배경을 연출한다.",,https://www.ulsan.go.kr/,울산광역시 남구 무거동 (무거동),상시 개방,연중무휴,"가능 (태화강 국가정원 공영주차장)
- 요금(60분 1,000원)",,있음,,"소고기 축제에 참여하기 위해 온가족 출동!!! 태화강을 따라 정원이나 운동시설 파크볼 등 다양한 볼거리가 많았어요 다양한 행사들로 북적이는 태화강은 울산 시민들의 안식처같은 공간이랍니다 어제까지 조금 아쉬웠지만 소고기도 먹고 산책도 하고 넘 즐거웠어요^^ 태화강은 울산의 중심으로 흐르는 강으로 태화강국가정원과 함께 무척 아름답습니다. 태화강은 울산광역시에 있는 강으로 십리대밭과 함께 태화강국가정원을 품고 흐르는 아름다운 강 입니다. 등산보다 산책을 좋아했어 가게된 곳입니다 산책하기 정말 좋은 곳이네요 강 길을 따라 걷기도 좋고 억새나 대나무 숲길도 정말 좋네요 4계절 모두 매력적인 곳입니다 산책로도 잘되어 있고 근처 맛집도 많아요 울산역에서 시내버스타고 40분정도 가야하지만 꼭 가볼만한 국립공원입니다 힐링도 되고 시내랑도 가까워서 근접성도 좋아요 숙박시설도 많으니 걱정 안하셔도되구요 힐링 많이 하시고오세요 지난주에 다녀왔는데 역시 좋습니다. 강과 억새, 높고 파란 하늘이 환성입니다. 태화강 너무 가보고 싶어요. 근데.. 이 날씨에는 너무 덥겠죠??? 국가정원 한번 꼭 가보세요",,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주전몽돌해변,"주전몽돌해변은 울산 12경으로 울산 시민들이 즐겨 찾는 여름철 대표 해변 관광지이다. 주전은 땅이 붉다는 뜻으로 땅 색깔이 붉은색을 띠고 있다. 몽돌은 모가 나지 않은 둥근돌을 말한다. 동해안을 따라 1.5km 해안에 직경 3~6cm의 동글동글한 까만 몽돌이 해안에 길게 늘어져 있어, 절경을 이루고 있다. 해변에는 노랑바위, 샛돌바위 등 많은 기암괴석이 있다. 또한, 주전몽돌해변의 파도 소리는 동구의 소리 9경 중의 하나이기도 하다. 산과 바다를 끼고 이어지는 국도는 드라이브 코스로 으뜸이며 주변에 볼만한 곳들도 많아 겨울 관광지로도 인기를 모으고 있다.",,https://tour.ulsan.go.kr,울산광역시 동구 주전동,상시 개방,연중무휴,"가능
요금 (무료)",,장애인 화장실 있음,,"드라이브하러 오기좋은 곳 바다가 깔끔해서 자주 찾아요 이제 곧 여름이 오면 사람들로 바글바글해질 곳!! 울산 살때는자주 바다보러 갔었는데 이젠 넘 먼곳이네요.. 작은 돌들을 밟으며 해안가를 신책하는 기분은.. 너무너무 평화로웠는데.. 여름 오기전에 다녀와야해요.. 올해는 꼭 다시 가보기로 다짐해봅니다 울산 머큐어호텔 바로 앞에 있다보니 아침산책으로 꼭 몽돌해변을 걸어요 모래가 아니라 돌로 이루어져있어서 색다르고요 산책하는 동안 군소만 3-4마리 본거같아요 아직까진 바닷바람이 차갑네요. 평일이라 조용합니다 ""주전몽돌해변""은 울산광역시 동구 주전동에 위치합니다. 보통의 해변은 백사장으로 이루어져 있는데 여기는 자갈로 이루어져 있는게 특징입니다. 동해 바다의 푸른 파도와 몽돌이 부딪치며 나는 소리가 무척 아름답습니다. 돌맹이를 좋아하는 조카와 아들이랑 주전 몽돌 해변 다녀왔어요~! 꼬맹이 둘은 돌맹이가 그렇게 좋은가봐요ㅎㅎ 군데군데 화장실도 많이 있고 오늘은 주차장도 꽉찰 정도로 피서객들이 많더라구요. 주전몽돌해변이 아름다워서 사람이 많았던것 같아요^^ 저희가족의 최애 주전몽돌해변 추천드립니다 울산 북구에 위치한 주전~ 바닷가 모래가 아닌 자갈이라 무척 좋았습니다 삼삼오오 둘러앉아 삼겹살 구워먹고 즐거운 시간이었어요^^ 차박하면서 낭만있는 몽돌해변을 느낄 수 있었고, 산책로가 있어 산책하며 바다를 느낄수 있었던 매력적인 몽돌해변 이었습니다 주전해변 주차장에서 1박을 했는데 오전 보니 차박 많이 하시고 텐트 갖고 오신 팀들도 많이 있더라고요. 자글자글 몽돌을 밟는 기분이 좋고 파도 소리 들으며 힐링하고 돌아왔어요. 다음에 또 가보고 싶은 곳이에요.",,해변구간까지 경사로가 설치되어 있음(남쪽 화장실 앞),해변구간까지 경사로가 있어 휠체어 접근 가능함,"장애인 주차장 있음(2대,장애인표지판)_무장애 편의시설",,,,무료,,,,,,,,,,,,,,,,,,,,,점자유도로 있음(화장실 앞)_시각장애인 편의시설,,동반가능,,,,,,,,,,,,,,,
방어진 활어센터,"방어진 활어센터는 울산광역시 동구 방어진항 인근에 위치하였다. 제철 어류인 다양한 어종의 횟감을 직접 보고 고를 수 있으며 신선한 활어회를 저렴한 가격에 구입할 수 있을 뿐만 아니라 주변에 시장과 횟집이 즐비하게 들어서 있고 즉석에서 회 맛을 즐기거나 깔끔하게 포장해 갈 수도 있다. 또한 수산복합공간으로 새롭게 단장하여 더욱 쾌적하게 이용할 수 있어 울산시민은 물론, 관광객의 발길이 끊이지 않는 곳이다.",,,울산광역시 동구 중진2길 5,07:00~20:00,매주 월요일,"가능
요금 (무료)",,,,"방어진활어센터는 유명한 방어진참가자미를 회로 먹을 수 있습니다. 산책 후 먹는 회는 정말 맛이 좋습니다. ""방어진 활어센터""는 방어진항에 있는 활어센터로 싱싱한 횟감이 많습니다. 방어진 활어센터에서 점심을 먹고 슬도 / 대왕암공원으로 산책을 하면 정말 좋습니다.",,,,,,,,,,,,,,회 / 수산물 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태화강억새군락지,"태화강을 따라 울산 남구, 북구, 중구에 걸쳐 조성된 태화강 억새군락지는 가을이면 온통 은빛 물결이 출렁이는 가을 산책코스로 변모한다. 특히, 북구 명촌교 아래에서 아산로 양정 1교 부근의 억새밭은 12만 6,055㎡로 가장 넓은 면적을 자랑한다. 보통 억새군락지들은 산에 올라 볼 수 있는데, 태화강 억새군락지는 자전거도로와 산책로를 따라 평지를 걸으며 즐길 수 있다. 산 위의 억새군락지는 해가 지기 전에 하산을 서둘러야 해서 그 진가를 보기 어렵지만, 이곳에서는 강변의 넓게 펼쳐진 은빛 억새가 황금색으로 물들어 반짝이는 광경을 눈앞에서 감상할 수 있다. 도심에 위치해 있어서 접근성이 좋으며 억새군락지 데크길 곳곳에 조형물과 벤치가 있어 편리하다.",,,울산광역시 북구 명촌동,상시 개방,연중무휴,"가능
요금 (무료)",,있음,,억세 사진찍는데 취미붙였을때 추천받아서 갔던 곳입니다. 산책로를 만들어주셔서 걸으면서 사진도 찍고 엄청난 양의 억세를 보는게 장관였던터라 아직까지 기억에 남네요 너무 좋았어요,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울주 구량리 은행나무,"울주 구량리 은행나무는 조선 초기 이지대 선생이 심은 것이라고 전한다. 선생은 고려 후기 유명한 학자이자 정치가였던 익재 이제현의 4대손이다. 조선 태조 3년(1394) 경상도 수군만호로 있으면서 왜구가 탄 배를 붙잡은 공으로 임금으로부터 상을 받았으며, 그 후 벼슬이 높아져 한성판윤에 이르렀다. 단종이 즉위한 1452년 수양대군이 김종서, 황보인 등을 죽이고 안평대군을 강화도로 유배시키는 등 정치가 어지러워지자 벼슬을 버리고 이곳으로 내려와 살게 되었다. 이때 서울에서 가져와 뒤뜰 연못가에 심었던 것이 이 은행나무라고 전한다. 따라서 이 전설대로라면 나무의 나이는 약 600년 정도인 셈이다. 구량리 은행나무는 높이 22m, 가슴 높이의 둘레가 12m에 이른다. 이 나무를 훼손하면 해를 입는다고 하고, 아들을 낳지 못한 부인들이 나무에 정성껏 빌면 아들을 낳는다는 전설도 있다.",,https://www.khs.go.kr/main.html,울산광역시 울주군 두서면 구량리 860,상시 개방,연중무휴,"가능
요금 (무료)",천연기념물 울주 구량리 은행나무 (1962. 12. 07. 지정),,,구량리 은행나무 보고 왔어요. 나무에서 웅장함이 느껴져요. 울주에 캠핑가다가 나무보려고 일부러 들렀어요 울창한 나무가 너무 예쁘네요 근처로 가신다면 가을에 꼭 가보세요,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용골산,"용골산(龍骨山)은 용골에 있어서 붙은 이름이다. 울주군의 서생면의 동쪽과 남쪽으로 동해안과 접하고 있는 해발 208.6m의 낮은 산지이다. 산세는 대체로 부드러운 편이며, 서쪽 사면은 급한 경사를 이루고 동쪽으로 갈수록 완만한 경사를 이룬다. 북쪽으로는 회야강이 흐르고 동쪽으로는 진하해수욕장과 솔개해수욕장, 나사해수욕장이 형성되어 있으며 육지의 동쪽 끝으로는 간절곶관광단지가 형성되어 있다. 높이는 낮지만 바닷가 산의 특성 때문에 주변 조망이 매우 뛰어나다. 전형적인 노년 산지로 노송들이 숲을 이루고 있으며 자연 그대로의 상태를 잘 유지하고 있다. 정상으로 오르는 길은 여느 산과 달리 다듬어지지 않은 산길을 따라 올라야 한다.
용골산의 주변으로는 용곡산, 봉화산, 태봉산 등의 낮은 산지들이 자리 잡고 있으며, 용골산 산 중턱에 물놀이와 불멍을 할 수 있는 어메이징 캠프가 위치해 있다. 문화재로는 서생포 만호진성과 서생포 왜성, 창표당지 등이 있다. 가볍게 등반하기에 적당한 높이의 산으로 주변 마을 사람들에게 인기가 있다.",,,울산광역시 울주군 서생면 용리 산43,상시 개방,연중무휴,불가능,,있음,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
처용암,"처용암은 처용랑과 개운포의 설화가 깃들어 있는 바위다. 신라 헌강왕(875-886)이 개운포에 놀이를 와서 쉬고 있을 때 갑자기 운무가 가려 앞을 볼 수 없게 되자 왕이 즉시 명을 내려 이 근처에 절을 세우도록 하였다.(현, 울주군 청량면 망해사) 그러자 운무는 씻은 듯이 걷히고(개운포) 해가 떠 동해용왕이 크게 기뻐하여 바다에서 일곱 왕자를 거느리고 나타나 춤을 추었는데 이 왕자들 중 처용이 바위에서 나왔다 하여 처용암이라 부르게 되었다고 한다. 이렇듯 신비롭고 영험이 있는 바위로 여겨져 온 처용암은 흑색 화강암 바위와 그 사이를 비집고 자라난 관목 몇 그루로 이루어져 있다. 산책하기 좋은 처용공원에서 소년 처용의 익살스러운 얼굴 표정을 형상화한 공식 캐릭터를 만나 볼 수 있고 매년 10월에는 처용문화제도 열리고 있다.",,https://www.ulsannamgu.go.kr/easyMain/mainPage.do,울산광역시 남구 황성동 668-1,상시 개방,연중무휴,"가능
요금 (무료)",울산광역시 기념물 처용암 (1997.10.09 지정),있음,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입화산자연휴양림,"입화산자연휴양림은 숙박시설인 소나무, 참나무, 편백나무 등 숲 속의 자연과 어우러진 야영장과 카라반 야영장 별뜨락, 나무를 이용한 모험놀이, 체험시설인 네이처 스포츠, 유명한 시와 노래 작품을 감상하며 산책하는 시와 노래가 있는 길이 있다. 시와 노래가 있는 길을 따라 여유 있게 걷다 보면 대나무숲 체험장도 있다. 또, 피톤치드를 배출한다는 편백나무 숲을 가로지르는 치유의 길에서 산림욕 체험이 가능하다. 그밖에 숲을 탐방하며 숲 속 생태를 관찰하고 숲의 소중함을 알게 하는 숲 해설 프로그램, 유아 숲 교육프로그램, 과수체험 프로그램 등을 운영하고 있다.",,https://camping.junggu.ulsan.kr/camping/index.do,울산광역시 중구 길촌길 335 (다운동),14:00~익일 13:00,매주 화요일,"가능
요금 (무료)",,있음,,아이와 함께 이용하기에 시설도 깨끗하고 너무 좋았어요. 산속이라 공기도 좋고 산책하기에도 좋아요 !! 근처 숲놀이터도 있어서 숲해설도 신청해서 참여할수 있어요. 당첨되기가 하늘의 별따기라 계속 실패하다가 드디어 당첨되어 다녀왔어요! 지자체 카라반 중 시설이 가장 좋은것같아요! 실내도 넓고 바베큐장도 컨테이너로 되어있어 눈.비가 와도 아무 걱정이 없어요! 아이들이 너무 즐거워해서 좋은 추억 만들고 왔어요^^,,,,,,,야영장 / 캠핑장 / 네이처 스포츠 / 산림욕장 / 치유의 길 등,무료,※ 시설별 상이하므로 홈페이지 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,숲해설 프로그램 / 유아숲교육 프로그램 / 산림 숲 속 체험교실
홍류폭포,"간월재, 신불산, 간월산으로 향하는 길목의 자연과 함께하는 문화공간 ‘영남알프스 복합웰컴센터’의 클라이밍센터 부근에서 시작되는 등산로를 따라가면 홍류폭포를 만날 수 있다. 가벼운 산책처럼 산길을 따라 약 1km쯤 오르다 보면 간월재, 신불산으로 향하는 갈림길에서 이정표를 따라 좌측 방면으로 발걸음을 옮기면 홍류폭포가 있다. 영남알프스 기슭에 자리 잡고 있는 울주 8경 ‘파래소폭포’와 함께 흥류폭포는 울산에서 빼놓을 수 없는 대표적인 폭포이다. 마치 은하수가 떨어지 듯 약 33m 높이에서 떨어지는 폭포수는 흩어져서 봄에는 무지개가 서리며 겨울에는 고드름이 절벽에 매달리고 위에서 흩어져 내리는 물은 하얀 포말을 만들며 쏟아져 내린다. 안내판에는 신선이 놀던 곳이라고 할 만큼 멋져서 이백의 시구 ‘비류직하삼천척’이 떠오른다고 적혀 있다. ‘나는 듯 떨어지는 물줄기가 삼천 척이나 된다’는 뜻으로, 그만큼 홍류폭포의 물길이 장대하고 아름답다고 한다.",,http://tour.ulju.ulsan.kr/,울산광역시 울주군 상북면 등억리,상시 개방,연중무휴,"가능
요금 (무료)",,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천전리공룡발자국화석,"천전리의 공룡발자국 화석은 약 1억 년 전 백악기 시대에 살았던 중대형 공룡들의 것으로 귀중한 자연사 자료이다. 천전리 공룡발자국 화석은 천전리 각석 맞은편, 대곡천 하천의 경상 누층군 대구층에 해당하는 암석 위에 드러나 있으며, 바위 위에 남아 있는 것은 대형 초식공룡인 한외룡 (울트라사우루스)을 비롯한 용각룡 열 마리의 발자국과, 중형 초식공룡인 조각류 이구아나룡에 속하는 고성룡(고성고사우루스) 한 마리의 발자국 등 2백여 개가 확인되고 있다. 나타난 발자국들의 흔적으로 보아 공룡들이 일정한 방향으로 이동한 것이 아니고 자유롭게 돌아다닌 것으로 보아, 이 일대가 공룡의 생활공간이었음을 알 수 있다. 공룡들이 아열대 기후의 대평원이나 하천, 평야에 살았던 것으로 알려져 있어, 이곳 일대가 먼 과거에는 열대 무역풍의 영향을 받는 사바나 지역이었음을 말해주고 있다.
공룡발자국 화석 AR 앱을 다운로드하여 이곳을 방문하면 백악기 공룡들의 모습을 증강현실로 만나 볼 수 있으며 공룡과 함께 사진촬영도 하고 공룡 수집도 하는 등의 특별한 체험이 가능하다.",,https://www.khs.go.kr/main.html,울산광역시 울주군 두동면 천전리 산 210,상시 개방,연중무휴,불가능,울산광역시 문화유산자료 천전리공룡발자국화석 (1997.10.09 지정),,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고헌산(울산),"고헌산은 울주군 상북면과 언양읍, 두서면의 경계를 이루고 있는 해발 1,033m의 높은 산으로 백두대간 낙동정맥이 낙동강 동쪽을 따라 내려오다 영남알프스에 이르러 고헌산을 처음으로 만난다. 예로부터 언양현의 진산으로 신성시하여 고을 이름인 언양도 그 옛 이름인 현양 또는 헌산에서 나온 것인데, 모두 고헌산의 이름에서 유래되었다고 한다. 정상으로 올라가는 길에는 억새군락과 장쾌하게 이어지는 전망이 볼거리가 많다. 산 정상에 이르면 옛 성터와 용샘이 있는데 가뭄에는 기우제를 지내기도 했던 곳이다. 서쪽으로 가지산이, 남으로는 신불산 간월산과 영취산(취서산)이 이어져 있고 산꼭대기는 돌벽으로 이루어져 있으며, 산 아래 동쪽에는 사연댐이 있다. 주변 관광지는 본치즈어리 유진목장, 두서면 구량리은행나무, 도동산방, 엠마오길, 자드락숲이 있다.",,https://tour.ulsan.go.kr/,"울산광역시 울주군 언양읍 , 상북면, 두서면 / 경북 경주시 산내면",상시 개방,연중무휴,"가능
요금 (무료)",,있음,,영남알프스 산군의 하나이며 정상에서 내려다보는 영남알프스 산군 및 멀리 울산시내까지 볼 수 있으며 야간에는 야경이 매우 아름답습니다. 영남알프스8봉도전중. 고헌산 일출을보기 위해서 새벽에 출발했는데 달과해를 동시에 본 하루였습니다 눈꽃산을보아서 좋았습니다,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산테마식물수목원,"울산테마식물수목원은 동해 남부지방의 산림휴양 문화공간으로 다양한 수목과 자생식물을 식재한 자연학습과 학술연구를 위한 공간이다. 로즈메리길, 유실수원, 배롱나무원, 침엽수원, 단풍원, 암각화폭포원, 무궁화원, 온실, 체험학습장, 수생식물원등의 주요 시설과 휴게실, 하늘전망대, 갤러리, 카페 등의 부대시설이 있다. 이외에도 파충류 체험장, 쉼터, 조각공원, 여름 이벤트장, 눈썰매장, 놀이광장이 있다. 또한, 유치부부터 초. 중. 고등학생, 일반인을 대상으로 자연생태프로그램과 진로체험 프로그램, 환경교육프로그램, 숲해설프로그램을 운영하고 있다. 이밖에도 말타기, 말먹이 주기 체험도 가능하다. 기존 위락시설 위주의 유사 식물원과 차별화시켜 자연환경울 최대한 보존하고 식물의 특성, 이용객의 편의 및 토지활용 등을 고려한 통합적이고 체계적인 식물수목원을 지향하고 있다. 사라져 가는 우리 식물의 번식 및 관리를 통하여 자생지 외에서 보존 관리함으로써 희귀 및 멸종위기식물의 영구보존 및 복원을 추진하고 있다.",,http://www.usarboretum.co.kr,울산광역시 동구 쇠평길 33-1 (동부동),"- 하절기(3~10월) 09:00~18:00
- 동절기(11~2월) 09:00~17:00
※ 폐장 한시간 전 입장 마감",연중무휴,"가능
요금 (무료)",,있음,,다양한 수목들이 많이 있고 하늘 전망대에서 보는 풍경이 좋아요 힐링하기 좋을것 같아요~,,출입구까지 경사로가 설치되어 있음_무장애 편의시설,주출입구는 경사로가 있어 휠체어 접근 가능함,,,,전시온실 / 유실수원 / 장미원 / 한반도테마정원 등,※ 시설별 상이하므로 홈페이지 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"숲해설 프로그램 / 진로체험 프로그램 / 환경교육 프로그램 / 말타기 / 말먹이주기 등
※ 자세한 사항은 홈페이지 참조 요망"
간월산,"약 1,500년 전 이 산기슭에 간월사라는 사찰이 있어서 산 이름도 간월산이라 하였다. 간월산의 높이는 1,069m이고, 주위에는 1,000m 내외의 가지산, 고헌산, 백운산, 능동산, 천황산, 신불산 등이 이어져 있다. 또한 이들 산지의 1,000m 내외 산정 일대에는 경사가 완만한 산정평탄면이 발달하여 독특한 경관을 나타낸다. 간월산은 주말이면 부산, 경남 산악인들이 즐겨 찾는 곳으로 8월 초면 정상 주변의 키 작은 억새와 어울린 산나리꽃이 만발해 장관을 연출한다. 긴둥재 아래 동쪽으로 저승골을 비롯해 천 길 바윗골이 간월골짜기를 이루면서 태화강으로 흘러들어 울산평야에 이른다. 서쪽으로 내리정과 왕봉골 등 깊은 골짜기를 파놓아 사철 마르지 청정수는 배내골로 흐르고 여름이면 간월산에서 흐르는 골짜기마다 더위를 피해 찾아온 야영객과 피서인파가 북적댄다. 간월고개에서 파래소 쪽 왕봉골의 신간로를 따라 내려가다 보면 죽림굴이라는 천연동굴이 있는데 지금은 천주교 성지로 많은 가톨릭 신자가 찾는 곳이다.",,https://tour.ulsan.go.kr,울산광역시 울주군 상북면 간월산길 614,상시 개방,연중무휴,"가능
요금 (무료)",,있음,,"간월산은 영남알프스의 산 군에 속하며 해발 1,069m입니다. 사시사철 언제나 아름다운 산이나 특히 가을이면 간월재의 억새와 더불어 많은 산객들이 방문하여 힐링을 하는 곳 입니다. 정상에서 바라보는 영남알프스는 정말 아름답습니다. 영남알프스 8봉 중의 하나로 간월산은 해발 1,069m로 가을이면 간월재 억새와 더불어 산객들이 많이 찾는 산이다. 정상에서 바라보는 영남알프스의 아름다운 풍광과 간월재의 억새를 볼 수 있는 좋은 산이다. 가을에 가기 정말 좋아요 아이들과 가기에도 많이 힘들지 않았어요 드넓은 억새가 장관이죠 매년가을이면 가보고싶은 곳입니다 진짜 기가막힌 곳이에요 운동도 되고 눈호강도 되고 억새풀이 가득해지면 공기도 시원해지고 넘나 힐링",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
