place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,review,주차 요금,이용요금,접근로,출입통로,장애인 주차 안내,수유실,입장료,지정현황,이용가능시설,주차요금,엘리베이터,유모차,휠체어,점자 홍보물,체험가능 연령,오디오 가이드,시설이용료,지체장애 기타 상세,수용인원,판매 품목,주요시설,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,캠프파이어 여부,대중 교통,관람석,규모,부대시설,이용 시기,객실,개장기간,시각장애 기타상세,할인 정보,유아용보조의자,보유장비,강습안내,점자 블록,대여안내,보조견 동반,매표소,안내 요원,코스안내,예약안내,예약안내 홈페이지,입점브랜드,식음료장,뷰티시설여부,노래방 여부,사우나실 여부,스포츠 시설 여부,세미나실 여부,유도안내 설비,영유아가족 기타상세,체험
계화도,"계화도는 원래는 작은 섬이었으나 간척사업으로 육지화되어 계화면이 되었다. 이곳의 최고봉은 해발 246m의 계화산이며, 정상에 봉수대가 있다. 계화도의 북쪽 끝의 양지마을은 예전에는 ‘광당(光堂)’이라고 불려 왔으나 구한말 간재 선생이 이곳에서 후학을 양성하면서 양지로 불렸다고 한다.
이곳의 계화조류지는 서해권에서 보기 드문 일출 명소로 둑에 일렬로 늘어선 방풍림 소나무가 뒤로 일출이 아름다워 많은 사진작가가 찾는 곳이다. 계화면 계화초등학교 앞에 있으며 일출을 감상하도록 데크가 마련되어 있다. 또한, 드넓은 농경지와 갈대숲, 각종 야생조수가 서식하여 조수 보호구로 지정, 관리되고 있는 곳이다.
화산과 지진이 활발했던 중생대 백악기에 만들어진 계화도의 역암 지역은 전북지질명소로 지정되어 있다.",,▪ https://www.buan.go.kr/town,전북특별자치도 부안군 계화면,,,,계화어촌계복지회관 시설 이용 / 마을회관 시설 이용,전북 부안에 위치한 계화도 다녀왔어요. 원래는 작은 섬인데 간척사업해서 육지화해서 계화면이 되었다네요. 계화산도 246m라는데 힘들지만 ㅎㅎ 다녀왔구요 정상에 봉수대까지 구경하구 왔네요. 아직은 많이 알려지지 않아서 순수하고 깨끗함이 잘 유지되고있어서 너무 잘 다녀왔어요. 인생 힐링의 시간이었네요. 계화도 하리 에섭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
함열향교,함열향교는 1437년(세종 19) 훌륭한 학자의 위패를 봉안한 이래 매월 음력 초하루(1일)와 보름(15일)에 봉심을 올리며 지방민의 교육과 교화를 담당하던 곳이었다. 현존 건물로는 대성전·영소전·명륜당·동재·서재·난심재·교직사 등이 있다. 함열향교는 여느 향교와 달리 공자의 영정을 별도로 봉안하는 영소전이라는 건물이 있다. 영소전은 함열 출신 남궁경이 1626년(인조 4) 명나라에 사신으로 다녀오면서 구하여 가져온 공자의 영정을 보관한 곳으로 1717년(숙종 43) 도제조 김창집이 함열 유림들로부터 전해 듣고 숙종에게 공자의 영정을 봉안할 사당을 세워 줄 것을 상소하여 숙종 임금의 윤허로 대성전 곁에 세운 건물이라고 한다.,,https://www.iksan.go.kr/tour,전북특별자치도 익산시 함라면 함라교동길 27-4 (함라면),상주 관리인이 없는 관계로 전화 예약 후 방문 가능,연중무휴,가능,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우금산성,"부안군 상서면 감교리 우금산에 있는 고려시대~조선시대의 산성이다. 변산반도의 중심쯤 되는 지점에 자리한 우금산성은 우금산(329m)의 울금 바위를 중심으로 서쪽과 동쪽의 산줄기를 연결하는 포곡식의 석성이다. 일명 울금산성, 주류성이라고도 한다.
우금산성은 660년 백제 의자왕이 부여를 빼앗겨 연합군에 투항하고 나당 연합군에 의해 멸망하자, 백제 광복군이 왕자 [부여풍] 을 받들어 최후 항전을 벌였던 역사적 현장이다. 또, 우금산성 내에 암자가 있는데, 주민들의 전언에 의하면 이 암자가 칠성암지로 전해진다. 현재 지상 구조물은 남아 있지 않지만, 지표상에 남아 있는 석축과 주춧돌 등을 고려해 볼 때, 대형 암반을 다듬고 그 앞쪽에 조그만 암자를 조성했던 것으로 추정된다.
우금산성이 있는 울금바위 정상에서는 드넓은 호남평야와 서해가 시원스럽게 내려다보인다. 주변으로 개암사, 변산반도국립공원 등이 있다.",,https://www.buan.go.kr,전북특별자치도 부안군 상서면 감교리,,,가능,있음(남녀 구분),,,,,,,,,전라북도 기념물 우금산성 (1974.09.24. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
익산 붕새언덕마을,"붕새는 중국장자에 나오는 북쪽 바다에 사는 상상의 물고기 곤이 변해서 된 상상의 새이다. 붕새는 어디에도 얽매이지 않고 자유로운 정신세계를 마음껏 누리는 위대한 존재를 의미하며 마을이름은 붕새를 닮은 바위가 있다하여 대붕암리로 불리워지게 되었고 붕새언덕마을이 되었다. 칠성산을 중심으로 금강과 들녘이 어우러진 자연환경과 금강변의 넓은 평야가 시원스레 펼쳐진 농촌풍경을 감상할 수 있는 마을이다. 전라북도 웅포면의 금강변에 위치하는 마을로 충적평야가 발달하였다.

자연마을로는 상제 1구, 2구와 원대암이 있다. 상제(붕새언덕)는 제석리의 윗 동리라서 붙여진 이름이고, 나루세라고도 불린다. 나루세는 나루터에 가는 길가에 있는 마을이란 뜻이다. 원대암은 뒷산에 새처럼 큰 바위가 있다 하여 이름 붙여졌다. 웅포면의 유래는 조선시대에는 안열군(함열, 용안합병), 1907년 함열군(서일, 서이, 북일면), 1914년 행정구역 개편으로 웅포면 합병(1916.7 전북고시 제46호) 개정되었다. 붕새언덕마들에서는 금강들녁 꽃마차타기, 전통음식체험(인절미떡메치기, 손두부 만들기), 자전거하이킹, 전통놀이 등 다양한 체험을 할 수 있다. 또한 농촌체험에 어울리게 사계절에 따라 각각 다른 체험을 할 수 있어 재미를 더할 수 있다.",,,전북특별자치도 익산시 웅포면 붕새1길 29-6,상시 개방,연중무휴,가능,있음,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이웅재고가,"임실군 오수면 둔덕리에 소재한 이웅재 고가는 [전주 이씨 효령대군파 춘성정 종가]로 효령대군의 증손 춘성정 이담손이 낙향해 세운 것으로 이후 17대 종손이 거주하고 있는 약 460여 년 된 종가이다.
동촌마을은 전체가 완만한 경사지에 자리한 마을인데, 이웅재 고가는 그곳에서도 종가답게 산 쪽으로 물려 지으면서 마을 아래 길에서 보면 아래에서 위를 보는 것 같아 그 당당함이 눈에 띈다. 조선 중기 종가의 규범을 지키면서도 화려하지 않고, 위엄을 갖추었으면서도 드러내지 않는 품위를 갖추고 있다.
이곳은 사당, 안채, 사랑채, 행랑채, 대문채, 사당 등으로 구성되었다. 안채는 1909년 중수된 것으로 동서 양쪽에 날개를 달았으며, 큰 방의 오른쪽에 머릿방 대신 도장방이 있고, 그 남쪽에 머릿방을 두었다. 안채 앞쪽에는 안행랑채가 안채를 감싸고 있으며, 안행랑채는 방아실, 안변소, 안광, 책방으로 구성되어 있고, 안행랑채의 동쪽에는 一자형으로 각 2칸씩의 방을 갖추고 있다. 대문채는 솟을대문이며, [효자 증통정대부 이조참의 이문주 정려]가 걸려있다.",,https://www.heritage.go.kr,전북특별자치도 임실군 오수면 둔덕2길 59-10,,연중무휴,,,,,,,,,,,전라북도 민속문화유산 이웅재고가 (1977.12.31. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매년 상이함
익산 김병순 고택,"익산 김병순 고택의 안채와 사랑채는 1922년 건립되었고, 행랑채는 1930년에 건립되어 역사가 그리 오래되지 않았으나 개화기 전통가옥 형식에 근대의 건축기법이 가미되는 당시의 시대상과 건축적 특징, 건축양식의 시대 변화를 잘 보여주고 있다.
<출처: 문화재청>",,http://www.iksan.go.kr/tour,전북특별자치도 익산시 함라면 수동길 20,,,불가,,,,,,,,,,[익산 김병순 고택] 국가민속문화재 (2019.03.11 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천국사(김제),"금산면 청도리 모악산 밑에 위치한 천국사는 원래 이름이 천위사로, 1767년 박재천 스님이 작은 암자로 유지해 오다가 1982년에 법전 주지 스님이 부임해 29평 목조 기와집인 법당을 짓고 절의 면모를 갖추어 천국사라 했다. 이 천국사에는 감천수가 있어 지금도 약수를 받으러 오는 사람이 많은 곳이다.
인근에는 금산사, 모악산도립공원, 모악산캠핑장, 모악산홍보관 등이 있어 함께 둘러볼 수 있다.",,,전북특별자치도 김제시 금산면 우림로 72-66,연중개방,,가능 (무료),있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창원정씨종가,"유헌 정황의 후손들이 대대로 살아온 종가이다. 유헌 정황은 인종의 장례 때 예법을 준수할 것을 주장하다가 정미사화 때 거제도로 유배되어 일생을 마쳤다. 안채, 사랑채, 행랑채, 대문으로 구성되어 있으며 안채와 행랑채는 1854년 지었고 대문은 1927년에 지었다. 안마당을 중심으로 안채와 사랑채, 헛간채가 튼 ㄷ자형으로 배치되고 사랑채 옆에 행랑채가 경사지게 놓였다.
조선 후기와 일제강점기에 걸쳐 지은 상류주택이며, 근처의 작은 종가인 정상윤 가옥과는 대조적으로 같은 시기에 지었지만 정상윤 가옥이 크고 화려한데 비해, 이 집은 큰 종가이면서도 규모가 작고 소박하며 실용적인 면을 보여주고 있다. 안채를 제외하고는 변화된 부분이 많지 않아 원형을 잘 보여주고 있다.",,https://tour.jb.go.kr,전북특별자치도 장수군 산서면 서원길 16,,,없음,없음,,,,,,,,,[창원정씨종가] 전라북도 민속문화재 (1999.11.19 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥산서원,"의촌 김남식과 시은 김이성·인일정 김성은의 학문과 덕행을 추모하고 이를 계승하고자 세운 서원이다. 김남식은 김집 선생의 문인으로 병자호란 때 청나라와 굴욕적인 화의를 맺었다는 소식을 듣고 통곡하며 돌아와 계령산 밑에 살며 집 이름을 대명유계라 하였다. 김이성은 김남식의 아들로 송시열 선생의 문인이며 효성이 지극하였다고 전한다. 김성은은 김이성의 증손으로 황의찬 문하에서 수학하였고『동국문헌록』등의 저술이 있다. 옥산서원은 크게 세 영역으로 구분된다. 중심 영역에는 사우와 내삼문, 강당인 옥산정사가 일렬로 배치되어 있으며, 강당 동쪽에는 고직사가 자리 잡고 있다. 또 강당 남서쪽에는 인일정의 영당과 삼강문이 있는데, 각각 삼문과 담장을 갖추어 별도의 영역을 이루고 있다. 사우는 1956년 다시 지은 것으로 중앙에는 김남식을 모시고 있으며, 좌우에는 김이성과 김성은을 모시고 있다. 규모는 앞면 3칸·옆면 3칸으로, 지붕은 옆면에서 볼 때 사람 인(人) 자 모양인 맞배지붕이다. 강당인 옥산정사는 정조 10년(1786) 개축한 것으로 1987년 복원하였다. 규모는 앞면 6칸·옆면 3칸으로, 지붕은 옆면에서 볼 때 여덟 팔(八) 자 모양인 팔작지붕이다. 인일정 영당은 앞면 3칸·옆면 2칸으로 맞배지붕이다. 삼강문은 1948년 다시 지었는데 앞면 3칸·옆면 2칸 규모의 누각 형식으로 지붕은 팔작지붕이다.
(출처: 국가유산청)",,https://www.khs.go.kr/main.html,전북특별자치도 정읍시 소성면 애당모촌길 9 (소성면),상시 개방,연중무휴,가능,장애인 화장실 있음,옥산서원에 방문하여 역사적의미도 공부하고 주변의 경치도 구경할수있는 좋은체험이었습니다,,,,,장애인 주차장 1면,,무료,전북특별자치도 문화유산자료 옥산서원 (1998.11.27 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용담호,"용담댐은 진안군의 1읍 5개 면을 수몰시켜 만들어진 거대한 담수호로 이 댐은 유역변경식의 댐으로 금강 상류의 물을 하루 135만 톤씩 도수터널을 통하여 완주군 고산면 소향리 만경강 상류에 공급함으로써 전라북도 전주권의 생활용수 해결을 목적으로 건설되었다. 이 댐이 건설됨으로써 담수가 시작되면서 용담호는 진안군에서 빼놓을 수 없는 관광명소가 되었다. 특히, 용담호가 관광지로 사랑받는 명소가 된 것은 교량으로 댐 일주도로가 연결돼 있기 때문이다. 정천면-용담면-본 댐으로 이어지는 도로는 호수의 경관과 어울려 환상의 드라이브 코스로 여겨지며, 상전면-안천면-본 댐으로 이어지는 코스도 이에 못지않다. 생긴 지 얼마 되지 않은 만큼 호안에 별다른 시설물들이 들어서지 않아, 오히려 자연스러운 풍경을 보이고 있다는 것도 매력 중 하나다.

용담호반 여러 곳에 망향의 동산이 세워져 있다. 수몰된 실향민들의 향수를 달래주기 위해 수자원공사가 조성한 것으로 대개 조망이 좋은 둔덕 위에 꾸며져 있다. 망향의 동산 중에도 용담대교 북단의 용담 망향의 동산이 가장 조망이 좋다. 용담호 중앙부쯤에 위치해 동서 양쪽으로 호숫물이 보이며 마을에 있던 목제 정자인 태고정(太古亭)은 짜임새 있는 목조 건물로, 1752년 건립된 것을 1998년 현 위치로 이전해 놓았다. 용담댐 공원에는 물 홍보관이 있는데 이곳은 물과 사람과의 여러 관계를 알려주는 곳으로, 어린 자녀들이 있다면 한 번 들러볼 만하다. 용담호 주위에는 또한 전국적 관광명소로 자리를 굳힌 지 오래인 마이산과 운일암, 반일암 계곡의 절경을 이루고 있다.",,진안 문화관광 https://www.jinan.go.kr/tour,전북특별자치도 진안군 용담면 월계리,,연중무휴,,,용담호 주변에는 단풍나무가 많아서 가을 단풍여행지로 추천합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천반산,"장수군 천천면 연평리 하단과 진안군 상전면 일원, 동향면 일원에 걸쳐져 있는 높이 647m의 산이다. 그다지 높지 않은 산이지만 보기와는 달리 오르기가 매우 힘든 산인데 서쪽과 북쪽이 가파르므로 더 힘이 든다. 산 정산 부근에는 3백∼4백 평 정도로 제법 널따란 평지가 있는데 이 평지에 7개의 작은 바위가 정렬한 듯 나란히 서 있어 기이한 형상을 보여주고 있다. 이곳을 할미대라고 하는데 토속신앙을 숭배하던 그 옛날 산신할머니와 연관이 있어서 불렸다고도 볼 수 있다.
장수 5대 명산 중의 하나인 천반산은 정상에 서서 서쪽인 진안 쪽의 아래를 굽어보면 제법 강의 형태를 띠고 도도히 흐르는 물줄기가 보이는 경관은 수려하고 아름답다. 그리고 서쪽으로 조망하면 진안의 마이산이 손에 잡힐 듯 한눈에 들어온다.
천반산의 등산 들머리인 신기마을에서 먹재 정상까지는 2.3km로 약 2시간 소요된다. 등산코스 곳곳에 할미굴, 송판서굴이 있고 말바위, 전망바위, 뜀바위, 죽도 병풍바위, 천반산자연휴양림 등이 있어 산행하며 즐길 수 있다.",,https://www.jangsu.go.kr/tour/index.jangsu,전북특별자치도 장수군 천천면 연평리,,연중무휴,가능,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진포시비공원,"전라북도 군산시 진포시비공원은 내흥동 금강 하구 연안 도로 옆에 자리한 공원으로 채만식 문학관에서 강변길을 따라 약 10분 정도 내려온 곳에 있다. 군산시에서 조성한 구불길의 1코스 비단강 길에 위치해 있기도 하다. 비단강 길은 비단처럼 펼쳐진 금강과 인접한 채만식 문학관, 금강 철새 조망대, 오성산, 나포 십자들 등을 둘러보는 코스로 해당 코스에 진포시비공원이 조성되어 구불길을 여행하는 도보 여행자들의 휴식의 공간이자 군산 시민의 문화 공간으로 활용되고 있다.",,https://www.gunsan.go.kr/tour,전북특별자치도 군산시 내흥동 894-8,상시 개방,연중무휴,가능,"장애인 전용 화장실 있음(금강시민공원,채만식문학관,공원 왼쪽 공중화장실)",,,,출입구까지 단차가 없어 휠체어 접근 가능함,,"장애인 전용 주차구역 있음(채만식문학관),일반주차(금강체육공원)_무장애 편의시설",,,,,,,,,,,,,자전거도로가 설치되어 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강변사리마을캠핑장,"강변사리마을캠핑장은 전북 임실군 덕치면 강변사리마을 내에 위치한 캠핑장이다. 강변사리마을은 물우리, 일중리, 장암리, 천담리 4개 마을이 하나의 브랜드로 이루어진 마을로, 캠핑장은 마을 주민들이 함께 공동 운영하고 있다. 마을 내엔 섬진강 시인으로 유명한 김용택 시인의 문학관이 있으며 농어촌체험휴양마을로 교류센터에 교육장, 회의실, 조리 공간 등이 있어 다양한 체험 활동을 즐길 수 있다. 캠핑장은 전체적으로 깔끔한 시설을 자랑하며 샤워장, 화장실, 개수대의 전력은 전부 태양열로 가동되는 친환경 시설을 갖추었다. 덕분에 햇볕의 유무와 상관없이 햇볕이 데워준 따뜻한 온수를 사용할 수 있다. 이곳은 청정지역으로 유명한 섬진강변에 위치하고 있어 물놀이를 할 수 있으며 물가에서 오지캠핑도 즐길 수도 있다.",,http://www.gang42.com/,전북특별자치도 임실군 덕치면 강동로 865-20,14:00~익일 11:00,,주차가능,있음,,,"35,000원~130,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참고",,,,,,,,,,,,,,,,,,,사이트,,,,,,,,,,화장실 / 개수대 / 주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
김기서강학당,"조산저수지 가는 길의 축령산 자락이 이어진 마을에 위치한 조선 전기 강학당으로, 김기서 강학당은 광산김씨 사당인 노산사 안에 있다. 김기서는 광산인으로, 자는 시견, 호는 돈목재이다. 성균관 직강으로 통정대부까지 오른 매산 김석원의 조카로, 효성이 지극하여 1508년 중종으로부터 광릉 참봉에 제수되고 장려도 받았다고 한다. 이후 조광조 문하에 들어가 매형 양팽손 등과 강론하다 1519년(중종 14)의 기묘사화에 연루되어 조광조와 신진사림들이 대거 숙청당하자 상평리에 은거하면서 두문불출하였다. 조광조의 학문에 심취하여 후진 양성에 전념하고자 김기서 강학당을 세웠다.
원래 이 자리에는 전불사의 불당이 있었다. 1548년(명종 3) 건립된 것으로 추정되며, 건물의 규모는 정면 5칸, 측면 2칸의 단층 팔작기와지붕이고, 내부는 베갯마루 대청의 중당 2칸, 좌협실 2칸, 우협실 1칸으로 구성되어 있는데, 조선 초기의 소박한 공청건물이다. 광산김씨 종중에서 관리하고 있다.",,http://gochang.grandculture.net,전북특별자치도 고창군 고수면 사동길 40-160,,,주변 공터 주차,,,,,,,,,,전라북도 유형문화재 김기서강학당 (1981.04.01 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순창고추장익는마을,"고추장하면 공식처럼 떠오르는 ‘순창’에서 명가의 장맛을 체험할 수 있다. 순창고추장의 명성은 바로 이곳 고추장익는마을에서 시작되었다. 회문산 아래 맑은 물과 순창의 깨끗한 자연 속 익어가는 항아리에는 고추장뿐만 아니라 우리의 전통과 선조들의 지혜가 가득 들어있다. 전통고추장 제조기능인이 전수하는 고추장 담그는 법을 들으며 빨갛게 익은 고추장으로 직접 떡볶이를 만들어 먹어보면 그 어디에서도 가르쳐주지 않는 발효식품에 대한 신비와 고추장의 매력에 흠뻑 빠지게 된다. 빨간 고추장과 순창의 신선한 나물들을 골고루 비벼 먹는 산채비빔밥은 튼튼한 몸과 함께 정신마저 살찌우는 효과가 있다. 고추장 체험 외에도 공예, 농사, 문화, 체험 등 다양한 분야의 프로그램이 준비되어 있어 원하는 데로 골라 즐길 수 있다. 고추장마을인 만큼 이곳에서 먹는 모든 식사는 전통 순창고추장과 순창 특산물로 맛을 냈다. 매콤달콤한 양념과 신선한 야채가 일품인 산채비빔밥과 육질 가득한 제육볶음은 이곳의 별미다. 120명 수용 가능한 넓은 규모의 숙박시설과 함께 식당과 강당, 세미나실, 캠프파이어와 각종 여가시설을 완비해 머무는 내내 즐거운 추억을 선사한다.",,https://www.gochujangvillage.com/,전북특별자치도 순창군 산내길 38 전통테마체험장,09:00~18:00,매주 일요일 / 공휴일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,체험 패키지 프로그램 홈페이지 참조
화동서원,"화동서원은 광산김씨의 사우로 원래 1796년(정조 20) 시조 신라왕자 흥광의 유허인 전라남도 담양군 대전면 평장리(현 광주광역시 평장동)에 종사당이라 이름하고 김양감을 봉안 향사하다가 조령으로 훼철되었다. 김승길, 김오행은 장성 경현사에 배향괴었다가 일제의 강압으로 사우가 훼철되었다가 1957년에 현 위치에 사우를 창건하고 김양감, 김인우, 김승길, 김오행을 향사하고 있다.",,https://www.grandculture.net/gochang,전북특별자치도 고창군 대산면 교동길 24 (대산면),,,,,,,,,,,,,전라북도 문화재자료 고창 화동서원 정모재(2012.11.02 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
만석보혁파비,"고부군수 조병갑의 수탈을 위한 구실이었으며 크게는 반봉건 의미를 담은 만석보 철거는 매우 상징적인 사건이었다. 만석보 철거 요구는 당시 백성들의 민심을 헤아릴 수 있는 동시에 이들의 요구를 거절할 수 없을 정도로 백성들의 의식이 커졌음을 의미하며 결국 신임 고부군수 안길수로 하여금 민심수습을 위해 철거를 결심할 수밖에 없게 만든 정치적 사건이었다. 1894년 동학농민혁명 당시 농민들은 고부관아를 점령한 뒤 수탈의 구실이었던 만석보를 부수었는데, 1898년 새로 고부군수로 부임한 안길수가 남아있던 만석보를 완전히 철거하였다. 이에 동년 9월 농민들이 ‘군수 안후길수 만석보 혁파 선정비’를 세웠다. 1994년 동학농민혁명 100주년을 맞아 풍우로부터 비석의 훼손을 예방하기 위해 비각을 세웠다.

( 출처 : 정읍관광)",,https://www.jeongeup.go.kr/culture/index.jeongeup,전북특별자치도 정읍시 이평면 하송리 198-4,상시 개방,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은적사(김제),"* 은혜로움을 쌓아간다는 뜻의 절 *
김제군 금구에서 정읍으로 가는 국도에서 4km 떨어진 좌측 삼봉리 마을에서 약 500m쯤 올라가면 구성산 밑에 자리한 태고종 은적사가 있다. 삼봉리 마을 위 평지 널따란 경내지에 대웅전이 웅장히 자리하고 있다. 은혜로움을 쌓아간다는 뜻의 절 이름이다.

김제시 신곡동에 있는 이 절은 고려 때 세워졌다고 한다. 그러나 조선시대에 이르러 유교를 숭상하고 불교를 탄압하는 억불숭유 정책으로 말미암아 부처만을 모시다가 1931년 10월 3일 없어진 절을 다시 지었다. 1928년 5월 26일 새로 법당을 세움과 함께 옛날 법당을 손님을 모시는 객사로 사용하고 있다. 옛 법당이던 건물은 나한전으로 사용하고 있다. 종각이 마당 가운데 자리하고 요사채가 측면에 있다. 이 은적사는 현주지 정봉도스님이 출가하여 바로 자력으로 절을 개창하여 불사를 거듭하여 10년 만에 오늘의 은적사를 창건하였다.",,http://www.gimje.go.kr/tour/index.gimje,전북특별자치도 김제시 금산면 구성3길 126-20 (금산면),,,있음,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,연중개방,,,,,,,,,,,,,,,,,,,,,,,,,
국사봉(순창),"국사봉은 순창군 쌍치면과 정읍시 산내면의 경계에 있는 산으로, 선현들이 으뜸으로 꼽는 임금과 신하가 조화하는 군신 봉조의 형상을 가져 임금의 스승의 산, 즉 국사봉, 옥좌봉으로 불린다. 임금을 상징하는 국사봉을 정점으로 좌측엔 삼태봉이 연이어져 세자를 어진 임금이 되도록 가르치는 스승인 삼정승과 육판서가 자리 잡아 앉아 나란히 늘어선 형태를 보인다. 게다가 섬진강의 상류이자 쌍치면의 젖줄인 추령천이 마을 앞을 흐르고 있어 풍수지리의 이상적인 조건을 모두 갖춘 곳이다.
국사봉에는 우리나라에서 보기 드문 수령이 100~200년 이상인 토종 야생 산철쭉이 자생하여, 개화기엔 1.7km 구간에 걸쳐 연분홍 군락을 이룬다. 이를 보존하기 위해 관련 군민들과 단체의 주최로 매년 5월 국사봉 철쭉제가 열린다. 축제는 지역주민들이 직접 참여한 풍물놀이, 난타, 사물놀이 공연 등 다양한 문화공연이 펼쳐지고, 농가 먹거리 장터 역시 열려 관광객들에게 색다른 즐길거리를 제공한다.",,https://www.sunchang.go.kr/tour/,전북특별자치도 순창군 쌍치면 국사봉로 308-75 (쌍치면) 일대,상시 개방,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순화리 삼층석탑,"순화리삼층석탑은 순창여자중학교 교정에 위치한 3층 석탑으로 고려 시대에 건립된 탑이다. 탑은 불골(佛骨)을 모시는 건축물이므로, 신앙적인 의미에서 법당에 안치한 불상과 같은 격이다. 그러므로 절의 법당 앞에 위치하는 것이 정형인데, 현재의 순화리삼층석탑의 존재 형태로 보아서 이곳에 고려 시대에 상당한 규모의 절이 있었고, 그 절에 소속되었던 탑으로 판명된다. 사찰의 이름은 옥천사(玉泉寺)로 전한다. 탑의 전체적인 형태와 기둥 등은 삼국시대에 순창 지역을 지배하던 백제의 양식이지만, 상층부 등에서는 신라 말기의 양식이 나타난다. 이러한 점 등을 종합하면 이 탑은 고려 초기에 지역적 특색이 가미되어 세워진 것으로 생각된다. 겉으로 보기엔 아담해 보이지만, 실제로는 일부가 현재 땅속에 묻혀있기 때문에 그 전모는 상당히 크다. 이 탑이 있던 사찰 역시 꽤 큰 규모였을 것이다. 1973년에는 가치를 인정받아 전라북도 유형문화재로 지정되었다. 주변에는 순창향교, 순창객사, 순창시장 등이 있어 연계하여 관광할 수 있다.",,https://www.sunchang.go.kr/tour,전북특별자치도 순창군 순창읍 장류로 295-11 (순창읍),상시 개방,연중무휴,가능,,고려시대 절이 있던 자리에 탑만 남아 있어요,,,,,,,,전북특별자치도 유형문화유산 순화리삼층석탑 (1973.06.23 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉황사(김제),"1968년 창건된 대한 불교 태고종 소속의 사찰이다. 김제시 금구면 오봉리 봉황산에 자리하고 있다. 김제에서 전주 방향으로 가다 보면 금천 호수가 나온다. 호수를 지나면 오른쪽으로 봉황사 가는 길이 나온다. 봉황사는 규모만으로 따지면 사찰이라기보다 암자에 가깝다. 당우로 대웅전, 삼성각, 요사가 있다. 대웅전은 정면 3칸의 목조건물로 일반 주택 형태를 띠고 있다. 요사 옆에는 1991년 조각한 석조 미륵불이 있다.",,,전북특별자치도 김제시 금구면 오봉2길 474 (금구면),상시 개방,연중무휴,불가능,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
