,place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,review,화장실,지정현황,주차 요금,이용요금,접근로,출입통로,수유실,이용가능시설,장애인 주차 안내,엘리베이터,휠체어,유모차,시설이용료,수용인원,할인 정보,지체장애 기타 상세,주차요금,판매 품목,오디오 가이드,점자 홍보물,대중 교통,체험가능 연령,규모,시각장애 기타상세,관람석,주요시설,보유장비,대여안내,강습안내,부대시설,이용 시기,개장기간,유아용보조의자,객실,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,객실유형,점자 블록,안내 요원,코스안내,보조견 동반,입점브랜드,노래방 여부,예약안내 홈페이지,뷰티시설여부,유도안내 설비,영유아가족 기타상세,체험
782,종남산(밀양),"종남산은 밀양시 중심에 솟아있는 산이다. 동쪽으로는 만어산, 북쪽은 화악산, 서쪽으로는 화왕산과 영취산, 남쪽으로는 덕대산이 병풍처럼 자리 잡고 있다. 원래 이 산의 이름은 자각산(紫閣山)으로 불렸지만 이후 밀양땅 남쪽에 있어 남산으로 불리다가 다시 종남산으로 변했다고 한다. 종남산 산행의 하이라이트는 정상에서 바라보는 조망이다. 종남산 서면 섬마을인 삼문동을 감싸는 밀양강과 낙동강이 만나는 유장한 흐름과 너른 들녘, 그리고 영남알프스 산군이 시원하게 펼쳐진 정상에서 바라보는 조망은 탁월하다. 산행을 시작해 3시간 정도 오르면 밀양 시가지와 낙동강 들녘이 한눈에 들어오는 능선에 올라선다. 여기서 조금 더 오르면 철쭉 군락지인 정상부다. 산행을 하다 보면 임도와 만나는 곳이 많아 길 찾기가 쉽고 언제든지 하산할 수 있어 초보자들이 등산하기에도 좋은 곳이다. 우령산(중봉)으로 가는 길은 암릉 구간이 있어 주의가 필요하지만 암릉을 우회할 수 있다.",,https://www.miryang.go.kr/tur/index.do,경상남도 밀양시 상남면 남산리,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,쇠점골계곡,"가지산에서 발원한 물결이 단숨에 달려 내려오면서 빚어낸 비경을 그대로 간직한 이 계곡은 옛날 밀양과 울주군을 오가던 사람들이 석남재 밑인 이곳에서 말의 편자를 갈았다고 해서 쇠점골이라 한다. 이곳에는 거대한 바위 하나가 계곡 전체를 덮고 있는데 그 크기가 크고 넓다는 뜻에서 붙여진 오천평반석과 형제폭포 등 이름을 알 수 없는 많은 물웅덩이와 작은 폭포들이 있다. 쇠점골 트래킹은 백연사에서부터 시작된다. 쇠점골은 왕복 2시간 30분 정도 걸으면 되는 평탄한 계곡길이다. 호박소 갈림길 삼거리 구름다리를 지나 오천평반석을 경유해 석남터널 입구 소공원까지 가면 된다. 계곡이 비교적 평탄하고 길며, 수량도 매우 풍부하다. 특히 얼음골 인근이라 여름에도 시원해 산행 초보자도 비교적 트래킹이 용이한 힐링 산책길이다. 특히 쇠점골 가을단풍길은 트래킹을 좋아하는 많은 사람들이 찾을 만큼 아름답다.",,https://www.miryang.go.kr/,경상남도 밀양시 산내면 삼양리 185-2,상시 개방,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,예림서원,"경상남도 밀양시 부북면에 위치한 예림서원은 조선 전기 김종직의 학문과 덕행을 기리고 지방민의 유학교육을 위하여 지은 서원으로 1567년 조선 명종 때 짓고 위패를 모셨다. 임진왜란으로 불탄 것을 1606년에 다시 지었다. 본래는 명종 1567년 당시 부사 이 경우가 밀양 유림의 요청으로 퇴계 이황의 자문을 받아 자씨산 아래 영원사 옛터인 덕성동에 서원을 짓고 덕성서원이라고 했다. 1635년에는 상남면 예림리로 옮겼으며, 이름을 예림서원으로 바꾸고, 박한주와 신계성을 더하여 모셨으며, 1680년에 지금의 위치로 옮겨 지었다. 건물의 구조는 교육공간은 앞에, 제사 공간은 뒤에 위치한 전학후묘의 배치를 하였다. 사당인 육덕사와 유생들의 모임 및 학문을 닦는 곳인 강당, 생활공간인 돈선재와 직방재, 그리고 전사청, 독서루 등이 남아있다.",,https://www.miryang.go.kr/,경상남도 밀양시 부북면 예림서원로 128,※ 자세한 사항은 전화문의 요망,연중무휴,가능,무료,주변에 공사중으로 좀 어수선하지만 주차장도 넓고 조용히 둘러보기 좋은 곳이네요,,경상남도 유형문화유산 밀양 예림서원 (1974.02.16 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,석골사,"석골사는 경상남도 밀양시 산내면 운문산에 자리 잡은 대한불교조계종 본사 통도사의 말사이다. 560년 비허가 창건했다고도 하고, 773년에 법조가 창건했다고도 한다. 비허가 작은 암자를 짓고 보양과 서로 왕래하며 수도하였다는 이야기가 전해짐으로, 비허가 절을 창건하고 법조는 중창한 인물로 추정된다. 태조 왕건이 고려를 건국할 때 경제적인 도움을 많이 주었던 사찰로, 고려 건국 후에는 암자를 9개나 거느릴 정도로 발전하였으며, 한때는 석굴사 또는 노전사라고도 불렀다. 임진왜란 때 의병들이 활약하던 곳이었으며, 1753년 함화가 중창한 뒤 오랫동안 명맥을 이어오다가 1950년에 불에 탔고, 1980년대에 복원하여 오늘에 이른다. 석조아미타삼존불은 대광전에 있으며, 석탑 재료는 기단과 보주 등만 발굴되었다. 석골사에는 주지와 상좌에 얽힌 전설이 전한다. 옛날 주지와 상좌가 이 절에 머물렀는데, 상좌의 인품과 학덕이 주지보다 높았다. 이를 불쾌하게 여긴 주지는 지팡이로 마법을 걸어서 상좌를 강철이로 변하게 하였다. 강철이란 독룡으로 지나가기만 해도 초목이 말라죽는다는 괴물이다. 강철이로 변한 상좌는 억울함을 참으면서 열심히 불도를 닦았다. 1년 뒤 강철이는 옥황상제에게 하늘로 오르게 해달라고 부탁했으나 거절당하자, 화를 내고 몸부림을 쳐서 번개가 번쩍이고 우박이 떨어졌다. 그 바람에 인근의 농작물이 죽었고, 이후 매년 보리가 익을 무렵이면 강철이가 몸부림을 쳐서 인근 농작물에 피해를 주었다고 한다.",,https://www.miryang.go.kr/,경상남도 밀양시 산내면 원서3길 167,"상시 개방
※ 자세한 사항은 전화문의 요망",연중무휴,가능,무료,겨울 해짧은 오후에 딱 좋은방문입니다,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,늘푸른전당,"창원시 늘푸른전당은 미래사회의 주역인 청소년이 건전한 시민으로 성장할 수 있도록 청소년의 수련활동을 지원하고 복지를 증진하기 위해 건립된 종합복지시설이다. 이 전당은 공연장, 체육관, 수영장 등 다양한 시설을 갖추고 있으며, 청소년은 물론 지역 주민 모두가 함께 이용할 수 있는 공간이다. 최신의 시설을 바탕으로 청소년을 위한 다양한 수련활동 프로그램과 문화·체육 활동을 운영하고 있으며, 건전한 여가활동과 자기계발의 기회를 제공하고 있다. 또한 이용자의 편의를 위한 각종 편의시설도 함께 마련되어 있어 누구나 쾌적하게 이용할 수 있다. 창원시설관리공단이 운영을 맡고 있다.",,http://www.cwsisul.or.kr,경상남도 창원시 성산구 두대로 97 (삼동동),"[수영장]
평일 06:00~20:00 (준비시간 12:00~13:00)
주말 06:00~18:00 (준비시간 12:00~13:00)
[헬스장]
평일 06:00~21:00
주말 06:00~18:00","매월 둘째, 넷째 일요일",가능,,올해 첫 방문입니다. 이렇게 예쁜 겹벚꽃을 볼 수 있어요! 주차할 곳도 있어 편리합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,무봉사,"대한불교조계종 본사 통도사의 말사로, 773년 법조스님이 현재의 영남루 자리에 있었던 영남사를 순례하다가 큰 봉황새가 현재의 무봉사 자리에 날아와 앉으므로, 상서로운 성지라 생각하고 무봉암을 창건하였다. 고려의 고승 범률국사가 이 절에서 하안거를 하면서 봉황이 춤추는 형국이기 때문에 절 이름을 무봉사로 하였다고도 한다. 1359년 영남사가 화재로 소실되자 무봉암이라 하였던 이 절을 무봉사로 승격시켰다. 무봉사는 밀양 시내가 훤히 내려다보이는 밀양 최고의 명소 영남루와 인접한 탓에 손쉽게 찾을 수 있는 곳이다. 밀양강 상류 쪽 절벽 위에 아랑의 전설이 깃든 아랑각이 있고, 계단을 올라서면 우리나라 3대 누각 중의 하나인 영남루와 무봉사가 있다. 무봉사에는 보물로 지정된 통일신라시대 불상인 무봉사 석조여래좌상을 봉안하고 있다. 무봉사 인근에는 영남루와 밀양 박물관, 아랑각, 박시춘 생가지 등을 함께 둘러볼 수 있으며, 밀양강 아래로 펼쳐지는 대나무 숲과 강가 맞은편 공원 등을 한눈에 조망할 수 있다.",,https://www.miryang.go.kr/,경상남도 밀양시 영남루1길 16-11 (내일동),04:00~22:00,연중무휴,가능,무료,통일신라시대 보물인 석조여래좌상가 있는 무봉사 밀양시내를 한눈에 바라볼수 있어서 밀양여행 하시는분들 꼭 한번 들려보세요 전 가을에 갔을때 단풍과 함께 본 무봉사 한적하고 정치가 좋더라구요 마음도 평안해지고 스트레스가 해소되는 기분이었어요 영남루와 붙어있어요. 통일신라시대 고찰 우리나라 보물인 석조여래좌상을 보유하고 있는 밀양 영남루 근처에 위치한 무봉사입니다. 영남루에 오셨다면 힘 안들이고 무봉사까지 갈 수 있습니다. 조그만 절이지만 여유가 느껴지는 곳입니다.,있음,보물 밀양 무봉사 석조여래좌상 (1969.06.24 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,신남서원,"무안면 정곡리에 있는 신남서원은 고려 말기 대마도정벌과, 조선 태조 이성계를 도와 위화도 회군에 공을 세운 정국군 박위와 조선 초기 문신인 소총재 박기 부자를 향사하는 서원이다. 밀성 박씨 정국군파 종중 소유로 종중에서 관리한다. 신남서원은 1822년에 후손인 박성기의 주청으로 밀양 사림의 공론을 모아 창건 하였다. 서원내 사당을 상모사, 강당을 경보당이라 하며, 당시 봉안문과 상향축문은 응교 강세백이 지었다. 1994년 우리 손으로 네 번째 건조된 잠수함에 이 박위장군의 이름을 빌어 ‘박위함’으로 명명하기도 했다. 1868년에 내려진 서원 철폐령에 따라 사당은 철거되었으나, 후손들은 서원 강당의 당호를 경보당으로 바꾸고 재실로 삼아 이곳에서 박위 장군을 주향, 박기를 배향으로 향사를 올렸다. 1981년에는 후손들의 발의와 고을 유림들의 호응으로 상모사를 이전대로 중건하였다. 서원의 배치는 사당인 상모사를 중심으로 전면에 신문을 설치하여 신역을 구분하였으며, 사당 밖에는 강당인 경보당이 있다. 경보당은 견치석으로 쌓은 높은 기단 위에 지은 정면 5칸, 측면 2칸 규모 홑처마 팔작지붕의 건물이다. 평면은 가운데 삼 칸 대청을 두고 그 좌우에 온돌방을 들인 형식이며, 대청 앞은 개방하고, 온돌 앞에는 두 짝의 띠살창이 달려 있다.",,국가유산청 https://www.heritage.go.kr/,경상남도 밀양시 무안면 판정로 125-13,상시 개방,연중무휴,불가능,무료,,없음,경상남도 문화유산자료 밀양 신남서원 경보당 (1998.01.15 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,밀양향교,"밀양향교는 조선시대 공익 교육기관으로 서기 1100년경에 창건되었다고 전하고 있는데, 밀양 손씨 집성마을로 전통가옥이 밀집해 있는 교동마을 뒤 경사지에 위치하고 있다. 1602년 현재의 위치에 부사 최기가 중건하였고, 대성전은 1821년 부사 이현시가 중수하여 오늘에 이르고 있다. 건물의 구성은 대성전, 동무, 서무, 내삼문, 명륜당, 동재, 서재, 풍화루 등이 있고 건물 배치 형식은 경사지에 이축선, 좌묘우학, 병렬형 배치이다. 문묘부의 중심축과 교당부의 중심축이 완전하게 평행하지는 않지만 대성전과 내삼문을 잇는 중심축에 양재가 대칭으로 배치되어 있다. 대성전은 공자를 주향으로 하고, 사성과 송조를 배향하였고, 동서 양무에 춘추로 석존을 봉행하고 있다.",,https://www.miryang.go.kr,경상남도 밀양시 밀양향교3길 19 (교동),"09:00~18:00
※ 자세한 사항은 전화문의 요망",연중무휴,가능,무료,타지방 향교보다 규모도 크고 관리도 잘되어 있는것 같네요 2020년말에 명륜당과 대성전이 국가 보물로 각각 지정되었습니다.,있음,보물 밀양향교 대성전 (2020.12.28 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,트윈터널,"트윈 터널은 빛과 캐릭터로 이루어진 테마파크이다. 경부선 폐터널을 재생사업한 공간으로 약 1억 개의 불빛으로 수놓아 포토존이 가득하다. 터널 내부에는 크게 10가지의 테마로 꾸며져 있다. 삼랑진 트윈 터널은 조선시대 고종이 직접 명령하여 만든 철도 터널로, 실제로 열차가 달리던 터널이었지만 더 이상 사용하지 않게 된 곳이다. 일제 강점기부터 터널에서 도깨비불을 봤다거나 빛나는 돌을 주워 큰 행운을 얻었다는 등 많은 신비한 이야기가 전해오던 곳이다. 이런 신비한 빛에 관한 이야기들을 캐릭터와 접목시켜 테마파크로 만든 곳이 삼랑진 트윈 터널이다. 계절과 상관없이 일정한 온도를 유지하여 여름엔 시원하고 겨울에는 따뜻한 공간이다.",,https://www.miryang.go.kr,경상남도 밀양시 삼랑진읍 미전리 1026-4,"- 평일 10:30~19:00 (입장 마감 18:00)
- 주말 10:30~20:00 (입장 마감 19:00)",매주 목요일,가능,"- 성인 10,000원
- 청소년, 어린이, 경로 7,000원
- 어린이복지 3,000원
※ 자세한 사항은 전화문의 요망",,장애인 화장실 있음,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,수유실 있음,,장애인 주차장 있음_무장애 편의시설,,대여가능(2대),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,고성 장산숲,"장산숲은 경상남도 기념물로, 경상남도 고성군 마암면 장산리 장산마을에 위치해 있다. 이곳은 조선 태조 때 호은 허기 선생이 마을의 지형적 결함을 보충하기 위하여 조성한 숲이라고 전해진다. 처음에는 길이가 1,000m에 달했다고 하나 지금은 길이 100m, 폭 60m 정도만이 남아있다. 1469년 때 이퇴계 선생의 제자였던 허천수 선생이 이 숲에 정자를 짓고 연못을 만들어 낚시와 산놀이를 즐겼다고 하며, 연못 중앙에는 조그만 섬이 만들어져 있어 숲의 풍경을 한층 아름답게 해주고 있다. 현재 숲을 이루고 있는 나무는 약 250여 그루로 우리나라 온대 남부지역에서 주로 자라는 느티나무, 서어나무, 긴잎이팝나무, 소태나무, 검노린재나무, 배롱나무, 쥐똥나무 등이 주종을 이루고 있다. 고성 장산숲은 마을의 지형적 결함을 막기 위해 만들어진 숲으로 옛 선조들의 자연이용이 슬기로웠음을 엿볼 수 있는 훌륭한 자연유산이다.",,https://www.goseong.go.kr/tour/,경상남도 고성군 마암면 옥천로 352,상시 개방,연중무휴,가능,무료,풍경이 너무 예쁘고 산책하기 너무 좋아요 공기도 맑고 숲길을 걷다가 사진찍기 좋은 곳 힐링하기 너무 좋아요,,경상남도 자연유산 고성 장산숲 (2025.03.27 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,고성 내산리 고분군,빛바랜 안내판이 잘 보이지도 않는 글자로 사람들을 반겨주는 고성 내산리 고분군은 고성군 내산면 성산을 배경으로 낮은 언덕과 평지에 모여있는 가야무덤이다. 100여 기의 무덤이 있었다고 전해지나 현재 반 정도만 남아있다. 봉토의 지름은 10m~15m 안팎으로 겉모습은 일반적인 무덤과 별 차이가 없다. 무덤의 내부는 구덩이식 돌널무덤(수혈식 석곽묘)으로 가야지역의 일반적 형식을 따르고 있다. 경질토기와 철기류를 비롯해 회청색 경질토기 조각이 발견되었다. 지리상으로 고성만의 출입구에 해당하는 지역으로 고분군의 주인들은 고자국(古自國)과 소가야(小伽倻)의 관문을 지키는 역할을 했던 것으로 추측된다.,,https://www.goseong.go.kr/tour/,경상남도 고성군 동해면 내산리,,연중무휴,가능,무료,고분군 구경하고 갑니다 여기도 관리 하시는 분이 계심 좋겠네요 아..고분군 다니면 관리하시는 분들이 있든데 여긴 아무도 안보이내요,,사적 고성 내산리 고분군 (1963.01.21 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,상시 개방,,,,,,,,,,,,,,,,,,,,,
793,고성향교,"고성향교는 1398년에 처음 건립되어, 지역의 인재 양성과 문화발전에 중요한 역할을 수행하여 왔다. 향교의 공간은 교육과 제례의 두 영역으로 나뉜다. 유생이 학문을 연마하는 명륜당과 일상생활을 하는 동재, 서재는 교육 기능을 담당하고, 공자와 저명한 유학자의 위패를 모시는 대성전 및 동, 서무는 제례 기능을 각각 담당하고 있다. 고성 향교의 건물 배치는 교육공간을 앞쪽에, 제례 공간을 뒤쪽에 두는 향교 건물 배치의 일반적 형태인 전학후묘의 일직선 배치 양식이다. 대성전, 내삼문, 명륜당, 풍화루를 잇는 중심축은 일직선이지만 동서무가 대성전 양측면에 너무 인접되어 있고, 동재는 명륜당의 동쪽 측면에 위치하고 서재는 절반정도가 명륜당의 서쪽 측면에 인접하여 전형적인 향교 배치 격식에서 벗어나 있다. 유교의 교육 이념을 담고 있는 명륜당은 일반적으로 일자형인데 비해, 이곳 명륜당은 보기 드문 ㄷ자형의 평면구조이다. 향교의 정문인 풍화루는 유생들의 여가 및 여름철의 교육 공간이자 손님을 접대하는 곳이다.",,https://www.goseong.go.kr/,경상남도 고성군 고성읍 교사3길 41,상시 개방,연중무휴,불가능,무료,,,경상남도 유형문화유산 고성향교 (1983.08.06 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,오두산 치유숲,"오두산 치유숲은 자연을 그대로 살리면서 다양한 예술적 요소를 더해 조성된 특별한 공간으로, 자연과 예술, 치유가 조화를 이루는 힐링 명소이다. 입구부터 시작되는 자화상, 사랑의 거미줄, 명상 그림, 소망탑, 비상폭포 등은 모두 자연 속 재료인 돌과 흙으로 구성되어 있으며, 그 속에 담긴 이야기를 직접 보고 느끼며 감상할 수 있다. 숲 속 산책로를 따라 걷다 보면 다양한 감정을 마주하게 되고, 자연이 주는 위로와 예술의 메시지가 어우러져 진정한 치유의 시간을 제공한다. 또한 숲 안에는 ‘카페 오두’를 비롯해 숙박 가능한 ‘옴스테이’, 예술 체험 교육, 플리마켓, 소규모 축제 등 다양한 프로그램이 함께 운영되어 방문객들에게 보다 풍성한 경험을 선물한다. 가족, 친구, 연인 누구와 함께 방문하든 평화롭고 따뜻한 시간을 보낼 수 있는 오두산 치유숲은 고성의 숨겨진 힐링 여행지이다.",,http://iodoo.kr,경상남도 고성군 상리면 신촌리 산 31,10:00~18:00,"연중무휴
※ 자세한 사항은 전화문의 요망",가능,무료,여섯시내고향에서 봤어요!,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,병풍바위 전망대,"고성 병풍바위 전망대는 상족암군립공원 건너편에 자리한다. 이름 그대로 마치 병풍을 펼쳐놓은 듯 높은 바위가 길게 뻗은 모습이 눈길을 사로잡는다. 병풍바위로 향하는 길은 나무데크가 놓여 있어 누구나 부담 없이 걷기 좋다. 산책로 한쪽은 울창한 숲이, 다른 한쪽은 푸른 바다가 내내 이어지며 눈과 마음을 편안하게 만들어준다. 철썩이는 파도 소리를 들으며 걷다 보면 전망대에 이른다. 바다를 향해 길게 뻗은 전망대에선 아름다운 고성 앞바다를 한눈에 담을 수 있다. 전망대 바닥 일부는 투명한 유리로 만들어져 발아래 아찔한 바다 풍경도 즐길 수 있다. 전망대 주변으로 펼쳐진 주상절리도 특별한 볼거리를 더한다.",,https://www.goseong.go.kr/tour/,경상남도 고성군 하이면 월흥리 산3-1,상시 개방,연중무휴,가능,무료,주상절리가 멋있고 전망대로 가는길이 나무 데크 산책로로 되어있어서 편했어요..^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,통영RCE세자트라숲,"통영RCE는 (Reginal Centre of Expertises on Education for Sustainable Development)로 UN총회 산하 고등교육기관인 UN대학이 지속가능발전교육의 원활한 추진을 위해 지정한 거점 도시로 통영시는 2005년 세계 8번째, 국내 첫 번째 RCE도시로 지정받았다. 세자트라는 동남아시아 고어로 '공존 지속가능성'을 의미하며 지속가능한 삶의 철학을 체험을 통해 쉽게 배우며, 생활 양식을 터득하기 위한 공간으로 2015년 5월에 개장하였다. 또한 2023년에 문화체육관광부와 한국관광공사에서 주관하는 국제회의 명소인 코리아 유니크베뉴에 선정되었다. 매년 10만명 이상 찾아오는 통영RCE세자트라숲은 계절마다 아름다운 매력을 보고 느낄 수 있는 공간뿐만 아니라 지속가능발전 교육을 전파하는 곳이며, 자연 속에서 힐링과 동시에 각종 행사를 진행할 수 있는 매력적인 장소이다.",,https://rce.or.kr/,경상남도 통영시 용남면 용남해안로 116,"- 세자트라센터 09:00~18:00
- 야외공원 상시 개방","- 세자트라센터 매주 월요일, 일요일 / 법정공휴일
- 야외공원 연중무휴",가능 (약 소형 54대 / 대형 7대),무료,"산책하기 너무 좋은곳이에요! 나무도 많아서 그늘진곳이 많고 바닷가쪽이라 바다도 보면서 구경하기 좋은곳입니다! 이곳 자주 방문하는데 계절별로 아름다운 매력이 있는 곳이에요! 꼭 방문 추천드립니다 바다를 보면서 힐링하기 너무 좋은 곳이에요~ 늦은 봄이랑 가을에 다녀왔어요~~ 봄에는 모티꽃밭에 유채꽃이 가득 피어있답니다ㅎㅎ 가을에는 예쁜 단풍길과 억새가 아름다운 곳이에요 넓은 잔디밭에 많은 조각품과 모래놀이터가 있고 쭉 올라가시면 도서관도 있어 아이들과 가실분들도 추천입니당 바닷가 쪽에 가시면 그쪽도 볼만하고 여유를 느끼실 수 있을거에요. 조금의 산행도 괜찮다 하시는 분들은 해변쪽을 따라 가시면 해안을 따라 혹은 숲안으로 들어가는...
더보기 세자트라숲 좋아요 재밌게 잘놀다 갔어요. 풀벌레가 많아서 조금 그랬지만 자연을 느끼고 온거 같아요 싸앗상점 구경가려고 방문한 세자트라숲 힐링산책 추천이용♡♡",있음,,,,,,,,,,,,※ 자세한 사항은 홈페이지 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,신어산자연숲캠핑장(장척힐링마을),"신어산 자연숲캠핑장은 국토교통부에서 시행하는 도시 활력증진지역 개발사업으로 추진한 장척 힐링마을 만들기 사업으로 조성된 캠핑장이다. 캠핑장은 농촌 체험프로그램 운영 공간 등으로 이용할 수 있는 어울림센터 1동과 야영 데크 32개, 글램핑 5개 등 총 37개의 야영장 시설과 주차장을 갖추고 있는 캠핑장이다. 자연숲캠핑장은 신어산의 맑고 깨끗한 공기 보존을 위해 어울림센터 앞 주차장에 주차를 한 후 짐을 가지고 내부 카트를 이용하여 야영장으로 옮겨야 한다. 야영장 사이트는 총 3 구역으로 나눠져 있으며 산, 들, 꽃의 이름을 가졌다. 캠핑장 주변으로 다양한 수종의 나무와 야생화를 관찰하며 산책할 수 있는 숲길이 조성되어 있는데, 숲 해설가와 함께 숲 탐방을 체험해 보는 것도 좋다. 체험관에서는 자연에서 얻은 씨앗, 열매 등을 이용한 공예품 만들기, 목쟁반, 사물함 만들기 등의 체험을 진행하고 있다. 어울림센터에는 온수가 나오는 샤워실, 화장실, 개수대가 있다.",,http://www.sineosan.com/,경상남도 김해시 상동면 장척로462번길 140,"- 평일 입실 14:00~18:00
- 주말·휴일 입실 14:00~20:00
- 퇴실 11:00",,가능,,숲속 뷰 좋고 시설도 청결하게 잘 관리되어 있어요!,,,,"30,000원~60,000원
※ 이용요금은 변동될 수 있으므로 자세한 사항은 홈페이지 참조 요망",,,,,,,,,,,,,,,,,,,,,,샤워실 / 수영장 / 목공체험실 등,,,,,,,,,,,,,,,,,,,,,,,,,,
798,상주은모래비치,"금산의 절경을 긴 병풍으로 삼은 상주은모래비치는 은빛 고운 모래로 이루어진 넓은 백사장과 울창한 송림으로 둘러싸여 전국에서 몇 안 되는 아름다운 자연경관을 간직한 해수욕장이다. 남해읍에서 남쪽으로 21㎞ 떨어진 이곳은 맨발로 닿는 모래의 감촉이 좋은 곳아 해마다 여름이면 100만에 달하는 여행객들이 찾온다. 2㎞에 이르는 반달형 백사장 경사도 완만한 데다 수온도 높아 가족들의 피서지로도 최적의 조건을 갖추고 있다. 또한, 여름이면 썸머페스티벌, 겨울이면 해맞이 축제가 열리고 있으며, 이곳에서만 맛볼 수 있는 긴 전통의 야채핫도그, 인스타명소로 자리 잡은 감성 카페, 주민들이 운영하는 식당 등이 자리하고 있어 볼거리, 즐길거리가 풍성하다.",,https://www.namhae.go.kr/tour,경상남도 남해군 상주면 상주로 17,"상시 개방
※ 개장일이 아닌 경우 안전 관리자가 상주하지 않으므로 해수욕 불가",연중무휴,"가능(소형 약 150대 / 대형 약 30대)
요금(무료)",,,장애인 화장실 있음,,,,,"주출입구 무단차
원활한 이동이 가능하도록 유효폭 확보함",,오토캠핑장 / 샤워장 등,"장애인전용 주차구역 있음_무장애 편의시설
장애인주차요금 무료",,,,"[샤워장 이용료]
- 소인 1,000원
- 대인 2,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,문수암(고성),"대한불교조계종 쌍계사의 말사인 문수암은 고성군상리면 무선리 무이산에 있는 암자로서 신라 의상조사가 창건했다. 창건 이후 이 암자는 수도 도량으로서 많은 고승들을 배출하였고, 산명이 수려하여 삼국시대부터 해동의 명승지로 유명하였으며 특히 화랑도 전성시대에 국선 화랑들이 이 산에서 심신을 연마하였다고 전해진다. 그러나 중창 및 중건의 역사는 전래되지 않고 현존하는 암자는 사라호 태풍 때 건물이 붕괴된 뒤에 지은 현대식 건물이고, 일반 신도들의 성금으로 1973년에 이 절에서 수도한 이청담(李靑潭)의 사리를 봉안하여 세운 청담 대종사 사리탑이 있다. 인근에 수태산 보현사가 자리잡고 있으며 문수암 입구까지 도로가 포장되어 승용차로 조금 아래에 있는 주차장에 차를 세우고 걸어가면 문수암이 나타난다.",,https://www.goseong.go.kr/tour/,경상남도 고성군 상리면 무선2길 808,상시 개방,연중무휴,가능,무료,경치가 너무 이쁜 문수암입니다 우와~전경이 너무 멋지내요 문수암에서 보는 약사전과 남해바다는 정말 아름다워요 올라가는 길이 좀 가파라서 눈오는 날은 조심해야할듯 문수암 곳곳에서 보여지는 전망은 감탄이 된다 바다의 섬들이 줄지어있는모습은 징겅다리를. 떠올리게 하고 건너편 약사암이 보여지는것 까지 아름다움이 된다 가기도 편하고 마음이 편해지는 곳~ 경남 고성 무이산 문수암...문수암에어 바라보는 바다와 섬들이 너무 환상적이었습니다. 아울러 차량으로 5분 이내 거리인 보현사도 들리시면 안구정화 효과는 네배^^,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,자란도,"자란도는 고성군 하일면 송천리 동남쪽에 있는 작은 섬이다. 용태마을 하중촌 선착장에서 배를 타면 5분 정도 소요되며, 비록 가깝지만 배편이 없으면 먼 섬일 수밖에 없다. 붉은 난초가 섬에 많이 자생하면서 자란도라 불리기도 하고, 섬의 생긴 형세가 봉황이 알을 품고 있는 형상과 같다 하여 자란도라 한다고 하는 여러 가지 설화가 전해진다. 자란도는 정기 도선이 없기 때문에 배를 빌려서 타고 가야 하며, 취나물로 유명한 섬으로 논이 전혀 없고 농토가 협소하여 농사를 많이 지을 수 없다. 특산물은 멸치, 장어류, 조기류, 가자미류 및 갈치, 볼락, 돔, 농어, 방어류 등을 어획하여 판매하고 있다.",,,경상남도 고성군 하일면 송천리,상시 개방,연중무휴,가능,무료,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
