place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,입장료,review,체험가능 연령,화장실,이용 시기,주차 요금,이용요금,주요시설,접근로,장애인 주차 안내,휠체어,수용인원,규모,출입통로,엘리베이터,수유실,판매 품목,시설이용료,유모차,점자 홍보물,이용가능시설,주차요금,대중 교통,시각장애 기타상세,오디오 가이드,지체장애 기타 상세,유아용보조의자,개장기간,관람석,부대시설,보유장비,보조견 동반,대여안내,점자 블록,안내 요원,유도안내 설비,예약안내 홈페이지,강습안내,입점브랜드,객실,코스안내,자막 비디오 가이드,수화 안내,매표소,영유아가족 기타상세,체험
주암산가창저수지,"※상수도 보호구역으로 낚시 불가

가창저수지 주변은 산책하기 좋다. 가창댐길은 가창 헐티로와 가창저수지 수변 공간을 따라 나무데크 둘레길, 숲길, 마을로 이어지는 걷기 좋은 산책길이자 자연친화적인 드라이브 코스로, 대구 시민들이 즐겨찾는 휴게 명소로 자리잡은 곳이다. 가창저수지를 한눈에 담으려면 대구시 달성군 소재 주암산에 오르면 된다. 가창저수지의 물은 식수나 농업용수로 이용된다. 상수원 보호구역으로 낚시는 불가능하다.",,,경상북도 청도군 각북면 오산리,상시 개방,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교동시장,"대구역과 동성로 사이에 자리 잡은 전통시장이다. 해방 후, 특히 6.25 전쟁 직후 피난민들이 각처에서 모여들어 자연적으로 시장화되었다. 대구의 대형 전통시장과 달리 교동시장은 좁은 골목길이 여전히 남아 있고, 길목 사이사이 오래된 추억이 묻어있어 10년 전이나 20년 전이나 그 길목을 찾는 사람들에게는 가장 변함없는 전통시장이다. 교동시장의 귀여운 도깨비가 안내해 주는 길목을 따라 들어가면 옹기종기 이웃사촌하고 있는 상인들의 분주하게 하루를 열고 있다. 현재 교동시장에서는 잡화, 의류 등을 판매하고 있으며, 시장 일대에 먹자골목이 있어 토속음식부터 퓨전 음식까지 다양한 먹거리를 맛볼 수 있다.",,https://www.jung.daegu.kr/new/culture/,대구광역시 중구 동성로 70-15 (교동),매장 별로 상이,매장 별로 상이,가능,,,"교동시장 떡볶이 골목안 정말 맛있습니다 ^^ 교동시장 먹거리, 볼거리가 가득해서 너무 좋아요. 대구에 맛있는 음식들이 많은데 입도 즐겁고 눈도 즐거운 곳입니다. 구경하는 재미가 쏠쏠해요 맛난먹거리도 많아서 좋아요 납작만두가 먹고 싶으면 들러서 먹는 곳입니다 가끔 들리는데 먹을거리들이 많아요. 떡볶이 만두 순대 전 등등등 여럿이서 가서 나눠먹으면 좋지요 물가 올라도 시장 가격의 장점은 있구요 맛있고 친절함까지 여행하기 좋아요 교동시장에 먹거리들이 참 많은데 그중에 빈대떡 과 납작만두 먹으로 갔었어요. 여러가게들이 있는데 그중에 할매빈대떡으로 갔구요 예전에는 한접시에 2천원 했었던거 같은데 최근 물가가 올라서 3천원으로 바꼈더라구요. 그래도 맛있었고..대구에 유명한 납작만두 그중에서도 이 교동시장의 납작만두가 정말 맛있는거 같아요 파양념장을 살짝 퍼서 납작만두위에 뿌려서 파랑 같이 먹으면 너무 너무 맛있어요. 언제나 들르는 곳입니다 국물 떡볶이 빈대떡 굿이에요",,화장실 안에 장애인 전용칸 있음,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,공영주차장에 4면 있음,,,,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,"각종 먹거리, 채소류, 생선류, 의류, 생활용품 등",,,,,,,,,,,,,,,보조견동반 가능함,,,,,,,,,,,,,,
이곡장미공원,"이곡장미공원은 대구 달서구 이곡동에 위치한 곳으로 장미를 테마로 한 근린공원이다. 면적 15,000㎡ 중 장미원을 약 5,000㎡에 걸쳐 조성하였다. 공원 내에는 장미원과 더불어 산책로, 분수, 정자가 있다. 장미원에서는 매년 5월경 ‘장미꽃 필(feel) 무렵’이란 축제를 개최한다. 다양한 종류의 장미를 구경할 수 있어 많은 사람이 찾는다. 게다가 개성 넘치는 사진을 찍을 수 있는 포토존과 각종 조형물 등 볼거리를 즐길 수 있다.",,https://www.daegutour.or.kr/,대구광역시 달서구 이곡동 1306-6,상시 개방,연중무휴,불가능,,무료,장미공원 알차고 이쁘게 꾸며져 있어요~ 종종 행사도 열려서 체험도 할 수 있어서 아이들과 함께하기 좋은 곳이에요! 도심지에 있어서 산책하다가 들리기 좋았어요. 장미꽃 종류도 다양해서 사진 찍을곳도 많았어요. 대구 장미공원 너무 예쁘고 산책하기 좋았어요 봄에 또 가고싶어요~~ 장미공원 너무좋아요 산책하기도좋구 꽃들도 많구요 ㅎㅎ굿굿,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학산공원,"학이 날아와 앉은 모습과 닮았다는 학산공원. 이곳은 공원 전망대에서 일출과 일몰을 감상할 수 있어서 많은 사람이 찾아온다. 전망대로 가장 빨리 오르는 길은 학산공원 공영주차장에서 시작된다. 주차장을 지나면 학 모양의 조형물이 자리 잡은 분수대, 여러 스포츠를 즐길 수 있는 다목적운동장 등이 나온다. 다목적운동장부터 전망대까지는 약 15분가량 소요된다.",,,대구광역시 달서구 월성동 산10-1,상시개방,연중무휴,가능,,없음,가볍게 걷기 좋고 시내가 다 내려다보이는 전망이 끝내줍니다. 운동 기구들도 있어서 쉬엄쉬엄 오르기 참 좋습니다. 일출도 추천드립니다. 집근처에 있는 산책하기 아주 좋은 산입니다 걷기도 좋고 가볍게 운동기구에 맞게 운동하기 좋습니다 시간나면 방문해서 마음의 여유를 다지고 있어 너무 굿입니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팔공산분수광장,"팔공산분수광장에는 연중 많은 사람이 모인다. 각종 행사가 열리기 때문이다. 특히 봄철이면 관광객의 방문이 더욱 잦아진다. 분수 광장이 매년 열리는 팔공산 벚꽃 축제의 중심이기 때문이다. 축제가 열리는 시기에는 팔공산 동화지구 상가번영회의 주최로 홍삼, 흑마늘, 천마, 산삼, 약초 등을 구입할 수 있는 팔도 특산품 직거래 장터가 열린다. 아울러 속초 오징어순대, 아바이순대, 팔공산 미나리전 등 각종 먹거리도 맛볼 수 있다.",,dong.daegu.kr/tour,대구광역시 동구 용수동 27-5,상시개방,연중무휴,가능,,무료,크게 기대하진 않았는데 지금 단풍이 많이 들어서 너무 좋았습니다. 아이와 등산하긴 힘들어서 산책만 했는데 아주 예뻤어요. 팔공산 순환도로드라이브 코스도 굿!!! 팔공산 분수광장에서 단풍축제 구경했습니다! 무대도 즐기고 상점들 구경하면서 군것질도 많이 했네요~ 아직 많이 춥지도 않고 단풍이 져서 산책하기도 좋았어요!,,있음(남/녀구분),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테크노폴리스중앙공원,"테크노폴리스중앙공원은 수상 데크 로드, 흙길 산책로, 야간 경관조명 분수가 어우러진 수변 공원이다. 공원 크고 넓은 편으로 산책하기 좋은 곳으로 알려져 있다. 특히 흙길 산책로는 관광객들이 연못에 최대한 가깝게 접근해 산책할 수 있도록 조성했다. 게다가 해 질 녘 야간 조명이 켜지면 연못의 시원한 바람을 맞으며 여러 산책로를 걸을 수 있어 많은 사람이 방문한다.",,,대구광역시 달성군 유가읍 테크노공원로 58,상시 개방,연중무휴,"가능
요금 (무료)",,무료,,,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,,,,,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,
서문시장 5지구,"서문시장은 한국 3대 시장 중 하나다. 경상권 최대 시장으로 주단이나 포목 등의 섬유 제품과 더불어 다양한 먹거리로 유명하다. 특히 2016년 6월에 국내 최대 규모의 ‘서문 야시장’이 개장되면서 한국의 전통과 맛을 선사할 수 있는 관광지로 부상하게 되었다. 서문시장은 약 5,000여 개의 점포와 3만여 명의 상인들이 상주하고 있다. 포목, 직물, 의류 등 섬유 관련 품목들과 청과물, 마른 해산물, 신발 등 생활에 필요한 모든 것들을 갖추고 있다. 특히 직물과 섬유 관련 제품은 전국에서 알아주는 유명한 상품이 많다. 서문시장 내에 위치한 서문시장 5지구는 의류, 내의, 그릇, 잡화 등을 중점적으로 판매하는 상점이 성업 중이다. 인근에는 동성로 다운타운, 김광석 거리, 근대역사 골목 등 가볼 만한 곳이 풍부한 관광의 중심지이기도 하다.
(사진 출처: 대구광역시청)",,,대구광역시 중구 큰장로26길 6 (대신동),"09:00~18:00
※ 업장별 영업시간 상이할 수 있음","첫째주, 셋째주 일요일",가능,,,"타지에서 대구로 여행오신다면 추천하고 싶은 장소 중 하나입니다. 낮에는 의류,신발,각종잡화 없는게 없는곳이고 먹거리또한 씨앗호떡,삼겹살김밥,칼제비 등 서문시장에서만 맛볼수 있는 메뉴도 많아서 재미있어요. 서문시장까지 오셨다면 서문야시장을 꼭 가보시길 추천드립니다. 밤에만 볼수있는 야경과 줄지어있는 야시장 먹거리가 많아 즐길 수 있어요.",,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,,,,,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,"의류, 내의, 그릇, 잡화 등",,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,
파계 오토캠핑장,"팔공산 파계지구 오토캠핑장은 대구광역시 동구에 있다. 대구광역시청을 기점으로 경대교와 백안삼거리를 지나 약 30분이면 도착한다. 이곳은 울창한 숲과 계곡 덕분에 계절마다 아름다운 풍경을 뽐내는 팔공산에 조성됐다. 대구 도심을 오가는 시내버스가 8분 간격으로 운행된다는 것도 장점이다. 캠핑장은 오토캠핑장 24면을 갖췄으며, 사이트 크기는 가로 3m, 세로 3m와 가로 3.5m, 세로 4.5m로 두 종류다. 텐트 바로 옆에 주차를 할 수 있어 편리하며, 사이트 사이를 막아줘 프라이빗한 캠핑을 즐길 수 있다. 캠핑장 자체가 산책로라서 운동 삼아 걷기 좋은 길이 많다. 내부에 매점은 없지만 가까운 거리에 슈퍼가 많아 불편함이 없다. 주변에 연계 관광에 적합한 파계사 등 사찰이 많다. 팔공산 주변에 음식점이 많아 원하는 음식을 사 먹기에도 좋다.",,https://yeyak.daegu.go.kr,대구광역시 동구 파계로 707-14 (중대동),13:00~익일12:00,매년 12월~2월,가능,,,,,가능,,,"[소형 데크]
비수기 14,000원
성수기 17,000원
[대형 데크]
비수기 17,000원
성수기 20,000원
※ 성수기는 7~8월, 금요일~토요일, 공휴일
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,"전기, 온수",,,,,,,,,,,,,,,,
팔달시장,"팔달시장은 대구 3대 시장 중 하나로 팔달신시장이라고도 불린다. 도시철도 3호선 개통으로 더욱 편리하게 갈 수 있게 됐다. 시장은 대구의 관문인 팔달교와 인접하여 전국 각지에서 모인 신선한 농산물이 유통된다. 시장에는 각종 먹거리를 비롯해 채소류, 생선류, 육류, 의류, 생활용품 등을 파는 상점이 성업 중이다. 그중 새벽 채소시장으로 유명하다. 주차는 팔달공영주차장을 이용하면 된다.
(사진 출처: 대구광역시청)",,,대구광역시 북구 팔달로37길 11 (노원동2가),점포별 상이,점포별 상이,"가능 (팔달신시장 공영 주차장)
요금 (30분당 600원 / 60분 1,500원 / 120분 3,300원 / 240분 6,900원)",,,은근 레트로한맛도 있고 구경하느라 시간가는줄 몰라요 추천합니다,,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,,,,,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,
현풍백년도깨비시장,"현풍백년도깨비시장은 1918년 3월에 개장한 역사 깊은 시장이다. 시장은 세 가지 특징을 지녔다. 먼저 다양한 세대 간의 문화를 접할 수 있는 전통시장이라는 것이 첫 번째 특징이다. 두 번째는 매월 5일과 10일에 전통 오일장이 열린다는 점이다. 마지막으로 세 번째는 전통시장에 새로운 활력을 불어넣는 청년몰이 입점해 있다는 것이다.
*사진 출처: 대구광역시청",,http://www.hyunpungmarket.com/,대구광역시 달성군 현풍읍 현풍로6길 5,10:00~19:00,연중무휴,가능,,,,,,,,,,,,,,,,,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
와룡시장,"와룡시장은 문화 관광형 시장이다. 150여 개의 점포로 이뤄졌으며 1994년에 형성되어 현재까지 달서구 지역의 대표 거점시장으로 명맥을 이어오고 있다. 시장은 아파트 단지가 밀집한 중심 상권에 있어 뛰어난 배후 상권을 보유하고 있다. 지하철 2호선이 지나가 접근성이 좋다. 아울러 100대 규모의 와룡공원 지하 공영주차장이 설치되어 있다. 2011년 시설 현대화 사업을 통해 아케이드 조성 사업을 완공하였고, 2015년 협업화 사업, 2016년 골목형 시장 육성사업을 거쳐서 2019년 중소벤처기업부의 문화 관광형 시장 육성사업에 선정되어 문화와 관광이 접목된 문화 관광 특화시장으로 새롭게 변화하고 있다.
(사진 출처: 대구광역시청)",,https://blog.naver.com/wa_market,대구광역시 달서구 신당동 1750,09:00~22:00 (점포별 상이),점포별 상이,있음(소형 100대),,,달서구 와룡시장 너무좋아유 싸고 싱싱한 음식들 장보기 너무좋은곳인거 같아요 추천드려용^^,,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,,,,,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,
침산공원,"침산공원은 대구 북구 8경 중 제8 경이다. 침산공원 내에 자리 잡은 침산정은 조선 전기 최고의 문장가였던 서거정 선생이 침산의 저녁노을을 보고 아름다움에 감탄하여 한시 ‘침산만조’를 읊었을 정도로 아름다운 곳이다. 공원에는 대구 시내를 한눈에 내려다볼 수 있는 전망대가 있다. 밤에는 화려한 야경도 감상해 볼 수 있어 많은 사람이 찾는다. 이 밖에도 공원에는 돌계단, 산책로, 인공폭포, 야외무대, 물놀이장, 맨발 산책로 등 즐길 거리가 많다.",,https://www.buk.daegu.kr/tour/index.do,대구광역시 북구 침산동 1344-1,상시 개방,연중무휴,"가능
요금 (무료)",,무료,"낮은 산이지만 도심에 있어 간단히 오를수 있고 주변경관을 보기 좋아요 자연과 어우러진 넓은 공간으로, 산책로와 운동시설이 잘 갖춰져 있어 너무 좋습니다. 푸르른 나무들 사이에서 여유롭게 시간을 보내며 힐링할 수 있는 곳으로, 깨끗하게 관리되어 편안하게 즐길 수 있는 공간이에요. 조용히 야경 구경하며 새벽감성 채우기 좋은 곳! 남자친구랑 데이트 끝나고 집에 가야 하는데 같이 더 있고 싶어서 들렀던 추억의 침산공원ㅋㅋㅋ 이제는 너무나도 유명해진 대구 대표 벚꽃 명소! 돌담위로 벚꽃이 아주 멋지다고 해서 다녀왔어요 정말 핫플레이스더군요.. 줄이 너무 길어 기다려서 사진을 찍진 못하고 위로 올라와서 찍어봤어요~ 조금 아쉬운 사진이지만 화려한 벚꽃과 함께 즐거웠어요~",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호림강나루공원(호림공원),"호림공원은 대구광역시 달서구 대천동에 위치한 아름다운 자연공원이다. 이 공원은 넓은 녹지와 산책로로 유명하며, 주민들에게 휴식과 여가를 제공하는 공간이다. 공원 내에는 다양한 종류의 나무와 꽃들이 자생하며, 계절마다 변화하는 자연경관을 감상할 수 있다. 특히, 호림공원은 가족 단위 방문객들에게 적합한 곳으로, 어린이들을 위한 놀이시설과 운동 시설도 잘 갖춰져 있다. 또한, 산책이나 운동을 즐길 수 있는 넓은 공간이 있어, 지역 주민들의 건강을 지키는 중요한 역할을 한다. 이곳은 도심 속에서 자연을 만끽하며 힐링할 수 있는 공간으로, 많은 사람들이 여유로운 시간을 보내기 위해 찾는 명소이다.",,,대구광역시 달서구 대천동 900,상시 개방,연중무휴,"가능
요금 (무료)",,,,,있음,,,,,,,,,,,,,,,,,축구장 / 배드민턴장 / 농구장 / 파고라 등,,,,,,,,,,,,,,,,,,,,,,,,,
화원시장,"화원시장에서는 오일장이 열린다. 장날은 1일과 6일이다. 장이 서는 날이면 평소보다 다양한 상품을 구입할 수 있다. 평소에도 문을 여는 상점이 많지만, 오일장의 분위기를 느끼려면 장날에 맞춰 방문하길 권한다. 시장에는 각종 먹거리를 비롯해 채소류, 생선류, 육류, 의류, 생활용품 등을 파는 상점이 있다. 시장을 향해 가는 길에는 화원전통시장의 역사를 알 수 있도록 꾸며져 있다. 화원시장은 공영주차장이 마련되어 있어 장보기 편리하다.",,,대구광역시 달성군 화원읍 인흥길 33-4,매장 별 상이함,매장 별 상이함,"가능 (공영주차장)
요금 (최초 30분 400원 / 30분 초과 시 10분마다 200원 / 1일 주차 4,000원)",,,"지하철 화원역 출구 나오자마자 장터가 열려 있어 눈요깃거리들도 많고 화원시장에서 유명한 호떡, 순대, 칼국수, 핫도그 등 많은 먹거리들을 판매하고 있어 혼자서도 좋지만 가족들과 함께 장보는 것도 재미있어 추천해요. 근처엔 송해공원과 화원유원지도 있어서 나들이하기도 좋아요 화원장에 가면 전통시장의 분위기를 느낄 수 있어 좋습니다. 칼국수, 회, 분식류, 족발 등 다양한 먹거리가 있고 맛있어서 장 열리는 날 확인 후 방문했었네요. 과일, 생선 질도 좋고 싸서 추천합니다.",,,,,,,,,,,"대지면적 4,487㎡ / 연면적 1,733㎡ / 매장면적 1,193㎡ / 35개소",,,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효목시장,"효목시장은 1980년에 문을 연 소규모 시장이다. 시장에는 통닭, 족발, 도넛, 칼국수 등 각종 먹거리를 파는 상점이 있다. 이 밖에 채소류, 생선류, 육류를 파는 상점도 자리 잡고 있다. 시장과 가까운 거리에 지하철 아양교역이 있다. 동촌유원지 등 관광지도 있어 방문해보기 좋다.

*사진 출처: 대구시 동구청",,,대구광역시 동구 아양로50길 22-2 (효목동),점포별로 상이,점포별로 상이,가능,,,,,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,,,,,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,"각종 먹거리, 채소류, 생선류, 육류",,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,
아날로그데이,"아날로그데이는 경북 군위군 부계면에 자리 잡고 있다. 군위군청을 기점으로 30㎞가량 떨어졌다. 자동차를 타고 경북대로, 치산효령로, 79번 지방도를 번갈아 달리면 닿는다. 도착까지 걸리는 시간은 40분 안팎이다. 이곳은 지방도 바로 옆에 위치한 소규모 캠핑장이다. 도착 전 주의를 기울이지 않으면 쉬이 지나치기에 십상이다. 캠핑장에는 일반 야영장 13면과 글램핑 2개 동을 마련했다. 일반 야영장은 데크로 이뤄졌으며, 사이트 크기는 가로 7m 세로 5m 다. 전기 사용은 전기요, 노트북, 랜턴, 선풍기, 휴대폰 충전에만 가능하다. 냉방기기 등 500w 이상 고출력 제품 사용 시 경고 후 퇴실 조처를 내린다. 이 경우 환불 불가다. 집기 파손이나 분실 시 손해 배상을 청구할 수 있다. 캠핑장 인근에 제2석굴암, 동산계곡 등의 관광지가 있다. 주변에 몇몇 음식점도 운영 중이다.",,http://analogday.co.kr/,대구광역시 군위군 부계면 원효길 1,14:00 ~ 익일 13:00,,가능 (무료),,,,,가능,,,예약 시 문의,안전시설 설비사항 소화기:8,,,,,,,,,,,,,,,,,,,,,,"전기, 장작판매, 온수, 트렘폴린, 운동시설",,,"난방기구, 식기",,,,,,,,,,,,,
위천수변 테마파크,"대구광역시 군위군 효령면에 위치한 위천 수변 테마파크는 캠핑장과 테마공원, 잔디광장, 생태연못, 야외 공연장, 분수대 등을 고루 갖추고 있다. 캠핑장은 일반 야영장 38면으로 이뤄져 있는데 바닥 형태는 잔디이며, 사이트 크기는 가로 세로 모두 8m이다. 사이트 옆에 주차를 하면 옆 텐트와 완벽하게 단절돼 프라이빗 한 캠핑이 가능하다. 남녀를 구분한 화장실이 6곳, 샤워실이 2곳, 개수대는 3곳이다. 개인 카라반과 트레일러도 동반 입장이 가능하며, 반려동물의 경우 크기와 상관없이 목줄과 입마개를 준비하면 대형견도 출입할 수 있다.",,http://wcpark.gunwi.go.kr,대구광역시 군위군 효령면 간동유원지길 8,14:00~익일 12:00,,"가능
요금 (무료)",,,,,있음,,,"25,000원~35,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",사이트,,,,,,,,,,,,,,,,,,,,,,화장실 / 샤워실 / 주차장,,,,,,,,,,,,,,,,
달성보전망대,"달성보전망대는 대구 달성군에 위치한 전망대이다. 이곳은 낙동강과 주변 자연경관을 한눈에 감상할 수 있는 최적의 장소로, 탁 트인 풍경이 일품이다. 전망대에서 바라보는 넓은 강과 푸른 자연은 방문객들에게 평화로운 힐링의 시간을 선사한다. 특히, 일출과 일몰 시간이 아름다워 많은 사람들이 사진 촬영을 즐기기에 좋은 장소이다. 또한, 전망대에는 다양한 시설이 갖추어져 있어 가족 단위나 연인들이 함께 방문하기 좋다. 달성보전망대는 대구에서 자연과 함께 여유로운 시간을 보내고 싶은 사람들에게 추천할 만한 명소이다.",,,대구광역시 달성군 논공읍 비슬로 1193,상시 개방,연중무휴,"가능
요금 (무료)",,무료,"600번 버스타고 논공꽃단지 왔다가 지나가는 길에 봤어요. 뭔가하고 찾아보니 전망대^^ 노을 맛집이라고~~ 담에 꼭 들러 보려구요. 대구 외곽이라 대중교통으로 오면 시간이 많이 걸리지만 편하고 버스도 자주 오네요 전망대로 보는 풍경과 자전거 타기가 너무좋아요~탁트인 분위기가 만족스럽고 좋았어요~ 전망대가 특색있게 생겼고, 높은 곳에서 내려다보니까 애들이 좋아했어요. 시원하고 자전거 라이딩으로 최고입니다. ㅎ 달성보 전망대에서 보는 경치가 너무 좋아요 산책하기 좋은곳",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동구시장,"동구시장은 2007년 대구 최초로 모범시장으로 선정됐다. 시장에서는 칼국수, 부침개 등 즉석에서 요리한 각종 먹거리를 판다. 이 밖에 과일류와 채소류 등을 구입할 수 있다. 인근 관광지로는 화랑공원, 동촌유원지, 대구시니어체험관, 대구아쿠아리움 등이 있다.
*사진 출처: 대구광역시청",,,대구광역시 동구 화랑로25길 1 (효목동),05:00~20:00,"매월 첫째 주, 셋째 주 일요일",불가,,,,,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,,,,,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,"각종 먹거리, 채소류, 생선류, 의류, 생활용품 등",,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,
대한수목원,"대한수목원은 1991년에 처음 나무를 심기 시작하여 현재에 이르기까지 약 24년이 넘는 기간 동안 나무 한 그루, 꽃나무 하나씩을 매일 직접 심고 다듬으면서 조성됐다. 수목원 내에는 매실나무, 은행나무, 살구나무, 벚꽃나무 등 약 1,700여 가지의 각종의 나무와 꽃들이 피고 진다. 꽃과 나무 등 식물을 관람할 수 있을 뿐만 아니라 여러 물품을 전시하고 있는 전시관, 음식점, 카페 등을 운영하고 있어 야유회 등 단체 관람으로 시간을 보내기에도 좋다. 이곳을 구경하기 위해 대구 시민은 물론, 포항, 경산, 구미, 부산, 울산 등 근교 지역 시민들도 찾아온다. 최근에는 중국, 대만 등의 외국 관광객들까지 찾고 있다.",,https://tour.daegu.go.kr/index.do,대구광역시 동구 파계로 446-42 (중대동),"09:30~22:00
※ 동절기 및 하절기 변동 가능",연중무휴,"가능
요금 (무료)",,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반야월종합시장,"반야월종합시장은 매달 1일과 6일에 오일장이 열린다. 이곳에서는 먹을거리는 물론 의류, 잡화 등을 저렴한 가격에 구입할 수 있다. 반야월종합시장은 지하철 1호선을 타고 신기역에서 내리면 걸어서 5분이면 닿는다. 인근 관광지로는 율화광장, 안심근린공원, 반계근린공원, 고산서당 등이 있다.

*사진 출처: 대구광역시청",,,대구광역시 동구 율하동로 144 (신기동),매장 별 상이,매장 별 상이,"가능 (공영주차장)
요금 (최초 30분 400원 / 이후 10분마다 200원 / 1일 주차 4,000원)",,,맛있는 먹거리도 많고 볼거리도 많고 도심속에 이런 재미있는 5일장이 있어서 신선했어요 1일 5일 오일장이 열리는 시장입니다. 동네 시장치고 규모가 큰 편이고 다양한 구경거리와 먹거리가 넘쳐나는 곳입니다. 어제도 다녀왔는데 현금 들고간거 간단한 간식거리만 사먹는다는게 끼니를 때우고 왔네요. 다음 장 열리길 기다리고 있어요! 줄서서 사는 순대 품절되기전에 꼭 포장해가세요.,,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,,주출입구는 턱이 없어 휠체어 접근 가능함,,,"채소, 육류, 의류, 잡화, 먹거리 등",,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,
산격종합시장,"산격종합시장은 대구광역시 북구 산격동에 위치한 전통적인 재래시장이다. 이 시장은 다양한 신선한 농산물, 해산물, 육류, 생활용품 등 다양한 품목을 저렴한 가격에 제공하는 곳으로, 지역 주민들에게 오랫동안 사랑받아온 장소이다. 산격종합시장은 활기차고 친근한 분위기를 자랑하며, 다양한 상인들이 정성껏 판매하는 상품들을 구입할 수 있다. 특히, 신선한 재료들을 손쉽게 구할 수 있어 가정에서 직접 요리하는 사람들에게 인기가 많다. 또한, 이곳은 대구의 특산물과 지역 맛을 살린 먹거리를 제공하는 음식점들도 많아 방문객들에게 다양한 맛의 즐거움을 선사한다. 산격종합시장은 단순한 쇼핑 공간을 넘어서, 지역 사회의 문화와 전통을 느낄 수 있는 소중한 장소이다. 저렴한 가격과 푸근한 분위기로 많은 사람들이 찾는 명소로 자리매김하고 있다.",,,대구광역시 북구 동북로 164 (산격동),※ 점포별 상이함,※ 점포별 상이함,불가능,,,,,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,,,,,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,"각종 먹거리, 채소류, 생선류, 육류, 의류, 생활용품 등",,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,
대구광역시수산물도매시장,"대구를 대표하는 농수산물시장 가운데 하나다. 신선한 농산물과 싱싱한 수산물을 한 곳에서 만날 수 있다. 1층은 각종 농수산물을 판매하며, 2층은 구입한 활어를 먹을 수 있는 공간이다. 2층에서는 상차림 비용만 지불하면 1층에서 구입한 생선회를 먹을 수 있으며, 주류도 함께 판매하고 있다.
*사진 출처: 대구광역시청",,,대구광역시 북구 매천로18길 34 (매천동),매장마다 다름,매장마다 다름,가능,,,싱싱하고 저렴한 해산물이 가득한곳 직접 그자리에서 먹을수도 있고 인심이 좋아서 서비스도 많이주고 한번오면 또 가고싶은곳! 추천합니다.,,,,,,,,,,,,,,,각종 농수산물,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
