place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,입장료,접근로,review,주차 요금,이용요금,체험,출입통로,장애인 주차 안내,엘리베이터,수유실,판매 품목,이용가능시설,주차요금,지정현황,체험가능 연령,유모차,휠체어,지체장애 기타 상세,입점브랜드,규모,대중 교통,주요시설,할인 정보,수용인원,오디오 가이드,시각장애 기타상세,관람석,점자 홍보물,보조견 동반,보유장비,안내 요원,시설이용료,부대시설,점자 블록,이용 시기,강습안내,청각 장애 기타상세,코스안내,영유아가족 기타상세
전남대학교 의학박물관 (전남대학교 의과대학 구 본관),"전남대학교 의학박물관은 2012년 8월 21일에 개관하였다. 전남대학교 의과대학 구 본관이었던 의학박물관은 1951년에 준공되어 1952년부터 1957년까지 전남대학교 본부로 사용되었다. 전남대학교에서 현존하는 건물 중 가장 오래된 건축물로서 의학박물관은 건물의 역사, 문화적 가치를 인정받아 2018년 8월 6일 등록문화재 제728호로 지정되었다. 모더니즘의 세련된 디자인, 조적조 벽체와 철근콘크리트 바닥, 천장과의 매끄러운 연결 등이 건축사적 측면에서 중요한 의미를 지닌다. 현재는 전남의대 동문 및 의료인의 사료를 기증받아 제1종 전문박물관으로 운영되고 있다.",,http://www.medicalmuseum.ac.kr,광주광역시 동구 백서로 160 (학동),09:00~18:00,매주 주말 / 법정 공휴일 / 개교기념일 (6월 9일),가능,,,,,"30분 이내 무료 / 30분 경과 후 1,000원 / 10분당 200원 추가",무료,,,,,,,,,,,,,,,"면적 31,645㎡ / 지상 3층",,,,,,,,,,,,,,,,,,,
광주자동차극장,"정통 자동차극장의 매력과 더불어 우치공원동물원과 패밀리랜드 놀이공원이 연계된 국내 유일 카니발형 자동차극장으로 사계절 모두 색다른 분위기를 연출하는 국내 최고의 야외자동차극장(2 개관)이다. 맛있는 간식과 함께 영화를 관람하며 대화를 할 수 있다. 애견과 함께 관람할 수 있으며, 극장 내 마련된 스낵바와 셀프코너에서 간단한 스낵, 음료 등도 즐길 수 있어서 자유로운 분위기에서 영화를 즐길 수 있는 곳이다. 상영작의 기준은 기존 멀티플렉스와 개봉 시기가 동일한 엄선된 영화를 선정한다. 대형 화면의 매력을 느끼기 위해 방문한 고객을 위한 최상의 맞춤 주차 서비스를 통해 최상의 관람 환경을 제공하는 광주광역시 유일의 야간문화명소이다.",,http://gwangjudit.co.kr,광주광역시 북구 우치로 649 (생용동),"18:00~24:00
※ 방문 당일 홈페이지 상영시간표 확인 필수",홈페이지 상영시간표 확인,가능,,,,,,"차량 1대당 23,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
치른시빌,"치른시빌은 2022년 국내 최초 설립된 미술교육 콘텐츠 개발 회사다. 청년 예술인과 협업하여 교육 프로그램과 키트를 개발하고, 오프라인과 온라인에서 다채로운 예술 서비스를 제공한다. 또한 누구나 즐길 수 있도록 미술교육 프로그램을 개발해 맞춤형 미술패키지를 제공한다. 미술, 음악 등 다양한 분야의 문화 예술 전문가들과 함께 획기적인 아트프로젝트와 콘텐츠를 기획하고 있다. 아이들이 체험하기 좋아 방문객들이 많은 곳이다.",,"공식 홈페이지 https://studio711.kr/web/
공식 네이버블로그 https://blog.naver.com/studio7__11
공식 인스타그램 https://www.instagram.com/studio7__11/",광주광역시 동구 서석로85번길 10 (대의동),10:00~22:00,연중무휴,가능,,,,,,"[액션 페인팅]
- 38,000원
[백드롭 페인팅]
- 38,000원",액션 페인팅 / 백드롭 페인팅 / 플루이드 비치 / 크림 클레이 케이크 등,,,,,,,,,,,,,,,,,,20명,,,,,,,,,,,,,,,
뜻모아센터,"유한회사 뜻모아센터는 탄소중립공예를 주력으로 하는 공예 체험 업체이다. 재활용 가능한 다양한 재료와 공기정화식물인 스칸디아모스를 활용한 공예 체험 프로그램을 개발해 지역축제에서 다양한 연령층의 관광객을 만나고 있다. 스칸디아모스와 접목한 추억의 못난이 인형, 언제나 싱그러운 스칸디아모스 커피박 화분, 키링 만들기는 유한회사 뜻모아센터의 인기 체험 프로그램이다. 최근 개발한 광주를 담은 한입마카롱 체험 프로그램은 광주의 주요 관광자원을 식용물감을 이용해 마카롱에 직접 표현해 보는 프로그램이다.",,,광주광역시 북구 서하로245번길 42 (오치동) 3층 302호,09:00~18:00,매주 일요일 / 법정 공휴일,"가능 (5대)
요금 (무료)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
평촌도예공방,"평촌도예공방은 무등분청사기의 맥()과 더불어 체험 학습 공간과 전통도자기계승발전, 전통과 현대도자기 등 다양한 콘텐츠를 조화시켜 분청사기의 현대화를 하나의 상품으로 발전시켜오고 있는 곳이다. 무등산 분청사기의 맥과 정신을 잇기 위해 무등산 분청사기를 재현함으로써 그 맥과 정신을 찾고, 사라져 가는 전통 도자기를 체험 학습 프로그램을 통해 하나의 문화 콘텐츠로 발전시켜 다양한 체험의 장을 열고 있다. 또한 전통 도자기의 투박함 속의 화려함과 현대 도자기의 세련된 디자인을 접목시켜 현대와 전통이 아우러지는 하나의 상품을 생산하기 위해 노력하고 있다.",,http://www.pcdy.co.kr/,광주광역시 북구 담안평무길 77,"- 평일 09:00~18:00
- 주말 09:00~19:00",법정 공휴일 / 설·추석 연휴,가능,,,,,,,,,,,,평촌도예공방 분청사기,,,,,,,,,,,,,,,,,,,,,,,,,,,,
휴심정,"휴심정은 연면적 900여 평에 달하는 베이커리 카페 '세컨드원', 퓨전 다이닝 '오트', 팝업스토어 및 갤러리로 구성된 복합문화공간 그리고 2,500평가량의 도심 속 정원으로 구성된 복합 치유 공간이다. 야외정원은 사계절 내내 꽃이 지지 않는 정원이라는 콘셉트로 수목 28종, 초화류 30여 종이 설계, 식재되어 있어 계절 별로 다양한 매력과 분위기가 연출된다. 2021년 아름다운 문화도시 공간상 수상했으며, 광주광역시 1호 민간 정원이다.",,https://www.instagram.com/hyusimjeong_official/,광주광역시 광산구 임방울대로 611-25 (도천동),10:00~22:00,연중무휴,가능 (약 120대),,무료,,,,,,,,,,,"- 편의시설 : 베이커리카페, 퓨전다이닝 레스토랑, 갤러리, 팝업존, 수유실
- 야외정원 : 시크릿가든, 보타닉가든",,,전 연령,,,,,,,,,,,,,,,,,,,,,,,,
사직 빛의 숲,"사직 빛의 숲은 광주의 역사와 미디어라는 주제로 사직공원의 동물원 옛터, 사직단, 숲 산책로, 전망타워 등 사직단의 역사적 소재를 활용한 테마파크형 미디어아트 공원이다. 사직단에서 나라의 안녕과 번영, 그리고 풍요를 기원하는 사람들의 수많은 소망이 모여 밤하늘의 별이 되고 은하수가 되어 사직공원으로 내려와 빛의 숲을 완성한다는 스토리로 구성했다. 조명과 영상, 음악이 함께 어우러진 융복합형 콘텐츠를 구축하고, 시민들의 동작에 반응하는 인터랙티브 아트를 통해 다양한 체험과 볼거리를 제공한다.",,,광주광역시 남구 사직길 49 (사동),"동절기(11월~3월) 18:30~22:30
하절기(4월~10월) 19:30~23:00
※ 전망타워 라이트쇼는 21:40까지 운영",연중무휴,가능 (사직공원 내 주차장),있음,무료,,"""사직 빛의 숲""은 야간에 방문하면 정말 아름다운 불빛의 향연을 볼 수 있는 곳인데 낮에 사직공원을 방문 하면서 사진만 남겼습니다. 광주 야경 명소 사직 빛의 숲으로 떠나보세요 다양한 체험과 볼거리도 있고 너무나 아름답습니다 가족이 정말 좋아하더라구요 부부동반으로 광주광역시 여행 중에 방문한 곳입니다. 사직공원 안에 있네요. 낮에 방문을 하여 아름다운 빛의 향연은 보지 못했지만 잘 꾸며져 있네요. 친구따라 강남가듯 따라간곳 너무 예뻐요 친구들이랑 인생샷 찍으러 갔던 곳인데 분위기 좋고 사진도 이쁘게 나와요 추천함다",,,,,,,,,,,,전 연령,,,,,,,,,,,,,,,,,,,,상시,,,,
롯데아울렛 광주수완점,"롯데아울렛 광주수완점은 매일 새로움과 즐거운 경험을 제공한다. 200여 개 국내외 유명 브랜드 및 해외 명품 편집숍이 입점해있다. 아렛, 마트, 시네마를 한 번에 만날 수 있는 수완 롯데 타운이다.",,https://www.lotteshopping.com/store/main?cstrCd=0332,광주광역시 광산구 장신로 98 롯데쇼핑몰,매일 10:30~21:00,월 1회 정기 휴무,,장애인 화장실 있음,,,,,,,,장애인 주차구역 있음,장애인 이용 가능한 엘리베이터 있음,,"리빙/가전, 해외패션, 아동/유아, 레져/스포츠, 남성패션, 패션액세서리, 영패션, 여성패션 등",,,,,유모차 대여 가능 (1F 안내데스크),휠체어 대여 가능 (1F 안내데스크),,,,,,,,,,,,보조견 동반 가능,,안내데스크 있음 (1F),,,,,,,,
마한유적체험관,"국가사적으로 지정된 신창동 유적을 활성화하고 광주 지역 고대 마한문화의 우수성을 알리기 위해 2022년 12월 개관하였다. 체험관 내부에는 신창동 유적의 저습지와 중요 출토 유물, 토층을 재현하여 유적 발굴 조사 당시의 상황을 한눈에 알아볼 수 있도록 하였으며, 유적의 발굴 과정을 게임을 통해 쉽게 배워 볼 수 있다. 또한 물고기잡이, 활쏘기, 토기 복원, 가락바퀴를 이용한 실잣기, 현악기 연주 등 체험을 통해 2,000년 전 마한 사람들의 생활을 쉽게 이해할 수 있도록 여러 가지 체험 콘텐츠가 마련되어 있다. 광주신창동유적은 BC 2세기경의 초기 철기시대에서 원삼국시대에 걸쳐 영산강 상류 지역에 형성된 생산 및 생활, 매장, 교역 활동 등이 망라된 거점 농경 복합유적이다. 광주광역시 광산구에 위치하며, 1963년 53기의 옹관묘가 조사되면서 처음 알려졌다. 1992년 국립광주박물관 발굴 조사에서 토기 가마, 환호, 주거지, 밭 유구 등과 함께 목기와 칠기, 볍씨 등의 다양한 곡물 자료와 동·식물류가 포함된 대규모 저습지가 확인되었다. BC 2세기경 농촌 마을의 경관과 사회상, 생활문화를 복원할 수 있는 대표적 유적이다.",,https://www.gwangju.go.kr,광주광역시 광산구 북문대로 396-2 (신창동),09:00~18:00 (입장마감 17:30),"매주 월요일 (단, 월요일이 공휴일인 경우 그 다음날) / 1월 1일 / 공휴일 다음날",가능,있음,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
승촌보교,"승촌보는 나주평야 일대의 농업용수 확보와 홍수와 가뭄에 대비하기 위한 목적으로 건설된 보이다. 길이 512m의 보는 가동보 180m, 고정보 구간 332m로 차량 통행이 가능하며, 높이는 9m이다. 보의 형태는 나주평야에서 생산되는 쌀을 형상화하여 디자인되었다. 가로길이 50m와 30m의 2가지 형태의 수문이 각 2개씩 4개가 설치되어 있으며, 900만의 저수량을 확보한다. 보의 좌측에는 800 소수력발전소가 설치되어 연간 464만h의 전력을 생산한다. 승촌보교는 승촌보 위로 차량과 사람이 모두 통행하는 교량이다. 승촌보교 위의 조형물은 나주평야의 쌀을 형상화 해 놓은 것인데 가까이서 보는 것보다 상류에 있는 승용교에서 정면이 아닌 대각선으로 바라보면 쌀 형상과 비슷함을 느낄 수 있다. 또한 승용교에서 바라보는 승촌보의 노을을 감상하는 맛도 좋다. 인근에는 영산강문화관, 승촌보캠핑장, 축구장 등이 있다.",,,광주광역시 남구 승촌보길 90 (승촌동),상시 개방,연중무휴,가능,,,,쌀알모양의 콘크리트 다리가 독특해요 저녁에는 색색불빛이 비춰요. 자전거타고 자전거길로 가기 좋아요. 자동차로는 천변길 드라이브하기도 좋아요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
승촌공원,"승촌보 서쪽에 위치한 승촌보공원은 영산강의 자유곡류 하천에서 형성된 우각호의 하중도에 조성되었으며 규모는 20만 평에 달한다. 행정구역 주소는 광주광역시에 속하는데 지형상 나주시 구역으로 보여 나주 승촌보라 불리기도 한다. 영산강을 따라 자전거 전용도로가 길게 이어지고 탁 트인 너른 승촌공원은 야외 산책하기 좋은 경관이 좋은 명소이다. 이외에도 공원 안에는 안내소, 승촌보, 승촌보캠핑장, 영산강문화관, 승촌파크골프장, 승촌보 선착장, 축구장, 연화원, 주차장이 있다. 이곳은 시내에서의 접근성이 매우 좋고 다양한 볼거리와 즐길 거리를 갖추고 있으며 캠핑장이 있어 당일치기도 1박 2일 여행 장소로도 좋다. 승촌보는 나주평야 일대 농업용수 확보와 홍수와 가뭄에 대비하기 위한 목적으로 건설된 보이다. 보의 형태는 나주평야에서 생산되는 쌀을 형상화하여 디자인되었다.",,,광주광역시 남구 승촌동 588-43,상시 개방,연중무휴,가능,있음,,,오토캠핑장. 운동장. 바닥 분수.도 있고 자전거 빌려탈수도 있어 아이들과 소풍가기 좋아요. 롤러로된 미끄럼틀도 아이들 엄청 좋아하네요. 자전거 길과 연계되어 있어 자전거 타시는 분들도 엄청 많네요. 주말에 가족 나들이 장소로 추천합니다. 광주 근교에 위치해있어서 좋아요 깔끔하고 매점도 있어서 강따라서 자전거타다가 들려 간식 사먹기도 좋아요. 그래서 라이더분들도 많아요 무엇보다 진짜 넓어서 사람이 많아도 많은줄 모르겠고 밤에는 별도 많이 볼수있어요. 그늘이 많이 없어서 아쉽기는 해요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광주비엔날레전시관,"광주비엔날레 전시관은 1994년 창설된 이래 수많은 전시회를 통해 대한민국을 비롯한 세계 미술 문화에 큰 기여를 해오고 있는 곳이다. 비엔날레를 통해 수많은 사람들에게 즐거움과 삶의 의욕을 줄 수 있도록 노력하고 있으며 한국 작가들이 세계로 진출하기 위한 통로 역할을 하고 있다. 특히, 비엔날레 전시회는 일회성 행사로 끝나지 않고 비엔날레의 터전인 광주의 지역적 가치를 높이며 지속 가능한 플랫폼이 되기 위해 다양한 시도를 하고 있다. 코로나 시대를 맞아 온라인 서비스도 진행해 현장 방문이 어려운 시민들에게 전시 서비스를 체험할 수 있도록 제공하고 있다. 광주디자인비엔날레 전시 기간에는 본 전시, 특별전, 국제 학술 행사 등 다양한 행사와 전시 관람, 체험도 가능하다.",,http://www.gwangjubiennale.org/,광주광역시 북구 비엔날레로 111 (용봉동),09:00~18:00 (입장 마감 17:30),매주 월요일,가능,,,,"전시구경 다녀왔어요 규모도 크고, 근처에 볼거리도 많아서 좋은데요 부부동반으로 광주광역시 여행 중에 방문한 곳입니다. 내부의 관람은 오픈을 안해서 볼 수 없었고 외부 사진으로 만족 했습니다.",,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한희원미술관,"양림동 골목길 안쪽의 작은 한옥미술관 한희원 미술관. 한희원 화가는 양림동에서 자라며 성장했고 화가로서 영향을 받은 고향 양림동의 사랑, 위로, 예술의 정신을 지키고 오롯이 보여주기 위해 2015년 7월 이장우 가옥과 최승효 고택 사이에 위치한 작은 한옥을 매입하여 미술관으로 탈바꿈시켰다. 예술이 가장 낮은 자세로 시민에게 다가가는 문턱 낮은 미술관, 한희원 미술관은 누구에게나 열려있다. 편히 들어가서 그림도 감상하고 예술을 통해 위로받기를 바란다.",,공식 인스타그램 https://www.instagram.com/hanheewon_museum/,광주광역시 남구 양촌길 27-6,"- 평일 10:00~16:00
- 주말 10:00~18:00","매주 월요일, 화요일",가능 (양림동 제1 공영주차장),,,,멋진 곳이네요. 가보고 싶어요 색다른 곳이 정말 많네요 가고싶은 여행지가 계속 생기네요 광주에 내려 가면 꼭 들어야 겠어요 한옥의 고즈넉한 풍경에 곳곳에 걸려져 있는 그림을 감상하다보면은 머음의 힐링도 찾아 올 것 같네요. 벗어나고 싶은 데 한 번쯤 들려봐도 좋은 스팟입니다. 색다르네요. 저처럼 미술 작품 보는 것이 일상적이지도 않고 친숙하지 않은 사람에게 편안하게 다가갈 수 있는 공간처럼 느껴져서 좋았습니다. 오 처음 접하는 스팟이네요 간만에 미술관 기행 한 번 떠나봐야겠어요 광주여행은 안가봤는데 가보고싶어요,"10분당 500원 / 1일 최대 12,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하정웅미술관(광주),"광주시립미술관 분관 '하정웅미술관'은 1981년 3월에 건립되어 '전남도지사 공관'으로 최초 사용되었다. 2007년 공공기관 이전부지 공원화 사업이 시작되어 미술전시관으로 운영방향이 결정되었고, 2008년 9월부터 2016년 8월까지 지역미술진흥을 위한 전시공간인 '상록전시관'의 이름으로 지역미술진흥 활동에 주력, 지역미술인들 및 시민들의 많은 사랑을 받았다. 이후, 2017년 3월 전시관의 이름을 하정웅미술관으로 개칭하여 광주시립미술관이 소장한 하정웅컬렉션에 대한 연구, 전시, 홍보활동을 주로 하면서, 지역미술진흥을 위한 전시활동 및 시민대상 교육프로그램 등도 운영하고 있다.",,공식 홈페이지 https://artmuse.gwangju.go.kr/,광주광역시 서구 상무대로 1165,"- 10:00~18:00
- 매월 마지막 수요일 10:00~20:00",매주 월요일 / 1월 1일 / 설·추석 당일,가능,장애인 전용 화장실 있음(1층/남녀분리),,휠체어가 올라갈 수 있는 경사로 설치되어 있음,,,"무료 (단, 특별 기획전시 중 유료 전시회의 경우 별도 입장료 받을 수 있음)",,주 출입구에서 휠체어 통과 가능함(수동문),장애인 전용 별도 주차칸 있음(1칸/미술관 앞),엘리베이터 있음(장애인용),,,,,,,,,,,,,,,,,,,,,,안내데스크 있음(1층 로비/보조 안내요원 상주),,,,,,,,
사직공원전망타워,"역사 기행의 장소 광주역사문화마을이 위치한 양림동의 예쁜 언덕길을 따라 올라가다 보면 멋진 구조물이 인상적인 사직공원 전망타워가 보인다. 언덕 위에 있어 광주의 전경을 한눈에 감상할 수 있어, 광주의 야경을 즐기고 싶은 사람들에게는 최적의 장소이다. 입구에 들어서면 주변의 경관을 천천히 감상하며 오를 수 있는 나선형 계단과 4층까지 바로 운행하는 엘리베이터가 보인다. 4층 전망대에 오르면 탁 트인 광주의 경관이 넓게 펼쳐져 있어 양림동 일대는 물론 명산 무등산까지도 한눈에 담을 수 있다. 광주를 구석구석 구경하고 싶다면 망원경 무료 이용도 가능하다. 3층에는 시대별로 소개해 놓은 전시관이 있고, 광주 전체의 모습을 디오라마로 감상할 수 있다. 제19회 광주광역시 건축상 동상을 수상할 만큼 아름다운 외관과 환상적인 야경으로 만족감을 주는 사직공원 전망타워는 광주에 가면 꼭 한 번은 들러봐야 할 관광명소이다.",,,광주광역시 남구 사직길 49-1 (사동),09:00~22:00 (입장마감 21:40),연중무휴,있음,있음 (남녀 구분),무료,,"사직공원 전망대에 서면, 반짝이는 광주의 밤이 한눈에 담겨요. 조용히 바라보는 그 순간, 마음까지 환해집니다 부부동반으로 광주광역시 여행 중에 방문한 곳입니다. 낮에 방문을 하여 아름다운 빛의 향연은 보지 못해도 산책하며 많은 힐링을 했습니다. 꼭 저녁에 방문하는걸 추천드립니다. 다양한 조명들이 만들어내는 아름다운 야경을 가족들과 같이 걸으며 시간을 보내고 사진까지 찍으면 멋진 추억으로 남길 수 있을꺼 같습니다. 다만 주차가 조금 불편하네요. 영화 아바타에 온것 같아요. 환상적입니다 아이랑 가기 강추 사직공원 전망대 멋져요 아이와 감성가득하고 다양한 체험활동에 예쁜 사진 가득 남길수 있는 곳이에요 주차공간이 협소하니 주변 주차장위치는 따로 알아가보는게 좋을것같아요 멋집니다 집 뒤에 있는데 타워 올라가면 경치가 너무 좋아요 카페도 있으니 가보시는걸 추천합니다 은은하게 음악도 나오고 좋았어요 신경많이써서 관리하는게 느껴지는곳이었어요",,,,,,,,,"1층 출입구 / 2층 데크쉼터 / 3층 전시실 / 4층 전망대 (엘리베이터, 나선형 계단 이용가능)",무료,,,,,,,,,,,,,,,,,,,,,,,,,,
무등산 리프트모노레일(지산유원지),"광주시에 위치한 리프트·모노레일은 1층 편의점 안에 설치된 매표소에서 표를 사서 2층 탑승장으로 올라가면 된다. 리프트를 올라타고 무등산의 경치를 즐기면서 20분가량 올라가면, 모노레일로 갈아탈 수 있는 빛고을 역에 도착한다. 20여 명 정도가 한 번에 탈 수 있는 모노레일을 타고 정상을 향해 달리는 동안 스릴도 느낄 수 있고 사방으로 보이는 무등산의 절경에 감탄이 절로 나온다. 모노레일 종착점에 있는 팔각정 전망대에 올라서서 보는 광주의 전경은 스릴을 극복하고서라도 꼭 한 번은 봐야 할 아름다운 광경이다. 광주를 제대로 보고 즐길 수 있는 명소이다.",,www.hotelmudeungpark.co.kr,광주광역시 동구 지호로164번길 14-10,"- 평일 10:00~18:00
- 주말 09:00~18:00
※ 기상 악화 시 운영 중단 및 마감 가능",연중무휴,가능,,"[리프트+모노레일(왕복)]
- 대인 17,000원
- 소인 14,000원
[리프트(왕복)]
- 대인 10,000원
- 소인 8,000원
※ 자세한 사항은 홈페이지 참조",,"광주 여행가시는 분들 무등산 리프트모노레일은 꼭 한번 타보세요.. 요즘 경험하기 힘든 무서운 모노레일이지만 오래 기억에 남습니다 이거 쫌 무섭습니다. 어른들도 조금 무서워할만하긴해요. 그래도 광주 들리면 가볼만한데가 많지 않은데, 가볼한합니다. 옛 광주광역시에서 최고의 유원지였는데 지금은 미개발로 인해 너무 안타까워요. 광주광역시와 동구청에서 개발을 해보려고 해도 사유지가 많은 관계로 어려움을 겪는 다는 뉴스에 꼭 잘되기만을 소원해 봅니다. 가을에 모노레일 타면 산도 전체적으로 다 보이고 좋아요 저는 항상 할머니 모시고 다녀왔었어요 ) 날씨가 풀려서 모노레일 타러갔는데 너무너무 힐링되고 전망이 너므 좋았어요 부모님이 어린시절 생겼다는 모노레일과 리프트. 큰 변화 없이 지금까지 남아있다고 해서 가봤는데 모노레일은 조금 무서울 수도 있습니다. 모노레일 까지 타고 가서 내리면 전망대 까지 금방 갈 수 있고, 광주광역시를 한눈에 내려다 볼 수 있습니다. 산꼭대기에 위치한 모노레일 꽤나 무서웠습니다. 호텔과 주차장을 같이 써서 주차는 굉장히 편리해요 여름이라면 많이 덥겠지만 단풍든 가을에는 더예뻐질것 같아요 광주가서 자연보고 힐링하고 싶으신분들께 추천드립니다 생각보다 코스가 길어서 시간 여유있게 잡고 방문하는게 좋아요 산 꼭대기에 모노레일이 있다니 신기했습니다. 살짝 무섭기도 하지만 풍경도 멋지고 재밌고 좋았습니다. 광주가시는 분들은 꼭 가시길 추천합니다. 부부동반으로 광주 여행 중 방문한 무등산 리프트모노레일은 날씨가 추워서 포기 하고 돌아왔다. 다음에 꼭 한번 타 봐야지 하고.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
푸른마을 공동체센터,"2018년 12월 개관한 푸른마을 공동체센터는 푸른길 공원 주변 예술가들과 마을 주민들 간 융합을 통한 주민 공동체 회복을 목표로 조성되었다. 건물 1층에는 마을기업이 운영하는 카페 겸 갤러리와 장난감 도서관이 있으며, 2층과 3층에는 동구에 위치한 법인, 단체, 학교, 직장에 재직 및 재학하는 사람 누구나 저렴한 비용으로 이용이 가능하다. 동구 지역 공동체 중 정치나 종교, 영리 목적이 아닌 프로그램만 회의실, 공유 부엌, 공유 센터 등도 쾌적하게 이용할 수 있다. 장난감 도서관에서는 회원가입 후 월 2회, 회당 2점의 장난감 무료 대여할 수 있고, 실내 어린이 놀이시설은 1시간 천 원에 이용할 수 있다. 푸른마을 공동체센터는 주민 도시재생 교육 프로그램, 주민 공예 교육 프로그램 등 복합문화공간으로 주민복지 향상은 물론 휴게공간으로 지역민의 삶의 질 향상에 앞장서고 있다.",,http://dgpuma.donggu.kr//,광주광역시 동구 동명로67번길 29 (산수동),"- 평일 10:00~17:50 (휴게시간 11:50~13:00)
- 주말 10:00~16:50 (휴게시간 11:50~13:00)
※ 자세한 시설별 운영시간은 홈페이지 참고",매주 월요일,가능 (14대),장애인 화장실 있음_무장애 편의시설,,출입구까지 턱이 없어 휠체어 접근 가능함,,무료,"- 장난감 도서관 : 센터로 직접 방문하여 구비서류 제출과 연회비 납부 후 이용가능
- 실내놀이터 : 1시간 기준 1,000원
- 공유센터 : 무료 회원가입 후 물품 가액의 2% 대여요금 발생, 카드발급 2,000원
- 마을방송국 : 무료",,주출입구는 턱이 없어 휠체어 접근 가능함(자동문),,,,,,,,,,,,,,,,,,음성버튼(점자안내판),,,점자안내판 있음,,,,,,점자블록 있음(주요시설 앞)_시각장애인 편의시설,,,,,
지산유원지,1978년 4월 개장한 지산유원지는 약 20만 평 규모의 자연친화적 시설이다. 숲 속을 가로지르는 리프트와 해발 350m에 설치된 모노레일에 탑승하면 광주 시내 전경과 무등산 정상의 모습을 한눈에 구경할 수 있다. 모노레일은 리프트의 종착점에서 숲길로 50 떨어진 산 중턱에서 출발해 팔각정이 있는 지산유원지 산 정상을 왕복하는 코스로 운행된다. 재개장 후 젊은 세대 층을 중심으로 SNS와 입소문을 타고 광주 무등산에서 스릴을 즐길 수 있는 독특한 놀이시설로 인기몰이 중이다.,,https://jisanpark.co.kr/,광주광역시 동구 지호로164번길 23 (지산동),"- 평일 10:00~18:00
- 주말 09:00~18:00
※ 기상상황에 따라 변동 방문 전 확인전화 요망",연중무휴,가능 (소형 200대/대형 10대),장애인 화장실 있음,"[리프트+모노레일(왕복)]
- 일반 대인 17,000원
- 일반 소인 14,000원
※ 기상 악화 시 운영 중단 및 마감될 수 있음",,어린시절부터 성인인 지금까지도 찾는 곳입니다. 모노레일과 리프트카가 아직도 무섭지만 추억과 함께 자연즐기기 좋습니다. 모노레일과 리프트카 타러 한번씩 가는 곳입니다. 조금 무섭지만 경치구경도 하고 자연을 느끼러 다녀오기 괜찮습니다 어릴때 엄마아빠 손잡고 가던곳인데 이제는 딸과 함께 더 자주갑니다 리프트는 쫄보인 저에게는 무섭지만 딸이 좋아해서 자꾸 타게됩니다 옛날모습으로 남아줘서 고마운곳입니다,,,,,장애인 주차장 있음(3대)_무장애 편의시설,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,
광주시패밀리랜드 카라반캠핑장,"광주 패밀리랜드 카라반 캠핑장은 우치공원 내 잔디광장 7천여㎡ 부지에 조성된 럭셔리 캠핑장으로 도심 속 자연에서 낭만을 즐길 수 있는 힐링 공간이다. 모든 카라반은 최신형 편의시설이 갖춰져 있으며, 국내에서 볼 수 없는 미국 포레스트리비사의 초대형 카라반을 설치하여 압도적인 스케일을 자랑한다. 캠핑과 함께 체육, 예술, 놀이, 관람 등 다양한 문화생활을 즐길 수 있는 시설이 마련되어 있어 가족, 연인, 친구와 함께 다양한 체험을 경험하실 수 있다. 카라반은 4인용 루비, 6인용 에메랄드 A(입식 테이블), 에메랄드 B(좌식 테이블), 다이아몬드 등 4가지 타입으로 구성되어 있다.",,https://familylandcamping.com/index.html,광주광역시 북구 우치로 690 (생용동),14:00 ~ 익일 11:00,,주차가능,가능,,,,,"95,000원 ~ 220,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,"전기, 무선인터넷, 장작판매, 온수, 물놀이장, 놀이터, 산책로, 마트.편의점",,,,,,
