place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,review,입장료,화장실,체험가능 연령,이용가능시설,이용요금,출입통로,장애인 주차 안내,휠체어,접근로,시설이용료,엘리베이터,유모차,관람석,주차요금,수유실,대중 교통,판매 품목,주요시설,시각장애 기타상세,규모,지체장애 기타 상세,입실시간,퇴실시간,객실수,예약안내 홈페이지,객실유형,부대시설,객실,점자 홍보물,주차 요금,수용인원,영업시간,이용 시기,청각 장애 기타상세,개장기간,보유장비,오디오 가이드,할인 정보,큰활자 홍보물,대여안내,매표소,보조견 동반,점자 블록,안내 요원,유도안내 설비,코스안내,예약안내,객실내 취사 여부,식음료장,사우나실 여부,홍보물,자막 비디오 가이드,강습안내,영유아가족 기타상세,체험
남관생활문화센터,"남관생활문화센터는 전 대전초등학교 건물과 부지를 리모델링한 공간으로 우리나라 추상미술계의 거목이자 경상북도 청송군 출신인 남관화백을 기리고자 조성한 공간이다. 남관생활문화센터 내에 남관화백의 작품 및 소장품 등을 전시하고 재해석한 공간인 남관미디어아트관을 개관하였다. 이를 통하여 지역 문화관광을 자원화하고 군민 및 관람객의 문화향유 기회를 제공함과 동시에 지역의 개인과 동아리들이 다양한 문화 예술 창작활동을 펼치고, 예술 커뮤니티 공간의 역할을 할 수 있도록 운영하고 있다.
오픈키친을 통하여 요리를 배울 수 있는 교육 프로그램과 별관에 위치한 공예 카페 ‘학교 종이 땡땡땡’에서 손뜨개 등의 체험 프로그램을 경험할 수 있다.",,https://namkwan.cctf.or.kr,경상북도 청송군 부남면 부남로 14,"[화요일~금요일]
- 09:00~21:00
[주말]
- 10:00~18:00","매주 월요일 / 설, 추석 연휴 / 법정공휴일 / 공휴일 대체 휴일",가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,무료,남관미디어아트홀 20명 내외,,,,,,,,,,,,,,,,,,,,,,,,"종가음식 요리 클래스
※ 자세한 안내는 홈페이지 참조"
김천 추풍령 테마파크,"추풍령휴게소 뒷편에 위치한 김천 추풍령테마파크는 메인센터, 짚코스터, 어드벤처, 숲속놀이터, 휴게정원, 포토존 등을 갖춘 시설로 어린이와 청소년, 가족 단위 관광객이 이색체험과 모험을 즐길 수 있는 체험형 테마파크로 2024년 5월 29일에 개장한 김천의 관광명소이다.",,https://www.gcfmc.or.kr/cprthemepark/,경상북도 김천시 봉산면 광천4길 110,09:30~18:00,"매주 월요일 (단, 월요일이 공휴일인 경우 그 다음날 휴무) / 1월 1일 / 설·추석 당일",가능 (추풍령테마파크 주차장 (33면)),,아이들이랑 방문하면 좋아요. 다양한 즐길거리가있는데 가격도 저렴한편에 속해서 추천하는 장소입니다!! 작년에 개장된 추풍령 테마파크..비교적 저렴한 비용으로아이들이 하루 신나게 즐기고 체험할 것도 많아 좋았어요 특히 짚코스터가 제일 잼났어요 봄이 되면 다시 방문해야겠어요 추풍령 테마파크가 새로 개장 되었어요 개장기념으로 무료로 가 아이들과 재미난 체험과 놀이로 한껏 즐기고 왔어요 음식반입도 가능하고 하루 잘 놀다 왔어요 다음에 다시 한번가기로 약속하였네요,,,"성인 (19세 이상) / 청소년 (14세 이상 19세 미만) /어린이 (14세 미만)
※ 체험 시설별 이용 가능 몸무게, 키 제한이 있음 (상세 사항 홈페이지 참고)","메인센터, 짚코스터, 어드벤처, 숲속놀이터, 원형광장, 휴게정원, 포토존, 반려견 놀이터 등",,,,,,"[짚코스터]
- 5,000~10,000원
[어드벤처]
- 5,000~15,000원
[짚코스터+어드벤처]
- 7,000~20,000원
※ 자세한 안내는 홈페이지 참고",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어서어서,"어서어서는 경주 황리단길에 위치한 작은 서점이다. 사장님은 경주에서 태어나고 자랐지만 경주를 너무 좋아해서 경주로 여행을 오는 분들과 함께 좋아하는 책 이야기, 경주 이야기를 할 수 있는 공간을 만들기 위해 이곳, 어서어서를 만들었다. 그래서 서점이기보다는 서재에 누군가를 초대하는 기분으로 서점을 운영하고 있다. 자그마한 내부에는 책들이 빼곡하게 정리되어 있고, 곳곳에 빈티지함이 가득 묻어나는 소품들이 놓여 있다. 벽에 붙어 있는 우표, 추천도서와 추천영화, 경주 여행과 관련된 책자들 등 작은 공간이지만 구석구석에 볼거리가 많다. 책을 구매하면 레트로 느낌의 종이 약 봉투에 포장을 해준다. 몸이 아프면 약 처방을 받는 것처럼 어서어서에 만난 책이 읽는 사람의 마음이 낫게 해 주길 바라는 의미를 담아 만든 포장 봉투이다. 또, 책 구매 시 무료로 제공되는 무지의 책갈피에 스탬프를 찍어 나만의 책갈피로 만들 수 있다.",,"공식 홈페이지 https://www.eeeoseo.com/
인스타그램 https://www.instagram.com/eoseoeoseo/",경상북도 경주시 포석로 1083 (황남동),"[평일]
- 11:00~19:30
[주말]
-10:00~21:00",홈페이지 참조,불가능,,,,,,,,,,,,,,,,,,,도서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구미 금리단길,"금리단길은 구미역과 금오천 사이에 위치한 각산마을 일대를 지칭하며, 구미시에서 가장 트렌디한 카페와 상점들이 모여있는 곳으로, 생활권과 상권이 결합된 골목상권이다. 최근 몇 년 사이 감성적이고 개성 있는 카페와 식당, 공방들이 하나둘 들어서며 문화를 선도하는 곳이자 MZ세대의 유입이 활발히 진행되고 있는 주목받는 장소로 변모하고 있다.
구미시의 대표적 관광지인 금오산에 인접한 장점을 살려 금오산의 베이스캠프 역할을 지향하고 있다. 또한 구미역과 가까워 철도를 이용하는 뚜벅이 여행자들의 접근성이 좋은 편이며 타 상권에 비해 문화를 이해하는 정서가 넓게 깔려 있다.
미로 같은 골목길을 걷다 우연히 발견한 아기자기한 상점, 북카페, 북바에서 나를 위한 쇼핑과 라이프 스타일을 경험하고, 차와 책을 통해 나를 돌아보는 시간을 가질 수 있는 여유가 있는 곳으로 낭만과 문화가 흐르는 골목상권으로 각광받고 있다.",,"인스타그램 https://www.instagram.com/gaksan_village/
블로그 https://blog.naver.com/gumi-urc",경상북도 구미시 금오산로 134 (원평동),상시 개방 (점포별 상이함),점포별 상이함,,,"금오천을 검색했는데 안나오네요. 아마 금리단길에 포함되는 것 같아요 벚꽃길로 이만한 곳 없고, 단풍길로 또 이만한 곳 없습니다. 사시사철 늘 예뻐서 데이트하기 좋은 곳이에요 가게들도 계절에 맞춰 단장해서 아기자기합니다 천이 흐르고 그 천 따라서 산책길이 잘되어있어서 강아지랑 산책하기도 좋고 걷기 운동하기 좋아요~ 그리고 조금만 더 가면 금리단길이라 핫플도 많아서 구경도 재밌어요",,,,구미영상미디어센터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양남 눈썰매장,"불암산 500m 고지 청정지역에 위치한 양남 눈썰매장은 3만 3000평의 넓은 부지에 조성된 눈썰매장이다. 플라스틱 썰매, 튜브 썰매, 전통 썰매 등 썰매 종류도 다양하고 키 130cm 전후로 이용 가능한 슬로프와 썰매가 나뉘어져 있으며 안전요원이 있어 안전하게 눈썰매를 즐길 수 있다.
이 밖에도 얼음 팽이, 눈놀이 동산, 깡통 열차와 빙어 체험과 등 아이와 함께 할 수 있는 다양한 체험과 놀이시설이 있다. 빙어 체험에서 잡은 빙어는 그 자리에서 튀겨 바로 먹을 수 있다.",,,경상북도 경주시 양남면 동남로 856,10:00~17:00,동절기 운영시 무휴,있음,,"마우나 리조트와 바로 옆에 있는 양남 눈썰매장입니다. 리조트와 함께 이용하시면 더 좋을 것 같구요. 가성비 좋은 눈썰매장입니다. 눈썰매, 야외 기차타기, 빙어잡기 등 다 해보실 수 있습니다. 그리고 썰매장 내부에 아무래도 어린이 손님이 많으니, 여러가지 먹을 것 들을 많이 팝니다. 비쌉니다...ㅋ",,있음(남녀 구분),전연령,,"[입장료] 대인 12,000원 / 소인 10,000원
※24개월 이하 무료",,,,,,,,,,,,,슬로프 / 휴게실 / 빙어낚시터,,,,,,,,,매점 / 놀이 시설,,,,,,,,,썰매,,,,,,,,,,,,,,,,,,,
보현산자연휴양림 산림복합체험관,"산림복합체험관은 산림치유체험관과 산림레포츠체험관으로 구분된다. 산림치유체험관에서는 VR체험 및 명상치유체험을 할 수 있다. VR체험을 통해 롤러코스터, 바닷속탐험 등 생동감 넘치는 체험을 할 수 있다. 또한 차명상, 싱잉볼명상, 아로마테라피 등 요일별로 다양한 명상프로그램을 진행하고 있으며, 명상시간 동안에는 바쁜 일상 속에서 잠시 벗어나 오롯이 나에게 집중하는 시간을 가질 수 있다. 산림치유체험관 내 어린이놀이터는 미취학아동을 대상으로 예약 후 무료로 이용이 가능하다. 산림레포츠체험관은 실내 디자인암벽등반, 코스별 장애물을 통과하는 스카이트레일, 짜릿한 경험을 할 수 있는 짚잭 등 실내에서 즐길 수 있는 다양한 레포츠체험시설이 있다.",,https://www.foresttrip.go.kr,경상북도 영천시 화북면 배나무정길 334,"09:00~18:00
※ 각 회차별 예약 후 이용가능","매주 화요일, 수요일","가능(소형 12대 / 장애인주차구역 2대 / 보현산자연휴양림 주차장 공동이용)
요금(무료)",,"우연히 예약이되서 아이들과 체험하러 다녀왔어요~ 시간이 어떻게지나갔는지도 모를정도로 재미있게 체험할수있었어요 직원분들도 완전친절했어요 아이들과 1박하며 액티비티 체험과 만들기, 산림욕 힐링되는 시간이었네요. 다음에 또 꼭 방문하고 싶은 곳 입니다. 아이나 조카가 있다면 무조건 고고씽~ 기족들과 혹은 연인과 함께라면 더더욱 즐거운 여행이 될거라 확신합니다. 롤로코스터나 바닷속탐험을 VR로 체험했는데 어른인 제가봐도 생동감이 굿~~미리 예약만 한다면 미취학아동은 어린이놀이터가 무료라 더 좋아요.♡ 산림체험을 VR로 할수있어 아이들이 엄청 신기해했습니다. 기회되면 다시 고고 가까운 곳에 좋은장소를 알았네요. 애들이 좋아하겠어요. 평소 등산을 좋아하는데, 가끔은 실내에서도 레저를할수없나 상상만 했던곳이 생겨서 들뜬마음에 영천을 들렸습니다. 이제는 산림체험도 vr로 하는시대라 정말 대단합니다. 정말 이색적인 레저공간이라 앞으로 더욱 대세가 될것 같습니다 요즘 비가 많이와서 실내 놀거리를 찾고있었는데 규모도 크고 종류도 다양해서 시간 가는줄모르고 놀다왔네요 가족들과 같이 가기 딱 좋아요 굿굿",,있음(체험관 각 층별 화장실 있음),"[산림치유체험관]
- VR체험 : 제한없음
- 명상체험 : 15세이상
- 어린이놀이터 : 미취학아동
[산림레포츠체험관]
- 연령 제한은 없으나, 신체 조건 제한 있음",,,,,,,"[산림치유체험관]
- VR체험 3,000원
- 명상체험 3,000원
- 어린이놀이터 무료
[산림레포츠체험관]
- 10,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[산림치유체험관]
- VR체험 / 명상체험 / 어린이놀이터
[산림레포츠체험관]
- 실내 암벽등반 / 스카이트레일 등 레포츠체험"
흥림산자연휴양림 (영양에코둥지),"풍림산에 위치한 영양에코둥지는 주민의 정서함양, 휴양 및 산림교육과 지친 도시민들의 치유의 공간 제공을 위하여 영양에코둥지와 영양 목재문화체험장으로 조성된 종합 산림휴양타운이다.
5인, 6인, 8인 ,10인의 다양한 숙박시설이 있고 홈페이지를 통해 온라인 예약이 가능하다. 주요시설로는 산림문화휴양관, 테라스하우스 등 기본적인 휴양시설이 있다. 레포츠시설로는 짚코스터, 네트어드벤처가 있다. 목재문화체험관 및 전시장, 야외 목재체험 시설이 들어서 있어 대자연 속에서 자연의 소중함을 배우는 살아있는 교육의 장으로도 활용된다.
멀지 않은 곳에 청록파시인 조지훈의 고향 마을이자 문학의 꿈을 키우던 주실마을이 있어 자연과 더불어 문학과 전통의 향기도 더불어 느낄 수 있다.",,https://www.foresttrip.go.kr/,경상북도 영양군 재일로 2394-70 홍림산자연휴향림,15:00~익일 11:00,설날 / 추석 연휴 기간,"가능 (약 소형 20대)
요금 (무료)",,목재휴양관 체험이랑 놀이방 잘 되어 있어서 아이와 들리기 좋은 휴양림입니다,,,전 연령 가능,"주요시설 - 산림 휴양관 / 목재문화 체험장
부대시설 - 네트어드벤쳐 / 짚코스터 / 운동장 / 바비큐장 / 산책로 / 어린이도서관 / 키즈카페 / 목재문화 전시실",,,,,,"[숙박시설]
- 60,000원~160,000원
[짚코스터]
- 일반 10, 000원 / 청소년 5,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[목재문화체험장]
- 목공체험실 / 어린이 놀이터 / 숲 속 작은 도서관 등"
의성 낙단보 수변공원,"의성 낙단보 주변에 조성된 낙단보 수변공원은 낙단보 코스모스공원이라 별칭이 있을 정도로 매년 9월이면 코스모스로 장관을 이룬다.
낙단보는 상주시와 의성군 사이를 흐르는 낙동강에 설치된 보로 낙동강의 하천정비와 농업용수와 생활용수 확보를 위해 설치되었으며 그 주변은 자전거길과 산책길, 강수욕장, 나루터, 광장, 코스모스 길로 조성되어 있다. 낙단보 코스모스 길은 방문객에게 다양한 볼거리 제공을 위해 5ha의 면적에 봄에는 유채, 가을에는 코스모스를 심어 계절별로 다양한 볼거리를 제공한다. 또한 낙단보 수변공원 내 율정호운영센터에서는 유람선 운영과 수상 해양레포츠 체험을 할 수 있다.",,,경상북도 의성군 단밀면 생송리 1482,,,가능 (무료),,"의성군 단밀면에 위치한 의성 낙단보 수변공원 낙동강을 옆을 끼고 낙단보와 주변의 들판이 무척 아름다운 곳이에요 자전거길과 도보로도 잘 갖추워 있어 주변의 경치를 즐기면서 가볍게 산책할수 곳이에요 낙단보 주변에는 낙동강 역사를 볼수 있는 전시관과 배를 타고 낙동강 주변경치를 감상할수 있는 수상레저도 있어 가족들과 아이들 남녀노소 누구나 즐길수 있는 곳이라 생각합니다 가족들이랑 함께 다녀오기 좋았습니다. 공원이 잘 돼 있어서 산책하기 좋았고, 힐링 하는 시간이었어요.",,있음(남녀 분리),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구룡포 피어라계단 미디어아트,"구룡포 미디어 아트는 구룡포 일본인 가옥거리 중앙계단(피어라 계단)에 새롭게 조성된 야간 볼거리다. 피어라 계단의 미디어 아트는 계단이라는 특수한 공간에 아나모픽(Anamorphic) 기법을 적용해 왜곡 없이 감상이 가능하며, 바닥에도 영상을 투사, 음향 효과까지 더해 깊은 몰입감을 관객들에게 선사한다.
포항의 아름다운 바다와 일출, 역동적인 포항 철강산업, 계단을 타고 흐르는 신비롭고 아름다운 계곡, 상상력을 자극하는 피어라 동심 등 4가지 주제로 이뤄져 있다. 상영시간은 약 10분간 진행된다.",,,경상북도 포항시 남구 구룡포읍 호미로 277,"19:00 - 20:50
※ 매주 금요일~일요일에만 운영
내부 사정에 따라 시간이 변경될 수 있음",매주 월~목요일,가능(약 74대),,,무료,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화랑마을 오토캠핑장,"화랑마을 오토캠핑장은 2008년 건립된 경주 화랑마을 안에 자리한 캠핑시설이다. 경주 화랑마을은 화랑의 정신과 문화를 재조명하고 발전시켜 휴양 문화의 새로운 패러다임을 열어가는 곳으로, 캠핑을 즐기면서 화랑마을 내 놀이터, 운동장, 전시관을 함께 즐길 수 있다.
오토캠핑장은 데크캠핑과 함께 호국야영장에 속하며, 25개 면으로 이루어져 있다. 최대 6명까지 수용 가능하며 화재 위험이 있는 숯 또는 목재의 사용과 이를 이용하는 조리는 불가하다. 편의 시설로는 공동취사장과 무인매점이 있다. 공동취사장은 한옥으로 지어진 건물로, 이곳에 샤워장, 개수대, 분리수거장 등이 있다. 무인매점에는 과자, 음료 등을 판매하는 자판기가 있다.",,https://www.gyeongju.go.kr/hwarang/index.do,경상북도 경주시 석현로 123 (석장동),"화랑전시관 관람시간: 09:00~18:00
육부촌 이용시간 당일 14:00~익일 11:00
호국야영장 이용시간 당일 13:00 ~ 익일 12:00
※나머지 시설들은 홈페이지 참조",,가능,,,,있음,,,"육부촌 170,000원~200,000원 / 호국야영장 25,000~30,000
※더 자세한 내용은 홈페이지 참조",,,,,,,,,,,,,,,,,,,,,,식음료장 / 캠프화이어 / 휘트니스센터 / 공용샤워실,,,,,,,,,,,,,,,,,,,,,,,,,,,,
말타는사람들,"영주 승마장 말타는사람들은 풍기 IC 인근에 있어서 접근성이 좋은 승마장이다. 넓은 들판에 승마장과 미니동물농장, 과수원까지 갖추고 있는 곳이다. 승마체험은 일일 승마체험과 정기 승마 레슨으로 구성되어 있고, 유아를 포함해 전 연령을 대상으로 진행하고 있다. 미니동물농장에서는 소, 돼지, 토끼 먹이주기 체험을 할 수 있다.",,,경상북도 영주시 봉현면 소백로 1806-28,상시개방,월요일 / 공휴일,있음,,,,있음(남녀 구분),4세 이상 / 신장 90cm 이상,,,,,,,,,,,,,,,야외승마장 / 동물농장,,,,,,,,,"<기타 부대 시설>
벤치

<안전시설 설비사항>
안전요원 / 안전보험가입 / 상비약 / 소방시설 구비",,,,,,,,,"승마조끼 / 안전모
※보유장비 대여",,,,,,,,,,,,,,,,,,,
헐티재골,"청도군 각북면에서 대구 가창면으로 넘어가는 여섯 개의 고개 중 가장 서쪽에 위치한 해발 535미터 ‘헐티재’는 1980년 자동차 도로가 개통되기 전 청도와 대구를 연결하는 지름길로 이용되었다.
지명 유래는 과거 조선 시대에는 이 일대를 토현[土峴]으로 표기하기도 하였는데, 이는 헐티를 흙으로 표기한 것에서 유래되었다는 이야기가 전해지기도 한다. 다른 하나는 고개가 험준하고 힘들어서 그 고개를 넘으면 숨을 헐떡이며 배가 고파 온다고 하여 헐티재라고 불리기도 한다는 이야기가 전해진다.
헐티재와 고개 일대는 소나무 군락으로 뒤덮여 있으며 봄이면 진달래, 철쭉 또는 고산 식물로 주변경관이 아름답고 포장 도로로 잘 정비되어 있어 많은 사람들이 드라이브 코스로 선호한다. 헐티재 정상은 조형물과 화단을 조성해 방문객들에게 산책과 휴식 공간을 제공한다.",,,경상북도 청도군 각북면 금천리,상시 개방,연중 무휴,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한티재,"한티재는 팔공산에서 가산으로 이어지는 산줄기에 있는 고개이다. [한티]는 높고 큰 고개를 뜻한다. 팔공산에서 가산으로 이어지는 산줄기는 팔공산 화강암으로 이루어져 있어, 정상부의 남사면과 북사면이 모두 가파르다. 이러한 경사 극복을 위해 한티재를 넘는 길에 많은 굴곡을 만들었다.
한티재는 지역을 탐방하는 사람들의 편의를 위해 건설한 고개로서, 팔공산의 경치를 살리고 관광 도로로서의 기능을 높이기 위하여 자연친화적으로 건설하였다. 팔공산의 아름다운 경치와 굽이굽이 휘감아 도는 도로의 굴곡이 아름다워 건설교통부에서 선정한 [한국의 아름다운 길 100선]에 선정되었다.",,http://www.grandculture.net/chilgok,경상북도 칠곡군 동명면 한티로 1245,,연중무휴,가능,,,,,,휴게소 / 카페 / 벤치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경주 남산 칠불암 마애불상군,"경주 남산 칠불암에 있는 통일신라시대의 마애불상군으로 암벽에 삼존불상이 있고 그 앞 바위에는 사방불이 있다. 삼존불은 중앙에 여래좌상을 두고 좌우에는 협시보살입상을 배치하였다. 화려한 연꽃 위에 앉아 있는 본존불은 미소가 가득 담긴 양감 있는 얼굴과 풍만하고 당당한 자세를 통해 자비로운 부처님의 힘을 드러내고 있다. 왼쪽 어깨에만 걸치고 있는 옷은 몸에 그대로 밀착되어 굴곡을 실감 나게 표현하고 있다. 손은 오른손을 무릎 위에 올려 손끝이 땅을 향하게 하고 왼손은 배에 대고 있는 모습이다. 좌·우 협시보살은 크기가 같으며, 온몸을 부드럽게 휘감고 있는 옷을 입고 있다. 삼존불 모두 당당한 체구이며 조각수법이 뛰어나다. 다른 바위 4면에 새긴 사방불도 화사하게 연꽃이 핀 자리에 앉아 있는 모습으로 방향에 따라 손 모양을 다르게 하고 있다.
원래 불상이 들어앉을 공간을 만들고 그 안에 모셨을 것으로 추정되며, 현재도 이곳 주변에서 당시의 구조물을 짐작하게 하는 기왓조각들이 발견되고 있다. 조각 기법 및 양식적 특징으로 미루어 보아 이 칠불암 마애불상군은 통일신라시대인 8세기에 만들어진 것으로 여겨진다.
염불사지 주차장에 주차하고 경주 남산 칠불암 마애불상군과 인근 신선암 마애보살반가상까지 함께 둘러볼 수 있는 총 4km의 코스가 있으며 왕복 2시간 30분 소요된다.",,http://www.gyeongju.go.kr/tour,경상북도 경주시 칠불암길 201 (남산동),상시 개방,연중무휴,없음,[경주 남산 칠불암 마애불상군] 국보 (2009.09.02 지정),이곳은 노을 질 무렵이 경관이 무척 아름답다고 해서 일부러 그때까지 머물다 보고 내려왔어요. 등산객은 물론 불교 신자분들도 많이 찾는 곳입니다,무료,있음(칠불암 남녀 구분),전연령 가능,칠불암 마애불상군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천부해중전망대,"천부해중전망대는 우리나라에서 유일하게 수중에 설치된 전망대로, 울릉도의 대표적인 관광 명소 중 하나이다. 천부소공원과 연결된 다리를 따라 바다 방향으로 걸어가면, 그 끝에 원통형 구조의 천부해중전망대가 우뚝 서 있다. 전망대의 총높이는 22.2m이며, 내부에 설치된 계단을 따라 수심 6m 지점까지 내려갈 수 있다. 전망대 내부에는 바닷속을 직접 관찰할 수 있는 전망창이 설치되어 있어, 울릉도 주변 바다에 서식하는 다양한 해양 생물들을 생생하게 감상할 수 있다. 특히 창 앞에는 먹이통이 마련되어 있어, 자연 상태의 물고기들이 모여드는 모습을 더욱 가까이에서 볼 수 있다. 마치 수족관 속에 들어온 듯한 신비로운 경험을 제공하며, 아이들과 가족 단위 관광객들에게 큰 인기를 끌고 있다. 바다 위에서 시작해 바닷속까지 이어지는 독특한 구조 덕분에, 천부해중전망대는 울릉도의 수중 생태계와 청정 해양 환경을 오감으로 체험할 수 있는 특별한 장소로 손꼽힌다. 날씨가 맑은 날에는 바다 너머로 펼쳐지는 수평선과 해안 절경이 더해져, 전망대 위에서도 뛰어난 경관을 감상할 수 있다.",,http://www.ulleung.go.kr/tour/,경상북도 울릉군 북면 울릉순환로 3136-3,"- 하절기 09:00~18:00 (입장 마감 17:30)
- 동절기 09:00~17:00 (입장 마감 16:30)",연중무휴,"가능
요금 (무료)",,"날씨가 좋지 않아서인지 생각보다 시야가 안나오더라구요 그래도 물속을 볼수 있다는게 신기해요 관리가 제대로 되어있지 않은 느낌으로 아쉬웠구요. 독도명예주민증으로 무료관람 가능해요. 망원경은 무료라 한번쯤은 볼만해요. 기분좋은 경험이네요, ㅎㅎ 규모는 생각보다 작지만 다양한 물고기들이 많고 물고기를 가까이에서 자세히 볼 수 있어 좋았어요. 잠수함을 타지않고 계단을 걸어서 수심 5미터로 내려갈 수 있어서 신기하고 황홀했습니다. 너무 아름다운곳이예요 넘 신기했어요 ㅋㅋㅋ 아이들도 신기해했는데 어른인 저도 신기했답니다. 가족여행으로 좋은 장소에요. 너무 신기했습니다 바닷속을 볼 수 있어서~~실시간 독도도 보고 좋은 경험이었어요🤗 가족들과 해저탐험 한기분이에요 날씨도좋고 을릉도 정말 좋네요 계단을 걸어 내려가니 헤엄치는 물고기와 먹이통에 모여드는 물고기떼를 볼 수 있었어요. 바다숲은 잘 조성되지 않아 간간이 흔들리는 미역 몇가락을 감상하였네요. 바닷속을 편하게 볼수있어서 좋았습니다. 물고기도 많고 물도 맑으니 꼭 방문해보세요!","[개인]
- 일반 4,000원
- 청소년/군인 3,000원
- 어린이/경로우대자 2,000원
[단체(15인 이상)]
- 일반 3,500원
- 청소년/군인 2,500원
- 어린이/경로우대자 1,600원",장애인 화장실 있음_무장애 편의시설,,,,주출입구는 턱이 없어 휠체어 접근 가능함,,,출입구까지 턱이 없어 휠체어 접근 가능함,,엘리베이터 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울릉도,"우리나라에서 아홉 번째로 큰 섬인 울릉도는 화산 활동에 의해 형성된 대표적인 섬으로, 본섬을 비롯해 유인도인 독도와 죽도, 과거에는 주민이 살았으나 현재는 무인도인 관음도가 있다. 섬 주변에는 삼선암, 딴바위, 공암(코끼리바위), 북저바위 등 크고 작은 암석섬을 포함해 총 44개의 부속 도서로 이루어져 있다. 울릉도는 대부분 지역이 깎아지른 절벽으로 이루어져 있어, 천혜의 암벽등반지로 알려져 있다. 도동 해안 절벽, 저동 용바위, 장군바위, 삼선암, 송곳바위 등은 산악인들이 즐겨 찾는 등반 코스로, 정상에서 바라보는 주변 경관이 절경을 이룬다. 또한, 울릉도에는 개척기부터 근현대에 이르기까지 주민들이 삶을 영위하며 걸었던 해안길, 산길, 하천길을 정비해 조성한 총 9개의 옛길 코스가 있으며, 현재도 지속적으로 정비 중이다. 이 울릉 해담길을 통해 과거 울릉도 주민들의 삶을 간접적으로 체험해 볼 수 있을 뿐 아니라, 태고의 신비로움이 고스란히 보존된 울릉도의 자연경관을 온전히 느낄 수 있다.",,http://www.ulleung.go.kr/tour,경상북도 울릉군 도동2길 66 울릉군청,상시 개방,연중무휴,"가능
요금 (무료)",,"7월1일부터7월3일까지 울릉도 및 독도 여행을 가족과 다녀왔는데 주변경관이 곳곳에 아름다운 장소가 많았고 드라이브코스로 아주좋아요 다만 흠이라면 물가가 너무 비싸 독도새우를 풍족하게 먹지 못하고 맛만 보고 왔습니다 날씨가 좋아야지만 들어갈수있는 하지만 막상 들어가면 너무 자연경관이 황홀해요 울릉도는 부모님과 함께 여행 갔었는데 배 때문에 약간 멀미가 있었어요 멀미약 구비하시길! 우산국 박물관에도 가 보고 봉래폭포에도 갔는데 정말 멋있더라구요 여행의 절반 이상은 먹거리라고 생각하는데 횟집에서 먹는 물회는 최고였어요 식사 후 까페에서 멋진 풍경을 보면서 마시는 차 한 잔은 뽀너스~~~ 세상 최고 깨끗한 바다에 놀랍니다. 비린내가 없는 진짜 청정 바다예요. 맛있는 먹거리도 굉장히 많아서 3박 4일이 아쉬울 정도였어요. 다시 가고싶네요. 너무 아름다운 울릉도 입니다 날씨도 좋아서 여행 잘햇고 독도 방문하고 왓습니다 가을에 한번 더 가고 싶을 정도로 좋앗습니다 울릉도에서 3박 4일 동안 너무 즐거웠습니다! 자연경관도 너무 멋지고, 음식들도 맛있었어요! 리조트 숙소에서 묵었는데 넓고 쾌적해서 몸도 마음도 편안한 여행이었습니다. 아! 울릉도 오징어 먹었는데 너무 맛있었어요 또 먹고싶어요! 비록 날씨가 안 좋아서 독도에 접안하지는 못했지만, 울릉도 여행으로도 너무 풍족해서 대만족인 여행이었습니다. 다음에 독도 한 번 더 갈 겸 울릉도 재방문하려구요 해안절벽이 멋진 풍경을 자아내면서 자연 그대로의 신비함이 보존된 곳이다. 엄마 모시고 울릉크루즈 이용했는데, 경로할인 & 경북까지 적용이 되어서 깜짝놀랐습니다. 크루즈로 밤에 편하게 출발해서 좋았어요.아침일찍도착하니 하루 일정이 굉장히 길긴했습니다.",무료,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
