place,info,문의 및 안내,주소,이용시간,휴일,주차,입장료,review,홈페이지,이용요금,화장실,이용가능시설,시설이용료,체험가능 연령,판매 품목,입점브랜드,주차 요금,지정현황,접근로,출입통로,보조견 동반,규모,주차요금,영업시간,대표메뉴,취급메뉴,부대시설,주요시설,이용 시기,휠체어,체험,할인 정보,장애인 주차 안내,엘리베이터,유모차,점자 블록,점자 홍보물,보유장비,대여안내,코스안내,안내 요원,수유실,지체장애 기타 상세,수용인원,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,바비큐장여부,세미나실 여부,객실,뷰티시설여부,노래방 여부,사우나실 여부,대중 교통,관람석,오디오 가이드,매표소,강습안내,수화 안내,시각장애 기타상세,자전거 대여 여부,휘트니스 센터 여부,공용 샤워실 여부,공용 PC실 여부,스포츠 시설 여부,개장기간,영유아가족 기타상세
홀스랜드(어승생승마장),"홀스랜드(어승생승마장)은 제주시에 위치해 있고 승마와 목장체험을 동시에 즐길 수 있는 복합레저단지이다. 제주 유일 미국 서부를 테마로 한 공간이며 10만평 규모의 넓은 초지가 있어, 말을 타고 초원을 달릴 수 있다. 외승을 나가지 않더라도 구보로 400m 이상을 쉬지 않고 전력질주 할 수 있다. 또한 말에 처음 오르는 초보자도 교관의 도움을 받아 평보부터 속보, 경속보, 구보까지 원스텝으로 경험할 수 있는 프로그램이 있다. 해발 530m에 위치하여, 날씨가 좋은 날에는 에메랄드빛 제주바다를 볼 수 있고 웅장한 한라산까지 조망이 가능하다.",,제주특별자치도 제주시 1100로 2659 (노형동),"[승마 투어]
- 3~10월 09:00~19:00
- 11~2월 09:00~17:30
[목장 투어]
- 화/수/목 14:00, 17:00
※ 일몰 시간에 따라 영업마감시간이 변동될 수 있음",연중무휴,가능 (소형 20대),,어승생악 방문하러 가는 길에 들렀어요. 말타는데 관심있으면 시간은 그리 길지 않은 30분 내외지만 꽤 긴코스를 말을 타고 경치를 구경할 수 있어 좋았어요. 방목되어 있는 말도 구경할 수 있습니다.,http://www.jejuhorse.com,"체험승마 : 2,500m 60,000원 / 1,000m : 35,000원
스페셜승마 : 60분 120,000원 / 45분 90,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",있음(남/녀 구분),,,4세이상 가능,,,,,,,,,,,,,"위생시설-화장실,탈의실
기타시설- 호텔식 야외테라스",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안덕계곡,"안덕계곡은 서귀포 안덕면의 감산리 마을을 지나 바다로 유입되는 창고천 하류에 형성된 계곡으로 한대오름 주위를 발원지로 한다. 안덕계곡의 안덕()은 치안치덕()의 줄임말로, 태초에 안개가 끼고 하늘과 땅이 진동하며 태산이 솟아날 때 암벽 사이에 물이 흘러 치안치덕한 곳이라 하여 유래된 말이다. 제주도 특유의 계곡미를 보이는 골짜기가 깊게 침식된 유년기곡으로, 용암 동굴 천장이 붕괴하여 형성된 계곡이라는 설도 있다. 안덕계곡은 전체 길이의 절반이 수직 단애를 이루며, 하천 하류에는 협곡에 조면암류 주상 절리와 판상 절리군이 발달되어 있다. 병풍처럼 둘러쳐진 기암절벽과 평평한 암반 바닥에서 유유히 흐르는 맑은 물이 멋스러운 운치를 자아낸다. 계곡의 양쪽에는 난대 수목의 고목이 울창하게 덮여 있으며, 하층 식물을 형성하고 있다. 이곳에는 300여 종의 식물이 분포하는데, 특히 양치식물이 많은 것이 특징이다.",,제주특별자치도 서귀포시 안덕면 감산리 1946,상시 개방,연중무휴,가능,무료,"안덕계곡 들어가면 다른 세상에 와있는 느낌이에요. 그리고 사진을 찍으면 웅장하니 합성된 사진처럼 나와요. 많이 알려졌다고 생각했는데 의외로 모르는 분들이 많아요. 저희가 갔을때도 관광객이 별로 없어서 사진 찍기 좋았어요. 입장료도 없고 추천합니다. 제가 제주도 여행지중 제일 기대했던 안덕계곡이었답니다. 주차비도 입장료도 무료인데 자연경관이 너무 아름다워서 반해버렸답니다... 일반계곡 같지 않은 독특한 이색적인 계곡이고, 제가 갔을땐 여기서 신랑신부가 셀프웨딩촬영하고 있던데 너무 부러워보였답니다 이색적인 웨딩장소일 것 같아요",https://www.visitjeju.net/kr/,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하도리 철새도래지,"제주시 구좌읍 하도리에 있는 철새도래지로 바다와 인접하고 수심은 1m 정도로 영양분이 풍부한 먹잇감과 습지식물이 많아 철새들이 월동하기에 최적의 지역으로 알려진 곳이다. 천연기념물로 지정돼 있고 세계적으로 1,600여 마리 정도만 남아있다는 저어새를 비롯해 천연기념물인 고니, 매, 황조롱이 등과 환경부 멸종위기야생동물인 물수리 등이 관찰되고 있다. 매년 30종에 이르는 철새들이 날아온다. 하도리 지미봉 기슭은 해안에 하굿둑을 축조해 저수지를 만들어 먹이가 풍부하고 둥지를 틀 수 있는 곳이 많이 있다. 망원경이 설치되어 있는 탐조대에서는 철새들의 모습을 관찰할 수 있다. 특히 이 지역은 둑을 축조하며 만든 다리의 경치가 일품이라 드라이브 코스로도 주목받고 있다.",,제주특별자치도 제주시 구좌읍 종달리,상시 개방,연중무휴,가능,무료,"탐조인들에게 제주도는 흥미로운 곳이죠. 새의 종류도 많고 육지에서 보기 드문 저어새나 도요새도 볼 수 있기 때문이죠. 해안도로를 지나다 우연히 발견한 하도리 철새도래지는 멋진 곳이었습니다. 새를 관찰하기 좋은 곳이었고, 저어새를 볼 수 있다는 것만으로도 탐조인에겐 최고의 장소입니다. 추천 드려요 머싯다 초현이 짱",https://www.visitjeju.net/kr,,장애인 화장실 있음(하도해수욕장 화장실),,,,,,,,출입구까지 평지로 되어 있으나 흙(돌) 구간 있음,주출입구는 턱이 없어 휠체어 접근 가능함,,,,,,,,,,,,,장애인 주차장 있음(공영주차장/바닥 잔디블록 마감)_무장애 편의시설,,,점자블록 있음(화장실 앞)_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
차귀도요트,"제주 서부해역에 자리 잡은 요트 수상레저사업장으로 세일링요트와 파워낚시보트를 보유하고 있으며 별도의 구조선과 안전요원이 항시 대기 중으로 안전하고 여유롭게 이용 가능하다. 운항코스는 이국적인 자연경관을 배경으로 당산봉해안절벽과 차귀도를 최대한 근접하여 운항할 뿐만 아니라 어족자원이 풍부한 포인트에서 손맛을 바로바로 느낄 수 있는 체험낚시와 열대어들과 함께 노닐 수 있는 스노클링도 함께 즐길 수 있으며, 남방 큰 돌고래와 함께 운항도 할 수 있다.",,제주특별자치도 제주시 한경면 한경해안로 156,10:00~19:00,연중무휴( 기상상황에 따라 변동 가능),가능,,,yachtblueocean.com,"- 선셋 투어 (70분) 60,000원
- 스노클링 투어 78,000원
- 트롤링 낚시 투어 (100분) 78,000원
※ 기타 자세한 요금 문의는 예약 페이지 참조 또는 전화 문의",,,,,,,,,,,,,,,,,"매표소, 샤워장, 승객대기실, 화장실",,,,,,,,,,,"블랙스톤호(12인승 쌍동형 세일링요트)
해드림호(12인승 파워낚시보트)
스노클링 장비, 낚시장비 등",,"용수항 - 가마우지 - 독수리바위 - 해적잠수함 - 낚시,스노쿨링 - 용수항
* 상황에 따라 변동될 수 있음",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아부오름,"아부오름은 일찍부터 아보름이라 불렸고 송당마을과 당오름 남쪽에 있어서 앞오름이라 하여 이것을 한자로 빌어 표기한 것이 전악()이다. 또한 산 모양이 움푹 파여있어 마치 가정에서 어른이 믿음직하게 앉아있는 모습과 같다하여 아부오름()이라고도 한다. 어렵지 않게 오름 둘레까지 오를 수 있고 제주오름의 모습을 가깝게 느낄 수 있어 최근 각광 받고 있다. 오름 정상에 함지박과 같은 둥그런 굼부리가 파여있다. 특히 굼부리 안 원형 삼나무숲의 특징적인 모습이 주목 받고 있다. 오름 대부분은 풀밭으로 이루어져 있는데, 인공으로 심은 삼나무가 있고 그 사이로 상수리나무, 보리수나무 등이 있다. 풀밭에는 송양지꽃, 풀솜나물, 향유, 쥐손이풀, 청미래덩굴, 찔레 등이 여기저기 서식한다. 아부오름 주변에는 새미오름, 민오름, 백악이오름, 문석이오름 등의 오름이 둘러싸고 있다.",,제주특별자치도 제주시 구좌읍 송당리 산164-1,※ 일부 출입이 통제될 수 있으므로 방문 시 전화문의 요망,연중무휴,가능,무료,제주도 여행와서 오름을 처음으로 오르고 싶으시면 강추입니다. 이곳은 결혼사진을 찍는 곳으로 예비 신부들이 드레스입고도 오르더군요. 남녀노소 누구나 가볍게 오름을 체험할 수 있는 가족형 오름 꼭 방문해보세요... 제주 동쪽 오름 중 편하게 올라갈 수 있고 경치도 멋진 아부오름 정상에 도착해 한바퀴 돌아봐도 너무 좋고 제주 동쪽의 오름을 한눈에 볼 수 있어요. 일몰시간 맞춰가도 너무 좋은 곳입니다. 꼭 한번 가보세요 봄에 제주여행을 계획하고 있다. 올레길과 오름에 관심이 많아 찾아 걷고 있다. 이곳도 방문해보고 싶다.,http://www.visitjeju.net/,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산방산‧용머리해안 지질트레일,"한국의 아름다운 길로 뽑혔을 만큼 놀라운 경치를 뽐내는 형제 해안로가 포함된 산방산 용머리해안 지질트레일은, 80만년 지구의 시간을 품은 용머리해안과 산방산을 중심으로 주변 마을(사계리·화순리·덕수리)의 명소와 흥미로운 이야기를 담고 있다. 총 3개의 코스로 나눠어 있어, 경유지를 보고 더 매력을 느끼는 곳을 고르는 재미가 있다.",,제주특별자치도 서귀포시 안덕면 (안덕면),,연중무휴,가능,,기상상황이 좋지 않으면 개방이 되지않아 3번째 도전해서 겨우 입장한곳 전화로 개방하는 시간까지 확인해서 잘 다녀왔어요 진짜 자연의 힘은 위대하구나 라는 생각이 들게한 곳으로 꼭 한번 가보기를 추천합니다 용머리 해안은 365일 중에 100일도 못들어가는 곳이라고 들었어요. 지난번 방문때는 파도가 세서 못들어갔는데 이번에는 운좋게 다녀왔어요. 여기가 한국이 맞나 싶을정도로 멋지니까 꼭 다녀와보세요,https://www.visitjeju.net/kr,"산방산·용머리해안 통합관람
- 어른 : 개인 2,500원/단체 2,000원
- 청소년(13~24세) : 개인 1,500원/단체 1,000원
- 어린이아동(7~12세) : 개인 1,500원/단체 1,000원
※ 딘체 10인이상",,,,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,"* A코스(총 13.2km) / 약 3시간 30분
용머리해안주차장(출발) - 사계포구(1.2km) - 형제해안로전망대(1.7km) - 해안사구와하모리층(2.1km) - 사람발자국화석(2.8km) - 대정향교·단산(5.5km) - 코스분기점(6.4km) - 산방산탄산온천(7.5km) - 불미마당(8.7km) - 베리돌아진밧(10.7km) - 조면암돌담(12.2km) - 산방산주차장(12.7km) - 산방연대(12.9km) - 용머리해안주차장(도착, 13.2km)
* B코스(총 10km) / 약 3시간
화순금모래해변(출발) - 화순리선사유적지(1.2km) - 황개천/명알목소(1.5km) - 개끄리민소(2.1km) - 곤물/곤물동(3.8km) - 화순곶자왈(5.1km) - 홈밭동산전망대(5.9km) - 주슴길(7.5km) - 사근다리동산(9.6km) - 화순금모래해변(도착, 10km)

※ Tip. 지질트레일 표시기를 찾아 이동하면 편리(돌담, 전봇대, 나뭇가지 곳곳에 매달려 있음)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비양봉,"한림읍 협재리 앞바다의 비양도에 있는 기생화산이다. 비양도는 제주도 서쪽 한림읍에 위치한 섬으로, 근처 협재해수욕장에서도 보이는 섬이다. 제주의 화산체 중 가장 나중에 생긴 막내 섬으로, 면적은 0.5km인 작은 섬이고, 2~3시간 정도면 충분히 둘러볼 수 있는 규모다. 비양도의 생성시기는 동국여지승람 제3권에 전한다. 서기 1002년 6월에 산이 바다 한가운데에서 솟아 나왔는데, 산꼭대기에서 4개의 구멍이 뚫리고 붉은 물이 닷새 만에 그쳐 그 물이 엉겨 모두 돌이 되었다고 기록한 것으로 보아, 이 시기 비양봉에서 어떤 화산활동이 있었던 것으로 추정한다. 섬 중앙에는 대형 분화구와 소형 분화구가 있으며, 대형 분화구 사면에 낮고 작은 2개의 분화구가 딸려 있다. 큰 분화구는 깊이가 79.8m인 깔때기형 분화구이며, 작은 분화구는 깊이가 26.5m인 복합형 화산체를 이루고 있다. 오름 주변 해안에서는 대형의 굴뚝형 분기공인 애기 업은 돌과 초대형 화산탄 모양의 베개용암 등의 수중용암들을 볼 수 있다. 보통 비양봉으로 통하나 주민들 사이에서 암메라고 불리고 있다. 암메란 분화구를 가진 산의 통칭이며 분화구 자체를 가리키는 암메창의 약칭이기도 하다. 이 오름의 두 개의 분화구를 큰암메와 작은암메로 구별해 부르고 있다. 비양봉 정상을 향해 계단을 오르다 보면 비양봉 전망대가 나오며, 이곳에서는 제주의 푸른 바다와 시내를 한눈에 볼 수 있다. 또, 등대에서 보는 제주의 노을은 장관을 연출하며 사진 명소로도 유명하다.",,제주특별자치도 제주시 한림읍 협재리,,,,,,http://www.visitjeju.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[제주올레 7-1코스] 서귀포 버스터미널 - 제주올레 여행자센터 올레,"제주 중산간의 아름다움을 온몸으로 호흡하며 걷는 올레. 서귀포 버스 터미널에서 시작하여 중산간을 거쳐 제주올레 여행자센터로 내려온다. 위로는 한라산을, 아래로는 제주의 남쪽 바다와 서귀포 전역을 조망할 수 있다. 기암절벽과 천연 난대림에 둘러싸인 중산간의 비경이 감탄을 자아낸다. 제주에서는 보기 드물게 논농사를 짓는 지역을 지나는데, 논둑길을 따라 걷는 재미도 쏠쏠하다. (출처 제주올레트레일 홈페이지)",,제주특별자치도 서귀포시 일주동로 9217 (법환동),"하절기 09:00~18:00
동절기 09:00~17:00",,,,,http://www.jejuolle.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서귀포버스터미널 앞 → 엉또폭포(4㎞) → 고근산 정상(7.1㎞) → 하논분화구(12.5㎞) → 결매생태공원(15.1㎞) → 제주올레 여행자센터(15.7㎞ / 4~5시간),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주성지,"제주성지는 제주목의 치소를 둘러쌓았던 성터로, 오현단 남쪽에 일부가 복원되었고, 곳곳에 잔해가 남아있다. 제주성의 축성 연대는 정확히 알 수 없으나 탐라국 당시 쌓았던 것을 고려 때 왜구 방어용으로 보수하여 사용했던 것으로 추정되며, 현재는 일부인 남수각 부분이 150여 미터 정도 복원되어 있다. 역사가 깊고 제주도의 중심지역을 지켰던 이곳은 일제강점기인 1925년부터 1928년 사이에 건입동 포구 앞바다를 매립할 때 성곽의 돌을 매립골재로 사용하면서 크게 훼손되었다고 전해진다. 성곽 주위에는 귤과 유자나무가 많이 심어져 있어 가을철 귤이 익을 무렵이면 성 주위는 가을색으로 절정을 이루었다고 한다. 튼튼한 성을 쌓으며 왜침의 바람을 잠재우려 했던 선조들의 지혜를 느낄 수 있는 곳으로, 이러한 가치를 인정받아 1971년 8월 26일 제주특별차지도 기념물로 지정되었다.",,제주특별자치도 제주시 오현길 61 (이도일동),,,,,,https://encykorea.aks.ac.kr/,,,,,,,,,제주특별자치도 기념물 제주성지 (1971.08.26 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[제주올레 21코스] 하도-종달 올레,"구좌읍의 바다를 바라보며 시작하여 마을과 밭길로 13, 바닷길로 13, 그리고 오름으로 13 등 제주 동부의 자연을 고르게 체험하는 길이다. 제주의 동쪽 땅끝이라는 뜻을 지닌 지미봉 위에서 360도 어디 한 곳 가릴 데 없이 제주가 펼쳐진다. 시흥초등학교, 말미오름, 당근밭, 감자밭이 한눈에 들어오고 한편에 성산일출봉이 떠있는 푸른 제주의 동쪽 바다와 용눈이오름 다랑쉬오름이 있는 제주의 동부 오름 군락이 밀려든다. (출처 제주올레트레일 홈페이지)",,제주특별자치도 제주시 구좌읍 해녀박물관길 26,"하절기 09:00~18:00
동절기 09:00~17:00",,,,,http://www.jejuolle.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재주해녀박물관 → 낮물발길(1.2㎞) → 별방진(3㎞) → 석다원(4㎞) → 토끼섬(5.2㎞) → 하도해수욕장(6.7㎞) → 지미봉 정상(9㎞m) → 종달바당(11.3㎞ / 3~4시간),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[제주올레 20코스] 김녕-하도 올레,"제주 북동부 바다의 아름다움을 오롯이 담은 바당 올레다. 제주 북동쪽 바닷가 김녕서포구에서부터 김녕, 월정, 세화 해수욕장의 잔잔하게 일렁이는 쪽빛 바다 물결을 감상하며 걷게 된다. 물빛이 아름답고 수심이 고른 편이어서 물놀이하기에도 좋다. 운이 좋으면 해녀들이 물질하는 모습과 함께 숨비소리도 들을 수 있어 길에 제주 해녀 문화가 함께 스며 있다 출처 사단법인 제주올레",,제주특별자치도 제주시 구좌읍 김녕리 4069 (구좌읍),"[하절기]
- 09:00 ~ 18:00
[동절기]
- 09:00 ~ 17:00",연중무휴,불가능,,,http://www.jejuolle.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,김녕서포구 - 성세기태역길(2.1km) - 하수처리장 앞(4.6km) - 월정해수욕장(6.9km) - 행원포구 광해군기착비(8.3km) - 한동해안도로(12.2km) - 평대해수욕장(14.5km) - 제주해녀박물관(17.6km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[제주올레 19코스] 조천-김녕 올레,"제주 올레는 제주도를 걸어서 여행하는 장거리도보 여행길이다. 19코스는 바다와 오름, 곶자왈, 마을, 밭 등 제주의 가장 아름다운 모습들을 지루할 틈 없이 펼쳐 보여준다. 밭에서 물빛 고운 바다로, 바다에서 솔향 가득한 숲으로, 숲에서 정겨운 마을로 이어지는 길에는 제주의 진면목이 담겨 있다. 또한 제주 항일운동의 현장인 조천만세동산과 4.3 당시 큰 피해를 입은 북촌리의 너븐숭이 4.3 기념관에서 제주 근현대사의 아픈 역사를 눈으로 확인할 수 있다. (출처 제주 올레)",,제주특별자치도 제주시 조천읍 조천리 1209-1 (조천읍),상시 개방,,불가능,,,http://www.jejuolle.org,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,조천만 세동산 - 신흥리백사장(3.4km) - 함덕해수욕장(6.3km) - 너븐숭이 4.3기념관(9.1km) - 동복리 마을운동장(13.5km) - 김녕농로(16.3km) - 김녕서포구(19.4km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[제주올레 18코스] 제주원도심-조천 올레,"제주시의 도심 한복판, 김만덕 기념관에서부터 시작된다. 제주항을 지나 언덕을 오르면 제주 시내권에 박힌 보석 같은 두 오름, 사라봉과 별도봉이 아름다운 전망을 선사해 준다. 4.3 당시, 마을 전체가 불타 없어져 흔적만 남은 곤을동 마을 터에서 제주의 아픈 상처를 되새기면서 신촌으로 제사 먹으러 가던 옛길을 따라 길을 이어간다. 18코스의 절정, 시비코지에서 닭모루로 이어지는 바당길은 숨이 탁 트이는 풍경을 감상할 수 있다. (출처 제주올레트레일 홈페이지)",,제주특별자치도 제주시 산지로 7 (건입동),"하절기 09:00~18:00
동절기 09:00~17:00",,,,,http://www.jejuolle.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,김만덕 기념관 → 사라봉 정상(2.3㎞) → 별도봉 산책길(3.9㎞) → 화복포구(6.4㎞) → 삼양해수욕장 정자(9.7㎞) → 닭모루(13.9㎞) → 연북정(17.6㎞) → 조천만세동산(18.7㎞ / 6~7시간),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[제주올레 1-1코스] 우도-올레,"소가 드러누운 모습으로 떠 있는 우도는 푸른 초원과 검은 돌담 그리고 등대가 가장 제주다운 풍경을 연출한다. 우도 올레는 제주도에 딸린 62개의 섬 가운데 가장 크고 일년 내내 쪽빛 바다색을 자랑하는 우도의 절경을 만끽할 수 있는 코스다. 바닷길과 밭길, 푸른 초원과 우도봉 등 다양한 모습이 있다. 제주도의 옛 돌담을 고스란히 간직한 돌담 올레를 걷고 호밀과 보리, 땅콩이 자라는 밭둑 올레를 즐긴다. 출처 사단법인 제주올레",,제주특별자치도 제주시 우도면 연평리 1737-1 (우도면),"* 걷기 시작시간 09:00
* 걷기 종료시간 18:00(하절기) / 17:00(동절기)",,,,,http://www.jejuolle.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,천진항A - 홍조단괴해빈(2.3km) - 하우목동향B(3.4km/11.3km) - 산물통 입구(4.6km) - 파평윤씨공원(5.5km) - 하고수동 해수욕장(6.7km) - 연자마(7.9km) - 우도봉 입구(8.6km) - 천진항A(11.3km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[제주올레 14-1코스] 저지-서광 올레,"무성한 숲의 생명력, 초록의 힘을 온몸으로 느끼는 곶자왈 올레다. 저지마을을 떠난 길은 밭 사이로 이어지다 이내 숲으로 들어선다. 문도지오름 정상에 오르면 한라산과 봉긋 솟은 사방의 오름들이 한눈에 들어온다. 위에서 내려다 보던 그 만만한 풍경은 곶자왈 안에 들어선 순간 싹 잊혀진다. 곶자왈이 품고 있는 무성한 숲의 생명력이 온몸을 휘감는다. 곶자왈을 빠져 나온 길은 초록물결이 넘실대는 드넓은 녹차밭으로 발걸음을 이끌며 끝이 난다. 출처 사단법인 제주올레",,제주특별자치도 제주시 한경면 저지리 1851-5 (한경면),"* 걷기 시작시간 09:00
* 걷기 종료시간 18:00(하절기) / 17:00(동절기)",,,,,http://www.jejuolle.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,저지예술 정보화마을 - 강정동산(2.8km) - 저지곶자왈(4.1km) - 문도지오름 출구(5.5km) - 저지상수원(8.8km) - 오설록 녹차밭(9.3km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화순금모래해수욕장,"화순금모래 해변은 검은 모래밭이 펼쳐진 곳으로 주변에 천혜의 자연조건을 가지고 있다. 해수욕장 옆으로는 소금막 해변 백사장이 넓게 펼쳐져 있고, 뒤로는 산방산이 서있으며, 앞으로는 가파도, 마라도, 형제섬 등이 한눈에 펼져쳐 있어 동양의 산수화를 연상케 하는 해변이다. 해수욕장의 모래는 검은 빛으로 부드럽고 고운편이며 여름이면 바로 옆에 야외수영장이 설치되어 해수욕과 담수욕을 동시에 즐길 수 있다. 야외수영장은 일년 내내 낮은 온도를 유지하는 용천수를 사용해 물이 무척 시원하며 슬라이딩 미끄럼틀 등의 기구를 설치해 아이들과 함께 물놀이 할 수 있다. 안덕면 소재지인 화순리에 있어서 교통, 숙박, 매점, 음식점 등의 편의 시설이 풍부하다는 점도 빼놓을 수 없다.",,제주특별자치도 서귀포시 안덕면 화순해안로 91,상시 개방,연중무휴,가능,무료,"검은 모래밭이라고 해서 다녀왔는데 해변이 너무 좋았어요 화순금모래해변 산방산도 잘 보이고 바닷물에 모래도 반짝반짝 너무 아름다와용 검은 모래밭이 펼쳐진 해변이 아름다운 곳 화순금모래 해변으로 떠나보세요 안덕면 소재지인 화순리에 있어서 교통, 숙박, 매점, 음식점 등의 편의 시설이 풍부하며 마치 동양의 산수화를 연상케 할 만큼 아름다운 해변입니다 제주엔 참 좋은 곳이 많네요. 조용하게 힐링하기 최고",http://www.visitjeju.net/,,장애인 전용 화장실 있음(주차장 앞 화순 화장실),,,,,,,,해변가까지 접근 가능한 경사로가 있으나 모래사장까지 접근하는 경로에 1단 정도의 단차가 있고 일부구간은 휠체어 접근이 용이한 산책로가 있음,,,,,,,,,,,,,,"장애인 전용 주차구역 있음(해변가 안 5대,접근로 앞 2대)_무장애 편의시설",,,점자블록 있음(화장실 앞)_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세화해변,"제주올레 20코스를 걷다 보면 세화민속오일장과 해녀박물관 사이에 작은 해변 하나를 만날 수 있다. 구좌읍 세화리에 위치한 이 해변은 정식 해수욕장도 아니고 규모도 크지 않지만, 눈이 시리게 맑고 파란 바다를 선물해 준다. 물이 빠지면 드러나는 하얀 모래와 검은 현무암이 에메랄드빛 바다와 아름다운 조화를 이루는 곳이다. 제주의 많은 해변 중에서도 작은 세화해변이 널리 알려진 것은 벨롱장과 세화민속오일장 덕분이다. 동부지역에서 가장 규모가 큰 오일장이자 바닷가 바로 옆에서 열리는 이 오일장엔 매 5일마다 도민들의 삶을 엿볼 수 있는 풍경이 펼쳐진다. 제주 플리마켓의 원조인 벨롱장도 끊임없이 관광객을 유혹하고 있다. 최근에는 의자에 앉아 예쁜 바다를 배경으로 인생사진을 남길 수 있는 곳으로 많은 사랑을 받고 있다. 주변 관광지로는 제주해녀의 삶과 문화를 보여주는 제주해녀박물관, 우리나라 유일의 문주란 자생지 토끼섬, 외세 침입에 대비해 쌓은 성곽 별방진, 여름에는 종달리 수국길, 천년비자나무 숲 비자림 등이 있다. 김녕해수욕장 월정리 평대리 세화리 하도리 종달리 성산항까지 이어지는 해안도로에서의 드라이브도 추천할 만하다. 세화해변은 세화리정류장이나 해녀박물관정류장에서 도보 10여 분 거리에 있다.",,제주특별자치도 제주시 구좌읍 세화길 (구좌읍),상시 개방,연중무휴,가능 (공용 주차장),,"한적하고 좋은것 같아요 혼자 여행 추천 세화해변은 관광객이 많지 않고 고요한 느낌이에요 꼭 멀리 있어도 세화에 가게 되는 이유가 있는 것 같아요 혼자 가도 좋은곳입니다 세화바다는 볼때마다 아름다워요 가슴이 뻥 뚫리는 시원함이 있어요 아침에 걷는 세화해변 너무 좋습니다 파도소리가 현무암에 부딪치며 나는 소리와 함께 걷다보면 힐링이 되요 현무암 해변이 좋아서 자주 오는곳 동쪽에 한적하게 즐길 곳들이 많은 것 같아 성산쪽에 묵었었는데요. 성산 근처 세화에 오일장이 열린다는 정보를 보고 방문했었어요. 맑은 바다와 작은 카페들이 예쁘게 자리잡은 곳이었어요 오일장도 크게 열리고 근처에는 해녀박물관도 있어서 둘러보기 너무 좋았습니다 작년 겨울에 홀로 방문했던 세화해변. 바다색이 너무 예쁘고 동네가 조용해서 엄청 힐링 받고 왔어요 가족들, 연인과 가기에도 좋지만 혼자 가도 좋은 곳이에요 구좌는 당근이 유명한 곳이니 주변 예쁜 카페에서 당근케이크도 드셔보세요 세화해변 진짜 좋아요 근처에 예쁜 카페도 많고 아침에 산책하기도 너무 좋구요. 근처에 숙소 잡고 며칠 보냈는데 해변이 너무 좋아서 만족스러웠어요",https://www.visitjeju.net/kr,,"장애인 전용 화장실 있음(주차장 화장실,무단차)",,,,,,,,해변가까지 무단차로 연결 됨,,,,,,,,,,,,,,장애인 전용 주차구역 있음(화장실 앞 1대)_무장애 편의시설,,,점자블록 있음(주차장 화장실 앞)_시각장애인 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
더 아일랜더,"2013년 제주의 원도심에서 오픈하여 제주도 기념품을 판매하고 있는 더 아일랜더는 최근 2호점인 라이프스타일 스토어와 함께 하나의 공간에서 새롭게 영업을 하고 있다. 기존의 제주도 기념품 외에 다양한 디자인 소품을 만나 보실 수 있으며, 작은 카페 공간도 함께 운영 중 이다.",,제주특별자치도 제주시 관덕로4길 7,10:30 ~ 19:00,,,,크지 않은 공간이지만 아기자기한 소품과 제주스러운 기념품이 가득해서 근처 갈 때마다 들르곤 합니다 한번 가봐야겠네요.,https://www.instagram.com/jeju_the_islander,,,,,,제주도 아트상품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
